Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.64,359.11,359.76,360.3,359.56,361.63,358.36,357.76,351.5,319.14,191.83,315.607431302972,333.465784189019,333.465784189019,333.465784189019,333.465784189019,333.465784189019,333.465784189019,333.465784189019,333.465784189019,333.465784189019,375.408288987309,0.1575,25900,3,0.76
1,359.62,359.1,359.75,360.31,359.56,361.62,358.44,357.94,351.81,319.34,192.46,315.65088139722,333.513189403549,333.513189403549,333.513189403549,333.513189403549,333.513189403549,333.513189403549,333.513189403549,333.513189403549,333.513189403549,375.455694201839,0.1575,25900,3,0.76
2,359.69,359.2,359.8,360.39,359.6,361.65,358.64,358.23,352.12,319.6,193.28,315.694327754036,333.560591124287,333.560591124287,333.560591124287,333.560591124287,333.560591124287,333.560591124287,333.560591124287,333.560591124287,333.560591124287,375.503095922578,0.1575,25900,3,0.76
3,359.8,359.33,359.86,360.48,359.66,361.69,358.84,358.6,352.46,319.94,193.97,315.737770373084,333.60798935076,333.60798935076,333.60798935076,333.60798935076,333.60798935076,333.60798935076,333.60798935076,333.60798935076,333.60798935076,375.550494149051,0.1575,25900,3,0.76
4,359.94,359.48,359.95,360.56,359.74,361.75,359.06,358.88,352.9,320.3,194.68,315.78120925403,333.655384082495,333.655384082495,333.655384082495,333.655384082495,333.655384082495,333.655384082495,333.655384082495,333.655384082495,333.655384082495,375.597888880785,0.1575,25900,3,0.76
5,360.15,359.71,360.08,360.7,359.88,361.83,359.41,359.29,353.62,320.81,195.33,315.824644396539,333.702775319019,333.702775319019,333.702775319019,333.702775319019,333.702775319019,333.702775319019,333.702775319019,333.702775319019,333.702775319019,375.64528011731,0.1575,25900,3,0.76
6,360.37,359.96,360.24,360.85,360.05,361.93,359.75,359.65,354.37,321.31,195.96,315.868075800278,333.75016305986,333.75016305986,333.75016305986,333.75016305986,333.75016305986,333.75016305986,333.75016305986,333.75016305986,333.75016305986,375.69266785815,0.1575,25900,3,0.76
7,360.5,360.13,360.35,361.0,360.17,362.02,359.96,359.96,354.8,321.63,196.59,315.911503464911,333.797547304544,333.797547304544,333.797547304544,333.797547304544,333.797547304544,333.797547304544,333.797547304544,333.797547304544,333.797547304544,375.740052102835,0.1575,25900,3,0.76
8,360.64,360.29,360.44,361.13,360.28,362.12,360.18,360.24,355.13,321.93,197.24,315.954927390103,333.8449280526,333.8449280526,333.8449280526,333.8449280526,333.8449280526,333.8449280526,333.8449280526,333.8449280526,333.8449280526,375.787432850891,0.1575,25900,3,0.76
9,360.77,360.44,360.54,361.28,360.4,362.24,360.4,360.51,355.38,322.24,197.88,315.998347575521,333.892305303555,333.892305303555,333.892305303555,333.892305303555,333.892305303555,333.892305303555,333.892305303555,333.892305303555,333.892305303555,375.834810101845,0.1575,25900,3,0.76
10,360.88,360.58,360.64,361.41,360.51,362.36,360.57,360.76,355.58,322.53,198.57,316.041764020831,333.939679056937,333.939679056937,333.939679056937,333.939679056937,333.939679056937,333.939679056937,333.939679056937,333.939679056937,333.939679056937,375.882183855227,0.1575,25900,3,0.76
11,361.0,360.69,360.72,361.5,360.62,362.44,360.75,360.92,355.78,322.82,199.09,316.0851767257,333.987049312273,333.987049312273,333.987049312273,333.987049312273,333.987049312273,333.987049312273,333.987049312273,333.987049312273,333.987049312273,375.929554110564,0.1575,25900,3,0.76
12,361.13,360.8,360.82,361.63,360.72,362.56,360.88,361.14,355.95,323.1,199.59,316.128585689792,334.034416069092,334.034416069092,334.034416069092,334.034416069092,334.034416069092,334.034416069092,334.034416069092,334.034416069092,334.034416069092,375.976920867383,0.1575,25900,3,0.76
13,361.24,360.89,360.92,361.75,360.83,362.67,361.02,361.33,356.12,323.37,200.26,316.171990912774,334.081779326922,334.081779326922,334.081779326922,334.081779326922,334.081779326922,334.081779326922,334.081779326922,334.081779326922,334.081779326922,376.024284125212,0.1575,25900,3,0.76
14,361.4,360.98,361.07,361.87,360.97,362.77,361.2,361.51,356.43,323.75,200.84,316.215392394313,334.129139085291,334.129139085291,334.129139085291,334.129139085291,334.129139085291,334.129139085291,334.129139085291,334.129139085291,334.129139085291,376.071643883581,0.1575,25900,3,0.76
