Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.62,359.2,359.77,360.13,359.49,361.24,358.32,358.58,354.64,332.14,345.47,308.247302420876,329.056550679758,329.056550679758,329.056550679758,329.056550679758,329.056550679758,329.056550679758,329.056550679758,329.056550679758,329.056550679758,370.999055478048,0.1575,25900,3,0.98
1,359.59,359.26,359.68,360.13,359.47,361.23,358.31,358.9,354.71,331.75,345.5,308.287693228017,329.101279885051,329.101279885051,329.101279885051,329.101279885051,329.101279885051,329.101279885051,329.101279885051,329.101279885051,329.101279885051,371.043784683342,0.1575,25900,3,0.98
2,359.6,359.37,359.64,360.21,359.48,361.25,358.4,359.22,354.97,331.56,345.52,308.328079849203,329.14600505763,329.14600505763,329.14600505763,329.14600505763,329.14600505763,329.14600505763,329.14600505763,329.14600505763,329.14600505763,371.08850985592,0.1575,25900,3,0.98
3,359.64,359.49,359.68,360.31,359.5,361.29,358.52,359.44,355.26,331.4,345.65,308.368462284185,329.190726197071,329.190726197071,329.190726197071,329.190726197071,329.190726197071,329.190726197071,329.190726197071,329.190726197071,329.190726197071,371.133230995362,0.1575,25900,3,0.98
4,359.72,359.64,359.73,360.38,359.52,361.31,358.65,359.53,355.56,331.29,345.74,308.40884053271,329.235443302952,329.235443302952,329.235443302952,329.235443302952,329.235443302952,329.235443302952,329.235443302952,329.235443302952,329.235443302952,371.177948101243,0.1575,25900,3,0.98
5,359.79,359.78,359.8,360.48,359.56,361.32,358.75,359.64,355.88,331.2,345.81,308.449214594531,329.280156374851,329.280156374851,329.280156374851,329.280156374851,329.280156374851,329.280156374851,329.280156374851,329.280156374851,329.280156374851,371.222661173142,0.1575,25900,3,0.98
6,359.87,359.92,359.86,360.58,359.61,361.35,358.83,359.73,356.2,331.13,345.86,308.489584469398,329.324865412347,329.324865412347,329.324865412347,329.324865412347,329.324865412347,329.324865412347,329.324865412347,329.324865412347,329.324865412347,371.267370210638,0.1575,25900,3,0.98
7,359.94,360.06,359.93,360.68,359.64,361.36,358.89,359.87,356.49,331.05,345.76,308.529950157061,329.369570415016,329.369570415016,329.369570415016,329.369570415016,329.369570415016,329.369570415016,329.369570415016,329.369570415016,329.369570415016,371.312075213307,0.1575,25900,3,0.98
8,359.98,360.19,359.98,360.77,359.66,361.4,358.96,360.0,356.73,330.96,345.84,308.570311657271,329.414271382439,329.414271382439,329.414271382439,329.414271382439,329.414271382439,329.414271382439,329.414271382439,329.414271382439,329.414271382439,371.356776180729,0.1575,25900,3,0.98
9,360.01,360.35,360.08,360.84,359.74,361.42,358.93,360.09,357.02,330.84,345.87,308.610668969778,329.458968314191,329.458968314191,329.458968314191,329.458968314191,329.458968314191,329.458968314191,329.458968314191,329.458968314191,329.458968314191,371.401473112482,0.1575,25900,3,0.98
10,360.03,360.46,360.19,360.95,359.83,361.47,358.98,360.25,357.19,330.75,346.05,308.651022094336,329.503661209854,329.503661209854,329.503661209854,329.503661209854,329.503661209854,329.503661209854,329.503661209854,329.503661209854,329.503661209854,371.446166008144,0.1575,25900,3,0.98
11,360.06,360.46,360.26,361.06,359.91,361.53,359.05,360.4,357.23,330.73,346.09,308.691371030692,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,371.490854867295,0.1575,25900,3,0.98
12,360.09,360.42,360.33,361.15,359.97,361.6,359.18,360.5,357.27,330.72,346.03,308.7317157786,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,371.535539689512,0.1575,25900,3,0.98
13,360.14,360.37,360.37,361.24,360.05,361.68,359.36,360.56,357.35,330.73,346.24,308.772056337812,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,371.580220474377,0.1575,25900,3,0.98
14,360.18,360.32,360.4,361.33,360.11,361.75,359.5,360.59,357.41,330.74,346.35,308.812392708079,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,371.624897221467,0.1575,25900,3,0.98
15,360.22,360.26,360.43,361.42,360.17,361.83,359.58,360.63,357.52,330.79,346.23,308.852724889152,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,371.669569930362,0.1575,25900,3,0.98
16,360.26,360.22,360.46,361.51,360.24,361.9,359.65,360.7,357.59,330.85,346.34,308.893052880785,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,371.714238600642,0.1575,25900,3,0.98
