Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
123,361.82,359.81,343.34,199.26,134.55,91.73,73.73,62.48,50.33,24.34,47.22,303.55815630766,323.867827918747,323.867827918747,323.867827918747,323.867827918747,323.867827918747,323.867827918747,323.867827918747,323.867827918747,323.867827918747,353.462250194794
124,361.75,359.69,342.98,199.22,134.49,91.73,73.88,62.66,50.44,24.24,47.19,303.729791371891,324.057606285036,324.057606285036,324.057606285036,324.057606285036,324.057606285036,324.057606285036,324.057606285036,324.057606285036,324.057606285036,353.652028561083
125,361.73,359.82,342.73,199.23,134.49,91.78,74.12,62.94,50.66,24.3,47.19,303.90135311016,324.247314369381,324.247314369381,324.247314369381,324.247314369381,324.247314369381,324.247314369381,324.247314369381,324.247314369381,324.247314369381,353.841736645428
126,361.71,359.93,342.58,199.15,134.51,91.81,74.27,63.15,50.85,24.32,47.22,304.07284150253,324.436952139105,324.436952139105,324.436952139105,324.436952139105,324.436952139105,324.436952139105,324.436952139105,324.436952139105,324.436952139105,354.031374415152
127,361.68,360.04,342.45,198.98,134.53,91.85,74.4,63.28,51.02,24.24,47.24,304.244256529119,324.626519561583,324.626519561583,324.626519561583,324.626519561583,324.626519561583,324.626519561583,324.626519561583,324.626519561583,324.626519561583,354.22094183763
128,361.66,360.09,342.35,198.78,134.52,91.9,74.55,63.41,51.19,24.29,47.28,304.415598170097,324.816016604241,324.816016604241,324.816016604242,324.816016604242,324.816016604241,324.816016604241,324.816016604241,324.816016604241,324.816016604241,354.410438880289
129,361.64,360.14,342.27,198.54,134.5,91.92,74.69,63.5,51.37,24.18,47.34,304.586866405687,325.005443234558,325.005443234558,325.005443234558,325.005443234558,325.005443234558,325.005443234558,325.005443234558,325.005443234558,325.005443234558,354.599865510605
130,361.64,360.22,342.19,198.32,134.46,91.96,74.81,63.58,51.54,24.28,47.4,304.758061216165,325.194799420062,325.194799420062,325.194799420062,325.194799420062,325.194799420062,325.194799420062,325.194799420062,325.194799420062,325.194799420062,354.789221696109
131,361.66,360.3,342.12,198.2,134.43,91.99,74.89,63.63,51.71,24.35,47.46,304.929182581863,325.384085128333,325.384085128333,325.384085128333,325.384085128333,325.384085128333,325.384085128333,325.384085128333,325.384085128333,325.384085128333,354.97850740438
132,361.68,360.35,342.0,198.0,134.4,92.04,74.99,63.78,51.87,24.33,47.53,305.100230483161,325.573300327005,325.573300327005,325.573300327005,325.573300327005,325.573300327005,325.573300327005,325.573300327005,325.573300327005,325.573300327005,355.167722603052
