Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
393,361.67,358.69,337.85,192.15,131.1,89.6,71.99,60.24,49.62,-1.07,47.38,347.183842706293,372.46138718949,372.46138718949,372.46138718949,372.46138718949,372.46138718949,372.46138718949,372.46138718949,372.46138718949,372.46138718949,402.055809465537
394,361.66,358.8,337.61,191.81,130.97,89.34,72.04,60.41,49.69,-5.04,47.35,347.335132092917,372.631179914502,372.631179914502,372.631179914502,372.631179914502,372.631179914502,372.631179914502,372.631179914502,372.631179914502,372.631179914502,402.225602190549
395,361.73,358.91,337.5,191.64,130.86,89.23,72.14,60.54,49.82,-3.76,47.3,347.486344754035,372.800895550797,372.800895550797,372.800895550796,372.800895550797,372.800895550796,372.800895550796,372.800895550796,372.800895550796,372.800895550796,402.395317826843
396,361.84,359.07,337.41,191.48,130.77,89.07,72.27,60.84,49.98,-1.54,47.27,347.63748068455,372.970534081122,372.970534081122,372.970534081122,372.970534081122,372.970534081122,372.970534081122,372.970534081122,372.970534081122,372.970534081122,402.564956357169
397,361.96,359.24,337.29,191.48,130.74,89.36,72.43,61.02,50.2,-1.2,47.25,347.788539879421,373.140095488285,373.140095488285,373.140095488285,373.140095488285,373.140095488285,373.140095488285,373.140095488285,373.140095488285,373.140095488285,402.734517764332
398,362.07,359.46,337.16,191.4,130.74,89.31,72.64,61.58,50.45,-6.91,47.29,347.93952233366,373.309579755158,373.309579755158,373.309579755158,373.309579755158,373.309579755158,373.309579755158,373.309579755158,373.309579755158,373.309579755158,402.904002031205
399,362.16,359.65,337.13,191.63,130.77,89.46,72.89,61.85,50.7,-1.17,47.31,348.090428042336,373.47898686467,373.47898686467,373.47898686467,373.47898686467,373.47898686467,373.47898686467,373.47898686467,373.47898686467,373.47898686467,403.073409140717
400,362.29,359.85,337.05,191.78,130.9,89.44,73.27,62.05,51.04,-0.75,47.38,348.241257000572,373.648316799813,373.648316799813,373.648316799813,373.648316799813,373.648316799813,373.648316799813,373.648316799813,373.648316799813,373.648316799813,403.24273907586
401,362.41,359.95,336.83,192.02,131.02,89.38,73.57,62.22,51.35,-8.44,47.48,348.392009203547,373.81756954364,373.81756954364,373.81756954364,373.81756954364,373.81756954364,373.81756954364,373.81756954364,373.81756954364,373.81756954364,403.411991819687
402,362.54,360.02,336.69,192.11,131.11,89.41,73.77,62.32,51.53,-5.49,47.55,348.542684646495,373.986745079264,373.986745079264,373.986745079264,373.986745079264,373.986745079264,373.986745079264,373.986745079264,373.986745079264,373.986745079264,403.581167355311
403,362.67,360.12,336.62,192.34,131.21,89.65,73.91,62.54,51.71,-5.62,47.62,348.693283324705,374.15584338986,374.15584338986,374.15584338986,374.15584338986,374.15584338986,374.15584338986,374.15584338986,374.15584338986,374.15584338986,403.750265665907
404,362.8,360.25,336.56,192.66,131.35,89.78,74.05,62.84,51.9,-4.16,47.71,348.84380523352,374.324864458664,374.324864458664,374.324864458664,374.324864458664,374.324864458664,374.324864458664,374.324864458664,374.324864458664,374.324864458664,403.919286734711
405,362.9,360.43,336.53,192.93,131.52,89.98,74.19,62.9,52.05,-3.65,47.81,348.994250368338,374.493808268973,374.493808268973,374.493808268973,374.493808268973,374.493808268973,374.493808268973,374.493808268973,374.493808268973,374.493808268973,404.08823054502
406,362.99,360.63,336.55,193.21,131.71,90.03,74.33,62.98,52.17,-3.53,47.91,349.144618724615,374.662674804143,374.662674804143,374.662674804143,374.662674804143,374.662674804143,374.662674804143,374.662674804143,374.662674804143,374.662674804143,404.25709708019
407,363.09,360.81,336.6,193.19,131.92,90.27,74.41,62.95,52.27,-4.25,48.01,349.294910297858,374.831464047594,374.831464047594,374.831464047594,374.831464047594,374.831464047594,374.831464047594,374.831464047594,374.831464047594,374.831464047594,404.425886323642
408,363.21,360.98,336.57,193.34,132.12,90.04,74.49,63.04,52.35,-4.43,48.13,349.445125083631,375.000175982807,375.000175982807,375.000175982807,375.000175982807,375.000175982807,375.000175982807,375.000175982807,375.000175982807,375.000175982807,404.594598258854
409,363.39,361.22,336.5,193.85,132.44,90.39,74.66,63.19,52.51,-4.76,48.29,349.595263077553,375.168810593321,375.168810593321,375.168810593321,375.168810593321,375.168810593321,375.168810593321,375.168810593321,375.168810593321,375.168810593321,404.763232869368
410,363.54,361.46,336.49,193.9,132.78,90.28,74.97,63.39,52.72,-4.95,48.48,349.745324275298,375.337367862739,375.337367862739,375.337367862739,375.337367862739,375.337367862739,375.337367862739,375.337367862739,375.337367862739,375.337367862739,404.931790138786
411,363.61,361.64,336.58,194.28,132.97,90.54,75.16,63.59,52.86,-4.89,48.62,349.895308672594,375.505847774724,375.505847774724,375.505847774724,375.505847774724,375.505847774724,375.505847774724,375.505847774724,375.505847774724,375.505847774724,405.100270050771
