Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
525,361.42,358.44,338.67,193.48,132.27,92.04,74.09,62.95,50.78,23.39,47.84,366.48942501698,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,394.201793292887,423.796215568934
526,361.3,358.33,338.38,193.36,132.16,91.97,74.08,63.02,50.82,23.35,47.8,366.630563041381,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,394.361284078353,423.9557063544
527,361.25,358.44,338.13,193.37,132.1,91.93,74.19,63.28,50.96,23.38,47.78,366.771624138179,394.520696027445,394.520696027445,394.520696027444,394.520696027445,394.520696027444,394.520696027444,394.520696027444,394.520696027444,394.520696027444,424.115118303491
528,361.2,358.64,337.93,193.55,132.06,91.95,74.26,63.6,51.15,23.47,47.77,366.912608309407,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,394.680029131,424.274451407048
529,361.28,358.96,337.72,193.8,132.1,91.97,74.34,63.84,51.45,23.33,47.79,367.053515557147,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,394.839283379922,424.433705655969
530,361.46,359.21,337.52,194.04,132.18,92.01,74.55,64.14,51.77,23.37,47.82,367.194345883537,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,394.998458765171,424.592881041218
531,361.61,359.39,337.43,194.3,132.28,92.07,74.72,64.43,51.99,23.28,47.86,367.335099290764,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,395.15755527777,424.751977553817
532,361.73,359.57,337.4,194.47,132.41,92.1,74.86,64.55,52.18,23.13,47.91,367.475775781069,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,395.316572908804,424.910995184851
533,361.83,359.74,337.33,194.63,132.53,92.16,75.04,64.68,52.36,23.16,47.97,367.616375356747,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,395.475511649417,425.069933925464
534,361.9,359.91,337.23,194.76,132.65,92.24,75.25,64.89,52.55,23.14,48.06,367.756898020142,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,395.634371490817,425.228793766864
535,361.97,360.07,337.1,194.87,132.78,92.3,75.45,65.08,52.75,23.17,48.15,367.897343773652,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,395.793152424269,425.387574700316
536,362.08,360.22,337.0,194.97,132.92,92.39,75.6,65.25,52.93,23.07,48.24,368.037712619729,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,395.951854441105,425.546276717152
537,362.2,360.32,336.96,195.14,133.08,92.48,75.76,65.34,53.09,23.18,48.35,368.178004560874,396.110477532712,396.110477532712,396.110477532712,396.110477532713,396.110477532713,396.110477532713,396.110477532713,396.110477532713,396.110477532713,425.70489980876
538,362.37,360.47,336.88,195.43,133.34,92.57,75.91,65.38,53.28,23.33,48.52,368.318219599642,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,396.269021690543,425.86344396659
539,362.55,360.63,336.84,195.56,133.59,92.63,76.03,65.4,53.45,23.5,48.71,368.458357738642,396.427486906108,396.427486906108,396.427486906108,396.427486906109,396.427486906109,396.427486906109,396.427486906109,396.427486906109,396.427486906109,426.021909182156
540,362.65,360.75,336.84,195.72,133.78,92.71,76.11,65.47,53.58,23.45,48.84,368.59841898053,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,396.585873170982,426.180295447029
541,362.74,360.85,336.88,195.93,133.96,92.81,76.22,65.58,53.71,23.64,48.97,368.73840332802,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,396.744180476797,426.338602752844
542,362.82,360.96,336.91,196.15,134.14,92.91,76.34,65.68,53.81,23.77,49.11,368.878310783875,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,396.90240881525,426.496831091297
543,362.89,361.09,336.94,196.46,134.35,93.04,76.49,65.8,53.91,23.79,49.25,369.018141350911,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,397.060558178096,426.654980454143
544,362.97,361.2,337.0,196.78,134.59,93.18,76.63,65.94,54.03,23.84,49.4,369.157895031995,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,397.218628557154,426.813050833201
545,363.05,361.27,337.05,197.05,134.83,93.31,76.73,66.0,54.15,23.77,49.55,369.297571830046,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,397.3766199443,426.971042220347
546,363.14,361.31,337.08,197.16,135.05,93.39,76.81,66.02,54.25,23.71,49.7,369.437171748037,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,397.534532331475,427.128954607522
547,363.28,361.39,337.03,197.35,135.33,93.51,76.97,66.11,54.41,23.67,49.94,369.576694788991,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710679,397.692365710678,397.692365710679,427.286787986725
548,363.43,361.55,336.9,197.6,135.61,93.65,77.24,66.36,54.68,23.46,50.19,369.716140955985,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,397.850120073972,427.444542350019
549,363.51,361.68,336.78,197.9,135.83,93.82,77.41,66.66,54.88,23.34,50.38,369.855510252146,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,398.007795413478,427.602217689525
550,363.58,361.82,336.73,198.21,136.04,94.0,77.62,66.95,55.1,23.26,50.55,369.994802680653,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,398.16539172138,427.759813997427
551,363.66,361.99,336.77,198.52,136.25,94.18,77.87,67.27,55.32,23.29,50.73,370.134018244737,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,398.322908989922,427.917331265969
552,363.75,362.16,336.8,198.84,136.48,94.37,78.04,67.52,55.54,23.44,50.92,370.273156947683,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,398.480347211408,428.074769487455
553,363.87,362.33,336.85,199.06,136.72,94.5,78.24,67.68,55.74,23.46,51.13,370.412218792824,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,398.637706378206,428.232128654253
