Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
759,359.38,358.62,359.26,359.8,359.14,361.18,358.81,359.44,354.08,303.15,313.343361508251,334.704754894431,334.704754894431,334.704754894431,334.704754894431,334.704754894431,334.704754894431,334.704754894431,334.704754894431,334.704754894431,376.647259692722
760,359.37,358.63,359.26,359.83,359.14,361.19,358.97,359.7,354.18,302.9,313.383218755662,334.748968621033,334.748968621033,334.748968621033,334.748968621033,334.748968621033,334.748968621033,334.748968621033,334.748968621033,334.748968621033,376.691473419324
761,359.41,358.73,359.29,359.9,359.16,361.24,359.19,360.02,354.39,302.72,313.42307178674,334.793178262625,334.793178262625,334.793178262625,334.793178262625,334.793178262625,334.793178262625,334.793178262625,334.793178262625,334.793178262625,376.735683060916
762,359.54,358.93,359.39,360.0,359.23,361.29,359.59,360.32,354.82,302.54,313.462920601257,334.837383818808,334.837383818808,334.837383818808,334.837383818808,334.837383818808,334.837383818808,334.837383818808,334.837383818808,334.837383818808,376.779888617099
763,359.7,359.15,359.48,360.12,359.3,361.36,359.96,360.61,355.3,302.38,313.502765198985,334.88158528918,334.88158528918,334.88158528918,334.88158528918,334.88158528918,334.88158528918,334.88158528918,334.88158528918,334.88158528918,376.824090087471
764,359.81,359.3,359.55,360.24,359.36,361.43,360.18,360.86,355.61,302.35,313.542605579696,334.925782673342,334.925782673342,334.925782673342,334.925782673342,334.925782673342,334.925782673342,334.925782673342,334.925782673342,334.925782673342,376.868287471632
765,359.92,359.43,359.6,360.36,359.43,361.49,360.38,361.06,355.9,302.36,313.582441743164,334.969975970892,334.969975970892,334.969975970892,334.969975970892,334.969975970892,334.969975970892,334.969975970892,334.969975970892,334.969975970892,376.912480769183
766,360.03,359.55,359.65,360.43,359.5,361.54,360.58,361.14,356.14,302.42,313.62227368916,335.014165181432,335.014165181432,335.014165181432,335.014165181432,335.014165181432,335.014165181432,335.014165181432,335.014165181432,335.014165181432,376.956669979723
767,360.12,359.65,359.69,360.53,359.56,361.61,360.71,361.27,356.32,302.48,313.662101417457,335.058350304561,335.058350304561,335.058350304561,335.058350304561,335.058350304561,335.058350304561,335.058350304561,335.058350304561,335.058350304561,377.000855102852
768,360.18,359.73,359.75,360.62,359.63,361.7,360.82,361.36,356.43,302.51,313.701924927828,335.10253133988,335.10253133988,335.10253133988,335.10253133988,335.10253133988,335.10253133988,335.10253133988,335.10253133988,335.10253133988,377.045036138171
769,360.25,359.82,359.81,360.7,359.71,361.8,360.91,361.41,356.48,302.51,313.741744220048,335.14670828699,335.14670828699,335.14670828699,335.14670828699,335.14670828699,335.14670828699,335.14670828699,335.14670828699,335.14670828699,377.08921308528
770,360.34,359.91,359.88,360.78,359.79,361.88,360.99,361.42,356.36,302.5,313.781559293888,335.190881145489,335.190881145489,335.190881145489,335.190881145489,335.190881145489,335.190881145489,335.190881145489,335.190881145489,335.190881145489,377.13338594378
771,360.48,360.04,359.95,360.87,359.9,361.98,361.1,361.45,356.07,302.57,313.821370149122,335.235049914981,335.235049914981,335.235049914981,335.235049914981,335.235049914981,335.235049914981,335.235049914981,335.235049914981,335.235049914981,377.177554713272
772,360.59,360.16,360.05,360.95,360.01,362.07,361.22,361.51,355.84,302.67,313.861176785525,335.279214595065,335.279214595065,335.279214595065,335.279214595065,335.279214595065,335.279214595065,335.279214595065,335.279214595065,335.279214595065,377.221719393356
773,360.7,360.25,360.12,361.0,360.09,362.14,361.28,361.56,355.77,302.71,313.900979202869,335.323375185344,335.323375185344,335.323375185344,335.323375185344,335.323375185344,335.323375185344,335.323375185344,335.323375185344,335.323375185344,377.265879983635
774,360.8,360.34,360.18,361.07,360.19,362.23,361.35,361.62,355.74,302.76,313.940777400929,335.367531685418,335.367531685418,335.367531685418,335.367531685418,335.367531685418,335.367531685418,335.367531685418,335.367531685418,335.367531685418,377.310036483708
775,360.93,360.41,360.24,361.16,360.27,362.31,361.41,361.71,355.71,302.81,313.98057137948,335.411684094889,335.411684094889,335.411684094889,335.411684094889,335.411684094889,335.411684094889,335.411684094889,335.411684094889,335.411684094889,377.354188893179
