Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
790,367.64,366.94,367.07,367.54,366.82,368.76,366.19,366.4,362.93,328.8,319.976961494743,338.235988837985,338.235988837985,338.235988837985,338.235988837985,338.235988837985,338.235988837985,338.235988837985,338.235988837985,338.235988837985,380.178493636276
791,367.61,366.9,367.04,367.51,366.79,368.75,366.19,366.44,363.01,328.6,320.020032438292,338.283038809614,338.283038809614,338.283038809614,338.283038809614,338.283038809614,338.283038809614,338.283038809614,338.283038809614,338.283038809614,380.225543607905
792,367.57,366.85,367.02,367.49,366.77,368.74,366.17,366.48,363.03,328.49,320.063099611231,338.33008524025,338.33008524025,338.33008524025,338.33008524025,338.33008524025,338.33008524025,338.33008524025,338.33008524025,338.33008524025,380.27259003854
793,367.51,366.8,367.01,367.48,366.75,368.73,366.16,366.45,363.02,328.42,320.106163013238,338.377128129431,338.377128129431,338.377128129431,338.377128129431,338.377128129431,338.377128129431,338.377128129431,338.377128129431,338.377128129431,380.319632927721
794,367.46,366.74,366.99,367.46,366.73,368.71,366.14,366.42,362.97,328.39,320.14922264399,338.424167476696,338.424167476696,338.424167476696,338.424167476696,338.424167476696,338.424167476696,338.424167476696,338.424167476696,338.424167476696,380.366672274986
795,367.37,366.69,366.98,367.45,366.71,368.68,366.13,366.44,362.93,328.34,320.192278503166,338.471203281583,338.471203281583,338.471203281583,338.471203281583,338.471203281583,338.471203281583,338.471203281583,338.471203281583,338.471203281583,380.413708079874
796,367.26,366.64,366.95,367.43,366.7,368.66,366.1,366.5,362.93,328.29,320.235330590444,338.518235543634,338.518235543634,338.518235543634,338.518235543634,338.518235543634,338.518235543634,338.518235543634,338.518235543634,338.518235543634,380.460740341924
797,367.19,366.59,366.91,367.42,366.69,368.63,366.09,366.55,362.95,328.22,320.278378905505,338.565264262384,338.565264262384,338.565264262384,338.565264262384,338.565264262384,338.565264262384,338.565264262384,338.565264262384,338.565264262384,380.507769060675
798,367.12,366.56,366.88,367.4,366.67,368.6,366.06,366.57,362.95,328.09,320.321423448024,338.612289437375,338.612289437375,338.612289437375,338.612289437375,338.612289437375,338.612289437375,338.612289437375,338.612289437375,338.612289437375,380.554794235665
799,367.05,366.51,366.85,367.38,366.62,368.57,366.0,366.56,362.91,327.91,320.364464217684,338.659311068144,338.659311068144,338.659311068144,338.659311068144,338.659311068144,338.659311068144,338.659311068144,338.659311068144,338.659311068144,380.601815866435
