Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
612,359.94,359.37,360.24,360.78,359.9,362.01,358.77,359.11,355.59,330.85,322.346598107413,344.707379405421,344.707598403347,342.463078051269,332.928870144283,324.216781541098,318.02660925491,315.821244548393,315.821244548393,315.821244548393,321.452784653462
613,359.92,359.37,360.23,360.79,359.91,361.99,358.83,359.3,355.56,330.52,322.405575737048,344.77301057887,344.773237930418,342.528078454221,332.982849967216,324.257322779273,318.057636221888,315.849482770912,315.849482770912,315.849482770912,321.48102287598
614,359.92,359.39,360.23,360.81,359.92,361.99,358.94,359.51,355.67,330.24,322.464531949301,344.838619372986,344.838855229416,342.593063419481,333.036827834627,324.297867089169,318.088668514755,315.877727474494,315.877727474494,315.877727474494,321.509267579562
615,359.93,359.42,360.24,360.83,359.94,362.0,359.08,359.66,356.04,329.92,322.52346675265,344.904205795642,344.904450307922,342.658032945401,333.090803735657,324.338414468644,318.119706132803,315.905978656041,315.905978656041,315.905978656041,321.537518761109
616,359.93,359.45,360.24,360.87,359.95,362.01,359.14,359.85,356.48,329.72,322.582380155564,344.969769854716,344.970023173538,342.72298703036,333.144777659459,324.378964915551,318.150749075322,315.93423631246,315.93423631246,315.93423631246,321.565776417529
617,359.94,359.47,360.25,360.9,359.95,362.02,359.16,360.02,356.78,329.62,322.641272166519,345.035311558068,345.035573833816,342.787923627471,333.198749595204,324.419518427729,318.181797341597,315.962500440668,315.962500440668,315.962500440668,321.594040545737
618,359.91,359.47,360.26,360.93,359.96,362.04,359.18,360.15,357.08,329.54,322.700142793989,345.100830913555,345.101102296305,342.852829432648,333.252719532076,324.460075003011,318.21285093091,315.990771037589,315.990771037589,315.990771037589,321.622311142658
619,359.92,359.49,360.27,360.94,359.99,362.04,359.22,360.21,357.3,329.47,322.758992046436,345.166327929042,345.166608568582,342.917719712076,333.306688224569,324.500634639217,318.243909842539,316.019048100155,316.019048100155,316.019048100155,321.650588205223
620,359.92,359.51,360.27,360.96,359.99,362.04,359.25,360.25,357.45,329.38,322.817819932325,345.231802612387,345.232092658208,342.982594464186,333.360656388277,324.541197334157,318.274974075755,316.047331625303,316.047331625303,316.047331625303,321.678871730371
621,359.93,359.52,360.29,360.97,359.99,362.04,359.3,360.31,357.59,329.27,322.876626460125,345.297254971433,345.297554572706,343.047453687401,333.414622520641,324.581763085632,318.306043629827,316.075621609979,316.075621609979,316.075621609979,321.707161715048
