Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
630,359.78,358.95,359.6,360.29,359.45,361.32,358.01,358.55,356.51,346.13,331.43,409.419761231255,416.118364193782,340.395031045103,309.718215681371,302.068497933199,300.429611782346,300.08896187007,300.018415022526,300.003821693544,300.000929533487,300.001208047788
631,359.66,358.9,359.55,360.27,359.43,361.29,358.05,358.6,356.68,346.08,331.25,409.528534785291,416.255340156931,340.473140895882,309.74231055956,302.074030571725,300.430779188005,300.089203772049,300.018465083371,300.003832124518,300.000932217206,300.00121031363
632,359.51,358.87,359.49,360.24,359.39,361.26,358.13,358.63,356.91,346.02,331.06,409.637136499054,416.39216871749,340.551251523067,309.766432331549,302.079572816296,300.431948838836,300.089446146223,300.018515242171,300.00384257609,300.00093490653,300.001212584283
633,359.33,358.85,359.43,360.21,359.35,361.23,358.23,358.64,357.07,345.93,330.98,409.745566732016,416.528850037583,340.629362777496,309.790580961982,302.08512467695,300.433120739308,300.089688993643,300.018565499148,300.003853048306,300.000937601474,300.001214859758
634,359.19,358.82,359.39,360.18,359.34,361.21,358.29,358.67,357.18,345.84,330.95,409.853825841631,416.665384279885,340.70747451073,309.814756415395,302.090686163682,300.434294893895,300.08993231536,300.018615854522,300.003863541215,300.000940302048,300.001217140065
635,359.11,358.76,359.35,360.16,359.3,361.21,358.32,358.7,357.27,345.74,330.96,409.961914187491,416.801771604968,340.785586574583,309.838958656169,302.096257286439,300.435471307076,300.090176112432,300.018666308519,300.003874054862,300.000943008266,300.001219425214
636,359.06,358.72,359.3,360.13,359.28,361.21,358.32,358.75,357.36,345.7,330.98,410.069832123294,416.938012177175,340.86369882194,309.863187648612,302.101838055127,300.436649983334,300.090420385917,300.018716861362,300.003884589295,300.00094572014,300.001221715218
637,359.0,358.67,359.23,360.09,359.27,361.18,358.29,358.78,357.46,345.68,330.99,410.177580010707,417.074106153908,340.941811105474,309.887443356855,302.107428479603,300.437830927156,300.090665136874,300.018767513275,300.003895144563,300.000948437683,300.001224010085
638,358.97,358.65,359.19,360.04,359.23,361.17,358.27,358.79,357.57,345.65,330.99,410.285158197775,417.210053702409,341.019923279563,309.911725744987,302.113028569683,300.439014143034,300.090910366369,300.018818264482,300.003905720712,300.000951160907,300.001226309828
639,358.94,358.6,359.1,359.98,359.19,361.15,358.25,358.78,357.67,345.6,331.0,410.392567041231,417.345854982654,341.098035198288,309.936034776918,302.118638335134,300.440199635463,300.091156075466,300.018869115211,300.00391631779,300.000953889825,300.001228614457
640,358.94,358.55,359.03,359.93,359.15,361.14,358.24,358.8,357.75,345.54,331.06,410.499806899571,417.479925605539,341.177857184861,309.960531231034,302.124051282138,300.441322176613,300.091387931648,300.018917079342,300.00392630808,300.000956457863,300.001230782553
641,358.92,358.48,358.94,359.85,359.07,361.1,358.26,358.82,357.82,345.56,331.24,410.60580245628,417.616171007211,341.256185404669,309.984913181542,302.129665999137,300.442507307957,300.091633518256,300.018967904238,300.003936899389,300.000959185559,300.001233086245
642,358.9,358.43,358.88,359.78,359.01,361.06,358.27,358.85,357.86,345.75,331.5,410.71263496027,417.751477171452,341.334422619254,310.009316527112,302.135289931061,300.443694722516,300.091879577765,300.019018826488,300.003947511505,300.000961918879,300.00123539476
643,358.89,358.41,358.85,359.73,358.96,361.04,358.26,358.86,357.86,345.9,331.7,410.819299034016,417.886637116904,341.41265996643,310.03374680052,302.140923422801,300.444884356426,300.092126103164,300.019069845366,300.003958143944,300.000964657731,300.001237708022
644,358.88,358.37,358.83,359.7,358.91,361.0,358.23,358.85,357.89,346.08,331.93,410.925795032892,418.021651004146,341.490897297512,310.058203968651,302.146569431518,300.446076213806,300.092373095395,300.019120961072,300.003968796746,300.000967402126,300.001240026042
645,358.86,358.34,358.8,359.67,358.87,360.98,358.19,358.85,357.95,346.25,332.18,411.032123305319,418.156518998397,341.56913446492,310.082687998287,302.15224178741,300.447270298781,300.092620555404,300.019172173805,300.003979469954,300.000970152076,300.001242348828
