Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,362.26,356.75,333.6,191.41,130.95,87.39,69.53,57.24,46.39,-0.74,43.65,374.821639573987,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,458.573068505024
1,362.52,357.01,333.79,191.54,130.96,87.36,69.71,57.47,46.53,-5.46,43.64,374.958167319726,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,458.72781498247
2,363.03,357.81,334.2,191.66,131.02,87.29,69.98,57.7,46.8,0.17,43.69,375.094618351648,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,458.882482181831
3,363.51,358.71,334.55,191.85,131.19,87.49,70.3,58.02,47.11,-0.52,43.77,375.230992674881,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,459.037070097597
4,363.79,359.29,334.67,192.31,131.36,87.59,70.58,58.41,47.36,0.53,43.84,375.367290294604,404.249926563367,404.249926563367,404.249926563367,404.249926563367,404.249926563367,404.249926563367,404.249926563367,404.249926563367,404.249926563367,459.191578724316
5,364.09,359.85,334.78,192.82,131.57,87.81,70.85,58.83,47.66,1.12,43.94,375.503511216047,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,459.3460080566
6,364.38,360.44,334.88,193.23,131.8,87.96,71.15,59.2,47.98,1.25,44.06,375.639655444489,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,459.500358089119
7,364.72,361.08,334.99,193.61,132.06,88.06,71.41,59.56,48.3,0.73,44.19,375.775722985261,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,459.654628816606
8,365.08,361.7,335.15,193.85,132.32,88.13,71.72,59.79,48.61,3.23,44.37,375.911713843742,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,459.80882023385
9,365.46,362.19,335.4,193.58,132.57,88.36,72.06,60.14,48.91,1.21,44.55,376.047628025366,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,459.962932335705
10,365.82,362.69,335.74,194.34,132.82,88.48,72.36,60.28,49.17,1.6,44.73,376.183465535613,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,460.116965117081
11,366.18,363.14,336.06,194.48,133.08,88.79,72.66,60.6,49.41,-2.21,44.94,376.319226380017,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,460.270918572952
12,366.68,363.74,336.4,194.61,133.49,89.25,73.11,60.94,49.79,1.18,45.29,376.454910564158,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,460.42479269835
13,367.09,364.23,336.75,195.2,133.88,89.2,73.6,61.09,50.17,-4.48,45.66,376.59051809367,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,460.578587488367
14,367.28,364.45,337.02,195.78,134.12,89.22,73.88,61.33,50.44,-4.92,45.95,376.726048974238,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,460.732302938158
15,367.47,364.68,337.35,195.86,134.38,89.49,74.14,61.46,50.71,-4.64,46.24,376.861503211593,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,460.885939042934
16,367.6,365.0,337.73,196.27,134.67,89.71,74.41,61.67,50.96,-2.48,46.55,376.996880811519,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,461.039495797969
17,367.69,365.28,338.14,196.74,134.94,89.89,74.76,62.01,51.24,-3.79,46.89,377.132181779851,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,461.192973198597
18,367.65,365.49,338.53,197.36,135.21,90.21,75.12,62.45,51.53,0.88,47.23,377.267406122472,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,461.346371240211
19,367.7,365.62,338.88,197.88,135.51,90.54,75.47,62.81,51.83,-3.04,47.61,377.402553845317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,461.499689918265
20,367.68,365.7,339.35,198.24,135.99,90.71,75.99,63.05,52.29,-2.59,48.18,377.537624954369,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,461.652929228273
21,367.52,365.81,339.69,198.86,136.52,91.01,76.49,63.47,52.8,-4.93,48.81,377.672619455663,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,461.806089165808
22,367.42,365.99,339.93,199.22,136.85,91.17,76.81,63.78,53.15,-4.1,49.24,377.807537355283,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,461.959169726504
23,367.32,366.1,340.15,199.78,137.15,91.41,77.15,64.06,53.49,-4.54,49.69,377.942378659363,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,462.112170906056
24,367.17,366.13,340.42,200.24,137.44,91.69,77.46,64.36,53.82,-5.36,50.16,378.077143374088,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,462.265092700217
25,367.05,366.11,340.72,200.69,137.74,91.97,77.78,64.7,54.16,-5.06,50.63,378.211831505692,407.476282943852,407.476282943852,407.476282943852,407.476282943852,407.476282943852,407.476282943852,407.476282943852,407.476282943852,407.476282943852,462.417935104801
26,367.05,366.22,341.03,201.13,138.06,92.34,78.07,65.1,54.49,-3.7,51.12,378.346443060457,407.629045954733,407.629045954733,407.629045954733,407.629045954733,407.629045954733,407.629045954733,407.629045954733,407.629045954733,407.629045954733,462.570698115682
27,367.06,366.36,341.27,201.48,138.42,92.62,78.36,65.39,54.83,-4.39,51.63,378.480978044719,407.781729567845,407.781729567845,407.781729567845,407.781729567845,407.781729567845,407.781729567845,407.781729567845,407.781729567845,407.781729567845,462.723381728793
28,367.07,366.51,341.47,201.79,138.76,92.96,78.63,65.63,55.15,-1.81,52.15,378.615436464859,407.934333779181,407.934333779181,407.934333779181,407.934333779181,407.934333779181,407.934333779181,407.934333779181,407.934333779181,407.934333779181,462.875985940129
29,367.13,366.62,341.62,202.13,139.08,93.07,78.91,65.77,55.44,-3.5,52.67,378.749818327313,408.086858584794,408.086858584794,408.086858584794,408.086858584794,408.086858584794,408.086858584794,408.086858584794,408.086858584794,408.086858584794,463.028510745743
30,367.37,366.67,341.91,202.52,139.59,93.38,79.34,66.12,55.9,-3.17,53.49,378.884123638563,408.239303980799,408.239303980799,408.239303980799,408.239303980799,408.239303980799,408.239303980799,408.239303980799,408.239303980799,408.239303980799,463.180956141748
31,367.53,366.63,342.28,202.99,140.15,93.71,79.6,66.42,56.35,-3.16,54.3,379.018352405141,408.391669963369,408.391669963369,408.391669963369,408.391669963369,408.391669963369,408.391669963369,408.391669963369,408.391669963369,408.391669963369,463.333322124318
32,367.56,366.7,342.52,203.5,140.56,94.04,79.81,66.71,56.65,-3.66,54.84,379.15250463363,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,463.485608689685
33,367.64,366.77,342.73,203.88,140.97,94.42,80.04,67.04,56.96,-4.35,55.39,379.286580330661,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,463.637815834144
34,367.74,366.89,342.88,204.36,141.39,94.76,80.28,67.36,57.29,-2.77,55.97,379.420579502917,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,463.789943554046
35,367.88,366.96,342.93,204.68,141.79,95.06,80.53,67.56,57.6,-3.06,56.54,379.554502157128,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,463.941991845803
36,368.0,366.93,342.97,204.86,142.18,95.32,80.82,67.66,57.92,-2.3,57.14,379.688348300074,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,464.09396070589
37,368.12,366.89,343.06,205.06,142.54,95.65,81.11,67.94,58.21,-3.13,57.74,379.822117938586,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,464.245850130836
38,368.37,366.89,343.19,205.39,142.91,95.56,81.39,68.1,58.52,-1.29,58.35,379.955811079544,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,464.397660117235
39,368.71,367.07,343.47,205.82,143.48,96.23,81.82,68.35,58.96,-2.47,59.28,380.089427729874,409.607738500788,409.607738500788,409.607738500788,409.607738500788,409.607738500788,409.607738500788,409.607738500788,409.607738500788,409.607738500788,464.549390661736
40,368.94,367.11,343.72,206.29,144.06,96.61,82.3,68.66,59.43,-1.72,60.21,380.222967896557,409.759389600104,409.759389600104,409.759389600104,409.759389600104,409.759389600104,409.759389600104,409.759389600104,409.759389600104,409.759389600104,464.701041761052
41,369.11,367.1,343.84,206.8,144.45,97.0,82.62,69.03,59.74,-1.7,60.84,380.356431586619,409.910961251005,409.910961251005,409.910961251005,409.910961251005,409.910961251005,409.910961251005,409.910961251005,409.910961251005,409.910961251005,464.852613411953
