Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,362.8,357.98,314.99,171.95,117.7,79.99,63.38,52.48,42.52,13.44,40.29,375.503511216047,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,459.3460080566
1,363.1,358.21,315.03,171.97,117.66,80.11,63.45,52.76,42.53,19.56,40.28,375.639655444489,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,459.500358089119
2,363.51,358.59,315.2,171.97,117.67,80.11,63.58,52.67,42.58,13.81,40.29,375.775722985261,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,459.654628816606
3,363.95,359.04,315.48,172.02,117.73,80.0,63.78,52.96,42.72,11.36,40.33,375.911713843742,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,459.80882023385
4,364.36,359.51,315.75,172.37,117.82,80.09,64.0,53.19,42.87,13.91,40.38,376.047628025366,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,459.962932335705
5,364.71,360.02,315.97,172.71,117.94,80.15,64.23,53.51,43.06,17.33,40.46,376.183465535613,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,460.116965117081
6,365.02,360.53,316.21,173.15,118.07,80.36,64.46,53.7,43.27,19.06,40.57,376.319226380017,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,460.270918572952
7,365.29,361.01,316.4,173.37,118.2,80.4,64.68,53.93,43.48,15.1,40.67,376.454910564158,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,460.42479269835
8,365.63,361.65,316.73,173.86,118.45,80.41,65.07,53.99,43.81,19.23,40.89,376.59051809367,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,460.578587488367
9,365.9,362.21,317.1,174.1,118.72,80.68,65.4,54.41,44.15,19.14,41.11,376.726048974238,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,460.732302938158
10,366.06,362.53,317.4,174.41,118.92,80.86,65.67,54.7,44.36,21.44,41.29,376.861503211593,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,460.885939042934
11,366.2,362.84,317.7,174.62,119.11,80.98,65.96,54.94,44.6,22.23,41.48,376.996880811519,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,461.039495797969
12,366.32,363.11,317.97,174.94,119.33,81.02,66.24,55.11,44.83,21.83,41.69,377.132181779851,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,461.192973198597
13,366.45,363.39,318.15,175.21,119.53,81.03,66.49,55.28,45.07,17.36,41.92,377.267406122472,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,461.346371240211
14,366.55,363.66,318.32,175.6,119.78,81.18,66.72,55.5,45.3,17.96,42.16,377.402553845317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,461.499689918265
15,366.66,363.91,318.51,175.96,120.03,81.38,66.92,55.73,45.51,11.42,42.4,377.537624954369,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,461.652929228273
16,366.81,364.14,318.7,176.56,120.32,81.55,67.16,56.12,45.74,21.2,42.68,377.672619455663,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,461.806089165808
17,367.06,364.45,318.97,176.72,120.74,81.77,67.51,56.27,46.07,13.93,43.12,377.807537355283,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,461.959169726504
18,367.14,364.69,319.36,176.96,121.15,81.71,67.86,56.48,46.4,17.31,43.58,377.942378659363,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,462.112170906056
19,367.13,364.81,319.52,177.16,121.41,81.91,68.07,56.6,46.61,15.86,43.93,378.077143374088,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,462.265092700217
