Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,361.68,358.91,337.72,188.4,126.56,84.19,66.33,53.88,42.45,-2.54,39.99,0.0,,,,,,,,,,
1,361.63,358.7,337.42,188.33,126.54,84.15,66.29,53.93,42.41,-0.82,39.94,0.0,,,,,,,,,,
2,361.61,358.57,337.19,188.32,126.54,84.07,66.29,54.06,42.43,-2.66,39.89,0.0,,,,,,,,,,
3,361.56,358.59,336.93,188.31,126.58,84.06,66.33,54.18,42.57,-3.64,39.85,0.0,,,,,,,,,,
4,361.5,358.7,336.73,188.34,126.67,84.03,66.41,54.34,42.77,-2.66,39.83,0.0,,,,,,,,,,
5,361.48,358.84,336.57,188.47,126.74,84.06,66.54,54.56,42.96,-2.55,39.82,0.0,,,,,,,,,,
6,361.46,358.96,336.34,188.62,126.85,84.1,66.72,54.84,43.18,-2.27,39.84,0.0,,,,,,,,,,
7,361.45,359.05,336.22,188.77,126.94,84.13,66.93,55.08,43.41,-2.84,39.88,0.0,,,,,,,,,,
8,361.45,359.12,336.17,188.74,127.01,84.16,67.14,55.37,43.64,-1.81,39.94,0.0,,,,,,,,,,
9,361.47,359.2,336.19,188.72,127.06,84.18,67.33,55.61,43.89,-2.51,40.0,0.0,,,,,,,,,,
10,361.49,359.3,336.18,188.69,127.11,84.26,67.47,55.86,44.14,-1.9,40.08,0.0,,,,,,,,,,
11,361.53,359.42,336.17,188.71,127.19,84.34,67.61,56.04,44.37,-1.34,40.17,0.0,,,,,,,,,,
12,361.6,359.56,336.09,188.94,127.39,84.44,67.83,56.2,44.71,-1.16,40.34,0.0,,,,,,,,,,
13,361.68,359.68,335.91,189.13,127.63,84.56,68.07,56.38,45.01,0.11,40.51,0.0,,,,,,,,,,
14,361.75,359.77,335.78,189.41,127.83,84.71,68.26,56.63,45.22,-0.44,40.63,0.0,,,,,,,,,,
15,361.8,359.86,335.62,189.8,128.04,84.9,68.42,56.83,45.41,0.36,40.77,0.0,,,,,,,,,,
16,361.88,359.94,335.48,190.05,128.26,85.02,68.6,56.98,45.59,0.47,40.91,0.0,,,,,,,,,,
