Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,361.07,359.0,340.56,196.77,133.46,90.18,71.73,59.8,47.67,349.32,44.89,343.78641870972,368.653432962353,368.291242363045,360.248265227651,347.890893647695,336.207627175316,327.551425419912,323.157746322098,322.837359807953,322.837359807953,326.428355860437
1,361.0,358.87,340.36,196.61,133.38,90.16,71.77,59.87,47.69,350.06,44.86,344.01257998768,368.907221310034,368.546347252667,360.493585725392,348.108616753185,336.391203013908,327.706074318089,323.297420619324,322.97599606158,322.97599606158,326.566992114064
2,360.93,358.72,340.15,196.53,133.32,90.17,71.9,60.17,47.79,351.45,44.83,344.23828695554,369.160532542831,368.801009187146,360.73859735644,348.326216857796,336.574833915898,327.860904442486,323.437334089343,323.114875348044,323.114875348044,326.705871400528
3,360.85,358.56,339.93,196.52,133.28,90.19,72.06,60.42,47.98,352.28,44.83,344.463540997308,369.413368003943,369.055229314637,360.983300590889,348.543693602975,336.758518984466,328.015914752503,323.577485719565,323.253996659202,323.253996659202,326.844992711686
4,360.77,358.38,339.75,196.56,133.28,90.27,72.29,60.83,48.21,353.31,44.84,344.688343495145,369.665729031227,369.309008773707,361.227695896129,348.761046634404,336.942257328208,328.171104209405,323.717874496161,323.393358985426,323.393358985426,326.98435503791
5,360.66,358.19,339.62,196.6,133.34,90.36,72.52,61.21,48.46,354.17,44.87,344.912695822481,369.917616958051,369.56234870428,361.471783742224,348.978275604297,337.12604806201,328.326471776681,323.858499404262,323.532961315799,323.532961315799,327.123957368282
6,360.56,358.1,339.51,196.64,133.42,90.47,72.79,61.56,48.74,354.72,44.92,345.13659935691,370.169033111796,369.815250227322,361.715564591766,349.195380166796,337.309890305195,328.48201641942,323.999359427768,323.672802637945,323.672802637945,327.263798690428
7,360.47,358.1,339.42,196.65,133.51,90.58,73.03,61.78,48.99,355.32,44.99,345.360055458429,370.419978816656,370.067714479762,361.959038917392,349.412359985805,337.493783184657,328.637737105481,324.140453549891,323.812881938536,323.812881938536,327.403877991019
8,360.4,358.12,339.23,196.74,133.69,90.72,73.36,62.04,49.33,355.45,45.11,345.583065500381,370.670455389639,370.319742564727,362.202207176565,349.629214723411,337.677725830097,328.793632803774,324.281780752469,323.953198202672,323.953198202672,327.544194255156
9,360.33,358.13,339.08,196.87,133.91,90.85,73.67,62.25,49.62,355.77,45.24,345.805630831454,370.920464145499,370.571335612743,362.445069842532,349.845944053931,337.861717379742,328.949702486405,324.423340016944,324.093750414783,324.093750414783,327.684746467267
10,360.28,358.14,339.11,196.95,134.05,90.99,73.83,62.32,49.76,356.26,45.33,346.02775281561,371.17000639184,370.822494718032,362.687627372119,350.062547649208,338.045756974343,329.105945126516,324.565130323495,324.234537557848,324.234537557848,327.825533610332
11,360.24,358.15,339.19,196.91,134.18,91.1,73.96,62.39,49.89,356.59,45.43,346.249432799748,371.419083432973,371.073220989855,362.929880231518,350.279025190173,338.229843761798,329.262359699983,324.707150651801,324.375558614097,324.375558614097,327.96655466658
12,360.2,358.16,339.28,196.9,134.32,91.17,74.1,62.49,50.01,356.91,45.53,346.477840186057,371.669156839123,371.312135399752,363.166043005757,350.492726167762,338.412889446284,329.418538799031,324.849223557436,324.516651006649,324.516651006649,328.107647059132
13,360.16,358.18,339.33,196.9,134.43,91.3,74.25,62.62,50.13,357.56,45.64,346.710479010638,371.930187378642,371.543203583178,363.398099873651,350.70454135748,338.595250178976,329.574610660621,324.991401858334,324.657862693428,324.657862693428,328.248858745912
14,360.12,358.18,339.32,196.89,134.54,91.42,74.39,62.75,50.25,358.08,45.73,346.917798503717,372.162855872789,371.813357822682,363.649989546256,350.925477589751,338.781462405713,329.732279775204,325.134430320543,324.799876372248,324.799876372248,328.390872424732
15,360.1,358.21,339.27,196.89,134.66,91.57,74.54,62.93,50.38,358.47,45.84,347.138049184248,372.410054607529,372.061854253495,363.890758708675,351.141318290403,338.965673362424,329.88934937725,325.277349894553,324.941813033279,324.941813033279,328.532809085763
16,360.06,358.22,339.21,196.91,134.8,91.71,74.71,63.12,50.52,358.89,45.97,347.357865122289,372.656795174677,372.309922955741,364.131224389108,351.357030334557,339.14992659492,330.046585394842,325.42049410206,325.083978238998,325.083978238998,328.674974291481
17,360.03,358.29,339.22,196.93,135.02,91.8,74.94,63.21,50.74,359.1,46.16,347.577247621956,372.903078849181,372.557565026539,364.371387062925,351.572613435282,339.334221282659,330.203986814763,325.563861916748,325.226370964316,325.226370964316,328.8173670168
18,360.01,358.36,339.25,197.06,135.23,91.96,75.24,63.44,51.0,359.48,46.36,347.796197982193,373.148906901622,372.804781560018,364.611247205719,351.788067310262,339.518556610345,330.36155262609,325.707452311978,325.368990183619,325.368990183619,328.959986236103
19,360.0,358.41,339.29,197.16,135.37,92.12,75.47,63.74,51.18,359.81,46.5,348.014717499474,373.394280597812,373.051573642762,364.850805290826,352.003391680501,339.702931767311,330.519281819976,325.851264260728,325.511834870707,325.511834870707,329.10283092319
20,359.99,358.45,339.32,197.23,135.5,92.31,75.71,64.03,51.39,360.28,46.66,348.232807464973,373.639201199238,373.297942358608,365.090061791838,352.218586271485,339.887345948017,330.677173389884,325.995296735756,325.65490399896,325.65490399896,329.245900051443
21,359.97,358.5,339.41,197.28,135.62,92.5,75.95,64.33,51.6,361.08,46.82,348.450469167031,373.883669962798,373.543888784743,365.329017180533,352.433650812114,340.07179835155,330.835226331407,326.139548709552,325.7981965413,325.7981965413,329.389192593783
22,359.95,358.55,339.5,197.28,135.74,92.71,76.19,64.51,51.8,361.78,46.99,348.667703888287,374.127688141164,373.789413996355,365.567671929293,352.648585035835,340.256288182113,330.993439642503,326.284019154501,325.941711470345,325.941711470345,329.532707522828
23,359.92,358.59,339.59,197.27,135.85,92.9,76.4,64.66,51.97,362.25,47.17,348.884512909016,374.37125698238,374.034519061257,365.806026508193,352.863388679112,340.440814648295,331.15181232321,326.428707042788,326.085447758327,326.085447758327,329.676443810811
24,359.91,358.64,339.7,197.2,135.97,93.08,76.64,64.82,52.12,362.58,47.35,349.100897504726,374.614377730291,374.279205044067,366.0440813873,353.078061482583,340.625376963611,331.310343375922,326.573611346583,326.229404377277,326.229404377277,329.82040042976
25,359.89,358.67,339.85,197.11,136.06,93.24,76.8,64.95,52.3,363.07,47.54,349.316858947911,374.857051624227,374.523473003134,366.281837034871,353.292603190015,340.809974345955,331.469031805154,326.718731037946,326.373580298934,326.373580298934,329.964576351418
26,359.85,358.74,340.07,197.08,136.2,93.34,77.04,65.06,52.52,363.58,47.81,349.532398505203,375.099279899418,374.767323995301,366.519293919908,353.507013549528,340.994606018143,331.627876617809,326.864065089024,326.51797449494,326.51797449494,330.108970547423
27,359.81,358.8,340.26,197.02,136.35,93.51,77.27,65.25,52.79,364.56,48.09,349.747517441103,375.34106378667,375.010759070159,366.756452509158,353.721292312136,341.179271207274,331.786876822956,327.009612471979,326.662585936775,326.662585936775,330.253581989258
28,359.79,358.85,340.4,197.03,136.49,93.68,77.41,65.42,52.94,365.6,48.28,349.962217015207,375.582404512601,375.253779274297,366.99331326923,353.935439232637,341.363969145049,331.94603143195,327.155372159071,326.807413595844,326.807413595844,330.398409648328
29,359.75,358.88,340.56,197.1,136.64,93.87,77.53,65.5,53.05,366.2,48.47,350.176498484074,375.82330329953,375.496385648537,367.229876665192,354.149454068953,341.54869906751,332.105339458394,327.30134312271,326.952456443531,326.952456443531,330.543452496015
30,359.73,358.92,340.74,197.12,136.81,94.04,77.61,65.57,53.16,366.71,48.66,350.390363097794,376.063761365859,375.738579233424,367.466143163389,354.363336583371,341.733460215506,332.264799918299,327.447524335536,327.097713451273,327.097713451273,330.688709503757
31,359.72,358.97,340.97,197.22,137.0,94.23,77.74,65.78,53.32,367.39,48.86,350.603812107228,376.303779925315,375.980361057729,367.702113225375,354.577086539612,341.918251833434,332.424411829646,327.593914770278,327.243183590444,327.243183590444,330.834179642928
32,359.68,359.01,341.16,197.39,137.15,94.41,77.97,66.08,53.52,368.04,49.05,350.816846754031,376.543360188002,376.22171541649,367.937782918958,354.790704212867,342.10307488532,332.584175618307,327.740513849004,327.388865832664,327.388865832664,330.979861885148
33,359.66,359.06,341.36,197.52,137.29,94.53,78.21,66.24,53.74,368.64,49.26,351.029468280239,376.782503359561,376.462534956136,368.17312415384,355.00419260606,342.287939728647,332.744099426228,327.88732345858,327.534759149588,327.534759149588,331.125755202071
34,359.63,359.1,341.56,197.7,137.4,94.69,78.45,66.45,53.95,369.58,49.47,351.241677921142,377.021210641766,376.702944855441,368.408169947364,355.217547704261,342.472832906809,332.904171870678,328.03433924827,327.680862513132,327.680862513132,331.271858565616
35,359.59,359.17,341.86,197.89,137.5,94.84,78.7,66.62,54.28,370.24,49.79,351.453476910427,377.259483232137,376.94294613407,368.642920760255,355.430769284246,342.657753680851,333.064391978515,328.181560192044,327.827174895366,327.827174895366,331.41817094785
36,359.56,359.24,342.18,198.06,137.63,94.98,78.97,66.79,54.62,370.53,50.13,351.664866475474,377.497322324386,377.182539811469,368.87737705445,355.643857126859,342.842701316382,333.224758779067,328.328985264383,327.973695268708,327.973695268708,331.564691321192
37,359.53,359.29,342.43,198.26,137.75,95.14,79.09,67.01,54.83,370.77,50.36,351.87584784167,377.734729108022,377.421726900036,369.111539289447,355.856811015199,343.027675082763,333.385271303809,328.476613440148,328.120422605813,328.120422605813,331.711418658296
38,359.51,359.33,342.7,198.38,137.9,95.31,79.17,67.19,55.0,371.14,50.57,352.086422230232,377.971704768633,377.660508408748,369.345407924249,356.069630735542,343.21267425351,333.545928586562,328.624443694722,328.267355879709,328.267355879709,331.858351932193
39,359.48,359.38,342.98,198.46,138.05,95.5,79.26,67.36,55.16,371.59,50.8,352.296590857906,378.208250487873,377.898885343548,369.578983417495,356.282316077319,343.397698106233,333.70672966347,328.772475004023,328.414494063818,328.414494063818,332.005490116301
40,359.45,359.42,343.27,198.5,138.18,95.62,79.4,67.45,55.3,371.97,51.02,352.506354937984,378.44436744346,378.136858705927,369.812266226744,356.494866832763,343.582745922485,333.86767357297,328.920706344527,328.561836131974,328.561836131974,332.152832184458
41,359.43,359.46,343.57,198.55,138.28,95.75,79.54,67.61,55.47,372.62,51.26,352.715715679889,378.68005680916,378.374429493463,370.045256808669,356.707282796916,343.767816987719,334.028759355781,329.069136693296,328.709381058461,328.709381058461,332.300377110944
42,359.41,359.51,343.86,198.66,138.35,95.9,79.66,67.73,55.62,373.19,51.48,352.92467428917,378.915319754894,378.611598700073,370.27795561927,356.919563767763,343.95291059138,334.189986054987,329.217765028061,328.857127818093,328.857127818093,332.448123870577
43,359.37,359.55,344.15,198.72,138.45,96.05,79.78,67.86,55.74,373.71,51.71,353.13323196629,379.150157446799,378.848367317814,370.510363114703,357.131709546481,344.138026026908,334.351352716005,329.366590327214,329.005075386211,329.005075386211,332.596071438695
44,359.34,359.61,344.59,198.73,138.6,96.21,79.95,67.97,55.92,374.14,52.04,353.3413899115,379.384571046861,379.084736329313,370.74247974731,357.343719935578,344.32316259098,334.51285838634,329.51561156974,329.153222738621,329.153222738621,332.744218791105
45,359.3,359.68,345.03,198.76,138.8,96.31,80.13,68.03,56.09,374.26,52.37,353.549149318391,379.618561713517,379.320706718043,370.974305971057,357.555594741443,344.508319584585,334.674502116031,329.664827735474,329.301568851845,329.301568851845,332.892564904329
46,359.27,359.71,345.32,198.92,138.93,96.48,80.34,68.24,56.25,374.47,52.58,353.756511375812,379.852130601469,379.556279465259,371.205842239896,357.767333773542,344.693496312658,334.836282957513,329.814237805046,329.45011270307,329.45011270307,333.041108755554
47,359.24,359.74,345.62,199.16,139.07,96.67,80.55,68.52,56.42,374.72,52.79,353.963477274091,380.085278861193,379.791455540236,371.437089002445,357.978936841692,344.878692082804,334.99819996508,329.963840759643,329.598853269928,329.598853269928,333.189849322411
48,359.21,359.78,345.91,199.44,139.24,96.89,80.8,68.87,56.64,374.92,53.02,354.170048191946,380.318007640074,380.026235921025,371.668046713221,358.190403761653,345.06390620785,335.160252196013,330.113635581621,329.747789531076,329.747789531076,333.33878558356
49,359.18,359.82,346.22,199.79,139.43,97.11,81.03,69.24,56.9,375.31,53.25,354.376225310781,380.550318081222,380.2606215719,371.89871582042,358.401734349002,345.249138003031,335.322438709383,330.263621253918,329.89692046565,329.89692046565,333.487916518134
50,359.16,359.86,346.51,200.15,139.61,97.32,81.23,69.5,57.13,375.84,53.48,354.590074287272,380.784069239317,380.481924458832,372.122237911127,358.609545424833,345.432868907292,335.484120958944,330.413472916341,330.045938907055,330.045938907055,333.636934959539
51,359.13,359.89,346.8,200.51,139.78,97.53,81.41,69.72,57.35,376.45,53.7,354.80665163105,381.027774085739,380.697922375683,372.342789385886,358.815880431744,345.616006537793,335.645674934506,330.563378468559,330.195022206968,330.195022206968,333.786018259452
52,359.1,359.92,347.04,200.82,139.94,97.71,81.61,69.93,57.55,376.95,53.91,354.998991853078,381.244244293288,380.951065557791,372.583381745362,359.0321268279,345.803679836133,335.809265209681,330.714442604643,330.345215134679,330.345215134679,333.936211187162
53,359.06,359.98,347.42,201.11,140.11,97.88,81.94,70.13,57.85,377.26,54.24,355.203901775675,381.474876084978,381.183420136621,372.812641420799,359.24277640658,345.98891221828,335.971951106899,330.865166104215,330.495099901446,330.495099901446,334.08609595393
54,359.02,360.05,347.78,201.3,140.22,97.98,82.23,70.24,58.13,377.54,54.59,355.40842374018,381.705095699561,381.415385050531,373.041614136506,359.453288019484,346.174158299834,336.134766210891,331.016075086267,330.645173960939,330.645173960939,334.236170013423
55,358.99,360.09,348.02,201.56,140.3,98.12,82.33,70.43,58.31,377.72,54.81,355.612558888393,381.934904256352,381.646961262437,373.27030035097,359.663661505232,346.359417420225,336.297709594522,331.167168538124,330.795436295926,330.795436295926,334.386432348409
56,358.96,360.14,348.28,201.87,140.43,98.29,82.42,70.58,58.5,377.75,55.05,355.816308358154,382.164302871044,381.878149732241,373.498700522048,359.873896704859,346.544688922371,336.460780333015,331.318445448174,330.945885890138,330.945885890138,334.536881942621
57,358.93,360.19,348.54,202.19,140.6,98.46,82.49,70.67,58.65,377.9,55.28,356.019673284173,382.393292655709,382.108951415681,373.72681510634,360.083993461462,346.729972152507,336.62397750391,331.469904805892,331.096521728283,331.096521728283,334.687517780766
58,358.92,360.23,348.83,202.37,140.77,98.62,82.54,70.71,58.78,378.19,55.52,356.222654797144,382.621874718882,382.339367265766,373.954644559996,360.293951620631,346.91526646039,336.787300187173,331.621545601909,331.247342796126,331.247342796126,334.83833884861
59,358.89,360.27,349.1,202.53,140.93,98.8,82.65,70.92,58.93,378.45,55.75,356.425254025125,382.850050165472,382.569398230625,374.182189337496,360.503771029763,347.100571198953,336.950747465052,331.773366827976,331.39834808045,331.39834808045,334.989344132934
60,358.86,360.3,349.37,202.77,141.12,98.99,82.83,71.18,59.11,378.87,55.98,356.627472091371,383.077820096938,382.799045256953,374.409449893499,360.713451538928,347.285885724661,337.114318422225,331.925367477045,331.549536569139,331.549536569139,335.140532621623
61,358.84,360.35,349.65,202.85,141.3,99.12,82.95,71.29,59.29,379.15,56.21,356.82931011666,383.305185611173,383.028309286482,374.636426680969,360.922992999979,347.471209397147,337.2780121457,332.077546543272,331.700907251186,331.700907251186,335.291903303669
62,358.8,360.41,350.06,202.88,141.55,99.3,83.09,71.3,59.48,379.44,56.56,357.030769217723,383.532147802561,383.257191258303,374.86312015233,361.132395267007,347.656541579329,337.441827724824,332.229903022005,331.852459116678,331.852459116678,335.443455169162
63,358.75,360.46,350.46,203.01,141.79,99.47,83.27,71.34,59.63,379.65,56.89,357.231850508175,383.758707762004,383.485609821505,375.089530758882,361.341658196116,347.841881637375,337.605764251331,332.382435909872,332.00419115689,332.00419115689,335.595187209374
64,358.73,360.51,350.71,203.17,141.98,99.65,83.43,71.4,59.73,379.82,57.12,357.432555097376,383.984866576985,383.713557848344,375.315658951662,361.550781645732,348.027228940753,337.769820819334,332.535144204774,332.156102364278,332.156102364278,335.747098416762
65,358.71,360.55,350.96,203.35,142.17,99.83,83.6,71.52,59.82,379.93,57.32,357.632884092326,384.210625331461,383.941125787658,375.541505179853,361.759765475821,348.212582861895,337.933996525208,332.688026905852,332.308191732452,332.308191732452,335.899187784935
66,358.69,360.59,351.22,203.46,142.34,100.0,83.71,71.58,59.9,380.38,57.53,357.83283859571,384.435985106021,384.168314570544,375.767069892524,361.968609548766,348.397942776604,338.098290467795,332.841083013628,332.460458256307,332.460458256307,336.051454308791
67,358.67,360.64,351.47,203.61,142.48,100.16,83.75,71.54,59.97,381.14,57.72,358.032419706949,384.660946977811,384.395125124482,375.992353537639,362.17731372877,348.583308063718,338.262701748236,332.99431152992,332.612900931956,332.612900931956,336.20389698444
68,358.65,360.68,351.72,203.72,142.65,100.26,83.76,71.54,60.01,381.48,57.9,358.231628522258,384.885512020576,384.621558373351,376.217356562094,362.385877881897,348.768678105149,338.427229470021,333.147711457906,332.765518756782,332.765518756782,336.356514809266
69,358.63,360.72,351.96,203.93,142.81,100.41,83.76,71.55,60.07,381.68,58.09,358.430466134106,385.109681304696,384.847615238298,376.44207941216,362.594301876244,348.954052285931,338.591872739014,333.30128180215,332.918310729473,332.918310729473,336.509306781957
70,358.6,360.76,352.19,204.25,142.99,100.57,83.86,71.72,60.15,381.95,58.26,358.628933631269,385.333455897202,385.073296637677,376.666478332773,362.802585581926,349.139429994212,338.756630663457,333.455021568622,333.071275850042,333.071275850042,336.662271902526
71,358.57,360.84,352.56,204.62,143.31,100.77,84.05,71.87,60.32,382.19,58.53,358.827032100144,385.556836861708,385.298603485022,376.890591754558,363.010728870444,349.324810620943,338.921502353856,333.60892976467,333.224413119801,333.224413119801,336.815409172285
72,358.54,360.9,352.92,204.92,143.64,100.96,84.27,72.03,60.5,382.4,58.8,359.024762622448,385.779825258585,385.523536692738,377.114425968098,363.21873161567,349.510193560291,339.086486923141,333.763005399104,333.377721541443,333.377721541443,336.968717593927
73,358.51,360.93,353.16,205.21,143.81,101.15,84.48,72.24,60.64,382.75,58.98,359.222126277234,386.002422144823,385.748097168896,377.337981417547,363.426593693021,349.695578209323,339.251583486597,333.917247482214,333.531200119068,333.531200119068,337.122196171552
74,358.5,360.98,353.4,205.44,143.96,101.32,84.68,72.45,60.82,383.12,59.17,359.419124139502,386.224628574168,385.972285819537,377.561258546744,363.634314979922,349.880963968107,339.416791161847,334.071655025737,333.684847858146,333.684847858146,337.275843910629
75,358.47,361.02,353.65,205.53,144.07,101.42,84.82,72.57,60.97,383.48,59.36,359.615757281976,386.446445597005,386.19610354585,377.784257797689,363.841895355094,350.066350239433,339.582109068782,334.226227042868,333.838663765534,333.838663765534,337.429659818017
76,358.45,361.06,353.89,205.65,144.18,101.59,84.96,72.73,61.14,383.84,59.53,359.812026772689,386.667874260529,386.419551248036,378.006979612653,364.049334699577,350.251736429262,339.747536329762,334.380962548381,333.992646849591,333.992646849591,337.583642902075
77,358.42,361.1,354.12,205.82,144.31,101.78,85.08,72.85,61.29,384.04,59.71,360.007933677083,386.888915608632,386.642629822029,378.22942443235,364.256632895774,350.437121946259,339.913072069411,334.535860558531,334.146796120093,334.146796120093,337.737792172576
78,358.39,361.15,354.33,206.06,144.5,101.99,85.27,73.07,61.46,384.23,59.9,360.20347905689,387.109570681984,386.865340161293,378.451592696929,364.463789827937,350.62250620202,340.078715414733,334.690920091139,334.301110588309,334.301110588309,337.892106640793
79,358.38,361.19,354.54,206.41,144.68,102.21,85.51,73.34,61.65,384.45,60.08,360.398663970524,387.329840518038,387.087683156257,378.673484845639,364.670805381951,350.807888610929,340.24446549504,334.846140165564,334.455589266983,334.455589266983,338.046585319466
80,358.34,361.25,354.86,206.78,144.97,102.43,85.83,73.57,61.97,384.77,60.37,360.593489473676,387.549726150986,387.309659693372,378.895101316307,364.877681145956,350.993268590086,340.410321441961,335.001519802743,334.610231170365,334.610231170365,338.201227222849
81,358.3,361.31,355.2,207.14,145.2,102.62,86.11,73.81,62.31,385.09,60.66,360.787956617488,387.769228611896,387.531270658048,379.116442546957,365.084416235406,351.178645559608,340.576282389561,335.157058025251,334.765035314283,334.765035314283,338.356031366766
82,358.28,361.35,355.4,207.36,145.33,102.73,86.3,73.92,62.52,385.35,60.87,360.982066450584,387.988348928618,387.752516931511,379.337508974043,365.291009542342,351.364018942183,340.742347474141,335.312753857218,334.920000716055,334.920000716055,338.510996768539
83,358.26,361.4,355.58,207.65,145.43,102.88,86.5,74.05,62.75,385.58,61.08,361.175820017912,388.207088125847,387.97339939262,379.558301033463,365.497460959188,351.549388163328,340.908515834383,335.468606324426,335.07512639459,335.07512639459,338.666122447073
84,358.25,361.44,355.77,207.9,145.55,103.03,86.69,74.17,62.95,385.76,61.29,361.369218361344,388.425447225103,388.193918916945,379.778819160029,365.703770379831,351.734752651234,341.07478661129,335.6246144543,335.230411370379,335.230411370379,338.821407422862
85,358.24,361.49,355.95,208.09,145.66,103.18,86.85,74.34,63.14,385.56,61.5,361.562262518847,388.643427244803,388.414076378159,379.999063788245,365.909937699984,351.920111836913,341.241158948237,335.780777275931,335.385854665519,335.385854665519,338.976850718002
86,358.21,361.53,356.15,208.42,145.82,103.34,87.0,74.59,63.37,385.42,61.71,361.754953526519,388.861029200176,388.633872644842,380.219035350475,366.1159628162,352.105465153709,341.407631990768,335.937093819996,335.541455303639,335.541455303639,339.132451356123
87,358.19,361.58,356.36,208.84,145.99,103.54,87.1,74.88,63.6,385.67,61.94,361.947292415592,389.078254103393,388.85330858518,380.438734279615,366.321845627297,352.290812038009,341.574204886941,336.093563118965,335.6972123101,335.6972123101,339.288208362583
88,358.18,361.62,356.57,209.23,146.19,103.74,87.18,75.1,63.83,386.24,62.15,362.139280213901,389.295102963553,389.072385064779,380.658161007837,366.527586033624,352.476151928837,341.740876787125,336.25018420699,335.85312471189,335.85312471189,339.444120764374
