Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,359.38,23.81,358.97,351.43,174.38,73.42,62.44,358.52,358.45,257.9,121.29,23.54,25.56,358.29,330.152119559442,353.403787678179,353.403787678179,353.403787678179,353.403787678179,353.403787678179,353.403787678179,353.403787678179,353.403787678179,353.403787678179,402.888194204624
1,359.49,23.89,359.01,351.51,174.42,73.48,62.42,358.52,358.53,257.6,121.55,23.54,25.56,358.56,330.22340075911,353.483313577447,353.483313577447,353.483313577447,353.483313577447,353.483313577447,353.483313577447,353.483313577447,353.483313577447,353.483313577447,402.967720103891
2,359.62,23.73,359.11,351.67,174.3,73.66,62.43,358.63,358.69,257.43,121.94,23.54,25.55,358.89,330.294666846819,353.562824564956,353.562824564956,353.562824564956,353.562824564956,353.562824564956,353.562824564956,353.562824564956,353.562824564956,353.562824564956,403.0472310914
3,359.76,23.76,359.25,351.85,174.32,73.94,62.45,358.81,358.89,257.31,122.38,23.54,25.56,359.23,330.36591782157,353.642320638584,353.642320638584,353.642320638584,353.642320638584,353.642320638584,353.642320638584,353.642320638584,353.642320638584,353.642320638584,403.126727165028
4,359.95,23.53,359.42,352.06,174.4,74.19,62.49,359.03,359.09,257.26,122.7,23.54,25.55,359.56,330.43715368237,353.721801796209,353.721801796209,353.721801796209,353.721801796209,353.721801796209,353.721801796209,353.721801796209,353.721801796209,353.721801796209,403.206208322653
5,360.11,23.52,359.59,352.26,174.5,74.46,62.57,359.31,359.3,257.24,122.93,23.53,25.55,359.8,330.508374428221,353.801268035714,353.801268035714,353.801268035714,353.801268035714,353.801268035714,353.801268035714,353.801268035714,353.801268035714,353.801268035714,403.285674562158
6,360.38,23.59,359.87,352.58,175.0,74.89,62.72,359.72,359.43,257.24,123.23,23.55,25.55,360.12,330.579580058135,353.880719354983,353.880719354983,353.880719354983,353.880719354983,353.880719354983,353.880719354983,353.880719354983,353.880719354983,353.880719354983,403.365125881427
7,360.69,23.52,360.14,352.87,175.47,75.34,62.9,360.15,359.64,257.27,123.68,23.54,25.56,360.43,330.65077057112,353.960155751902,353.960155751902,353.960155751902,353.960155751902,353.960155751902,353.960155751902,353.960155751902,353.960155751902,353.960155751902,403.444562278346
8,360.92,23.53,360.32,353.03,175.72,75.63,63.04,360.43,359.86,257.31,124.2,23.54,25.55,360.64,330.721945966192,354.03957722436,354.03957722436,354.03957722436,354.03957722436,354.03957722436,354.03957722436,354.03957722436,354.03957722436,354.03957722436,403.523983750804
9,361.13,23.54,360.52,353.18,175.89,75.92,63.19,360.72,360.09,257.37,124.65,23.54,25.55,360.87,330.793106242363,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,403.603390296693
10,361.34,23.58,360.74,353.31,176.11,76.21,63.36,361.0,360.35,257.36,124.94,23.54,25.55,361.1,330.864251398651,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,403.682781913905
11,361.55,23.76,360.94,353.42,176.41,76.52,63.56,361.31,360.59,257.3,125.27,23.55,25.56,361.32,330.935381434077,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,403.762158600336
12,361.77,23.69,361.09,353.5,176.67,76.81,63.76,361.58,360.82,257.27,125.7,23.55,25.56,361.55,331.006496347661,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,403.841520353886
13,361.97,23.69,361.2,353.54,177.16,77.14,64.0,361.86,360.97,257.3,126.07,23.55,25.56,361.76,331.077596138427,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,403.920867172453
14,362.19,23.69,361.3,353.57,177.63,77.46,64.24,362.14,361.16,257.32,126.33,23.56,25.56,361.96,331.148680805403,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,404.000199053941
15,362.51,23.76,361.47,353.65,178.07,77.83,64.63,362.54,361.38,257.33,126.49,23.56,25.56,362.19,331.219750347615,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,404.079515996255
16,362.8,23.65,361.65,353.76,178.46,78.17,65.05,362.95,361.6,257.36,126.62,23.56,25.55,362.36,331.290804764094,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,404.158817997302
17,362.97,23.54,361.77,353.84,178.69,78.41,65.34,363.21,361.81,257.42,126.85,23.56,25.55,362.48,331.361844053873,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,404.238105054992
18,363.13,23.45,361.91,353.91,178.81,78.6,65.63,363.45,362.01,257.46,127.01,23.55,25.55,362.61,331.432868215987,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,404.317377167237
19,363.25,23.48,362.04,354.01,179.06,78.79,65.93,363.7,362.17,257.53,127.28,23.56,25.55,362.69,331.503877249473,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,404.396634331952
20,363.36,23.51,362.16,354.09,179.35,78.97,66.24,363.93,362.27,257.62,127.51,23.56,25.55,362.77,331.57487115337,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,404.475876547053
21,363.47,23.45,362.29,354.21,179.59,79.19,66.57,364.15,362.36,257.79,127.77,23.56,25.55,362.8,331.645849926721,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,404.55510381046
22,363.6,23.51,362.41,354.35,179.83,79.38,66.91,364.35,362.41,258.0,127.97,23.56,25.54,362.82,331.716813568568,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,404.634316120093
23,363.73,23.63,362.51,354.49,179.88,79.53,67.25,364.54,362.42,258.24,128.21,23.56,25.55,362.84,331.787762077957,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,404.713513473876
24,363.89,23.85,362.6,354.65,179.89,79.77,67.77,364.84,362.45,258.44,128.37,23.56,25.56,362.81,331.858695453938,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,404.792695869736
25,364.0,23.77,362.66,354.79,180.05,80.06,68.3,365.16,362.53,258.49,128.53,23.56,25.56,362.84,331.92961369556,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,404.871863305601
26,364.05,23.6,362.69,354.88,180.22,80.25,68.66,365.36,362.6,258.53,128.6,23.56,25.55,362.95,332.000516801875,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,404.951015779402
27,364.07,23.54,362.73,354.99,180.48,80.48,69.03,365.58,362.68,258.58,128.8,23.56,25.55,363.05,332.071404771938,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,405.030153289072
28,364.07,23.68,362.78,355.07,180.68,80.71,69.39,365.77,362.73,258.53,128.99,23.56,25.55,363.11,332.142277604807,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,405.109275832546
29,364.05,23.69,362.84,355.15,180.96,80.95,69.78,365.97,362.77,258.47,129.12,23.56,25.55,363.12,332.213135299541,355.703976881317,355.703976881317,355.703976881317,355.703976881317,355.703976881317,355.703976881317,355.703976881317,355.703976881317,355.703976881317,405.188383407762
30,364.03,23.79,362.9,355.23,181.1,81.24,70.19,366.17,362.77,258.5,129.39,23.57,25.56,363.13,332.283977855201,355.783069486215,355.783069486215,355.783069486215,355.783069486215,355.783069486215,355.783069486215,355.783069486215,355.783069486215,355.783069486215,405.267476012659
31,364.02,23.85,362.9,355.3,181.2,81.52,70.61,366.37,362.77,258.6,129.61,23.57,25.57,363.17,332.35480527085,355.862147118737,355.862147118737,355.862147118737,355.862147118737,355.862147118737,355.862147118737,355.862147118737,355.862147118737,355.862147118737,405.346553645181
32,364.0,23.68,362.89,355.34,181.36,81.82,71.03,366.56,362.78,258.69,129.93,23.57,25.55,363.16,332.425617545555,355.941209776829,355.941209776829,355.941209776829,355.941209776829,355.941209776829,355.941209776829,355.941209776829,355.941209776829,355.941209776829,405.425616303273
33,363.89,23.59,362.88,355.39,181.21,82.37,71.69,366.82,362.8,258.83,130.23,23.57,25.56,363.1,332.496414678383,356.020257458436,356.020257458436,356.020257458436,356.020257458436,356.020257458436,356.020257458436,356.020257458436,356.020257458436,356.020257458436,405.504663984881
34,363.88,23.74,362.82,355.4,181.1,82.93,72.36,367.07,362.85,258.96,130.47,23.56,25.55,363.0,332.567196668406,356.09929016151,356.09929016151,356.09929016151,356.09929016151,356.09929016151,356.09929016151,356.09929016151,356.09929016151,356.09929016151,405.583696687954
35,363.95,23.73,362.78,355.46,181.22,83.32,72.82,367.25,362.9,259.13,130.81,23.56,25.55,362.89,332.637963514694,356.178307884001,356.178307884001,356.178307884001,356.178307884001,356.178307884001,356.178307884001,356.178307884001,356.178307884001,356.178307884001,405.662714410445
36,364.05,23.74,362.71,355.53,181.4,83.72,73.29,367.42,362.95,259.31,131.26,23.55,25.56,362.77,332.708715216323,356.257310623864,356.257310623864,356.257310623864,356.257310623864,356.257310623864,356.257310623864,356.257310623864,356.257310623864,356.257310623864,405.741717150308
37,364.15,23.6,362.63,355.6,181.65,84.13,73.78,367.6,362.98,259.51,131.75,23.56,25.55,362.63,332.779451772369,356.336298379055,356.336298379055,356.336298379055,356.336298379055,356.336298379055,356.336298379055,356.336298379055,356.336298379055,356.336298379055,405.820704905499
38,364.25,23.63,362.52,355.66,181.9,84.52,74.28,367.77,363.0,259.71,132.05,23.57,25.56,362.45,332.850173181913,356.415271147533,356.415271147533,356.415271147533,356.415271147533,356.415271147533,356.415271147533,356.415271147533,356.415271147533,356.415271147533,405.899677673977
39,364.42,23.69,362.42,355.71,182.06,84.86,74.78,367.93,362.97,259.93,132.45,23.57,25.55,362.39,332.920879444034,356.494228927258,356.494228927258,356.494228927258,356.494228927258,356.494228927258,356.494228927258,356.494228927258,356.494228927258,356.494228927258,405.978635453702
40,364.49,23.68,362.32,355.75,182.41,85.16,75.3,368.07,362.95,260.08,132.65,23.57,25.55,362.4,332.991570557817,356.573171716196,356.573171716196,356.573171716196,356.573171716196,356.573171716196,356.573171716196,356.573171716196,356.573171716196,356.573171716196,406.05757824264
41,364.47,23.77,362.25,355.78,182.87,85.42,75.82,368.2,362.93,260.11,132.85,23.57,25.55,362.28,333.062246522347,356.65209951231,356.65209951231,356.65209951231,356.65209951231,356.65209951231,356.65209951231,356.65209951231,356.65209951231,356.65209951231,406.136506038755
42,364.33,23.67,362.16,355.77,183.69,85.84,76.6,368.37,362.92,260.12,133.05,23.57,25.55,362.14,333.132907336713,356.731012313571,356.731012313571,356.731012313571,356.731012313571,356.731012313571,356.731012313571,356.731012313571,356.731012313571,356.731012313571,406.215418840015
43,364.26,23.6,362.1,355.72,184.42,86.25,77.38,368.53,362.92,260.05,133.21,23.56,25.54,362.05,333.203553000003,356.809910117947,356.809910117947,356.809910117947,356.809910117947,356.809910117947,356.809910117947,356.809910117947,356.809910117947,356.809910117947,406.294316644391
44,364.19,23.64,362.08,355.66,184.71,86.57,77.9,368.64,362.92,259.98,133.55,23.57,25.54,361.95,333.274183511311,356.888792923412,356.888792923412,356.888792923412,356.888792923412,356.888792923412,356.888792923412,356.888792923412,356.888792923412,356.888792923412,406.373199449856
45,364.09,23.69,362.05,355.63,184.74,86.95,78.43,368.76,362.89,260.0,134.02,23.58,25.55,361.84,333.344798869731,356.967660727942,356.967660727942,356.967660727942,356.967660727942,356.967660727942,356.967660727942,356.967660727942,356.967660727942,356.967660727942,406.452067254386
46,364.01,23.55,362.05,355.62,184.84,87.4,78.97,368.87,362.84,260.08,134.45,23.57,25.55,361.78,333.41539907436,357.046513529513,357.046513529513,357.046513529513,357.046513529513,357.046513529513,357.046513529513,357.046513529513,357.046513529513,357.046513529513,406.530920055957
47,363.92,23.43,362.05,355.64,184.71,87.81,79.52,368.99,362.79,260.23,134.74,23.58,25.54,361.78,333.485984124296,357.125351326105,357.125351326105,357.125351326105,357.125351326105,357.125351326105,357.125351326105,357.125351326105,357.125351326105,357.125351326105,406.609757852549
