Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,359.8,25.47,359.35,351.92,180.65,74.38,62.72,358.68,358.72,262.13,126.17,27.22,28.02,358.44,318.680943749755,340.631082183435,340.631143812131,340.631205440828,340.542250625769,339.02037250885,338.897007133115,338.897007133115,338.897007133115,338.897007133115,351.273529329732
1,359.75,25.29,359.38,351.81,180.74,74.55,62.72,358.63,358.73,262.0,126.46,27.21,28.02,358.49,318.7667906035,340.726435268003,340.726435268003,340.726435268003,340.58566797526,339.087461123603,338.964983243245,338.964983243245,338.964983243245,338.964983243245,351.341505439863
2,359.79,25.32,359.51,351.79,180.69,74.91,62.77,358.59,358.82,261.95,126.73,27.22,28.02,358.7,318.84296518287,340.811091137925,340.811091137925,340.811091137925,340.672928066446,339.176258458433,339.053833747174,339.053833747174,339.053833747174,339.053833747174,351.430355943791
3,359.84,25.44,359.62,351.86,180.55,75.23,62.84,358.58,358.97,261.93,126.88,27.21,28.02,358.84,318.919106887314,340.895712654698,340.895712654698,340.895712654698,340.760175777037,339.26504409677,339.142672726121,339.142672726121,339.142672726121,339.142672726121,351.519194922738
4,359.88,25.41,359.74,351.97,180.65,75.59,62.93,358.58,359.16,261.94,127.19,27.21,28.02,358.96,318.995215728685,340.980299828951,340.980299828951,340.980299828951,340.847411124446,339.353818028602,339.231500168153,339.231500168153,339.231500168153,339.231500168153,351.60802236477
5,359.94,25.44,359.87,352.1,180.71,75.99,63.05,358.59,359.38,262.01,127.53,27.22,28.01,359.09,319.071291718841,341.064852671319,341.064852671319,341.064852671319,340.934634125926,339.442580244099,339.32031606154,339.32031606154,339.32031606154,339.32031606154,351.696838258157
6,360.01,25.54,359.99,352.29,180.99,76.33,63.19,358.62,359.51,262.05,127.71,27.21,28.02,359.2,319.147334869637,341.149371192439,341.149371192439,341.149371192439,341.021841382418,339.531330733609,339.409120394754,339.409120394754,339.409120394754,339.409120394754,351.785642591371
7,360.1,25.6,360.09,352.48,181.43,76.68,63.36,358.65,359.77,262.04,127.94,27.21,28.02,359.29,319.223345192936,341.233855402952,341.233855402952,341.233855402952,341.109030078772,339.62006948766,339.497913156465,339.497913156465,339.497913156465,339.497913156465,351.874435353082
8,360.19,25.63,360.21,352.68,181.94,77.05,63.55,358.7,360.02,262.01,128.23,27.22,28.03,359.35,319.299322700595,341.318305313501,341.318305313501,341.318305313501,341.196206497578,339.708796496957,339.586694335538,339.586694335538,339.586694335538,339.586694335538,351.963216532155
9,360.3,25.66,360.32,352.87,182.39,77.37,63.75,358.72,360.26,261.97,128.53,27.23,28.02,359.41,319.375267404477,341.402720934733,341.402720934733,341.402720934733,341.283370655468,339.797511752376,339.675463921035,339.675463921035,339.675463921035,339.675463921035,352.051986117652
10,360.4,25.59,360.42,353.05,182.8,77.67,63.96,358.75,360.46,261.93,128.86,27.23,28.02,359.47,319.451179316445,341.487102277299,341.487102277299,341.487102277299,341.37052256892,339.886215244967,339.764221902208,339.764221902208,339.764221902208,339.764221902208,352.140744098825
11,360.55,25.67,360.57,353.33,183.5,78.16,64.32,358.82,360.59,261.9,129.08,27.23,28.03,359.6,319.527058448362,341.571449351853,341.571449351853,341.571449351853,341.457662254259,339.97490696595,339.852968268498,339.852968268498,339.852968268498,339.852968268498,352.229490465115
12,360.7,25.65,360.73,353.58,184.11,78.62,64.71,358.88,360.77,261.84,129.34,27.22,28.02,359.74,319.602904812096,341.655762169052,341.655762169052,341.655762169052,341.544789727659,340.063586906712,339.941703009535,339.941703009535,339.941703009535,339.941703009535,352.318225206152
13,360.78,25.63,360.81,353.74,184.25,78.9,64.98,358.92,360.96,261.8,129.55,27.22,28.03,359.84,319.678718419512,341.740040739556,341.740040739556,341.740040739556,341.631905005141,340.152255058806,340.030426115134,340.030426115134,340.030426115134,340.030426115134,352.406948311751
