Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,360.15,24.75,359.48,351.09,175.36,79.75,69.75,359.34,358.59,256.5,124.56,25.51,26.33,359.08,317.375668370885,339.180921722918,339.181062598151,339.181203473384,339.077699344159,337.518258700157,337.393567207814,337.393567207814,337.393567207814,337.393567207814,349.770089404431
1,360.08,24.81,359.44,350.91,175.4,79.65,69.69,359.31,358.48,255.89,124.46,25.51,26.33,359.04,317.452682697554,339.266466499148,339.266602265654,339.266738032159,339.164099534206,337.606800583418,337.482183090251,337.482183090251,337.482183090251,337.482183090251,349.858705286868
2,360.05,24.81,359.4,350.77,175.49,79.67,69.65,359.28,358.44,255.51,124.52,25.51,26.34,359.13,317.529667765538,339.351981030431,339.352111726929,339.352242423427,339.250470180305,337.695320057056,337.570777078048,337.570777078048,337.570777078048,337.570777078048,349.947299274665
3,360.06,24.9,359.4,350.69,175.62,79.81,69.61,359.27,358.42,255.03,124.74,25.52,26.34,359.22,317.606623591408,339.437465335612,339.43759100417,339.437716672728,339.336811283495,337.783817044961,337.659349092236,337.659349092236,337.659349092236,337.659349092236,350.035871288853
4,360.11,24.93,359.42,350.65,175.69,80.03,69.58,359.28,358.45,254.63,125.06,25.52,26.34,359.29,317.68355019162,339.522919433439,339.523040119509,339.523160805579,339.423122844969,337.872291471568,337.74789905441,337.74789905441,337.74789905441,337.74789905441,350.124421251027
5,360.17,25.01,359.45,350.63,175.72,80.31,69.58,359.3,358.52,254.38,125.49,25.52,26.34,359.3,317.76044758252,339.608343342559,339.608459095,339.608574847441,339.509404866033,337.960743261838,337.836426886703,337.836426886703,337.836426886703,337.836426886703,350.21294908332
6,360.23,25.01,359.47,350.6,175.72,80.63,69.61,359.34,358.59,254.22,125.89,25.53,26.35,359.3,317.837315780347,339.693737081516,339.693847952607,339.693958823698,339.595645307849,338.049172341248,337.924932511779,337.924932511779,337.924932511779,337.924932511779,350.301454708396
7,360.28,25.0,359.48,350.59,175.49,80.94,69.65,359.38,358.69,254.15,126.16,25.52,26.35,359.34,317.91415480123,339.779100668756,339.779206714229,339.779312759702,339.681854827442,338.137578635809,338.013415852855,338.013415852855,338.013415852855,338.013415852855,350.389938049472
8,360.35,25.08,359.43,350.6,175.28,81.3,69.74,359.45,358.78,254.14,126.3,25.53,26.35,359.44,317.990964661189,339.864434122622,339.864535401678,339.864636680735,339.768034809598,338.22596207205,338.101876833677,338.101876833677,338.101876833677,338.101876833677,350.478399030294
9,360.43,25.07,359.39,350.59,175.12,81.58,69.85,359.51,358.87,254.19,126.41,25.52,26.35,359.5,318.067745376138,339.949737461361,339.949834036696,339.949930612031,339.85418525649,338.314322577025,338.190315378533,338.190315378533,338.190315378533,338.190315378533,350.56683757515
10,360.47,25.01,359.39,350.63,175.23,81.71,69.92,359.57,358.98,254.25,126.63,25.52,26.35,359.53,318.144496961881,340.035010703118,340.035102640941,340.035194578764,339.940306170401,338.402660078309,338.278731412246,338.278731412246,338.278731412246,338.278731412246,350.655253608863
11,360.5,25.08,359.38,350.71,175.31,81.82,70.01,359.61,359.06,254.31,126.75,25.52,26.35,359.55,318.221219434117,340.120253865941,340.120341236001,340.120428606062,340.026397553737,338.490974503999,338.367124860176,338.367124860176,338.367124860176,338.367124860176,350.743647056793
12,360.55,25.16,359.37,350.79,175.61,81.96,70.1,359.66,359.19,254.39,126.96,25.53,26.36,359.57,318.297912808442,340.205466967775,340.20554984337,340.205632718965,340.112452786157,338.579265782695,338.455495648204,338.455495648204,338.455495648204,338.455495648204,350.832017844821
13,360.58,25.14,359.4,350.84,175.82,82.12,70.21,359.71,359.3,254.42,127.06,25.52,26.36,359.61,318.374577100338,340.290650026473,340.290728484488,340.290806942503,340.198471391933,338.66753384354,338.543843702761,338.543843702761,338.543843702761,338.543843702761,350.920365899378
14,360.61,25.16,359.43,350.86,175.86,82.3,70.3,359.75,359.42,254.47,127.23,25.53,26.35,359.66,318.451212325191,340.375803059782,340.37587718069,340.375951301598,340.284460475482,338.755778616164,338.632168950788,338.632168950788,338.632168950788,338.632168950788,351.008691147405
15,360.63,25.04,359.47,350.85,176.02,82.51,70.42,359.79,359.52,254.59,127.53,25.53,26.35,359.73,318.527818498279,340.460926085359,340.460995953252,340.461065821146,340.370420040059,338.844000030728,338.720471319767,338.720471319767,338.720471319767,338.720471319767,351.096993516384
16,360.65,25.1,359.54,350.89,176.41,82.76,70.56,359.84,359.63,254.68,127.92,25.53,26.36,359.8,318.604395634778,340.546019120757,340.54608482336,340.546150525964,340.456350088999,338.932198017895,338.808750737698,338.808750737698,338.808750737698,338.808750737698,351.185272934315
17,360.7,25.11,359.67,350.93,176.9,83.06,70.79,359.9,359.73,254.81,128.23,25.53,26.36,359.89,318.680943749755,340.631082183435,340.631143812131,340.631205440828,340.542250625769,339.02037250885,338.897007133115,338.897007133115,338.897007133115,338.897007133115,351.273529329732
18,360.75,24.99,359.8,350.98,176.93,83.32,71.01,359.94,359.78,254.9,128.36,25.52,26.35,359.94,318.7667906035,340.726435268003,340.726435268003,340.726435268003,340.58566797526,339.087461123603,338.964983243245,338.964983243245,338.964983243245,338.964983243245,351.341505439863
19,360.78,25.05,359.89,351.05,176.93,83.46,71.17,359.97,359.89,255.06,128.48,25.53,26.35,359.97,318.84296518287,340.811091137925,340.811091137925,340.811091137925,340.672928066446,339.176258458433,339.053833747174,339.053833747174,339.053833747174,339.053833747174,351.430355943791
20,360.82,25.2,359.96,351.13,176.93,83.6,71.31,360.01,359.99,255.22,128.65,25.52,26.35,360.02,318.919106887314,340.895712654698,340.895712654698,340.895712654698,340.760175777037,339.26504409677,339.142672726121,339.142672726121,339.142672726121,339.142672726121,351.519194922738
21,360.86,25.08,360.05,351.2,176.98,83.78,71.47,360.03,360.07,255.36,128.87,25.53,26.36,360.07,318.995215728685,340.980299828951,340.980299828951,340.980299828951,340.847411124446,339.353818028602,339.231500168153,339.231500168153,339.231500168153,339.231500168153,351.60802236477
22,360.89,25.09,360.13,351.26,177.23,83.97,71.63,360.08,360.14,255.48,129.16,25.53,26.35,360.1,319.071291718841,341.064852671319,341.064852671319,341.064852671319,340.934634125926,339.442580244099,339.32031606154,339.32031606154,339.32031606154,339.32031606154,351.696838258157
23,360.92,25.08,360.19,351.31,177.72,84.19,71.79,360.12,360.23,255.57,129.41,25.53,26.35,360.14,319.147334869637,341.149371192439,341.149371192439,341.149371192439,341.021841382418,339.531330733609,339.409120394754,339.409120394754,339.409120394754,339.409120394754,351.785642591371
24,360.93,25.02,360.26,351.34,178.3,84.44,71.99,360.16,360.33,255.6,129.63,25.52,26.35,360.17,319.223345192936,341.233855402952,341.233855402952,341.233855402952,341.109030078772,339.62006948766,339.497913156465,339.497913156465,339.497913156465,339.497913156465,351.874435353082
25,360.95,25.11,360.32,351.36,178.86,84.65,72.18,360.19,360.39,255.57,129.76,25.52,26.36,360.18,319.299322700595,341.318305313501,341.318305313501,341.318305313501,341.196206497578,339.708796496957,339.586694335538,339.586694335538,339.586694335538,339.586694335538,351.963216532155
26,360.96,24.99,360.4,351.35,179.32,84.94,72.5,360.24,360.51,255.5,129.92,25.52,26.35,360.21,319.375267404477,341.402720934733,341.402720934733,341.402720934733,341.283370655468,339.797511752376,339.675463921035,339.675463921035,339.675463921035,339.675463921035,352.051986117652
27,360.97,25.0,360.46,351.38,179.28,85.22,72.82,360.3,360.61,255.52,130.07,25.52,26.36,360.24,319.451179316445,341.487102277299,341.487102277299,341.487102277299,341.37052256892,339.886215244967,339.764221902208,339.764221902208,339.764221902208,339.764221902208,352.140744098825
28,360.98,24.98,360.51,351.4,179.2,85.43,73.05,360.35,360.7,255.6,130.22,25.53,26.36,360.26,319.527058448362,341.571449351853,341.571449351853,341.571449351853,341.457662254259,339.97490696595,339.852968268498,339.852968268498,339.852968268498,339.852968268498,352.229490465115
29,360.99,25.13,360.56,351.43,179.5,85.69,73.29,360.39,360.79,255.66,130.48,25.53,26.36,360.29,319.602904812096,341.655762169052,341.655762169052,341.655762169052,341.544789727659,340.063586906712,339.941703009535,339.941703009535,339.941703009535,339.941703009535,352.318225206152
30,361.01,25.02,360.6,351.46,179.7,85.95,73.52,360.43,360.85,255.69,130.68,25.53,26.37,360.31,319.678718419512,341.740040739556,341.740040739556,341.740040739556,341.631905005141,340.152255058806,340.030426115134,340.030426115134,340.030426115134,340.030426115134,352.406948311751
31,361.03,25.03,360.64,351.49,179.68,86.23,73.78,360.47,360.94,255.78,130.96,25.53,26.36,360.33,319.754499282479,341.824285074028,341.824285074028,341.824285074028,341.719008102582,340.240911413951,340.119137575292,340.119137575292,340.119137575292,340.119137575292,352.495659771909
32,361.04,24.86,360.66,351.52,179.63,86.46,74.02,360.51,361.01,255.87,131.08,25.54,26.37,360.36,319.830247412865,341.908495183135,341.908495183135,341.908495183135,341.806094744507,340.329555964024,340.207837380187,340.207837380187,340.207837380187,340.207837380187,352.584359576804
33,361.07,25.05,360.7,351.56,179.6,86.69,74.28,360.56,361.08,256.0,131.18,25.54,26.37,360.4,319.905962822542,341.992671077548,341.992671077548,341.992671077548,341.893163818894,340.418188701066,340.296525520178,340.296525520178,340.296525520178,340.296525520178,352.673047716795
34,361.08,25.05,360.74,351.6,179.72,86.87,74.53,360.6,361.14,256.13,131.43,25.53,26.37,360.43,319.981645523381,342.076812767939,342.076812767939,342.076812767939,341.980220777901,340.506809617275,340.3852019858,340.3852019858,340.3852019858,340.3852019858,352.761724182417
35,361.07,25.0,360.83,351.7,179.98,87.16,74.92,360.66,361.2,256.24,131.57,25.53,26.37,360.46,320.057295527256,342.160920264986,342.160920264986,342.160920264986,342.067265636837,340.595418705006,340.473866767761,340.473866767761,340.473866767761,340.473866767761,352.850388964378
36,361.07,24.96,360.91,351.81,180.27,87.38,75.3,360.72,361.26,256.35,131.65,25.53,26.36,360.5,320.132912846041,342.244993579367,342.244993579367,342.244993579367,342.154298410868,340.684015956767,340.562519856944,340.562519856944,340.562519856944,340.562519856944,352.939042053561
37,361.07,25.01,360.96,351.9,180.48,87.5,75.55,360.76,361.34,256.52,131.76,25.53,26.36,360.52,320.208497491611,342.329032721766,342.329032721766,342.329032721766,342.241319115022,340.772601365219,340.651161244402,340.651161244402,340.651161244402,340.651161244402,353.027683441019
38,361.08,25.12,361.0,352.01,180.63,87.59,75.79,360.78,361.43,256.68,131.89,25.54,26.36,360.55,320.284049475842,342.413037702869,342.413037702869,342.413037702869,342.328327764187,340.861174923177,340.739790921356,340.739790921356,340.739790921356,340.739790921356,353.116313117973
