Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,359.77,359.52,359.92,360.45,359.78,361.79,359.3,359.69,355.37,325.63,308.408793955666,325.61990738411,325.61990738411,325.61990738411,325.61990738411,325.61990738411,325.61990738411,325.61990738411,325.61990738411,325.61990738411,359.389890015846
1,359.76,359.49,359.89,360.44,359.77,361.78,359.26,359.78,355.33,325.61,308.439200952143,325.653014884817,325.653014884817,325.653014884817,325.653014884817,325.653014884817,325.653014884817,325.653014884817,325.653014884817,325.653014884817,359.422997516553
2,359.79,359.58,359.92,360.49,359.8,361.81,359.41,360.01,355.41,325.56,308.469605525172,325.686120029278,325.686120029278,325.686120029278,325.686120029278,325.686120029278,325.686120029278,325.686120029278,325.686120029278,325.686120029278,359.456102661014
3,359.89,359.75,360.01,360.53,359.86,361.84,359.63,360.16,355.61,325.54,308.500007674633,325.71922281731,325.71922281731,325.71922281731,325.71922281731,325.71922281731,325.71922281731,325.71922281731,325.71922281731,325.71922281731,359.489205449046
4,360.0,359.89,360.09,360.63,359.94,361.9,359.8,360.39,355.85,325.55,308.53040740041,325.752323248731,325.752323248731,325.752323248731,325.752323248731,325.752323248731,325.752323248731,325.752323248731,325.752323248731,325.752323248731,359.522305880467
5,360.1,360.02,360.19,360.72,360.03,361.98,359.97,360.6,356.15,325.6,308.560804702384,325.785421323361,325.785421323361,325.785421323361,325.785421323361,325.785421323361,325.785421323361,325.785421323361,325.785421323361,325.785421323361,359.555403955097
6,360.19,360.13,360.26,360.83,360.11,362.08,360.15,360.79,356.44,325.69,308.591199580435,325.818517041017,325.818517041017,325.818517041017,325.818517041017,325.818517041017,325.818517041017,325.818517041017,325.818517041017,325.818517041017,359.588499672753
7,360.3,360.25,360.35,360.94,360.2,362.17,360.29,360.95,356.73,325.8,308.621592034446,325.851610401518,325.851610401518,325.851610401518,325.851610401518,325.851610401518,325.851610401518,325.851610401518,325.851610401518,325.851610401518,359.621593033254
8,360.39,360.37,360.42,361.07,360.29,362.28,360.46,361.11,356.98,325.93,308.651982064299,325.884701404682,325.884701404682,325.884701404682,325.884701404682,325.884701404682,325.884701404682,325.884701404682,325.884701404682,325.884701404682,359.654684036418
9,360.5,360.48,360.49,361.17,360.38,362.38,360.59,361.24,357.21,326.09,308.682369669875,325.917790050328,325.917790050328,325.917790050328,325.917790050328,325.917790050328,325.917790050328,325.917790050328,325.917790050328,325.917790050328,359.687772682064
10,360.58,360.57,360.56,361.23,360.47,362.45,360.72,361.32,357.44,326.23,308.712754851056,325.950876338274,325.950876338274,325.950876338274,325.950876338274,325.950876338274,325.950876338274,325.950876338274,325.950876338274,325.950876338274,359.72085897001
11,360.7,360.7,360.66,361.34,360.6,362.55,360.92,361.46,357.75,326.47,308.743137607725,325.983960268339,325.983960268339,325.983960268339,325.983960268339,325.983960268339,325.983960268339,325.983960268339,325.983960268339,325.983960268339,359.753942900075
12,360.77,360.8,360.73,361.42,360.72,362.64,361.07,361.59,358.03,326.71,308.773517939763,326.017041840342,326.017041840342,326.017041840342,326.017041840342,326.017041840342,326.017041840342,326.017041840342,326.017041840342,326.017041840342,359.787024472078
13,360.82,360.85,360.78,361.5,360.79,362.73,361.11,361.67,358.21,326.87,308.803895847052,326.050121054102,326.050121054102,326.050121054102,326.050121054102,326.050121054102,326.050121054102,326.050121054102,326.050121054102,326.050121054102,359.820103685838
14,360.87,360.9,360.84,361.58,360.87,362.83,361.14,361.74,358.39,327.01,308.834271329474,326.083197909437,326.083197909437,326.083197909437,326.083197909437,326.083197909437,326.083197909437,326.083197909437,326.083197909437,326.083197909437,359.853180541172
15,360.88,360.93,360.86,361.64,360.94,362.9,361.15,361.79,358.56,327.13,308.864644386912,326.116272406166,326.116272406166,326.116272406166,326.116272406166,326.116272406166,326.116272406166,326.116272406166,326.116272406166,326.116272406166,359.886255037902
16,360.89,360.96,360.89,361.71,360.99,362.97,361.16,361.79,358.72,327.25,308.895015019248,326.149344544108,326.149344544108,326.149344544108,326.149344544108,326.149344544108,326.149344544108,326.149344544108,326.149344544108,326.149344544108,359.919327175844
17,360.91,360.99,360.93,361.74,361.05,363.03,361.14,361.79,358.84,327.35,308.925383226364,326.182414323082,326.182414323082,326.182414323082,326.182414323082,326.182414323082,326.182414323082,326.182414323082,326.182414323082,326.182414323082,359.952396954818
18,360.92,361.0,360.96,361.78,361.09,363.09,361.13,361.81,358.9,327.46,308.955749008143,326.215481742908,326.215481742908,326.215481742908,326.215481742908,326.215481742908,326.215481742908,326.215481742908,326.215481742908,326.215481742908,359.985464374643
19,360.94,361.01,361.0,361.82,361.14,363.14,361.13,361.84,358.93,327.57,308.986112364467,326.248546803404,326.248546803404,326.248546803404,326.248546803404,326.248546803404,326.248546803404,326.248546803404,326.248546803404,326.248546803404,360.018529435139
20,360.99,361.0,361.05,361.86,361.21,363.19,361.12,361.83,358.86,327.75,309.016473295218,326.281609504389,326.281609504389,326.281609504389,326.281609504389,326.281609504389,326.281609504389,326.281609504389,326.281609504389,326.281609504389,360.051592136125
21,361.04,360.97,361.1,361.89,361.28,363.23,361.11,361.83,358.7,327.9,309.046831800279,326.314669845683,326.314669845683,326.314669845683,326.314669845683,326.314669845683,326.314669845683,326.314669845683,326.314669845683,326.314669845683,360.084652477419
22,361.07,360.97,361.14,361.93,361.31,363.26,361.09,361.81,358.61,328.01,309.077187879533,326.347727827106,326.347727827106,326.347727827106,326.347727827106,326.347727827106,326.347727827106,326.347727827106,326.347727827106,326.347727827106,360.117710458841
23,361.11,360.96,361.17,361.98,361.34,363.28,361.05,361.83,358.51,328.09,309.107541532862,326.380783448475,326.380783448475,326.380783448475,326.380783448475,326.380783448475,326.380783448475,326.380783448475,326.380783448475,326.380783448475,360.150766080211
24,361.14,360.97,361.2,361.99,361.37,363.29,361.03,361.84,358.46,328.19,309.137892760148,326.413836709612,326.413836709612,326.413836709612,326.413836709612,326.413836709612,326.413836709612,326.413836709612,326.413836709612,326.413836709612,360.183819341348
25,361.18,361.0,361.24,362.03,361.42,363.31,361.03,361.85,358.45,328.29,309.168241561277,326.446887610335,326.446887610335,326.446887610335,326.446887610335,326.446887610335,326.446887610335,326.446887610335,326.446887610335,326.446887610335,360.216870242071
26,361.22,361.03,361.28,362.05,361.45,363.33,361.04,361.86,358.46,328.37,309.198587936128,326.479936150463,326.479936150463,326.479936150463,326.479936150463,326.479936150463,326.479936150463,326.479936150463,326.479936150463,326.479936150463,360.249918782199
27,361.27,361.04,361.31,362.07,361.5,363.36,361.1,361.9,358.49,328.48,309.228931884586,326.512982329818,326.512982329818,326.512982329818,326.512982329818,326.512982329818,326.512982329818,326.512982329818,326.512982329818,326.512982329818,360.282964961554
28,361.3,361.04,361.35,362.08,361.53,363.39,361.19,361.95,358.51,328.58,309.259273406533,326.546026148217,326.546026148217,326.546026148217,326.546026148217,326.546026148217,326.546026148217,326.546026148217,326.546026148217,326.546026148217,360.316008779953
29,361.34,361.04,361.39,362.09,361.57,363.42,361.3,362.04,358.54,328.74,309.289612501854,326.579067605481,326.579067605481,326.579067605481,326.579067605481,326.579067605481,326.579067605481,326.579067605481,326.579067605481,326.579067605481,360.349050237217
30,361.39,361.05,361.44,362.11,361.59,363.45,361.3,362.11,358.55,328.92,309.319949170429,326.61210670143,326.61210670143,326.61210670143,326.61210670143,326.61210670143,326.61210670143,326.61210670143,326.61210670143,326.61210670143,360.382089333166
31,361.43,361.06,361.46,362.1,361.58,363.46,361.3,362.12,358.53,329.05,309.350283412144,326.645143435883,326.645143435883,326.645143435883,326.645143435883,326.645143435883,326.645143435883,326.645143435883,326.645143435883,326.645143435883,360.415126067619
32,361.47,361.07,361.48,362.08,361.58,363.49,361.3,362.09,358.51,329.17,309.380615226881,326.67817780866,326.67817780866,326.67817780866,326.67817780866,326.67817780866,326.67817780866,326.67817780866,326.67817780866,326.67817780866,360.448160440396
33,361.52,361.07,361.49,362.05,361.57,363.53,361.35,362.08,358.48,329.29,309.410944614522,326.711209819582,326.711209819582,326.711209819582,326.711209819582,326.711209819582,326.711209819582,326.711209819582,326.711209819582,326.711209819582,360.481192451318
34,361.58,361.09,361.5,362.02,361.57,363.58,361.43,362.08,358.44,329.42,309.441271574953,326.744239468468,326.744239468468,326.744239468468,326.744239468468,326.744239468468,326.744239468468,326.744239468468,326.744239468468,326.744239468468,360.514222100204
35,361.61,361.15,361.51,362.01,361.56,363.62,361.48,362.09,358.34,329.54,309.471596108055,326.777266755138,326.777266755138,326.777266755138,326.777266755138,326.777266755138,326.777266755138,326.777266755138,326.777266755138,326.777266755138,360.547249386874
36,361.65,361.19,361.51,362.03,361.57,363.67,361.52,362.14,358.21,329.66,309.501918213713,326.810291679413,326.810291679413,326.810291679413,326.810291679413,326.810291679413,326.810291679413,326.810291679413,326.810291679413,326.810291679413,360.580274311149
37,361.68,361.23,361.52,362.05,361.57,363.7,361.55,362.19,358.06,329.8,309.53223789181,326.843314241113,326.843314241113,326.843314241113,326.843314241113,326.843314241113,326.843314241113,326.843314241113,326.843314241113,326.843314241113,360.613296872849
38,361.74,361.23,361.51,362.07,361.56,363.71,361.47,362.22,357.85,329.98,309.562555142229,326.876334440057,326.876334440057,326.876334440057,326.876334440057,326.876334440057,326.876334440057,326.876334440057,326.876334440057,326.876334440057,360.646317071793
39,361.8,361.22,361.53,362.07,361.57,363.71,361.39,362.26,357.74,330.18,309.592869964854,326.909352276067,326.909352276067,326.909352276067,326.909352276067,326.909352276067,326.909352276067,326.909352276067,326.909352276067,326.909352276067,360.679334907802
40,361.84,361.21,361.54,362.09,361.58,363.71,361.38,362.26,357.71,330.31,309.62318235957,326.942367748962,326.942367748962,326.942367748962,326.942367748962,326.942367748962,326.942367748962,326.942367748962,326.942367748962,326.942367748962,360.712350380698
41,361.88,361.2,361.54,362.11,361.59,363.7,361.35,362.25,357.73,330.45,309.653492326258,326.975380858563,326.975380858563,326.975380858563,326.975380858563,326.975380858563,326.975380858563,326.975380858563,326.975380858563,326.975380858563,360.745363490299
42,361.89,361.16,361.54,362.13,361.58,363.69,361.31,362.22,357.75,330.57,309.683799864804,327.008391604691,327.008391604691,327.008391604691,327.008391604691,327.008391604691,327.008391604691,327.008391604691,327.008391604691,327.008391604691,360.778374236426
43,361.93,361.15,361.54,362.15,361.59,363.69,361.26,362.22,357.79,330.7,309.714104975092,327.041399987165,327.041399987165,327.041399987165,327.041399987165,327.041399987165,327.041399987165,327.041399987165,327.041399987165,327.041399987165,360.811382618901
44,361.95,361.12,361.54,362.16,361.58,363.67,361.19,362.21,357.83,330.82,309.744407657004,327.074406005807,327.074406005807,327.074406005807,327.074406005807,327.074406005807,327.074406005807,327.074406005807,327.074406005807,327.074406005807,360.844388637543
45,361.97,361.1,361.55,362.16,361.58,363.66,361.13,362.2,357.86,330.92,309.774707910425,327.107409660438,327.107409660438,327.107409660438,327.107409660438,327.107409660438,327.107409660438,327.107409660438,327.107409660438,327.107409660438,360.877392292174
46,361.98,361.09,361.56,362.13,361.58,363.64,361.08,362.17,357.89,331.09,309.80500573524,327.140410950878,327.140410950878,327.140410950878,327.140410950878,327.140410950878,327.140410950878,327.140410950878,327.140410950878,327.140410950878,360.910393582613
47,361.99,361.13,361.58,362.1,361.58,363.62,361.12,362.11,357.91,331.28,309.835301131332,327.173409876947,327.173409876947,327.173409876947,327.173409876947,327.173409876947,327.173409876947,327.173409876947,327.173409876947,327.173409876947,360.943392508683
48,361.97,361.16,361.59,362.06,361.57,363.6,361.22,362.05,357.93,331.39,309.865594098586,327.206406438467,327.206406438467,327.206406438467,327.206406438467,327.206406438467,327.206406438467,327.206406438467,327.206406438467,327.206406438467,360.976389070203
49,361.95,361.21,361.61,362.03,361.57,363.56,361.35,362.02,357.94,331.51,309.895884636885,327.239400635259,327.239400635259,327.239400635259,327.239400635259,327.239400635259,327.239400635259,327.239400635259,327.239400635259,327.239400635259,361.009383266994
50,361.95,361.23,361.61,361.99,361.56,363.54,361.44,362.04,357.93,331.63,309.926172746114,327.272392467142,327.272392467142,327.272392467142,327.272392467142,327.272392467142,327.272392467142,327.272392467142,327.272392467142,327.272392467142,361.042375098878
51,361.95,361.24,361.62,361.97,361.56,363.53,361.49,362.14,357.92,331.77,309.956458426158,327.30538193394,327.30538193394,327.30538193394,327.30538193394,327.30538193394,327.30538193394,327.30538193394,327.30538193394,327.30538193394,361.075364565676
52,361.95,361.24,361.62,361.96,361.54,363.52,361.48,362.18,357.94,331.9,309.986741676899,327.338369035472,327.338369035472,327.338369035472,327.338369035472,327.338369035472,327.338369035472,327.338369035472,327.338369035472,327.338369035472,361.108351667208
53,361.96,361.22,361.63,361.95,361.54,363.51,361.48,362.21,357.97,332.05,310.017022498225,327.37135377156,327.37135377156,327.37135377156,327.37135377156,327.37135377156,327.37135377156,327.37135377156,327.37135377156,327.37135377156,361.141336403296
54,361.98,361.22,361.62,361.95,361.53,363.5,361.5,362.2,358.01,332.21,310.047300890018,327.404336142025,327.404336142025,327.404336142025,327.404336142025,327.404336142025,327.404336142025,327.404336142025,327.404336142025,327.404336142025,361.174318773761
55,362.03,361.19,361.62,361.94,361.55,363.5,361.55,362.12,358.06,332.5,310.077576852164,327.437316146688,327.437316146688,327.437316146688,327.437316146688,327.437316146688,327.437316146688,327.437316146688,327.437316146688,327.437316146688,361.207298778423
56,362.07,361.16,361.63,361.96,361.54,363.5,361.61,362.03,358.08,332.78,310.107850384546,327.47029378537,327.47029378537,327.47029378537,327.47029378537,327.47029378537,327.47029378537,327.47029378537,327.47029378537,327.47029378537,361.240276417106
57,362.09,361.13,361.63,361.98,361.55,363.51,361.64,362.03,358.15,332.95,310.138121487049,327.503269057894,327.503269057894,327.503269057894,327.503269057894,327.503269057894,327.503269057894,327.503269057894,327.503269057894,327.503269057894,361.273251689629
58,362.11,361.1,361.64,361.99,361.56,363.52,361.66,362.13,358.25,333.09,310.16839015956,327.536241964079,327.536241964079,327.536241964079,327.536241964079,327.536241964079,327.536241964079,327.536241964079,327.536241964079,327.536241964079,361.306224595815
59,362.12,361.08,361.65,362.01,361.59,363.53,361.65,362.19,358.36,333.21,310.198656401961,327.569212503748,327.569212503748,327.569212503748,327.569212503748,327.569212503748,327.569212503748,327.569212503748,327.569212503748,327.569212503748,361.339195135484
60,362.13,361.07,361.65,362.01,361.6,363.55,361.64,362.3,358.45,333.33,310.228920214139,327.602180676723,327.602180676723,327.602180676723,327.602180676723,327.602180676723,327.602180676723,327.602180676723,327.602180676723,327.602180676723,361.372163308459
61,362.13,361.07,361.65,362.02,361.6,363.57,361.61,362.4,358.51,333.43,310.259181595977,327.635146482825,327.635146482825,327.635146482825,327.635146482825,327.635146482825,327.635146482825,327.635146482825,327.635146482825,327.635146482825,361.405129114561
62,362.13,361.07,361.64,362.03,361.62,363.58,361.59,362.44,358.5,333.51,310.289440547362,327.668109921875,327.668109921875,327.668109921875,327.668109921875,327.668109921875,327.668109921875,327.668109921875,327.668109921875,327.668109921875,361.438092553611
63,362.12,361.08,361.62,362.03,361.63,363.59,361.56,362.46,358.47,333.57,310.319697068178,327.701070993696,327.701070993696,327.701070993696,327.701070993696,327.701070993696,327.701070993696,327.701070993696,327.701070993696,327.701070993696,361.471053625432
64,362.11,361.08,361.6,362.02,361.64,363.58,361.53,362.46,358.43,333.65,310.349951158311,327.734029698108,327.734029698108,327.734029698108,327.734029698108,327.734029698108,327.734029698108,327.734029698108,327.734029698108,327.734029698108,361.504012329844
65,362.13,361.06,361.6,362.01,361.65,363.58,361.49,362.45,358.43,333.79,310.380202817644,327.766986034935,327.766986034935,327.766986034935,327.766986034935,327.766986034935,327.766986034935,327.766986034935,327.766986034935,327.766986034935,361.536968666671
66,362.14,361.03,361.6,362.01,361.67,363.58,361.46,362.45,358.56,333.96,310.410452046064,327.799940003998,327.799940003998,327.799940003998,327.799940003998,327.799940003998,327.799940003998,327.799940003998,327.799940003998,327.799940003998,361.569922635734
67,362.14,360.98,361.61,362.0,361.67,363.57,361.44,362.43,358.74,334.08,310.440698843457,327.832891605119,327.832891605119,327.832891605119,327.832891605119,327.832891605119,327.832891605119,327.832891605119,327.832891605119,327.832891605119,361.602874236855
68,362.13,360.95,361.61,361.99,361.68,363.54,361.46,362.39,358.95,334.2,310.470943209706,327.865840838119,327.865840838119,327.865840838119,327.865840838119,327.865840838119,327.865840838119,327.865840838119,327.865840838119,327.865840838119,361.635823469855
69,362.12,360.92,361.6,362.0,361.68,363.51,361.47,362.36,359.15,334.32,310.501185144698,327.898787702822,327.898787702822,327.898787702822,327.898787702822,327.898787702822,327.898787702822,327.898787702822,327.898787702822,327.898787702822,361.668770334558
70,362.11,360.93,361.59,362.02,361.69,363.49,361.45,362.31,359.33,334.44,310.531424648319,327.931732199048,327.931732199048,327.931732199048,327.931732199048,327.931732199048,327.931732199048,327.931732199048,327.931732199048,327.931732199048,361.701714830784
71,362.09,360.92,361.58,362.02,361.68,363.46,361.39,362.23,359.47,334.57,310.561661720453,327.964674326622,327.964674326622,327.964674326622,327.964674326622,327.964674326622,327.964674326622,327.964674326622,327.964674326622,327.964674326622,361.734656958357
72,362.06,360.88,361.57,362.03,361.69,363.43,361.32,362.16,359.57,334.69,310.591896360987,327.997614085363,327.997614085363,327.997614085363,327.997614085363,327.997614085363,327.997614085363,327.997614085363,327.997614085363,327.997614085363,361.767596717099
