Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,359.94,359.53,359.96,360.42,359.73,361.72,359.08,359.64,355.23,326.13,314.553941713851,332.316577478232,332.316577478232,332.316577478232,332.316577478232,332.316577478232,332.316577478232,332.316577478232,332.316577478232,332.316577478232,368.474106263121
1,359.98,359.58,359.99,360.44,359.75,361.73,359.21,359.79,355.49,326.1,314.587731786886,332.353432301081,332.353432301081,332.353432301081,332.353432301081,332.353432301081,332.353432301081,332.353432301081,332.353432301081,332.353432301081,368.510961085969
2,360.07,359.7,360.04,360.5,359.78,361.78,359.37,360.03,355.76,326.09,314.621519059143,332.390284421584,332.390284421584,332.390284421584,332.390284421584,332.390284421584,332.390284421584,332.390284421584,332.390284421584,332.390284421584,368.547813206472
3,360.17,359.83,360.11,360.6,359.84,361.85,359.57,360.27,355.96,326.11,314.655303530462,332.427133839499,332.427133839499,332.427133839499,332.427133839499,332.427133839499,332.427133839499,332.427133839499,332.427133839499,332.427133839499,368.584662624388
4,360.28,359.99,360.2,360.71,359.92,361.95,359.75,360.51,356.17,326.2,314.689085200682,332.463980554584,332.463980554584,332.463980554584,332.463980554584,332.463980554584,332.463980554584,332.463980554584,332.463980554584,332.463980554584,368.621509339473
5,360.41,360.14,360.3,360.84,360.02,362.05,359.94,360.7,356.44,326.35,314.722864069643,332.500824566598,332.500824566598,332.500824566598,332.500824566598,332.500824566598,332.500824566598,332.500824566598,332.500824566598,332.500824566598,368.658353351486
6,360.52,360.29,360.39,360.95,360.11,362.14,360.08,360.86,356.76,326.51,314.756640137187,332.537665875297,332.537665875297,332.537665875297,332.537665875297,332.537665875297,332.537665875297,332.537665875297,332.537665875297,332.537665875297,368.695194660186
7,360.68,360.48,360.54,361.06,360.28,362.23,360.3,360.99,357.28,326.76,314.790413403152,332.574504480441,332.574504480441,332.574504480441,332.574504480441,332.574504480441,332.574504480441,332.574504480441,332.574504480441,332.574504480441,368.73203326533
8,360.83,360.66,360.65,361.18,360.44,362.34,360.48,361.14,357.74,327.0,314.824183867378,332.611340381787,332.611340381787,332.611340381787,332.611340381787,332.611340381787,332.611340381787,332.611340381787,332.611340381787,332.611340381787,368.768869166676
9,360.93,360.75,360.71,361.31,360.53,362.45,360.57,361.29,358.0,327.16,314.857951529707,332.648173579094,332.648173579094,332.648173579094,332.648173579094,332.648173579094,332.648173579094,332.648173579094,332.648173579094,332.648173579094,368.805702363983
10,361.02,360.85,360.76,361.43,360.64,362.55,360.67,361.4,358.24,327.35,314.891716389978,332.68500407212,332.68500407212,332.68500407212,332.68500407212,332.68500407212,332.68500407212,332.68500407212,332.68500407212,332.68500407212,368.842532857009
11,361.11,360.93,360.83,361.54,360.73,362.65,360.77,361.5,358.46,327.5,314.925478448031,332.721831860625,332.721831860625,332.721831860625,332.721831860625,332.721831860625,332.721831860625,332.721831860625,332.721831860625,332.721831860625,368.879360645513
12,361.18,360.99,360.89,361.65,360.82,362.72,360.86,361.59,358.67,327.67,314.959237703708,332.758656944365,332.758656944365,332.758656944365,332.758656944365,332.758656944365,332.758656944365,332.758656944365,332.758656944365,332.758656944365,368.916185729254
13,361.21,361.07,360.95,361.75,360.89,362.8,360.93,361.7,358.84,327.81,314.992994156849,332.7954793231,332.7954793231,332.7954793231,332.7954793231,332.7954793231,332.7954793231,332.7954793231,332.7954793231,332.7954793231,368.953008107988
14,361.25,361.13,361.02,361.82,360.96,362.84,360.98,361.79,359.0,327.95,315.026747807294,332.832298996588,332.832298996588,332.832298996588,332.832298996588,332.832298996588,332.832298996588,332.832298996588,332.832298996588,332.832298996588,368.989827781477
15,361.29,361.19,361.08,361.92,361.02,362.9,361.05,361.91,359.14,328.08,315.060498654884,332.869115964589,332.869115964589,332.869115964589,332.869115964589,332.869115964589,332.869115964589,332.869115964589,332.869115964589,332.869115964589,369.026644749478
16,361.38,361.24,361.17,362.0,361.13,362.95,361.15,361.99,359.32,328.28,315.094246699459,332.905930226861,332.905930226861,332.905930226861,332.905930226861,332.905930226861,332.905930226861,332.905930226861,332.905930226861,332.905930226861,369.063459011749
17,361.45,361.23,361.24,362.09,361.22,363.0,361.25,362.06,359.46,328.48,315.127991940862,332.942741783162,332.942741783162,332.942741783162,332.942741783162,332.942741783162,332.942741783162,332.942741783162,332.942741783162,332.942741783162,369.100270568051
18,361.49,361.21,361.27,362.18,361.26,363.05,361.31,362.1,359.51,328.61,315.161734378932,332.979550633253,332.979550633253,332.979550633253,332.979550633253,332.979550633253,332.979550633253,332.979550633253,332.979550633253,332.979550633253,369.137079418142
19,361.51,361.18,361.29,362.26,361.3,363.1,361.39,362.15,359.51,328.73,315.19547401351,333.016356776892,333.016356776892,333.016356776892,333.016356776892,333.016356776892,333.016356776892,333.016356776892,333.016356776892,333.016356776892,369.17388556178
20,361.56,361.18,361.28,362.32,361.33,363.14,361.48,362.2,359.49,328.85,315.229210844439,333.053160213837,333.053160213837,333.053160213837,333.053160213837,333.053160213837,333.053160213837,333.053160213837,333.053160213837,333.053160213837,369.210688998726
21,361.6,361.19,361.29,362.35,361.38,363.15,361.54,362.24,359.43,328.97,315.262944871558,333.08996094385,333.08996094385,333.08996094385,333.08996094385,333.08996094385,333.08996094385,333.08996094385,333.08996094385,333.08996094385,369.247489728738
22,361.62,361.23,361.29,362.38,361.42,363.16,361.61,362.28,359.34,329.1,315.29667609471,333.126758966687,333.126758966687,333.126758966687,333.126758966687,333.126758966687,333.126758966687,333.126758966687,333.126758966687,333.126758966687,369.284287751576
23,361.66,361.28,361.3,362.4,361.47,363.17,361.67,362.31,359.23,329.26,315.330404513735,333.16355428211,333.16355428211,333.16355428211,333.16355428211,333.16355428211,333.16355428211,333.16355428211,333.16355428211,333.16355428211,369.321083066998
