Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,358.88,358.26,359.08,359.42,358.75,360.77,357.73,358.29,355.79,331.28,317.861052213213,339.72156990634,339.723305344943,337.545455176761,328.875732928276,321.185089512043,315.714811721516,313.72208753014,313.72208753014,313.72208753014,319.353627635208
1,358.84,358.24,359.06,359.39,358.72,360.75,357.73,358.44,355.62,330.93,317.921649722639,339.788918300428,339.790681425633,337.611632757019,328.929829801106,321.225395187568,315.745437578923,313.749830213281,313.749830213281,313.749830213281,319.381370318349
2,358.81,358.22,359.05,359.39,358.69,360.73,357.81,358.71,355.61,330.62,317.982225145668,339.856243719438,339.858034736425,337.677795132795,328.983925598151,321.265704067053,315.776068802556,313.777579635153,313.777579635153,313.777579635153,319.409119740222
3,358.73,358.16,359.06,359.4,358.66,360.74,358.01,358.98,355.74,330.35,318.042778491064,339.92354617138,339.925365284918,337.743942301314,329.038020307434,321.3060161492,315.806705392063,313.805335791948,313.805335791948,313.805335791948,319.436875897016
4,358.61,358.09,359.08,359.41,358.63,360.76,358.21,359.2,356.08,330.3,318.103309767613,339.990825664222,339.992673078597,337.810074259752,329.092113916992,321.346331432698,315.837347347089,313.83309867987,313.83309867987,313.83309867987,319.464638784938
5,358.55,358.04,359.08,359.43,358.62,360.77,358.34,359.34,356.41,330.38,318.163818984016,340.058082206059,340.059958125316,337.876191005491,329.146206414891,321.386649916225,315.867994667273,313.860868295133,313.860868295133,313.860868295133,319.492408400202
6,358.49,358.0,359.08,359.45,358.61,360.82,358.46,359.53,356.82,330.5,318.224306149068,340.125315804825,340.12722043247,337.942292535701,329.200297789192,321.426971598449,315.898647352248,313.888644633966,313.888644633966,313.888644633966,319.520184739034
7,358.44,357.96,359.07,359.45,358.61,360.85,358.6,359.69,357.21,330.64,318.284771271504,340.192526468548,340.194460007731,338.008378847702,329.254388027986,321.467296478024,315.929305401644,313.916427692604,313.916427692604,313.916427692604,319.547967797673
8,358.4,357.93,359.07,359.45,358.63,360.9,358.72,359.83,357.6,330.76,318.345214360073,340.259714205222,340.261676858676,338.074449938788,329.308477119373,321.507624553593,315.959968815083,313.944217467298,313.944217467298,313.944217467298,319.575757572366
9,358.29,357.92,359.06,359.46,358.64,360.93,358.83,359.96,357.92,330.82,318.405635423511,340.326879022857,340.328870992934,338.140505806291,329.362565051473,321.547955823788,315.990637592182,313.972013954306,313.972013954306,313.972013954306,319.603554059375
10,358.24,357.91,359.04,359.47,358.65,360.98,358.93,360.08,358.19,330.87,318.466034470577,340.394020929415,340.396042417998,338.206546447495,329.416651812414,321.588290287228,316.021311732555,313.9998171499,313.9998171499,313.9998171499,319.631357254968
11,358.21,357.87,359.02,359.49,358.67,361.02,359.08,360.18,358.54,331.0,318.526411510008,340.461139932888,340.46319114146,338.272571859747,329.470737390345,321.628627942521,316.051991235808,314.027627050361,314.027627050361,314.027627050361,319.659167155429
12,358.21,357.87,358.98,359.5,358.7,361.05,359.18,360.25,358.85,331.17,318.586766550521,340.528236041293,340.530317170978,338.338582040442,329.524821773432,321.668968788263,316.082676101543,314.055443651982,314.055443651982,314.055443651982,319.68698375705
13,358.21,357.87,358.94,359.5,358.73,361.08,359.24,360.34,359.02,331.27,318.647099600881,340.595309262559,340.597420513967,338.404576986872,329.578904949847,321.709312823041,316.113366329359,314.083266951068,314.083266951068,314.083266951068,319.714807056136
14,358.21,357.87,358.92,359.5,358.75,361.12,359.3,360.42,359.16,331.39,318.70741066978,340.662359604728,340.664501178174,338.470556696511,329.632986907792,321.749660045425,316.144061918845,314.11109694393,314.11109694393,314.11109694393,319.742637048999
