Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,360.74,360.08,360.53,360.79,360.14,361.79,358.63,359.26,356.22,335.77,329.386266207629,352.551499568358,352.553759702364,350.275738614983,339.497145930202,329.185115858301,321.851178317625,319.313289675805,319.313289675805,319.313289675805,324.944829780874
1,360.73,360.05,360.45,360.77,360.1,361.77,358.58,359.25,356.1,335.32,329.442692682252,352.614457730669,352.616742262188,350.33879488846,339.550813303571,329.226017094675,321.882851272886,319.342297678727,319.342297678727,319.342297678727,324.973837783795
2,360.73,360.01,360.37,360.76,360.05,361.74,358.51,359.34,356.2,334.95,329.499098753473,352.677394453681,352.679703492826,350.401835441933,339.604477499098,329.266921087536,321.914529448791,319.371311831352,319.371311831352,319.371311831352,325.00285193642
3,360.71,359.99,360.33,360.75,360.02,361.73,358.51,359.47,356.41,334.62,329.555484429463,352.740309744907,352.742643401356,350.464860274947,339.658138507627,329.307827833713,321.946212844181,319.40033213128,319.40033213128,319.40033213128,325.031872236348
4,360.69,359.95,360.32,360.76,360.01,361.73,358.55,359.68,356.62,334.35,329.61184971832,352.803203611948,352.805561995125,350.527869387231,339.711796320035,329.348737330031,321.977901457898,319.429358576111,319.429358576111,319.429358576111,325.06089868118
5,360.66,359.93,360.31,360.78,360.01,361.73,358.65,359.86,356.84,334.13,329.668194628211,352.866076062305,352.868459281179,350.590862778332,339.76545092719,329.389649573306,322.009595288776,319.458391163453,319.458391163453,319.458391163453,325.089931268522
6,360.61,359.92,360.3,360.82,360.02,361.76,358.83,360.03,357.18,333.88,329.724519167226,352.928927103581,352.93133526688,350.653840448006,339.819102320001,329.43056456035,322.041294335648,319.487429890915,319.487429890915,319.487429890915,325.118969995983
7,360.59,359.94,360.33,360.84,360.04,361.79,358.96,360.14,357.53,333.7,329.780823343555,352.991756743236,352.994189959158,350.716802395747,339.872750489352,329.471482287965,322.072998597345,319.516474756111,319.516474756111,319.516474756111,325.148014861179
8,360.58,359.94,360.33,360.87,360.05,361.81,359.0,360.22,357.75,333.62,329.837107165272,353.054564988879,353.057023365406,350.779748621353,339.926395426181,329.512402752948,322.104708072691,319.545525756658,319.545525756658,319.545525756658,325.177065861727
9,360.57,359.96,360.34,360.89,360.07,361.85,359.07,360.31,357.97,333.53,329.893370640534,353.117351848006,353.119835492669,350.842679124408,339.98003712141,329.553325952089,322.136422760509,319.574582890179,319.574582890179,319.574582890179,325.206122995247
