Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
571,362.19,358.26,333.06,183.66,124.89,82.55,64.62,52.62,42.62,-7.48,40.52,372.902193431979,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,401.456644690447,456.398296851395,0.0375,25900,3,0.98
572,362.24,358.3,332.63,183.57,124.75,82.47,64.61,52.71,42.62,-5.26,40.45,373.039795681161,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,401.612500448657,456.554152609606,0.0375,25900,3,0.98
573,362.55,358.94,332.55,183.51,124.68,82.44,64.79,52.91,42.8,-6.42,40.41,373.177321150069,401.768277012276,401.768277012276,401.768277012276,401.768277012276,401.768277012276,401.768277012276,401.768277012276,401.768277012276,401.768277012276,456.709929173224,0.0375,25900,3,0.98
574,362.82,359.44,332.7,183.64,124.69,82.52,65.04,53.29,43.01,-2.63,40.4,373.31476984312,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,401.923974374945,456.865626535893,0.0375,25900,3,0.98
575,363.11,359.92,332.86,183.88,124.72,82.53,65.26,53.63,43.24,-4.23,40.41,373.452141764779,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,402.079592530368,457.021244691317,0.0375,25900,3,0.98
576,363.5,360.43,333.0,183.95,124.76,82.52,65.49,53.88,43.52,-5.78,40.45,373.589436919564,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,402.235131472309,457.176783633258,0.0375,25900,3,0.98
577,363.89,360.91,333.09,184.13,124.85,82.51,65.69,54.08,43.79,-5.2,40.51,373.726655312044,402.390591194592,402.390591194592,402.390591194592,402.390591194592,402.390591194592,402.390591194592,402.390591194592,402.390591194592,402.390591194592,457.332243355541,0.0375,25900,3,0.98
578,364.21,361.4,333.13,184.44,124.98,82.53,65.87,54.28,44.06,-5.37,40.58,373.863796946839,402.545971691103,402.545971691103,402.545971691103,402.545971691103,402.545971691103,402.545971691103,402.545971691103,402.545971691103,402.545971691103,457.487623852051,0.0375,25900,3,0.98
579,364.51,361.94,333.16,184.72,125.12,82.61,66.08,54.53,44.32,-3.48,40.69,374.00086182862,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,402.701272955785,457.642925116733,0.0375,25900,3,0.98
580,364.7,362.38,333.18,185.07,125.28,82.72,66.32,54.86,44.59,-5.06,40.79,374.137849962109,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,402.856494982646,457.798147143594,0.0375,25900,3,0.98
581,364.92,363.0,333.3,185.39,125.57,82.81,66.75,55.19,45.0,-3.94,40.99,374.274761352078,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,403.011637765752,457.953289926701,0.0375,25900,3,0.98
582,365.13,363.52,333.53,185.95,125.88,83.05,67.17,55.58,45.38,-3.64,41.22,374.41159600335,403.16670129923,403.16670129923,403.16670129923,403.16670129923,403.16670129923,403.16670129923,403.16670129923,403.16670129923,403.16670129923,458.108353460179,0.0375,25900,3,0.98
583,365.2,363.8,333.8,186.32,126.14,83.17,67.5,55.85,45.66,-3.45,41.4,374.5483539208,403.321685577268,403.321685577268,403.321685577268,403.321685577268,403.321685577268,403.321685577268,403.321685577268,403.321685577268,403.321685577268,458.263337738217,0.0375,25900,3,0.98
584,365.18,364.07,334.05,186.63,126.4,83.25,67.81,56.05,45.92,-3.35,41.59,374.685035109354,403.476590594114,403.476590594114,403.476590594114,403.476590594114,403.476590594114,403.476590594114,403.476590594114,403.476590594114,403.476590594114,458.418242755062,0.0375,25900,3,0.98
585,365.13,364.32,334.27,187.11,126.69,83.39,68.04,56.2,46.15,-3.94,41.8,374.821639573987,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,403.631416344075,458.573068505024,0.0375,25900,3,0.98
586,365.12,364.58,334.55,187.48,126.96,83.54,68.32,56.39,46.38,-2.32,42.02,374.958167319726,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,403.786162821522,458.72781498247,0.0375,25900,3,0.98
587,365.19,364.77,334.83,187.81,127.25,83.72,68.57,56.63,46.59,-4.07,42.25,375.094618351648,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,403.940830020883,458.882482181831,0.0375,25900,3,0.98
588,365.31,364.92,335.13,188.23,127.53,83.88,68.8,56.8,46.8,-5.23,42.5,375.230992674881,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,404.095417936648,459.037070097597,0.0375,25900,3,0.98
589,365.49,365.05,335.46,188.63,127.82,84.11,69.01,57.1,47.0,-4.85,42.74,375.367290294604,404.249926563367,404.249926563367,404.249926563367,404.249926563367,404.249926563367,404.249926563367,404.249926563367,404.249926563367,404.249926563367,459.191578724316,0.0375,25900,3,0.98
590,365.87,365.2,335.85,189.08,128.24,84.34,69.34,57.31,47.32,-12.91,43.15,375.503511216047,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,459.3460080566,0.0375,25900,3,0.98
591,366.25,365.32,336.2,189.33,128.66,84.3,69.69,57.45,47.64,-5.78,43.58,375.639655444489,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,459.500358089119,0.0375,25900,3,0.98
592,366.25,365.39,336.43,189.64,128.91,84.62,69.97,57.69,47.88,-5.08,43.89,375.775722985261,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,459.654628816606,0.0375,25900,3,0.98
593,366.19,365.4,336.65,189.95,129.19,84.83,70.19,57.95,48.1,-5.55,44.2,375.911713843742,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,459.80882023385,0.0375,25900,3,0.98
594,366.23,365.42,336.83,190.41,129.47,85.01,70.42,58.11,48.31,-5.21,44.52,376.047628025366,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,459.962932335705,0.0375,25900,3,0.98
595,366.37,365.42,336.92,190.8,129.76,85.27,70.66,58.34,48.51,-5.78,44.84,376.183465535613,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,460.116965117081,0.0375,25900,3,0.98
596,366.52,365.44,336.94,191.17,130.05,85.49,70.92,58.68,48.73,-3.21,45.19,376.319226380017,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,460.270918572952,0.0375,25900,3,0.98
597,366.67,365.45,337.0,191.48,130.33,85.78,71.17,58.88,48.97,-4.25,45.54,376.454910564158,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,460.42479269835,0.0375,25900,3,0.98
598,366.77,365.51,337.08,191.69,130.62,85.87,71.4,59.09,49.21,-3.97,45.91,376.59051809367,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,460.578587488367,0.0375,25900,3,0.98
599,366.69,365.65,337.24,192.04,131.06,86.15,71.78,59.33,49.58,-3.73,46.47,376.726048974238,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,460.732302938158,0.0375,25900,3,0.98
600,366.63,365.7,337.39,192.31,131.49,86.36,72.18,59.64,49.96,-3.49,47.05,376.861503211593,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,460.885939042934,0.0375,25900,3,0.98
601,366.69,365.72,337.51,192.65,131.78,86.64,72.46,59.95,50.25,-3.88,47.45,376.996880811519,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,461.039495797969,0.0375,25900,3,0.98
602,366.79,365.78,337.64,192.93,132.06,86.88,72.75,60.25,50.54,-4.09,47.87,377.132181779851,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,461.192973198597,0.0375,25900,3,0.98
603,366.94,365.85,337.75,193.16,132.36,87.08,72.97,60.39,50.81,-3.65,48.29,377.267406122472,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,461.346371240211,0.0375,25900,3,0.98
604,367.08,365.95,337.83,193.47,132.65,87.26,73.18,60.71,51.07,-4.33,48.71,377.402553845317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,461.499689918265,0.0375,25900,3,0.98
605,367.19,366.0,337.92,193.74,132.96,87.56,73.41,60.87,51.34,-4.8,49.14,377.537624954369,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,461.652929228273,0.0375,25900,3,0.98
