Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
416,360.27,24.49,359.38,353.69,175.22,80.09,69.87,359.25,358.78,260.39,126.22,24.94,25.44,359.02,314.179477971694,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,385.11679129571,0.084,25900,3,0.98
417,360.25,24.57,359.36,353.56,175.22,79.99,69.79,359.21,358.77,259.93,126.13,24.95,25.44,359.02,314.254040740518,335.715121144227,335.715121144227,335.715121144227,335.715121144227,335.715121144227,335.715121144227,335.715121144227,335.715121144227,335.715121144227,385.199527670671,0.084,25900,3,0.98
418,360.35,24.55,359.38,353.41,175.6,79.98,69.7,359.2,358.81,259.5,126.27,24.95,25.44,359.32,314.328588668896,335.797843127153,335.797843127153,335.797843127153,335.797843127153,335.797843127153,335.797843127153,335.797843127153,335.797843127153,335.797843127153,385.282249653597,0.084,25900,3,0.98
419,360.55,24.49,359.49,353.33,175.95,80.14,69.63,359.34,358.91,259.13,126.52,24.95,25.45,359.75,314.403121755354,335.880550715428,335.880550715428,335.880550715428,335.880550715428,335.880550715428,335.880550715428,335.880550715428,335.880550715428,335.880550715428,385.364957241873,0.084,25900,3,0.98
420,360.72,24.56,359.62,353.31,176.41,80.32,69.61,359.52,359.01,258.91,126.74,24.95,25.44,360.03,314.477639998416,335.963243906439,335.963243906439,335.963243906439,335.963243906439,335.963243906439,335.963243906439,335.963243906439,335.963243906439,335.963243906439,385.447650432884,0.084,25900,3,0.98
421,360.87,24.72,359.75,353.32,176.94,80.51,69.62,359.75,359.18,258.59,127.03,24.96,25.45,360.29,314.552143396607,336.045922697574,336.045922697574,336.045922697574,336.045922697574,336.045922697574,336.045922697574,336.045922697574,336.045922697574,336.045922697574,385.530329224019,0.084,25900,3,0.98
422,361.05,24.73,359.87,353.35,177.36,80.68,69.62,360.01,359.33,258.33,127.19,24.97,25.45,360.54,314.626631948456,336.128587086225,336.128587086225,336.128587086225,336.128587086225,336.128587086225,336.128587086225,336.128587086225,336.128587086225,336.128587086225,385.612993612669,0.084,25900,3,0.98
423,361.19,24.67,359.99,353.4,177.69,80.89,69.64,360.29,359.45,258.14,127.45,24.96,25.45,360.76,314.701105652496,336.211237069784,336.211237069784,336.211237069784,336.211237069784,336.211237069784,336.211237069784,336.211237069784,336.211237069784,336.211237069784,385.695643596229,0.084,25900,3,0.98
424,361.34,24.6,360.11,353.46,177.95,81.11,69.67,360.56,359.59,258.02,127.64,24.96,25.44,360.95,314.775564507258,336.293872645647,336.293872645647,336.293872645647,336.293872645647,336.293872645647,336.293872645647,336.293872645647,336.293872645647,336.293872645647,385.778279172091,0.084,25900,3,0.98
425,361.48,24.49,360.23,353.53,178.23,81.32,69.72,360.85,359.75,257.95,127.95,24.96,25.44,361.12,314.850008511279,336.376493811211,336.376493811211,336.376493811211,336.376493811211,336.376493811211,336.376493811211,336.376493811211,336.376493811211,336.376493811211,385.860900337655,0.084,25900,3,0.98
426,361.62,24.42,360.35,353.6,178.44,81.59,69.8,361.14,359.89,257.96,128.4,24.96,25.44,361.25,314.924437663096,336.459100563876,336.459100563876,336.459100563876,336.459100563876,336.459100563876,336.459100563876,336.459100563876,336.459100563876,336.459100563876,385.94350709032,0.084,25900,3,0.98
427,361.79,24.61,360.51,353.68,178.7,82.04,69.92,361.56,360.0,258.03,128.76,24.96,25.44,361.41,314.998851961248,336.541692901043,336.541692901043,336.541692901043,336.541692901043,336.541692901043,336.541692901043,336.541692901043,336.541692901043,336.541692901043,386.026099427487,0.084,25900,3,0.98
428,361.95,24.69,360.65,353.73,178.77,82.45,70.06,361.99,360.13,258.12,129.1,24.96,25.43,361.57,315.073251404278,336.624270820116,336.624270820116,336.624270820116,336.624270820116,336.624270820116,336.624270820116,336.624270820116,336.624270820116,336.624270820116,386.10867734656,0.084,25900,3,0.98
429,362.04,24.83,360.71,353.73,178.76,82.66,70.16,362.27,360.25,258.22,129.38,24.96,25.45,361.63,315.14763599073,336.706834318502,336.706834318502,336.706834318502,336.706834318502,336.706834318502,336.706834318502,336.706834318502,336.706834318502,336.706834318502,386.191240844946,0.084,25900,3,0.98
430,362.11,24.75,360.76,353.73,178.84,82.86,70.28,362.54,360.35,258.33,129.7,24.96,25.43,361.69,315.222005719149,336.789383393608,336.789383393608,336.789383393608,336.789383393608,336.789383393608,336.789383393608,336.789383393608,336.789383393608,336.789383393608,386.273789920053,0.084,25900,3,0.98
431,362.19,24.64,360.8,353.71,178.95,83.09,70.41,362.81,360.43,258.47,129.98,24.96,25.42,361.76,315.296360588084,336.871918042846,336.871918042846,336.871918042846,336.871918042846,336.871918042846,336.871918042846,336.871918042846,336.871918042846,336.871918042846,386.35632456929,0.084,25900,3,0.98
432,362.26,24.62,360.85,353.69,179.0,83.3,70.55,363.08,360.52,258.55,130.19,24.96,25.41,361.85,315.370700596085,336.954438263628,336.954438263628,336.954438263628,336.954438263628,336.954438263628,336.954438263628,336.954438263628,336.954438263628,336.954438263628,386.438844790072,0.084,25900,3,0.98
433,362.35,24.55,360.9,353.66,179.28,83.53,70.72,363.34,360.58,258.61,130.47,24.96,25.42,361.94,315.445025741706,337.036944053368,337.036944053368,337.036944053368,337.036944053368,337.036944053368,337.036944053368,337.036944053368,337.036944053368,337.036944053368,386.521350579812,0.084,25900,3,0.98
434,362.41,24.5,360.96,353.66,179.62,83.76,70.88,363.61,360.6,258.61,130.6,24.95,25.41,362.01,315.519336023501,337.119435409484,337.119435409484,337.119435409484,337.119435409484,337.119435409484,337.119435409484,337.119435409484,337.119435409484,337.119435409484,386.603841935929,0.084,25900,3,0.98
435,362.52,24.49,361.1,353.67,179.66,84.16,71.17,364.01,360.66,258.65,130.9,24.95,25.41,362.11,315.593631440027,337.201912329395,337.201912329395,337.201912329395,337.201912329395,337.201912329395,337.201912329395,337.201912329395,337.201912329395,337.201912329395,386.68631885584,0.084,25900,3,0.98
436,362.63,24.6,361.23,353.65,179.49,84.47,71.47,364.4,360.74,258.7,131.11,24.96,25.4,362.17,315.667911989844,337.284374810523,337.284374810523,337.284374810523,337.284374810523,337.284374810523,337.284374810523,337.284374810523,337.284374810523,337.284374810523,386.768781336967,0.084,25900,3,0.98
437,362.71,24.57,361.29,353.62,179.49,84.64,71.66,364.65,360.82,258.74,131.25,24.96,25.41,362.25,315.742177671513,337.36682285029,337.36682285029,337.36682285029,337.36682285029,337.36682285029,337.36682285029,337.36682285029,337.36682285029,337.36682285029,386.851229376734,0.084,25900,3,0.98
438,362.79,24.47,361.31,353.55,179.49,84.81,71.86,364.88,360.9,258.81,131.46,24.96,25.41,362.31,315.816428483596,337.449256446122,337.449256446122,337.449256446122,337.449256446122,337.449256446122,337.449256446122,337.449256446122,337.449256446122,337.449256446122,386.933662972567,0.084,25900,3,0.98
439,362.85,24.67,361.33,353.45,179.51,85.02,72.07,365.11,360.96,258.88,131.71,24.96,25.41,362.35,315.89066442466,337.531675595449,337.531675595449,337.531675595449,337.531675595449,337.531675595449,337.531675595449,337.531675595449,337.531675595449,337.531675595449,387.016082121893,0.084,25900,3,0.98
440,362.91,24.77,361.36,353.35,179.54,85.22,72.29,365.34,361.02,258.96,131.83,24.97,25.42,362.41,315.964885493274,337.614080295698,337.614080295698,337.614080295698,337.614080295698,337.614080295698,337.614080295698,337.614080295698,337.614080295698,337.614080295698,387.098486822142,0.084,25900,3,0.98
441,362.98,24.79,361.38,353.26,179.62,85.39,72.5,365.57,361.06,259.0,131.91,24.98,25.42,362.44,316.039091688006,337.696470544303,337.696470544303,337.696470544303,337.696470544303,337.696470544303,337.696470544303,337.696470544303,337.696470544303,337.696470544303,387.180877070748,0.084,25900,3,0.98
442,363.03,24.77,361.39,353.19,179.74,85.51,72.71,365.79,361.11,259.0,131.99,24.97,25.42,362.42,316.113283007428,337.7788463387,337.7788463387,337.7788463387,337.7788463387,337.7788463387,337.7788463387,337.7788463387,337.7788463387,337.7788463387,387.263252865144,0.084,25900,3,0.98
443,363.07,24.75,361.42,353.17,180.01,85.67,72.92,366.01,361.16,259.02,132.21,24.97,25.42,362.39,316.187459450117,337.861207676322,337.861207676322,337.861207676322,337.861207676322,337.861207676322,337.861207676322,337.861207676322,337.861207676322,337.861207676322,387.345614202766,0.084,25900,3,0.98
444,363.09,24.7,361.46,353.19,180.38,85.88,73.15,366.22,361.18,259.04,132.57,24.96,25.41,362.37,316.261621014648,337.94355455461,337.94355455461,337.94355455461,337.94355455461,337.94355455461,337.94355455461,337.94355455461,337.94355455461,337.94355455461,387.427961081055,0.084,25900,3,0.98
445,363.09,24.72,361.49,353.26,180.74,86.24,73.51,366.5,361.19,259.06,132.75,24.97,25.42,362.46,316.335767699598,338.025886971005,338.025886971005,338.025886971005,338.025886971005,338.025886971005,338.025886971005,338.025886971005,338.025886971005,338.025886971005,387.510293497449,0.084,25900,3,0.98
446,363.08,24.71,361.52,353.37,180.91,86.56,73.88,366.77,361.2,259.09,132.85,24.97,25.42,362.46,316.409899503552,338.108204922951,338.108204922951,338.108204922951,338.108204922951,338.108204922951,338.108204922951,338.108204922951,338.108204922951,338.108204922951,387.592611449395,0.084,25900,3,0.98
447,363.03,24.5,361.54,353.46,181.24,86.83,74.13,366.95,361.2,259.11,133.09,24.96,25.41,362.38,316.484016425089,338.190508407892,338.190508407892,338.190508407892,338.190508407892,338.190508407892,338.190508407892,338.190508407892,338.190508407892,338.190508407892,387.674914934336,0.084,25900,3,0.98
448,362.96,24.59,361.58,353.57,181.78,87.08,74.4,367.14,361.21,259.1,133.27,24.97,25.41,362.33,316.558118462797,338.272797423275,338.272797423275,338.272797423275,338.272797423275,338.272797423275,338.272797423275,338.272797423275,338.272797423275,338.272797423275,387.75720394972,0.084,25900,3,0.98
449,362.93,24.67,361.62,353.7,182.28,87.3,74.66,367.31,361.24,259.01,133.4,24.96,25.42,362.33,316.632205615261,338.355071966552,338.355071966552,338.355071966552,338.355071966552,338.355071966552,338.355071966552,338.355071966552,338.355071966552,338.355071966552,387.839478492996,0.084,25900,3,0.98
450,362.89,24.73,361.64,353.79,182.69,87.56,74.93,367.47,361.29,258.91,133.69,24.97,25.42,362.31,316.706277881073,338.437332035174,338.437332035174,338.437332035174,338.437332035174,338.437332035174,338.437332035174,338.437332035174,338.437332035174,338.437332035174,387.921738561618,0.084,25900,3,0.98
451,362.84,24.47,361.67,353.88,182.84,87.81,75.2,367.64,361.33,258.85,133.96,24.96,25.41,362.29,316.780335258823,338.519577626594,338.519577626594,338.519577626594,338.519577626594,338.519577626594,338.519577626594,338.519577626594,338.519577626594,338.519577626594,388.003984153038,0.084,25900,3,0.98
452,362.8,24.3,361.69,353.98,182.67,88.0,75.47,367.81,361.37,258.86,134.02,24.96,25.41,362.29,316.854377747106,338.60180873827,338.60180873827,338.60180873827,338.60180873827,338.60180873827,338.60180873827,338.60180873827,338.60180873827,338.60180873827,388.086215264714,0.084,25900,3,0.98
453,362.75,24.43,361.71,354.1,182.2,88.22,75.87,368.09,361.41,258.92,134.07,24.96,25.41,362.28,316.928405344517,338.68402536766,338.68402536766,338.68402536766,338.68402536766,338.68402536766,338.68402536766,338.68402536766,338.68402536766,338.68402536766,388.168431894104,0.084,25900,3,0.98
454,362.72,24.46,361.73,354.2,182.25,88.44,76.26,368.36,361.46,259.01,134.09,24.96,25.4,362.3,317.002418049655,338.766227512224,338.766227512224,338.766227512224,338.766227512224,338.766227512224,338.766227512224,338.766227512224,338.766227512224,338.766227512224,388.250634038668,0.084,25900,3,0.98
455,362.75,24.46,361.74,354.26,182.42,88.64,76.51,368.53,361.49,259.07,134.2,24.96,25.42,362.34,317.076415861121,338.848415169427,338.848415169427,338.848415169427,338.848415169427,338.848415169427,338.848415169427,338.848415169427,338.848415169427,338.848415169427,388.332821695871,0.084,25900,3,0.98
456,362.8,24.39,361.72,354.31,182.45,88.86,76.77,368.7,361.52,259.12,134.39,24.97,25.42,362.4,317.150398777516,338.930588336732,338.930588336732,338.930588336732,338.930588336732,338.930588336732,338.930588336732,338.930588336732,338.930588336732,338.930588336732,388.414994863176,0.084,25900,3,0.98
457,362.92,24.34,361.76,354.39,182.57,89.06,77.05,368.88,361.53,259.18,134.52,24.96,25.41,362.46,317.224366797446,339.012747011607,339.012747011607,339.012747011607,339.012747011607,339.012747011607,339.012747011607,339.012747011607,339.012747011607,339.012747011607,388.497153538051,0.084,25900,3,0.98
458,363.05,24.49,361.79,354.43,182.56,89.24,77.3,369.02,361.54,259.3,134.83,24.97,25.41,362.47,317.298319919518,339.094891191522,339.094891191522,339.094891191522,339.094891191522,339.094891191522,339.094891191522,339.094891191522,339.094891191522,339.094891191522,388.579297717967,0.084,25900,3,0.98
459,363.19,24.55,361.84,354.47,182.66,89.42,77.58,369.17,361.56,259.45,135.09,24.97,25.41,362.46,317.372258142341,339.177020873949,339.177020873949,339.177020873949,339.177020873949,339.177020873949,339.177020873949,339.177020873949,339.177020873949,339.177020873949,388.661427400393,0.084,25900,3,0.98
460,363.35,24.56,361.87,354.48,182.61,89.59,77.85,369.32,361.6,259.59,135.32,24.97,25.41,362.49,317.446181464526,339.259136056361,339.259136056361,339.259136056361,339.259136056361,339.259136056361,339.259136056361,339.259136056361,339.259136056361,339.259136056361,388.743542582805,0.084,25900,3,0.98
461,363.47,24.49,361.93,354.47,182.65,89.76,78.12,369.45,361.61,259.71,135.51,24.97,25.41,362.55,317.520089884687,339.341236736235,339.341236736235,339.341236736235,339.341236736235,339.341236736235,339.341236736235,339.341236736235,339.341236736235,339.341236736235,388.825643262679,0.084,25900,3,0.98
462,363.59,24.46,362.0,354.47,182.68,89.97,78.37,369.59,361.63,259.76,135.61,24.96,25.41,362.62,317.593983401438,339.423322911049,339.423322911049,339.423322911049,339.423322911049,339.423322911049,339.423322911049,339.423322911049,339.423322911049,339.423322911049,388.907729437493,0.084,25900,3,0.98
463,363.7,24.43,362.08,354.44,182.87,90.31,78.77,369.79,361.66,259.85,135.84,24.96,25.41,362.61,317.6678620134,339.505394578283,339.505394578283,339.505394578283,339.505394578283,339.505394578283,339.505394578283,339.505394578283,339.505394578283,339.505394578283,388.989801104728,0.084,25900,3,0.98
464,363.81,24.58,362.14,354.42,183.09,90.68,79.18,369.98,361.71,259.97,136.03,24.97,25.41,362.64,317.741725719191,339.587451735421,339.587451735421,339.587451735421,339.587451735421,339.587451735421,339.587451735421,339.587451735421,339.587451735421,339.587451735421,389.071858261865,0.084,25900,3,0.98
465,363.9,24.65,362.17,354.42,183.34,90.88,79.46,370.11,361.74,260.06,136.24,24.98,25.42,362.64,317.815574517432,339.669494379948,339.669494379948,339.669494379948,339.669494379948,339.669494379948,339.669494379948,339.669494379948,339.669494379948,339.669494379948,389.153900906392,0.084,25900,3,0.98
466,363.99,24.7,362.2,354.42,183.52,91.02,79.73,370.2,361.78,260.13,136.31,24.97,25.42,362.62,317.889408406749,339.751522509349,339.751522509349,339.751522509349,339.751522509349,339.751522509349,339.751522509349,339.751522509349,339.751522509349,339.751522509349,389.235929035793,0.084,25900,3,0.98
