Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
796,360.26,24.58,359.46,351.05,173.66,79.86,68.61,359.35,358.47,253.96,126.07,25.98,27.06,359.07,344.243791124592,369.164757528995,369.16625741383,369.167757298664,369.169257183499,368.656408766862,368.575435616002,368.575435616002,368.575435616002,368.575435616002,380.951957812619,0.084,25900,25,0.98
797,360.26,24.57,359.47,351.02,173.57,79.91,68.59,359.31,358.51,253.86,126.0,25.98,27.07,359.14,344.3106605237,369.239680317608,369.241122610959,369.242564904309,369.24400719766,368.733555586551,368.652722910771,368.652722910771,368.652722910771,368.652722910771,381.029245107388,0.084,25900,25,0.98
798,360.28,24.51,359.53,351.08,173.64,80.06,68.62,359.3,358.62,253.71,126.09,25.98,27.06,359.26,344.377503299129,369.314575898783,369.315961700098,369.317347501414,369.31873330273,368.810671556359,368.729979570035,368.729979570035,368.729979570035,368.729979570035,381.106501766652,0.084,25900,25,0.98
799,360.32,24.45,359.61,351.17,173.79,80.25,68.65,359.3,358.8,253.62,126.29,25.98,27.07,359.39,344.444319455354,369.389444277257,369.390774687912,369.392105098567,369.393435509221,368.887756694705,368.807205610957,368.807205610957,368.807205610957,368.807205610957,381.183727807574,0.084,25900,25,0.98
800,360.37,24.42,359.68,351.3,173.94,80.49,68.7,359.33,359.0,253.56,126.48,25.98,27.07,359.51,344.511108996881,369.464285457779,369.465561581037,369.466837704294,369.468113827551,368.964811020015,368.884401050711,368.884401050711,368.884401050711,368.884401050711,381.260923247328,0.084,25900,25,0.98
801,360.41,24.56,359.75,351.45,174.1,80.76,68.78,359.38,359.2,253.5,126.66,25.99,27.07,359.63,344.577871928307,369.539099445082,369.540322385953,369.541545326823,369.542768267694,369.041834550426,368.961565906184,368.961565906184,368.961565906184,368.961565906184,381.338088102801,0.084,25900,25,0.98
802,360.47,24.72,359.84,351.59,174.29,81.02,68.87,359.42,359.32,253.46,126.79,25.99,27.08,359.7,344.644608253943,369.613886243999,369.615057109757,369.616227975515,369.617398841273,369.118827305575,369.038700195738,369.038700195738,369.038700195738,369.038700195738,381.415222392355,0.084,25900,25,0.98
803,360.5,24.65,359.93,351.71,174.38,81.26,68.99,359.47,359.47,253.41,126.8,25.99,27.08,359.78,344.71131797858,369.688645859235,369.689765758595,369.690885657954,369.692005557314,369.195789302962,369.115803935633,369.115803935633,369.115803935633,369.115803935633,381.49232613225,0.084,25900,25,0.98
804,360.56,24.65,360.1,351.79,174.56,81.67,69.18,359.54,359.62,253.38,127.05,25.99,27.08,359.87,344.778001106721,369.763378295597,369.764448339238,369.765518382878,369.766588426518,369.272721365155,369.192877143626,369.192877143626,369.192877143626,369.192877143626,381.569399340243,0.084,25900,25,0.98
805,360.64,24.7,360.27,351.84,174.74,82.16,69.4,359.6,359.77,253.43,127.52,25.99,27.08,359.96,344.844657642973,369.838083557876,369.83910485827,369.840126158665,369.84114745906,369.349623916727,369.269919837115,369.269919837115,369.269919837115,369.269919837115,381.646442033732,0.084,25900,25,0.98
806,360.71,24.58,360.39,351.89,175.04,82.52,69.58,359.65,359.9,253.5,127.98,25.99,27.08,360.02,344.911287591952,369.912761650873,369.913735322296,369.914708993719,369.915682665142,369.426495755613,369.346932033605,369.346932033605,369.346932033605,369.346932033605,381.723454230222,0.084,25900,25,0.98
807,360.8,24.44,360.48,351.95,175.53,82.9,69.79,359.7,360.02,253.62,128.55,25.99,27.09,360.07,344.977890958311,369.987412579395,369.988339737876,369.989266896357,369.990194054837,369.503336900569,369.423913750575,369.423913750575,369.423913750575,369.423913750575,381.800435947192,0.084,25900,25,0.98
808,360.89,24.6,360.55,352.03,176.11,83.31,70.02,359.75,360.14,253.75,129.13,25.99,27.09,360.1,345.044467746709,370.062036348264,370.062918111588,370.063799874912,370.064681638236,369.580147370456,369.500865005602,369.500865005602,369.500865005602,369.500865005602,381.877387202219,0.084,25900,25,0.98
809,360.96,24.74,360.6,352.12,176.7,83.71,70.28,359.8,360.23,253.82,129.51,25.99,27.1,360.14,345.111017961829,370.136632962305,370.137470449993,370.138307937681,370.139145425368,369.656927184162,369.577785816294,369.577785816294,369.577785816294,369.577785816294,381.954308012911,0.084,25900,25,0.98
810,361.03,24.69,360.65,352.21,177.08,84.12,70.54,359.84,360.35,253.95,130.01,26.0,27.1,360.19,345.177541608375,370.211202426357,370.211996759642,370.212791092926,370.213585426211,369.733676360618,369.654676200294,369.654676200294,369.654676200294,369.654676200294,382.031198396911,0.084,25900,25,0.98
811,361.09,24.54,360.7,352.31,177.49,84.51,70.82,359.88,360.48,254.06,130.48,25.99,27.1,360.23,345.244038691072,370.285744745266,370.286497047082,370.287249348899,370.288001650715,369.810394918811,369.731536175307,369.731536175307,369.731536175307,369.731536175307,382.108058371924,0.084,25900,25,0.98
812,361.15,24.53,360.72,352.42,177.92,84.87,71.1,359.92,360.62,254.12,130.87,25.99,27.1,360.29,345.310509214663,370.360259923886,370.360971318845,370.361682713805,370.362394108764,369.887082877756,369.808365759058,369.808365759058,369.808365759058,369.808365759058,382.184887955675,0.084,25900,25,0.98
813,361.23,24.59,360.75,352.57,178.45,85.37,71.57,359.99,360.78,254.17,131.23,25.99,27.1,360.4,345.376953183917,370.434747967083,370.435419581455,370.436091195828,370.4367628102,369.963740256512,369.88516496932,369.88516496932,369.88516496932,369.88516496932,382.261687165937,0.084,25900,25,0.98
814,361.32,24.48,360.78,352.73,178.98,85.87,72.06,360.06,360.94,254.24,131.57,25.99,27.1,360.5,345.443370603611,370.509208879731,370.509841841446,370.51047480316,370.511107764875,370.040368028511,369.961933823949,369.961933823949,369.961933823949,369.961933823949,382.338456020566,0.084,25900,25,0.98
815,361.39,24.55,360.8,352.85,179.34,86.15,72.42,360.1,361.09,254.3,131.8,25.99,27.1,360.58,345.509761478559,370.583642666712,370.584238105303,370.584833543895,370.585428982486,370.116966266493,370.038672340753,370.038672340753,370.038672340753,370.038672340753,382.41519453737,0.084,25900,25,0.98
816,361.45,24.52,360.83,352.95,179.61,86.39,72.78,360.14,361.2,254.33,131.89,25.99,27.1,360.66,345.576125813578,370.65804933292,370.658608379552,370.659167426183,370.659726472814,370.193533970461,370.115380537683,370.115380537683,370.115380537683,370.115380537683,382.4919027343,0.084,25900,25,0.98
817,361.42,24.6,360.86,353.03,179.88,86.62,73.15,360.18,361.26,254.32,132.02,25.99,27.1,360.74,345.642463613518,370.732428883258,370.732952670675,370.733476458092,370.734000245509,370.270071159646,370.192058432664,370.192058432664,370.192058432664,370.192058432664,382.568580629281,0.084,25900,25,0.98
