Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
747,360.19,356.94,359.08,348.77,161.47,62.47,52.13,359.23,357.79,241.62,107.2,24.22,27.78,358.57,415.157813686184,449.709162415785,426.152480098497,382.631488141164,347.063542389831,324.550639450232,312.171217486742,305.988159670114,303.313692731887,302.829828948073,303.036056704701,0.084,25900,90,0.98
748,360.19,357.75,359.06,348.4,161.37,62.58,52.17,359.2,357.75,241.25,107.29,24.22,27.77,358.55,415.250507753833,449.816035276201,426.272833476258,382.735776790928,347.137687064327,324.595928891957,312.196142173954,306.001349693182,303.321531927133,302.836714712977,303.042942469605,0.084,25900,90,0.98
749,360.2,358.56,359.03,348.04,161.4,62.81,52.23,359.16,357.73,240.96,107.62,24.23,27.78,358.55,415.343072317918,449.922763747058,426.393067337393,382.840006897072,347.211826230789,324.641237566576,312.221088768923,306.014556241634,303.329383094896,302.843611486302,303.04983924293,0.084,25900,90,0.98
750,360.2,358.9,359.02,347.69,161.48,63.08,52.33,359.12,357.73,240.73,107.87,24.23,27.77,358.55,415.435507614364,450.029348082456,426.513181808934,382.944178432914,347.285959796023,324.686565402899,312.246057245589,306.027779317021,303.337246245728,302.850519279698,303.056747036327,0.084,25900,90,0.98
751,360.19,359.06,359.0,347.38,161.58,63.34,52.45,359.09,357.77,240.53,108.06,24.23,27.77,358.54,415.527813882535,450.13578852937,426.633177014134,383.048291370693,347.360087666724,324.731912329706,312.271047577808,306.041018920828,303.345121390157,302.857438104801,303.063665861429,0.084,25900,90,0.98
752,360.19,359.24,358.98,347.12,161.58,63.59,52.57,359.05,357.8,240.37,108.17,24.24,27.78,358.53,415.619991351607,450.242085349948,426.753053084977,383.15234568638,347.43420975098,324.777278276158,312.296059739442,306.054275054486,303.353008538683,302.864367973224,303.070595729853,0.084,25900,90,0.98
753,360.17,359.36,358.95,346.84,161.63,63.97,52.79,358.99,357.82,240.29,108.26,24.24,27.77,358.49,415.712040273135,450.34823876897,426.87281013284,383.256341348359,347.508325954671,324.822663170793,312.321093704143,306.067547719343,303.360907701775,302.871308896566,303.077536653195,0.084,25900,90,0.98
754,360.13,359.61,358.93,346.73,161.75,64.43,53.04,358.91,357.83,240.23,108.47,24.23,27.78,358.43,415.803960865735,450.454249062671,426.992448298031,383.360278336581,347.582436187625,324.868066943254,312.346149445726,306.080836916718,303.368818889879,302.878260886405,303.084488643034,0.084,25900,90,0.98
755,360.1,359.87,358.92,346.73,161.83,64.77,53.23,358.88,357.83,240.24,108.76,24.24,27.78,358.41,415.895753379926,450.560116454979,427.11196769192,383.464156620121,347.656540356343,324.913489522243,312.371226937724,306.094142647835,303.376742113411,302.8852239543,303.091451710928,0.084,25900,90,0.98
756,360.07,359.88,358.91,346.76,161.88,65.07,53.43,358.83,357.82,240.32,109.04,24.23,27.78,358.37,415.990934118452,450.660125653698,427.228139692826,383.566723242463,347.730237020258,324.958819988234,312.396302545335,306.107461313091,303.384676925041,302.8921980772,303.098425833828,0.084,25900,90,0.98
757,360.04,359.76,358.88,346.81,161.96,65.33,53.65,358.79,357.82,240.39,109.2,24.24,27.77,358.35,416.08721553671,450.760590676195,427.343056265125,383.668786718375,347.803783783869,325.004129060194,312.42139119527,306.120795154145,303.392623606214,302.899183272154,303.105411028783,0.084,25900,90,0.98
758,360.0,359.84,358.85,346.9,162.12,65.6,53.87,358.75,357.83,240.49,109.5,24.24,27.78,358.32,416.183365191107,450.871256482506,427.457848156975,383.770785290013,347.877320748003,325.049455327387,312.446501075124,306.134145418455,303.400582323482,302.906179560066,303.112407316695,0.084,25900,90,0.98
759,359.97,360.11,358.82,347.03,162.48,65.89,54.12,358.71,357.85,240.65,109.95,24.23,27.78,358.31,416.279383320391,450.981774949382,427.572515506572,383.872718939573,347.950847820524,325.094798716023,312.471632156313,306.147512106221,303.408553086858,302.913186952205,303.119414708834,0.084,25900,90,0.98
760,359.95,360.36,358.79,347.16,162.87,66.18,54.36,358.68,357.87,240.8,110.22,24.23,27.79,358.29,416.375270162844,451.092146335064,427.687058451833,383.974587649538,348.024364909642,325.140159152426,312.496784410207,306.160895217585,303.416535906325,302.920205459819,303.126433216448,0.084,25900,90,0.98
761,359.9,360.76,358.75,347.31,163.18,66.48,54.62,358.63,357.89,241.08,110.52,24.24,27.79,358.26,416.471025956279,451.202370897315,427.801442430236,384.076391402676,348.097871923876,325.185536562999,312.521957808115,306.174294752624,303.424530791839,302.927235094136,303.133462850764,0.084,25900,90,0.98
762,359.86,361.15,358.71,347.59,163.65,66.92,55.04,358.59,357.92,241.37,110.86,24.25,27.8,358.23,416.542480826469,451.284649880459,427.938063692637,384.18686236139,348.174189081904,325.231716672284,312.547321894356,306.1877372953,303.432541378425,302.934276408063,303.140504164692,0.084,25900,90,0.98
