Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
344,359.75,342.2,359.02,348.5,159.69,61.61,52.53,358.54,358.2,240.85,105.36,26.73,27.47,358.38,363.935475443417,391.127140922073,366.581435679521,336.859777848073,318.229362247964,308.666565296581,304.080398128676,301.931762728079,300.996847084134,300.817751585087,301.023979341716,0.084,25900,90,0.98
345,359.66,343.82,358.96,348.27,159.84,61.72,52.56,358.48,358.18,240.59,105.43,26.73,27.46,358.31,364.106897993531,391.322626192215,366.758785965648,336.978259780657,318.294166892671,308.698520267855,304.095606714301,301.939056406641,301.000830983738,300.821156764944,301.027384521572,0.084,25900,90,0.98
346,359.63,345.9,358.93,348.13,160.06,61.93,52.62,358.44,358.14,240.43,105.8,26.73,27.47,358.27,364.278030259425,391.517811247703,366.935990299311,337.096752749274,318.359028268418,308.730517365351,304.110838012639,301.946361820834,301.004822218632,300.824568565664,301.030796322293,0.084,25900,90,0.98
347,359.6,346.89,358.91,348.02,160.2,62.25,52.71,358.4,358.1,240.4,106.39,26.73,27.48,358.24,364.448872897403,391.712696659609,367.113048595346,337.215328824677,318.423946191127,308.762556579328,304.126092047922,301.953678988327,301.008820798917,300.827986995589,301.034214752218,0.084,25900,90,0.98
348,359.58,347.28,358.89,347.95,160.42,62.66,52.81,358.36,358.06,240.5,107.17,26.74,27.48,358.22,364.619426561214,391.90728299855,367.289960770645,337.333914178037,318.488920476431,308.794637899603,304.141368844272,301.961007926789,301.012826734713,300.831412063079,301.037639819708,0.084,25900,90,0.98
349,359.55,347.92,358.86,347.95,160.72,63.13,52.94,358.32,358.03,240.65,107.88,26.73,27.47,358.18,364.789691901663,392.101570835519,367.466726744417,337.452508416134,318.55395093968,308.826761315545,304.156668425706,301.968348653889,301.016840036157,300.834843776519,301.041071533148,0.084,25900,90,0.98
350,359.54,348.32,358.83,347.96,161.16,63.59,53.1,358.28,358.01,240.77,108.25,26.73,27.48,358.14,364.966718296796,392.283548168178,367.640018046222,337.570484328905,318.618956400852,308.858918527695,304.171993389494,301.975702131755,301.020861604615,300.838282843408,301.044510600037,0.084,25900,90,0.98
351,359.51,348.62,358.81,348.01,161.69,64.08,53.3,358.23,357.97,240.97,108.73,26.73,27.48,358.1,365.145290010944,392.462101449012,367.81227603462,337.68829491647,318.683993885511,308.891115138928,304.187341772504,301.98306766464,301.024890788979,300.841728753827,301.047956510455,0.084,25900,90,0.98
352,359.49,349.51,358.79,348.08,162.15,64.56,53.53,358.19,357.96,241.18,109.22,26.73,27.48,358.07,365.323580495589,392.640344667849,367.984360958648,337.806101042602,318.749083868498,308.92335322004,304.20271292082,301.990445023582,301.028927368214,300.845181334899,301.051409091528,0.084,25900,90,0.98
353,359.46,351.27,358.73,348.19,162.83,65.28,53.92,358.13,357.94,241.45,109.8,26.74,27.49,358.03,365.474738849193,392.86407112374,368.16906649112,337.926344627179,318.81454890735,308.955667054104,304.21809748924,301.997830703748,301.032967965439,300.848637935863,301.054865692492,0.084,25900,90,0.98
354,359.42,352.7,358.68,348.32,163.47,66.01,54.36,358.07,357.93,241.73,110.26,26.74,27.49,358.01,365.643791895449,393.0565029026,368.344987817615,338.044953338508,318.879853746377,308.98800028864,304.233511397266,302.005230662031,301.037018274416,300.852103026515,301.058330783143,0.084,25900,90,0.98
355,359.39,353.4,358.66,348.46,163.81,66.52,54.68,358.03,357.91,241.9,110.53,26.73,27.48,358.0,365.812560371193,393.248639849651,368.520762056538,338.163568356354,318.945213577122,309.020375531508,304.248948229867,302.012642514529,301.041076010174,300.855574813831,301.061802570459,0.084,25900,90,0.98
356,359.39,354.05,358.64,348.6,164.3,67.07,55.03,358.0,357.91,242.14,111.16,26.73,27.49,358.0,365.981044909968,393.440482528896,368.696389141907,338.282189299714,319.01062821275,309.052792768866,304.264408010263,302.020066278897,301.045141182979,300.859053306351,301.065281062979,0.084,25900,90,0.98
357,359.37,354.44,358.61,348.77,164.87,67.63,55.4,357.95,357.9,242.4,111.96,26.73,27.49,357.99,366.149246143592,393.63203150263,368.871869009248,338.400815789251,319.076097466182,309.085251986432,304.279890761556,302.027501972787,301.049213803113,300.862538512634,301.068766269262,0.084,25900,90,0.98
358,359.35,354.97,358.59,348.94,165.46,68.15,55.79,357.91,357.9,242.74,112.62,26.73,27.49,357.98,366.317164701792,393.823287332162,369.047201595837,338.519447447377,319.141621150132,309.117753169496,304.295396506741,302.034949613849,301.053293880879,300.866030441264,301.072258197892,0.084,25900,90,0.98
359,359.34,355.0,358.56,349.11,166.03,68.65,56.21,357.88,357.9,243.04,113.15,26.72,27.48,357.99,366.484801212909,394.014250576575,369.222386840327,338.638083898152,319.207199077082,309.15029630291,304.310925268691,302.042409219732,301.057381426596,300.869529100844,301.075756857473,0.084,25900,90,0.98
360,359.35,355.09,358.53,349.29,166.48,69.07,56.64,357.85,357.9,243.28,113.41,26.73,27.48,357.98,366.652156303268,394.204921793958,369.397424683106,338.756724767389,319.272831059325,309.182881371101,304.326477070168,302.049880808081,301.061476450601,300.873034500001,301.079262256629,0.084,25900,90,0.98
361,359.34,354.92,358.5,349.47,166.87,69.44,57.08,357.81,357.9,243.52,113.68,26.73,27.48,357.95,366.819230597441,394.395301540791,369.572315066042,338.875369682543,319.338516908929,309.215508358055,304.342051933812,302.057364396534,301.065578963249,300.876546647382,301.08277440401,0.084,25900,90,0.98
362,359.33,354.65,358.47,349.71,167.56,70.04,57.76,357.76,357.92,243.78,114.15,26.73,27.47,357.95,366.986024718397,394.585390371828,369.747057932491,338.994018272766,319.404256437783,309.24817724734,304.35764988215,302.064860002731,301.069688974912,300.880065551656,301.086293308284,0.084,25900,90,0.98
363,359.33,354.64,358.44,349.93,168.33,70.68,58.49,357.71,357.92,244.12,114.71,26.73,27.47,357.93,367.152539286847,394.775188841223,369.92165322758,339.112670168921,319.470049457583,309.280888022089,304.37327093759,302.072367644303,301.073806495982,300.883591221513,301.089818978142,0.084,25900,90,0.98
364,359.32,354.83,358.4,350.08,168.81,71.11,58.98,357.68,357.93,244.37,115.04,26.73,27.47,357.92,367.318774922541,394.964697500272,370.09610089758,339.231325003496,319.535895779841,309.313640665012,304.388915122418,302.079887338882,301.077931536867,300.887123665667,301.093351422296,0.084,25900,90,0.98
365,359.32,355.34,358.38,350.23,169.32,71.55,59.5,357.64,357.95,244.77,115.54,26.73,27.48,357.91,367.484732242572,395.153916900406,370.270400890671,339.349982410702,319.601795215902,309.346435158397,304.404582458805,302.087419104091,301.082064107993,300.890662892851,301.09689064948,0.084,25900,90,0.98
366,359.31,355.85,358.36,350.39,169.79,72.01,60.06,357.63,357.97,245.17,116.06,26.73,27.48,357.9,367.650411863478,395.342847589588,370.444553155958,339.468642026309,319.667747576924,309.3792714841,304.420272968796,302.094962957551,301.086204219804,300.89420891182,301.100436668448,0.084,25900,90,0.98
367,359.32,356.38,358.34,350.55,170.2,72.43,60.6,357.58,357.99,245.58,116.51,26.73,27.48,357.9,367.815814398829,395.531490116436,370.61855764463,339.587303487869,319.733752673919,309.412149623563,304.43598667432,302.102518916877,301.09035188276,300.897761731349,301.103989487978,0.084,25900,90,0.98
368,359.31,356.89,358.32,350.73,170.65,72.88,61.17,357.57,358.01,245.97,117.05,26.74,27.48,357.89,367.980940460884,395.719845027425,370.79241430917,339.705966434567,319.799810317753,309.445069557809,304.451723597181,302.110086999678,301.094507107341,300.901321360238,301.107549116866,0.084,25900,90,0.98
369,359.3,357.21,358.31,350.9,171.15,73.32,61.74,357.53,358.04,246.33,117.59,26.74,27.48,357.89,368.145790661017,395.907912866178,370.966123102998,339.824630507093,319.8659203191,309.478031267432,304.467483759061,302.117667223559,301.098669904044,300.904887807304,301.111115563933,0.084,25900,90,0.98
370,359.28,358.0,358.28,351.15,171.78,73.96,62.62,357.5,358.07,246.71,118.0,26.75,27.48,357.87,368.310365607036,396.095694178073,371.139683982009,339.94329534803,319.932082488547,309.511034732619,304.483267181519,302.125259606118,301.10284028338,300.908461081388,301.114688838016,0.084,25900,90,0.98
371,359.26,358.41,358.24,351.43,172.14,74.47,63.51,357.45,358.08,246.92,118.08,26.74,27.5,357.86,368.474665907064,396.283189503619,371.313096902416,340.06196060134,319.998296636501,309.54409331329,304.499073885991,302.132864164949,301.107018255882,300.912041191351,301.11826894798,0.084,25900,90,0.98
372,359.24,358.8,358.23,351.61,172.32,74.79,64.11,357.41,358.1,247.18,118.17,26.74,27.48,357.84,368.638692166009,396.4703993845,371.486361822664,340.180625912802,320.064562573262,309.577202059857,304.514903893787,302.140480917637,301.111203832098,300.915628146075,301.121855902704,0.084,25900,90,0.98
373,359.22,359.42,358.21,351.81,172.55,75.13,64.72,357.39,358.12,247.43,118.34,26.74,27.49,357.82,368.802444988285,396.657324358964,371.659478702008,340.299290929707,320.130880108988,309.610352656641,304.530757226092,302.148109881762,301.115397022593,300.919221954464,301.125449711093,0.084,25900,90,0.98
374,359.21,359.98,358.2,352.02,172.83,75.46,65.34,357.37,358.15,247.73,118.63,26.74,27.49,357.8,368.965924975192,396.843964966292,371.832447501741,340.41795530107,320.197249053739,309.643545082145,304.546633903964,302.155751074897,301.119597837951,300.922822625442,301.129050382071,0.084,25900,90,0.98
375,359.2,360.45,358.19,352.24,172.93,75.76,65.95,357.34,358.16,248.06,118.82,26.74,27.49,357.78,369.129132727611,397.030321742245,372.005268183957,340.536618677426,320.263669217446,309.676779314451,304.562533948337,302.163404514607,301.12380628877,300.926430167954,301.132657924582,0.084,25900,90,0.98
376,359.19,360.85,358.16,352.45,172.92,76.01,66.58,357.31,358.18,248.37,118.87,26.74,27.5,357.76,369.292068844693,397.21639522127,372.17794071209,340.655280710893,320.330140409925,309.710055331232,304.578457380016,302.171070218451,301.128022385668,300.930044590965,301.136272347594,0.084,25900,90,0.98
377,359.17,361.25,358.15,352.67,173.03,76.24,67.2,357.29,358.19,248.69,118.93,26.75,27.5,357.75,369.454733922854,397.402185938311,372.350465051526,340.77394105534,320.396662440921,309.743373109753,304.594404219678,302.178748203979,301.132246139279,300.933665903464,301.139893660092,0.084,25900,90,0.98
378,359.16,361.57,358.13,352.88,173.16,76.48,67.81,357.25,358.21,248.88,118.96,26.74,27.49,357.73,369.617128557545,397.58769442568,372.522841168587,340.892599366136,320.463235120062,309.776732626868,304.610374487873,302.186438488733,301.136477560254,300.937294114457,301.143521871085,0.084,25900,90,0.98
379,359.14,361.76,358.13,353.08,173.32,76.73,68.43,357.24,358.22,249.13,119.02,26.74,27.48,357.72,369.779253342598,397.772921214344,372.695069030959,341.011255300258,320.529858256895,309.810133859028,304.62636820502,302.194141090249,301.14071665926,300.940929232972,301.147156989601,0.084,25900,90,0.98
380,359.12,362.21,358.11,353.36,173.58,77.09,69.35,357.19,358.25,249.39,119.11,26.74,27.5,357.7,369.941108869884,397.957866834414,372.867148607756,341.129908516277,320.596531660875,309.843576782272,304.642385391408,302.20185602605,301.144963446981,300.944571268059,301.150799024687,0.084,25900,90,0.98
381,359.09,362.67,358.09,353.62,173.74,77.51,70.26,357.14,358.27,249.62,119.23,26.73,27.49,357.68,370.102695730236,398.142531813631,373.039079869095,341.248558674294,320.663255141384,309.877061372247,304.658426067199,302.209583313655,301.149217934121,300.948220228787,301.154447985415,0.084,25900,90,0.98
382,359.06,363.05,358.07,353.79,174.02,77.86,70.9,357.12,358.29,249.89,119.57,26.74,27.5,357.66,370.264014511465,398.32691668073,373.210862787165,341.367205436164,320.730028507751,309.91058760419,304.67449025242,302.217322970571,301.153480131396,300.951876124245,301.158103880874,0.084,25900,90,0.98
383,359.05,363.64,358.07,353.97,174.35,78.22,71.53,357.1,358.32,250.2,120.11,26.75,27.49,357.65,370.425065802186,398.511021959023,373.382497334085,341.485848464982,320.796851569182,309.944155452937,304.690577966969,302.225075014297,301.157750049541,300.955538963545,301.161766720174,0.084,25900,90,0.98
384,359.02,364.16,358.05,354.13,174.66,78.62,72.17,357.08,358.35,250.56,120.69,26.75,27.49,357.64,370.585850185871,398.694848176404,373.553981200609,341.604487425872,320.863724134907,309.977764892936,304.706689230612,302.23283946232,301.162027699308,300.959208755818,301.165436512446,0.084,25900,90,0.98
385,359.0,364.4,358.04,354.3,175.03,79.05,72.81,357.04,358.36,250.82,121.05,26.74,27.49,357.64,370.746368248152,398.87839585309,373.72529977241,341.723121985037,320.930646014008,310.011415898225,304.722824062979,302.24061633212,301.166313091463,300.962885510214,301.169113266842,0.084,25900,90,0.98
386,358.98,364.47,358.02,354.45,175.5,79.5,73.46,357.02,358.39,251.18,121.63,26.74,27.48,357.62,370.906620569702,399.061665513637,373.896469398916,341.841751810648,320.997617015599,310.045108442461,304.738982483573,302.248405641166,301.170606236793,300.966569235905,301.172796992534,0.084,25900,90,0.98
