Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
643,359.33,358.89,359.42,359.89,359.19,361.3,358.94,359.79,357.69,334.72,308.691371030692,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,371.490854867295,0.1575,25900,3,0.98
644,359.37,358.93,359.45,359.93,359.22,361.33,359.1,360.06,357.74,334.44,308.7317157786,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,371.535539689512,0.1575,25900,3,0.98
645,359.47,359.06,359.52,360.03,359.28,361.38,359.3,360.4,357.86,334.28,308.772056337812,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,371.580220474377,0.1575,25900,3,0.98
646,359.61,359.22,359.6,360.16,359.36,361.49,359.47,360.68,358.02,334.22,308.812392708079,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,371.624897221467,0.1575,25900,3,0.98
647,359.75,359.39,359.69,360.32,359.46,361.61,359.66,360.93,358.2,334.2,308.852724889152,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,371.669569930362,0.1575,25900,3,0.98
648,359.95,359.64,359.81,360.44,359.64,361.71,359.94,361.12,358.47,334.28,308.893052880785,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,371.714238600642,0.1575,25900,3,0.98
649,360.16,359.92,359.96,360.61,359.85,361.85,360.19,361.38,358.81,334.42,308.93337668273,329.816398433596,329.816398433596,329.816398433596,329.816398433596,329.816398433596,329.816398433596,329.816398433596,329.816398433596,329.816398433596,371.758903231887,0.1575,25900,3,0.98
650,360.29,360.1,360.06,360.79,360.01,361.99,360.3,361.63,359.06,334.52,308.973696294738,329.861059025386,329.861059025386,329.861059025386,329.861059025386,329.861059025386,329.861059025386,329.861059025386,329.861059025386,329.861059025386,371.803563823676,0.1575,25900,3,0.98
651,360.42,360.26,360.17,360.98,360.17,362.16,360.42,361.84,359.3,334.64,309.014011716563,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,371.84822037559,0.1575,25900,3,0.98
652,360.52,360.39,360.3,361.15,360.33,362.31,360.53,362.0,359.54,334.76,309.054322947957,329.95036808892,329.95036808892,329.95036808892,329.95036808892,329.95036808892,329.95036808892,329.95036808892,329.95036808892,329.95036808892,371.89287288721,0.1575,25900,3,0.98
653,360.64,360.51,360.42,361.33,360.48,362.46,360.66,362.06,359.76,334.9,309.094629988674,329.995016559825,329.995016559825,329.995016559825,329.995016559825,329.995016559825,329.995016559825,329.995016559825,329.995016559825,329.995016559825,371.937521358115,0.1575,25900,3,0.98
654,360.74,360.61,360.54,361.49,360.64,362.6,360.8,362.06,359.99,335.04,309.134932838466,330.039660989596,330.039660989596,330.039660989596,330.039660989596,330.039660989596,330.039660989596,330.039660989596,330.039660989596,330.039660989596,371.982165787887,0.1575,25900,3,0.98
655,360.83,360.7,360.64,361.59,360.77,362.67,360.93,362.08,360.2,335.17,309.175231497087,330.084301377815,330.084301377815,330.084301377815,330.084301377815,330.084301377815,330.084301377815,330.084301377815,330.084301377815,330.084301377815,372.026806176106,0.1575,25900,3,0.98
656,360.93,360.83,360.76,361.72,360.94,362.8,361.08,362.17,360.47,335.37,309.21552596429,330.128937724062,330.128937724062,330.128937724062,330.128937724062,330.128937724062,330.128937724062,330.128937724062,330.128937724062,330.128937724062,372.071442522352,0.1575,25900,3,0.98
657,361.03,360.88,360.87,361.84,361.07,362.91,361.25,362.32,360.7,335.56,309.25581623983,330.173570027918,330.173570027918,330.173570027918,330.173570027918,330.173570027918,330.173570027918,330.173570027918,330.173570027918,330.173570027918,372.116074826209,0.1575,25900,3,0.98
658,361.07,360.89,360.94,361.92,361.16,363.01,361.41,362.48,360.84,335.68,309.296102323459,330.218198288965,330.218198288965,330.218198288965,330.218198288965,330.218198288965,330.218198288965,330.218198288965,330.218198288965,330.218198288965,372.160703087256,0.1575,25900,3,0.98
659,361.09,360.9,361.02,361.96,361.25,363.11,361.54,362.56,360.98,335.8,309.336384214932,330.262822506785,330.262822506785,330.262822506785,330.262822506785,330.262822506785,330.262822506785,330.262822506785,330.262822506785,330.262822506785,372.205327305075,0.1575,25900,3,0.98
660,361.11,360.92,361.11,361.97,361.33,363.18,361.69,362.58,361.11,335.92,309.376661914004,330.307442680958,330.307442680958,330.307442680958,330.307442680958,330.307442680958,330.307442680958,330.307442680958,330.307442680958,330.307442680958,372.249947479249,0.1575,25900,3,0.98
661,361.12,360.91,361.2,361.98,361.41,363.25,361.82,362.63,361.25,336.05,309.416935420428,330.352058811068,330.352058811068,330.352058811068,330.352058811068,330.352058811068,330.352058811068,330.352058811068,330.352058811068,330.352058811068,372.294563609358,0.1575,25900,3,0.98
662,361.14,360.85,361.27,362.01,361.48,363.3,361.95,362.73,361.39,336.19,309.45720473396,330.396670896695,330.396670896695,330.396670896695,330.396670896695,330.396670896695,330.396670896695,330.396670896695,330.396670896695,330.396670896695,372.339175694985,0.1575,25900,3,0.98
663,361.17,360.8,361.35,362.04,361.53,363.37,362.1,362.89,361.56,336.32,309.497469854353,330.441278937422,330.441278937422,330.441278937422,330.441278937422,330.441278937422,330.441278937422,330.441278937422,330.441278937422,330.441278937422,372.383783735713,0.1575,25900,3,0.98
664,361.17,360.73,361.41,362.08,361.57,363.44,362.23,363.05,361.72,336.44,309.537730781363,330.485882932832,330.485882932832,330.485882932832,330.485882932832,330.485882932832,330.485882932832,330.485882932832,330.485882932832,330.485882932832,372.428387731122,0.1575,25900,3,0.98
665,361.15,360.67,361.51,362.12,361.64,363.5,362.43,363.25,361.94,336.68,309.577987514745,330.530482882506,330.530482882506,330.530482882506,330.530482882506,330.530482882506,330.530482882506,330.530482882506,330.530482882506,330.530482882506,372.472987680797,0.1575,25900,3,0.98
666,361.19,360.66,361.58,362.15,361.71,363.56,362.64,363.43,362.11,336.98,309.618240054254,330.575078786029,330.575078786029,330.575078786029,330.575078786029,330.575078786029,330.575078786029,330.575078786029,330.575078786029,330.575078786029,372.51758358432,0.1575,25900,3,0.98
667,361.22,360.67,361.62,362.18,361.75,363.63,362.74,363.56,362.2,337.18,309.658488399645,330.619670642982,330.619670642982,330.619670642982,330.619670642982,330.619670642982,330.619670642982,330.619670642982,330.619670642982,330.619670642982,372.562175441273,0.1575,25900,3,0.98
668,361.28,360.69,361.65,362.22,361.8,363.68,362.86,363.68,362.32,337.37,309.698732550674,330.664258452949,330.664258452949,330.664258452949,330.664258452949,330.664258452949,330.664258452949,330.664258452949,330.664258452949,330.664258452949,372.60676325124,0.1575,25900,3,0.98
669,361.34,360.7,361.67,362.25,361.84,363.73,362.96,363.69,362.43,337.53,309.738972507097,330.708842215513,330.708842215513,330.708842215513,330.708842215513,330.708842215513,330.708842215513,330.708842215513,330.708842215513,330.708842215513,372.651347013803,0.1575,25900,3,0.98
670,361.39,360.7,361.7,362.3,361.87,363.79,363.06,363.54,362.52,337.66,309.77920826867,330.753421930257,330.753421930257,330.753421930257,330.753421930257,330.753421930257,330.753421930257,330.753421930257,330.753421930257,330.753421930257,372.695926728548,0.1575,25900,3,0.98
671,361.44,360.68,361.72,362.35,361.9,363.85,363.14,363.4,362.6,337.83,309.819439835149,330.797997596765,330.797997596765,330.797997596765,330.797997596765,330.797997596765,330.797997596765,330.797997596765,330.797997596765,330.797997596765,372.740502395056,0.1575,25900,3,0.98
672,361.47,360.66,361.72,362.41,361.91,363.91,363.21,363.48,362.64,338.02,309.85966720629,330.842569214621,330.842569214621,330.842569214621,330.842569214621,330.842569214621,330.842569214621,330.842569214621,330.842569214621,330.842569214621,372.785074012911,0.1575,25900,3,0.98
673,361.48,360.66,361.73,362.45,361.9,363.97,363.26,363.63,362.61,338.22,309.899890381849,330.887136783408,330.887136783408,330.887136783408,330.887136783408,330.887136783408,330.887136783408,330.887136783408,330.887136783408,330.887136783408,372.829641581699,0.1575,25900,3,0.98
674,361.45,360.64,361.74,362.45,361.89,363.99,363.28,363.77,362.52,338.4,309.940109361584,330.931700302711,330.931700302711,330.931700302711,330.931700302711,330.931700302711,330.931700302711,330.931700302711,330.931700302711,330.931700302711,372.874205101002,0.1575,25900,3,0.98
675,361.38,360.63,361.75,362.45,361.86,364.03,363.29,363.89,362.47,338.73,309.980324145251,330.976259772114,330.976259772114,330.976259772114,330.976259772114,330.976259772114,330.976259772114,330.976259772114,330.976259772114,330.976259772114,372.918764570405,0.1575,25900,3,0.98
676,361.35,360.66,361.75,362.44,361.8,364.04,363.26,363.96,362.5,339.04,310.020534732607,331.020815191202,331.020815191202,331.020815191202,331.020815191202,331.020815191202,331.020815191202,331.020815191202,331.020815191202,331.020815191202,372.963319989492,0.1575,25900,3,0.98
677,361.34,360.69,361.76,362.42,361.74,364.07,363.24,364.0,362.6,339.26,310.060741123409,331.065366559558,331.065366559558,331.065366559558,331.065366559558,331.065366559558,331.065366559558,331.065366559558,331.065366559558,331.065366559558,373.007871357848,0.1575,25900,3,0.98
678,361.31,360.71,361.76,362.36,361.68,364.11,363.21,364.02,362.66,339.51,310.100943317414,331.109913876768,331.109913876768,331.109913876768,331.109913876768,331.109913876768,331.109913876768,331.109913876768,331.109913876768,331.109913876768,373.052418675058,0.1575,25900,3,0.98
679,361.28,360.71,361.75,362.32,361.62,364.15,363.17,363.97,362.64,339.75,310.141141314381,331.154457142417,331.154457142417,331.154457142417,331.154457142417,331.154457142417,331.154457142417,331.154457142417,331.154457142417,331.154457142417,373.096961940707,0.1575,25900,3,0.98
680,361.26,360.67,361.76,362.29,361.57,364.19,363.13,363.94,362.63,339.98,310.181335114067,331.198996356089,331.198996356089,331.198996356089,331.198996356089,331.198996356089,331.198996356089,331.198996356089,331.198996356089,331.198996356089,373.14150115438,0.1575,25900,3,0.98
681,361.24,360.59,361.76,362.27,361.53,364.23,363.12,363.87,362.65,340.21,310.221524716229,331.243531517371,331.243531517371,331.243531517371,331.243531517371,331.243531517371,331.243531517371,331.243531517371,331.243531517371,331.243531517371,373.186036315661,0.1575,25900,3,0.98
682,361.26,360.53,361.77,362.26,361.5,364.27,363.09,363.78,362.61,340.39,310.261710120624,331.288062625847,331.288062625847,331.288062625847,331.288062625847,331.288062625847,331.288062625847,331.288062625847,331.288062625847,331.288062625847,373.230567424137,0.1575,25900,3,0.98
683,361.31,360.47,361.76,362.25,361.47,364.3,363.08,363.77,362.56,340.61,310.301891327014,331.332589681103,331.332589681103,331.332589681103,331.332589681103,331.332589681103,331.332589681103,331.332589681103,331.332589681103,331.332589681103,373.275094479394,0.1575,25900,3,0.98
684,361.36,360.45,361.74,362.24,361.48,364.31,363.1,363.79,362.58,340.83,310.342068335153,331.377112682726,331.377112682726,331.377112682726,331.377112682726,331.377112682726,331.377112682726,331.377112682726,331.377112682726,331.377112682726,373.319617481016,0.1575,25900,3,0.98
685,361.39,360.48,361.72,362.23,361.5,364.3,363.11,363.82,362.59,340.96,310.382241144803,331.4216316303,331.4216316303,331.4216316303,331.4216316303,331.4216316303,331.4216316303,331.4216316303,331.4216316303,331.4216316303,373.36413642859,0.1575,25900,3,0.98
