Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
573,359.9,359.65,360.2,360.77,360.17,362.18,359.78,359.78,354.86,325.15,310.541948569624,327.943197574894,327.943197574894,327.943197574894,327.943197574894,327.943197574894,327.943197574894,327.943197574894,327.943197574894,327.943197574894,369.885702373185,0.1575,25900,3,0.76
574,359.88,359.64,360.19,360.77,360.17,362.18,359.84,359.69,354.88,325.14,310.585829899103,327.991004829656,327.991004829656,327.991004829656,327.991004829656,327.991004829656,327.991004829656,327.991004829656,327.991004829656,327.991004829656,369.933509627946,0.1575,25900,3,0.76
575,359.94,359.75,360.24,360.82,360.2,362.21,360.02,359.81,355.05,325.2,310.629707530865,328.038808646247,328.038808646247,328.038808646247,328.038808646247,328.038808646247,328.038808646247,328.038808646247,328.038808646247,328.038808646247,369.981313444538,0.1575,25900,3,0.76
576,360.06,359.91,360.33,360.91,360.27,362.29,360.21,359.97,355.33,325.3,310.673581464559,328.086609024183,328.086609024183,328.086609024183,328.086609024183,328.086609024183,328.086609024183,328.086609024183,328.086609024183,328.086609024183,370.029113822473,0.1575,25900,3,0.76
577,360.19,360.08,360.42,361.03,360.36,362.4,360.36,360.16,355.68,325.45,310.717451699838,328.134405962978,328.134405962978,328.134405962978,328.134405962978,328.134405962978,328.134405962978,328.134405962978,328.134405962978,328.134405962978,370.076910761268,0.1575,25900,3,0.76
578,360.34,360.26,360.53,361.15,360.46,362.51,360.54,360.34,356.07,325.63,310.761318236351,328.182199462146,328.182199462146,328.182199462146,328.182199462146,328.182199462146,328.182199462146,328.182199462146,328.182199462146,328.182199462146,370.124704260437,0.1575,25900,3,0.76
579,360.48,360.41,360.64,361.3,360.56,362.64,360.73,360.55,356.5,325.82,310.805181073749,328.229989521202,328.229989521202,328.229989521202,328.229989521202,328.229989521202,328.229989521202,328.229989521202,328.229989521202,328.229989521202,370.172494319493,0.1575,25900,3,0.76
580,360.68,360.6,360.82,361.4,360.73,362.73,361.05,360.73,357.13,326.11,310.849040211683,328.277776139661,328.277776139661,328.277776139661,328.277776139661,328.277776139661,328.277776139661,328.277776139661,328.277776139661,328.277776139661,370.220280937951,0.1575,25900,3,0.76
581,360.88,360.77,360.96,361.55,360.89,362.86,361.33,360.96,357.68,326.38,310.892895649804,328.325559317037,328.325559317037,328.325559317037,328.325559317037,328.325559317037,328.325559317037,328.325559317037,328.325559317037,328.325559317037,370.268064115327,0.1575,25900,3,0.76
582,360.99,360.83,361.05,361.7,361.0,362.99,361.52,361.17,357.99,326.52,310.936747387764,328.373339052845,328.373339052845,328.373339052845,328.373339052845,328.373339052845,328.373339052845,328.373339052845,328.373339052845,328.373339052845,370.315843851136,0.1575,25900,3,0.76
