Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
830,360.08,359.27,359.36,360.0,359.29,361.17,358.43,358.99,355.14,325.48,345.479866655491,366.199550841836,366.201811380387,359.055238553999,345.040883733934,333.160526540586,324.91760799962,322.126196068064,322.126196068064,322.126196068064,327.757736173132,0.1575,25900,20,0.76
831,360.07,359.29,359.36,359.99,359.29,361.19,358.55,359.2,355.39,325.45,345.542849295426,366.268890221339,366.27118075156,359.122595095527,345.095712798917,333.201893610474,324.949794761358,322.155788739884,322.155788739884,322.155788739884,327.787328844952,0.1575,25900,20,0.76
832,360.03,359.31,359.37,360.01,359.3,361.21,358.75,359.36,355.94,325.52,345.605810022524,366.33820693404,366.340527634406,359.189939637672,345.150540883605,333.243263979752,324.981986739948,322.185387378593,322.185387378593,322.185387378593,327.816927483661,0.1575,25900,20,0.76
833,360.02,359.34,359.38,360.01,359.32,361.25,358.96,359.57,356.52,325.72,345.66874884641,366.407500985893,366.409852031034,359.257272174211,345.205367979746,333.284637646398,325.014183934469,322.214991982281,322.214991982281,322.214991982281,327.846532087349,0.1575,25900,20,0.76
834,360.0,359.37,359.4,360.02,359.35,361.29,359.08,359.74,356.88,325.92,345.731665775828,366.476772383953,366.479153946973,359.324592699883,345.260194079213,333.326014608392,325.046386343997,322.24460254904,322.24460254904,322.24460254904,327.876142654108,0.1575,25900,20,0.76
835,360.0,359.38,359.4,360.03,359.38,361.35,359.2,359.83,357.23,326.13,345.794560819388,366.546021135469,366.548433388332,359.391901209627,345.315019173919,333.367394863716,325.078593967617,322.274219076977,322.274219076977,322.274219076977,327.905759182045,0.1575,25900,20,0.76
836,359.98,359.38,359.41,360.04,359.41,361.4,359.32,359.94,357.56,326.36,345.857433983887,366.615247249973,366.617690368292,359.459197700399,345.369843256042,333.408778410361,325.110806804396,322.303841564179,322.303841564179,322.303841564179,327.935381669248,0.1575,25900,20,0.76
837,359.96,359.39,359.42,360.04,359.44,361.46,359.43,360.07,357.84,326.58,345.920285278344,366.684450734121,366.686924891193,359.526482166611,345.424666317415,333.450165246282,325.143024853413,322.333470008761,322.333470008761,322.333470008761,327.965010113829,0.1575,25900,20,0.76
838,359.95,359.38,359.43,360.05,359.46,361.54,359.54,360.26,358.1,326.81,345.98311471216,366.753631594174,366.756136960066,359.593754602405,345.479488349872,333.491555369433,325.175248113732,322.363104408819,322.363104408819,322.363104408819,327.994644513888,0.1575,25900,20,0.76
839,359.94,359.38,359.44,360.06,359.49,361.58,359.65,360.37,358.33,327.02,346.045922292398,366.822789839266,366.825326586925,359.661015004405,345.534309345547,333.532948777778,325.207476584428,322.39274476247,322.39274476247,322.39274476247,328.024284867538,0.1575,25900,20,0.76
