Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
598,359.88,358.78,359.42,359.97,359.27,361.38,358.55,359.08,355.87,347.32,333.94,405.839100245442,411.657790711083,337.89736187223,308.961607362699,301.896464382955,300.393413275411,300.081464121163,300.016863494067,300.003498500908,300.000846540853,300.001138018459,0.1575,25900,100,0.98
599,359.81,358.74,359.39,359.95,359.26,361.36,358.54,359.07,355.79,347.37,333.8,405.95343505874,411.799921888192,337.975377020724,308.984824545634,301.901695246691,300.394511161094,300.081691452495,300.016910534125,300.003508296762,300.000849051581,300.001140135794,0.1575,25900,100,0.98
600,359.74,358.69,359.35,359.94,359.23,361.33,358.5,359.07,355.83,347.46,333.87,406.067586312748,411.941901556268,338.053398125238,309.008069694665,301.906935374075,300.395611151747,300.081919223742,300.016957665345,300.003518111777,300.000851567533,300.001142257615,0.1575,25900,100,0.98
601,359.66,358.65,359.34,359.93,359.21,361.31,358.5,359.09,355.9,347.55,333.99,406.181554398149,412.083729871917,338.131425016669,309.031342779066,301.912184776494,300.396713251673,300.082147435876,300.01700488793,300.003527945997,300.000854088719,300.001144383931,0.1575,25900,100,0.98
602,359.58,358.62,359.29,359.9,359.18,361.29,358.49,359.1,356.01,347.6,334.12,406.295339705971,412.225406990501,338.209457526481,309.05464376795,301.9174434653,300.397817465184,300.082376089872,300.017052202084,300.003537799464,300.000856615152,300.001146514753,0.1575,25900,100,0.98
603,359.52,358.61,359.26,359.87,359.14,361.25,358.47,359.06,356.09,347.44,334.18,406.408942630017,412.366933064942,338.287495486462,309.07797263024,301.922711451801,300.398923796592,300.082605186706,300.017099608013,300.003547672221,300.000859146843,300.001148650089,0.1575,25900,100,0.98
604,359.47,358.6,359.23,359.85,359.11,361.23,358.46,359.01,356.17,347.13,334.17,406.525274801153,412.506151218419,338.36531828655,309.101318844395,301.927988141203,300.400032441256,300.082834745618,300.017147107178,300.003557565398,300.000861683985,300.001150790097,0.1575,25900,100,0.98
605,359.42,358.57,359.22,359.83,359.09,361.22,358.44,358.97,356.26,346.81,334.14,406.6454095429,412.642255308165,338.442840494443,309.124678009279,301.933273267224,300.401143468047,300.083064773373,300.017194700092,300.003567479419,300.000864226653,300.001152934834,0.1575,25900,100,0.98
606,359.37,358.54,359.19,359.82,359.04,361.2,358.41,358.94,356.36,346.6,334.13,406.76535584416,412.778198266376,338.520362540184,309.148064268537,301.938567649557,300.402256616938,300.083295245521,300.017242385175,300.003577412831,300.000866774606,300.00115508411,0.1575,25900,100,0.98
607,359.32,358.51,359.14,359.8,358.99,361.19,358.38,358.92,356.52,346.54,334.23,406.885114086143,412.913980285794,338.597884255967,309.171477587261,301.943871298842,300.403371892183,300.083526163034,300.01729016263,300.003587365678,300.000869327856,300.001157237934,0.1575,25900,100,0.98
608,359.28,358.47,359.08,359.78,358.95,361.16,358.34,358.89,356.71,346.62,334.45,407.004684649276,413.049601558798,338.67540547465,309.194917930385,301.949184225676,300.404489298044,300.083757526886,300.017338032662,300.003597338003,300.000871886414,300.001159396316,0.1575,25900,100,0.98
609,359.25,358.45,359.05,359.76,358.92,361.15,358.31,358.89,356.85,346.77,334.64,407.095174160328,413.206641067665,338.755174085951,309.218496963089,301.954513275864,300.405607031833,300.083989171167,300.017385985361,300.003607319366,300.000874448558,300.001161557879,0.1575,25900,100,0.98
610,359.23,358.42,359.03,359.74,358.89,361.12,358.3,358.87,357.0,346.96,334.86,407.207641160488,413.347008257222,338.833232109134,309.242019133249,301.95984658383,300.406728313031,300.084221395352,300.017434039401,300.00361732841,300.000877017383,300.001163725099,0.1575,25900,100,0.98
611,359.19,358.4,359.01,359.7,358.86,361.08,358.29,358.86,357.13,347.26,335.08,407.319928543574,413.487225615252,338.91129418077,309.265568909301,301.965189276985,300.407851746648,300.084454070243,300.017482186869,300.003627357095,300.000879591558,300.001165896914,0.1575,25900,100,0.98
612,359.16,358.37,358.97,359.66,358.83,361.04,358.26,358.85,357.25,347.59,335.31,407.43203668967,413.627293299536,338.989360138878,309.28914625874,301.970541366266,300.408977337049,300.084687196839,300.017530427975,300.003637405465,300.000882171097,300.001168073332,0.1575,25900,100,0.98
613,359.14,358.35,358.95,359.63,358.8,361.02,358.25,358.84,357.39,347.83,335.57,407.543965978073,413.767063617466,339.06742982213,309.312751148926,301.975902862577,300.410105088605,300.08492077614,300.01757876293,300.003647473564,300.00088475601,300.001170254365,0.1575,25900,100,0.98
614,359.11,358.33,358.93,359.6,358.77,361.0,358.24,358.83,357.5,348.05,335.84,407.655716787191,413.906570151679,339.145503069762,309.336383547049,301.981273776774,300.411235005692,300.08515480915,300.017627191943,300.003657561437,300.00088734631,300.001172440022,0.1575,25900,100,0.98
615,359.08,358.31,358.9,359.57,358.75,360.99,358.22,358.82,357.66,348.24,336.14,407.767289493382,414.045926537048,339.223579721749,309.36004342017,301.986654119673,300.41236709269,300.085389296875,300.017675715227,300.003667669129,300.000889942008,300.001174630314,0.1575,25900,100,0.98
616,359.04,358.28,358.85,359.55,358.71,360.97,358.21,358.82,357.92,348.43,336.61,407.87868447338,414.185132934253,339.30165961858,309.383730735203,301.992043902049,300.413501353988,300.085624240323,300.017724332993,300.003677796685,300.000892543116,300.00117682525,0.1575,25900,100,0.98
