Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
835,360.3,359.65,360.26,360.84,360.12,362.06,359.22,359.69,355.57,360.55,331.31,428.570175647772,441.275477920727,356.314223573157,315.194909206019,303.414945435082,300.719550815553,300.149355315693,300.030932374544,300.006432575341,300.001608085283,300.001782648552,0.1575,25900,100,0.98
836,360.24,359.56,360.22,360.82,360.09,362.05,359.18,359.66,355.58,361.66,331.21,428.650061531185,441.384894092043,356.390563469621,315.22394623939,303.422602066145,300.721249639297,300.149712846115,300.031006521459,300.006448048667,300.001612137216,300.001786087099,0.1575,25900,100,0.98
837,360.18,359.5,360.17,360.81,360.06,362.04,359.09,359.61,355.7,364.74,331.2,428.729833024225,441.491788864374,356.468792995301,315.253832416486,303.429981702091,300.722785878284,300.150028095469,300.031071517729,300.006461589449,300.00161567213,300.001789084869,0.1575,25900,100,0.98
838,360.14,359.44,360.14,360.76,360.03,362.02,358.98,359.53,355.87,366.71,331.27,428.809490343549,441.600870924921,356.545170712966,315.282945640192,303.437648347743,300.724483453157,300.150385041902,300.031145526604,300.006477033209,300.001619716321,300.001792516869,0.1575,25900,100,0.98
839,360.1,359.38,360.11,360.74,360.01,361.99,358.89,359.46,356.08,367.64,331.38,428.889033703328,441.709836524277,356.621528587264,315.312078449698,303.445325818082,300.726184033822,300.150742661055,300.031219676632,300.006492506631,300.00162376854,300.001795955745,0.1575,25900,100,0.98
840,360.06,359.33,360.07,360.72,359.97,361.98,358.85,359.39,356.33,368.57,331.53,428.968463323686,441.818685810145,356.697866550824,315.341230802038,303.453014115824,300.727887624502,300.151100954178,300.031293968095,300.006508009775,300.001627828805,300.00179940151,0.1575,25900,100,0.98
841,360.02,359.28,360.02,360.68,359.93,361.94,358.83,359.27,356.59,370.04,331.7,429.046430803666,441.928779614863,356.774419361111,315.370426383686,303.460714773432,300.729594316687,300.151459888325,300.031368395698,300.006523541785,300.001631896924,300.001802854004,0.1575,25900,100,0.98
842,359.99,359.24,359.97,360.65,359.88,361.9,358.8,359.2,356.81,371.42,331.86,429.125585070501,442.037447107804,356.850726464279,315.399618690942,303.46842480581,300.731303944807,300.151819531997,300.031442970673,300.006539104517,300.001635973321,300.001806313582,0.1575,25900,100,0.98
843,359.95,359.21,359.92,360.63,359.84,361.85,358.79,359.19,357.01,372.41,332.01,429.204626081875,442.145999002995,356.927013536749,315.428830425629,303.47614567494,300.733016595732,300.152179853398,300.031517687922,300.00655469715,300.001640057811,300.001809780089,0.1575,25900,100,0.98
844,359.91,359.15,359.85,360.61,359.78,361.81,358.76,359.18,357.32,373.07,332.2,429.283554055557,442.254435448492,357.003280512841,315.458061544887,303.483877383387,300.734732273682,300.152540853786,300.031592547726,300.006570319742,300.001644150411,300.00181325354,0.1575,25900,100,0.98
