Time,TC1_tip,TC2,TC3,TC4,TC_9_5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,362.8,357.98,314.99,171.95,13.44,375.503511216047,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,404.404355895651,459.3460080566,0.0375,25900,3,0.98
1,363.1,358.21,315.03,171.97,19.56,375.639655444489,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,404.558705928171,459.500358089119,0.0375,25900,3,0.98
2,363.51,358.59,315.2,171.97,13.81,375.775722985261,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,404.712976655657,459.654628816606,0.0375,25900,3,0.98
3,363.95,359.04,315.48,172.02,11.36,375.911713843742,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,404.867168072902,459.80882023385,0.0375,25900,3,0.98
4,364.36,359.51,315.75,172.37,13.91,376.047628025366,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,405.021280174756,459.962932335705,0.0375,25900,3,0.98
5,364.71,360.02,315.97,172.71,17.33,376.183465535613,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,405.175312956133,460.116965117081,0.0375,25900,3,0.98
6,365.02,360.53,316.21,173.15,19.06,376.319226380017,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,405.329266412004,460.270918572952,0.0375,25900,3,0.98
7,365.29,361.01,316.4,173.37,15.1,376.454910564158,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,405.483140537401,460.42479269835,0.0375,25900,3,0.98
8,365.63,361.65,316.73,173.86,19.23,376.59051809367,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,405.636935327419,460.578587488367,0.0375,25900,3,0.98
9,365.9,362.21,317.1,174.1,19.14,376.726048974238,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,405.790650777209,460.732302938158,0.0375,25900,3,0.98
10,366.06,362.53,317.4,174.41,21.44,376.861503211593,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,405.944286881985,460.885939042934,0.0375,25900,3,0.98
11,366.2,362.84,317.7,174.62,22.23,376.996880811519,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,406.09784363702,461.039495797969,0.0375,25900,3,0.98
12,366.32,363.11,317.97,174.94,21.83,377.132181779851,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,406.251321037649,461.192973198597,0.0375,25900,3,0.98
13,366.45,363.39,318.15,175.21,17.36,377.267406122472,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,406.404719079263,461.346371240211,0.0375,25900,3,0.98
14,366.55,363.66,318.32,175.6,17.96,377.402553845317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,406.558037757317,461.499689918265,0.0375,25900,3,0.98
15,366.66,363.91,318.51,175.96,11.42,377.537624954369,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,406.711277067324,461.652929228273,0.0375,25900,3,0.98
16,366.81,364.14,318.7,176.56,21.2,377.672619455663,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,406.864437004859,461.806089165808,0.0375,25900,3,0.98
17,367.06,364.45,318.97,176.72,13.93,377.807537355283,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,407.017517565556,461.959169726504,0.0375,25900,3,0.98
18,367.14,364.69,319.36,176.96,17.31,377.942378659363,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,407.170518745108,462.112170906056,0.0375,25900,3,0.98
19,367.13,364.81,319.52,177.16,15.86,378.077143374088,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,407.323440539269,462.265092700217,0.0375,25900,3,0.98
20,367.1,364.93,319.65,177.4,18.25,378.211831505692,407.476282943852,407.476282943852,407.476282943852,407.476282943852,407.476282943852,407.476282943852,407.476282943852,407.476282943852,407.476282943852,462.417935104801,0.0375,25900,3,0.98
21,367.07,365.04,319.8,177.91,21.98,378.346443060457,407.629045954733,407.629045954733,407.629045954733,407.629045954733,407.629045954733,407.629045954733,407.629045954733,407.629045954733,407.629045954733,462.570698115682,0.0375,25900,3,0.98
22,367.06,365.12,319.91,177.97,15.4,378.480978044719,407.781729567845,407.781729567845,407.781729567845,407.781729567845,407.781729567845,407.781729567845,407.781729567845,407.781729567845,407.781729567845,462.723381728793,0.0375,25900,3,0.98
23,367.04,365.16,320.1,178.67,17.93,378.615436464859,407.934333779181,407.934333779181,407.934333779181,407.934333779181,407.934333779181,407.934333779181,407.934333779181,407.934333779181,407.934333779181,462.875985940129,0.0375,25900,3,0.98
24,367.04,365.16,320.26,179.05,18.79,378.749818327313,408.086858584794,408.086858584794,408.086858584794,408.086858584794,408.086858584794,408.086858584794,408.086858584794,408.086858584794,408.086858584794,463.028510745743,0.0375,25900,3,0.98
25,367.1,365.2,320.4,179.54,18.19,378.884123638563,408.239303980799,408.239303980799,408.239303980799,408.239303980799,408.239303980799,408.239303980799,408.239303980799,408.239303980799,408.239303980799,463.180956141748,0.0375,25900,3,0.98
26,367.16,365.34,320.64,180.03,21.34,379.018352405141,408.391669963369,408.391669963369,408.391669963369,408.391669963369,408.391669963369,408.391669963369,408.391669963369,408.391669963369,408.391669963369,463.333322124318,0.0375,25900,3,0.98
27,367.12,365.44,320.91,180.57,16.24,379.15250463363,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,408.543956528737,463.485608689685,0.0375,25900,3,0.98
28,367.11,365.49,321.05,180.73,17.36,379.286580330661,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,408.696163673195,463.637815834144,0.0375,25900,3,0.98
29,367.11,365.52,321.28,181.26,15.75,379.420579502917,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,408.848291393097,463.789943554046,0.0375,25900,3,0.98
30,367.11,365.56,321.44,181.86,17.94,379.554502157128,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,409.000339684855,463.941991845803,0.0375,25900,3,0.98
31,367.13,365.61,321.5,182.6,22.45,379.688348300074,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,409.152308544941,464.09396070589,0.0375,25900,3,0.98
32,367.13,365.63,321.49,183.12,17.08,379.822117938586,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,409.304197969888,464.245850130836,0.0375,25900,3,0.98
33,367.14,365.66,321.52,183.56,18.02,379.955811079544,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,409.456007956286,464.397660117235,0.0375,25900,3,0.98
