Time,TC1_tip,TC2,TC3,TC4,TC_9_5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,361.82,359.81,343.34,199.26,24.34,303.55815630766,323.867827918747,323.867827918747,323.867827918747,323.867827918747,323.867827918747,323.867827918747,323.867827918747,323.867827918747,323.867827918747,353.462250194794,0.0375,25900,25,0.98
1,361.75,359.69,342.98,199.22,24.24,303.729791371891,324.057606285036,324.057606285036,324.057606285036,324.057606285036,324.057606285036,324.057606285036,324.057606285036,324.057606285036,324.057606285036,353.652028561083,0.0375,25900,25,0.98
2,361.73,359.82,342.73,199.23,24.3,303.90135311016,324.247314369381,324.247314369381,324.247314369381,324.247314369381,324.247314369381,324.247314369381,324.247314369381,324.247314369381,324.247314369381,353.841736645428,0.0375,25900,25,0.98
3,361.71,359.93,342.58,199.15,24.32,304.07284150253,324.436952139105,324.436952139105,324.436952139105,324.436952139105,324.436952139105,324.436952139105,324.436952139105,324.436952139105,324.436952139105,354.031374415152,0.0375,25900,25,0.98
4,361.68,360.04,342.45,198.98,24.24,304.244256529119,324.626519561583,324.626519561583,324.626519561583,324.626519561583,324.626519561583,324.626519561583,324.626519561583,324.626519561583,324.626519561583,354.22094183763,0.0375,25900,25,0.98
5,361.66,360.09,342.35,198.78,24.29,304.415598170097,324.816016604241,324.816016604241,324.816016604242,324.816016604242,324.816016604241,324.816016604241,324.816016604241,324.816016604241,324.816016604241,354.410438880289,0.0375,25900,25,0.98
6,361.64,360.14,342.27,198.54,24.18,304.586866405687,325.005443234558,325.005443234558,325.005443234558,325.005443234558,325.005443234558,325.005443234558,325.005443234558,325.005443234558,325.005443234558,354.599865510605,0.0375,25900,25,0.98
7,361.64,360.22,342.19,198.32,24.28,304.758061216165,325.194799420062,325.194799420062,325.194799420062,325.194799420062,325.194799420062,325.194799420062,325.194799420062,325.194799420062,325.194799420062,354.789221696109,0.0375,25900,25,0.98
8,361.66,360.3,342.12,198.2,24.35,304.929182581863,325.384085128333,325.384085128333,325.384085128333,325.384085128333,325.384085128333,325.384085128333,325.384085128333,325.384085128333,325.384085128333,354.97850740438,0.0375,25900,25,0.98
9,361.68,360.35,342.0,198.0,24.33,305.100230483161,325.573300327005,325.573300327005,325.573300327005,325.573300327005,325.573300327005,325.573300327005,325.573300327005,325.573300327005,325.573300327005,355.167722603052,0.0375,25900,25,0.98
10,361.71,360.44,341.82,197.9,24.19,305.271204900497,325.762444983761,325.762444983761,325.762444983761,325.762444983761,325.762444983761,325.762444983761,325.762444983761,325.762444983761,325.762444983761,355.356867259808,0.0375,25900,25,0.98
11,361.75,360.55,341.63,197.84,24.13,305.44210581436,325.951519066336,325.951519066336,325.951519066336,325.951519066336,325.951519066336,325.951519066336,325.951519066336,325.951519066336,325.951519066336,355.545941342383,0.0375,25900,25,0.98
12,361.79,360.66,341.51,197.81,24.11,305.612933205291,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,355.734944818567,0.0375,25900,25,0.98
13,361.81,360.74,341.48,197.85,24.15,305.783687053888,326.329455380149,326.329455380149,326.329455380149,326.329455380149,326.329455380149,326.329455380149,326.329455380149,326.329455380149,326.329455380149,355.923877656196,0.0375,25900,25,0.98
14,361.83,360.8,341.47,197.83,24.18,305.954367340799,326.518317547116,326.518317547116,326.518317547116,326.518317547116,326.518317547116,326.518317547116,326.518317547116,326.518317547116,326.518317547116,356.112739823163,0.0375,25900,25,0.98
15,361.87,360.83,341.41,197.86,24.42,306.124974046727,326.707109011365,326.707109011365,326.707109011365,326.707109011365,326.707109011365,326.707109011365,326.707109011365,326.707109011365,326.707109011365,356.301531287412,0.0375,25900,25,0.98
16,361.92,360.88,341.34,197.93,24.41,306.295507152426,326.895829740889,326.895829740889,326.895829740889,326.895829740889,326.895829740889,326.895829740889,326.895829740889,326.895829740889,326.895829740889,356.490252016936,0.0375,25900,25,0.98
17,361.98,360.95,341.24,198.02,24.46,306.465966638707,327.084479703737,327.084479703737,327.084479703737,327.084479703737,327.084479703737,327.084479703737,327.084479703737,327.084479703737,327.084479703737,356.678901979784,0.0375,25900,25,0.98
18,362.03,361.02,341.18,198.16,24.33,306.636352486432,327.273058868007,327.273058868007,327.273058868007,327.273058868007,327.273058868007,327.273058868007,327.273058868007,327.273058868007,327.273058868007,356.867481144054,0.0375,25900,25,0.98
19,362.1,361.16,341.23,198.23,24.24,306.806664676518,327.461567201852,327.461567201852,327.461567201852,327.461567201852,327.461567201852,327.461567201852,327.461567201852,327.461567201852,327.461567201852,357.055989477899,0.0375,25900,25,0.98
20,362.17,361.29,341.32,198.21,24.17,306.976903189932,327.650004673474,327.650004673474,327.650004673474,327.650004673474,327.650004673474,327.650004673474,327.650004673474,327.650004673474,327.650004673474,357.244426949522,0.0375,25900,25,0.98
21,362.22,361.38,341.35,198.19,24.37,307.147068007699,327.838371251131,327.838371251131,327.838371251131,327.838371251131,327.838371251131,327.838371251131,327.838371251131,327.838371251131,327.838371251131,357.432793527178,0.0375,25900,25,0.98
22,362.29,361.5,341.39,198.22,24.42,307.317159110894,328.026666903129,328.026666903129,328.026666903129,328.026666903129,328.026666903129,328.026666903129,328.026666903129,328.026666903129,328.026666903129,357.621089179176,0.0375,25900,25,0.98
23,362.35,361.63,341.39,198.29,24.29,307.487176480649,328.214891597831,328.214891597831,328.214891597831,328.214891597831,328.214891597831,328.214891597831,328.214891597831,328.214891597831,328.214891597831,357.809313873878,0.0375,25900,25,0.98
24,362.4,361.73,341.35,198.39,24.37,307.657120098146,328.403045303649,328.403045303649,328.403045303649,328.403045303649,328.403045303649,328.403045303649,328.403045303649,328.403045303649,328.403045303649,357.997467579696,0.0375,25900,25,0.98
25,362.45,361.84,341.32,198.57,24.36,307.826989944623,328.591127989048,328.591127989048,328.591127989048,328.591127989048,328.591127989048,328.591127989048,328.591127989048,328.591127989048,328.591127989048,358.185550265095,0.0375,25900,25,0.98
26,362.5,361.92,341.3,198.76,24.35,307.996786001369,328.779139622548,328.779139622548,328.779139622548,328.779139622548,328.779139622548,328.779139622548,328.779139622548,328.779139622548,328.779139622548,358.373561898595,0.0375,25900,25,0.98
27,362.55,362.0,341.31,198.89,24.32,308.16650824973,328.967080172718,328.967080172718,328.967080172718,328.967080172718,328.967080172718,328.967080172718,328.967080172718,328.967080172718,328.967080172718,358.561502448765,0.0375,25900,25,0.98
28,362.62,362.11,341.32,199.12,24.32,308.336156671104,329.154949608182,329.154949608182,329.154949608182,329.154949608182,329.154949608182,329.154949608182,329.154949608182,329.154949608182,329.154949608182,358.74937188423,0.0375,25900,25,0.98
29,362.69,362.21,341.28,199.31,24.38,308.505731246942,329.342747897618,329.342747897618,329.342747897618,329.342747897618,329.342747897618,329.342747897618,329.342747897618,329.342747897618,329.342747897618,358.937170173665,0.0375,25900,25,0.98
30,362.74,362.29,341.25,199.6,24.35,308.675231958749,329.530475009752,329.530475009752,329.530475009752,329.530475009752,329.530475009752,329.530475009752,329.530475009752,329.530475009752,329.530475009752,359.124897285799,0.0375,25900,25,0.98
31,362.78,362.35,341.21,199.76,24.39,308.844658788085,329.718130913368,329.718130913368,329.718130913368,329.718130913368,329.718130913368,329.718130913368,329.718130913368,329.718130913368,329.718130913368,359.312553189415,0.0375,25900,25,0.98
32,362.84,362.42,341.17,199.86,24.3,309.014011716563,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,359.500137853347,0.0375,25900,25,0.98
