Time,TC1_tip,TC2,TC3,TC4,TC_9_5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,361.19,359.0,339.1,194.72,348.68,318.673831177319,340.623396695824,340.284169269365,334.087104582021,325.589827542118,318.284154332948,313.140541946904,310.509077040945,310.309664525273,310.309664525273,313.900660577756,0.0375,25900,100,0.98
1,361.13,358.89,339.03,194.88,350.37,318.951914077486,340.932579858985,340.591599961248,334.365453538523,325.816768250299,318.457113901701,313.272507540299,310.621112682574,310.420344882835,310.420344882835,314.011340935319,0.0375,25900,100,0.98
2,361.06,358.8,338.96,195.06,351.72,319.229364588086,341.241117764865,340.898455617903,334.643466212253,326.043671733181,318.630253204624,313.404761265611,310.73347536199,310.531354679085,310.531354679085,314.122350731569,0.0375,25900,100,0.98
3,360.97,358.71,338.8,195.27,353.51,319.506184731251,341.549012521524,341.204738227693,334.921142872961,326.270536460401,318.803570608406,313.537302146364,310.846164429555,310.642693282994,310.642693282994,314.233689335477,0.0375,25900,100,0.98
4,360.86,358.62,338.62,195.45,354.55,319.782376524128,341.856266223726,341.510449756169,335.198483794843,326.497360927114,318.977064488507,313.67012919976,310.959179229999,310.754360058274,310.754360058274,314.345356110758,0.0375,25900,100,0.98
5,360.74,358.54,338.57,195.74,355.38,320.05794197745,342.162880953573,341.815592149192,335.475489257323,326.72414365374,319.150733229305,313.803241436942,311.072519102381,310.866354363303,310.866354363303,314.457350415787,0.0375,25900,100,0.98
6,360.66,358.46,338.59,196.0,356.0,320.332883099116,342.468858779698,342.12016732705,335.752159542521,326.950883184714,319.324575223995,313.936637863202,311.186183380043,310.978675551054,310.978675551054,314.569671603538,0.0375,25900,100,0.98
7,360.57,358.39,338.66,196.21,357.25,320.607201889068,342.774201758897,342.42417719408,336.02849493842,327.177578088968,319.498588874888,314.07031747825,311.300171390577,311.091322969024,311.091322969024,314.682319021508,0.0375,25900,100,0.98
8,360.44,358.28,338.84,196.4,358.08,320.880900343953,343.078911935041,342.727623630893,336.304495735679,327.404226958513,319.672772593248,314.204279276408,311.414482455799,311.204295959186,311.204295959186,314.795292011669,0.0375,25900,100,0.98
9,360.33,358.2,339.09,196.61,358.34,321.153980455093,343.382991339826,343.030508498427,336.58016222878,327.630828408329,319.84712479943,314.33852224684,311.529115891725,311.317593857935,311.317593857935,314.908589910419,0.0375,25900,100,0.98
10,360.28,358.17,339.29,196.93,358.46,321.426444206963,343.686441993381,343.332833641143,336.855494716919,327.857381076218,320.021643923005,314.473045373788,311.644071008562,311.431215996052,311.431215996052,315.022212048535,0.0375,25900,100,0.98
11,360.25,358.17,339.53,197.24,358.58,321.698293579979,343.989265903708,343.634600882545,337.130493502045,328.083883621775,320.196328402661,314.607847636749,311.759347110687,311.54516169866,311.54516169866,315.136157751143,0.0375,25900,100,0.98
12,360.21,358.17,339.77,197.7,358.99,321.969530550981,344.291465066653,343.935812024583,337.405158888227,328.310334725729,320.371176686158,314.742928010655,311.874943496637,311.659430285187,311.659430285187,315.25042633767,0.0375,25900,100,0.98
13,360.18,358.2,340.02,198.09,359.59,322.250074193956,344.599785366962,344.218857181645,337.672684008328,328.534523791039,320.545602774821,314.878150710758,311.990824369611,311.773992839971,311.773992839971,315.364988892454,0.0375,25900,100,0.98
14,360.16,358.23,340.26,198.37,360.19,322.532074286955,344.913565079543,344.497710396317,337.938398890678,328.758149473693,320.720044483333,315.013613386333,312.10701404983,311.888868572663,311.888868572663,315.479864625146,0.0375,25900,100,0.98
15,360.14,358.28,340.53,198.57,360.54,322.783397145844,345.19332486003,344.829396455332,338.224535231575,328.988506169696,320.896458137707,315.149773414326,312.223632916417,312.004154830448,312.004154830448,315.595150882931,0.0375,25900,100,0.98
16,360.11,358.32,340.8,198.76,360.76,323.052564965532,345.492958869854,345.127779946296,338.497616313759,329.214650327758,321.071920760892,315.285949438516,312.340501451381,312.119706480472,312.119706480472,315.710702532956,0.0375,25900,100,0.98
17,360.09,358.4,341.19,199.09,360.84,323.321133844714,345.791978536845,345.425612255183,338.770362143772,329.440734750655,321.247538691596,315.422398085486,312.457686563699,312.235577425011,312.235577425011,315.826573477495,0.0375,25900,100,0.98
18,360.06,358.47,341.55,199.43,361.11,323.589105682832,346.090385800317,345.722895153537,339.042773072788,329.66675823945,321.423310424365,315.55911830038,312.575187513142,312.351766945352,312.351766945352,315.942762997835,0.0375,25900,100,0.98
19,360.05,358.52,341.76,199.8,361.47,323.856482374279,346.388182588759,346.019630396097,339.314849454495,329.892719614199,321.59923446319,315.696109025082,312.693003553672,312.468274316971,312.468274316971,316.059270369454,0.0375,25900,100,0.98
20,360.02,358.55,341.98,200.26,361.72,324.123265807491,346.68537082019,346.315819722683,339.586591645566,330.118617713759,321.775309321539,315.833369198388,312.811133933469,312.585098809548,312.585098809548,316.176094862032,0.0375,25900,100,0.98
21,360.01,358.59,342.25,200.72,362.01,324.389457865855,346.981952402009,346.611464856785,339.858000004824,330.344451395145,321.951533522273,315.970897756151,312.929577894966,312.702239686984,312.702239686984,316.293235739467,0.0375,25900,100,0.98
22,359.99,358.65,342.56,201.16,362.5,324.655060428069,347.277929231171,346.906567505566,340.129074893101,330.570219533199,322.127905597636,316.108693631421,313.048334674868,312.819696207399,312.819696207399,316.410692259883,0.0375,25900,100,0.98
23,359.97,358.69,342.9,201.56,363.07,324.920075368508,347.573303194188,347.201129359416,340.399816672786,330.79592102009,322.304424089191,316.2467557546,313.167403504197,312.937467623173,312.937467623173,316.528463675656,0.0375,25900,100,0.98
24,359.96,358.74,343.24,201.91,363.52,325.184504555633,347.868076167609,347.495152094915,340.670225708739,331.021554765292,322.481087547882,316.385083053591,313.286783608326,313.055553180955,313.055553180955,316.646549233439,0.0375,25900,100,0.98
25,359.95,358.78,343.56,202.09,363.71,325.448349852128,348.162250018202,347.788637375096,340.940302368274,331.247119695295,322.657894534018,316.523674453945,313.406474207019,313.173952121698,313.173952121698,316.764948174182,0.0375,25900,100,0.98
26,359.93,358.86,344.01,202.3,364.12,325.711613114887,348.455826603074,348.081586849733,341.210047021073,331.472614753299,322.834843617265,316.662528879009,313.526474514488,313.292663680697,313.292663680697,316.883659733181,0.0375,25900,100,0.98
27,359.9,358.93,344.47,202.51,364.51,325.9742962001,348.748807768527,348.374002146726,341.479460035427,331.698038897576,323.011933376215,316.801645249946,313.646783739395,313.411687087587,313.411687087587,317.002683140071,0.0375,25900,100,0.98
28,359.89,358.97,344.75,202.89,364.78,326.236400952112,349.041195352917,348.665884891758,341.748541786089,331.923391103939,323.189162399164,316.941022486074,313.767401084966,313.531021566433,313.531021566433,317.122017618917,0.0375,25900,100,0.98
29,359.87,359.02,345.03,203.36,365.14,326.497929215739,349.33299118375,348.957236687124,342.017292645403,332.148670362348,323.366529283165,317.080659504757,313.88832574897,313.650666335712,313.650666335712,317.241662388196,0.0375,25900,100,0.98
30,359.85,359.08,345.3,203.82,365.58,326.758882827044,349.624197080148,349.248059128264,342.285712990001,332.373875679034,323.54403263472,317.220555221713,314.009556923824,313.770620608398,313.770620608398,317.361616660881,0.0375,25900,100,0.98
31,359.83,359.13,345.56,204.2,366.02,327.019263623845,349.914814850349,349.538353785592,342.553803193005,332.599006073417,323.721671068885,317.360708550907,314.131093796582,313.890883591949,313.890883591949,317.481879644433,0.0375,25900,100,0.98
32,359.81,359.19,345.81,204.44,366.18,327.287823759157,350.209804489556,349.813162764838,342.815341660625,332.821838245342,323.898777212788,317.500941767238,314.252881720517,314.011408692399,314.011408692399,317.602404744882,0.0375,25900,100,0.98
33,359.8,359.25,346.05,204.83,366.66,327.559378699705,350.512481467566,350.08137196965,343.073966183771,333.043644129947,324.075721070164,317.641349284672,314.374948024099,314.132218826195,314.132218826195,317.723214878679,0.0375,25900,100,0.98
34,359.78,359.3,346.29,205.24,367.19,327.801275351716,350.782193724809,350.398786112004,343.353039671267,333.272836580852,324.255049252069,317.782613606416,314.497502633846,314.253493081731,314.253493081731,317.844489134215,0.0375,25900,100,0.98
35,359.76,359.38,346.66,205.66,367.61,328.059747682513,351.070403776382,350.686378309352,343.619547656445,333.497556834014,324.433181672134,317.923777073255,314.62025092114,314.374980135884,314.374980135884,317.965976188368,0.0375,25900,100,0.98
36,359.73,359.45,347.07,205.95,368.0,328.317659097901,351.358035277565,350.973447646305,343.885724566811,333.722195639694,324.611441484961,318.065192344843,314.743300608827,314.496771715198,314.496771715198,318.087767767682,0.0375,25900,100,0.98
37,359.72,359.51,347.35,206.28,368.28,328.575011359545,351.645089990293,351.259995684369,344.151570813544,333.946752106389,324.789827354049,318.206858322242,314.866650849173,314.618866991346,314.618866991346,318.20986304383,0.0375,25900,100,0.98
38,359.7,359.55,347.65,206.61,368.55,328.831806223933,351.931569667988,351.546023973561,344.417086809173,334.171225356098,324.96833795187,318.348773905681,314.990300789504,314.741265130849,314.741265130849,318.332261183332,0.0375,25900,100,0.98
39,359.69,359.6,347.93,206.84,368.67,329.088045442333,352.217476055509,351.83153405233,344.682272967263,334.395614523933,325.146971959767,318.490937994644,315.114249572277,314.863965295134,314.863965295134,318.454961347618,0.0375,25900,100,0.98
40,359.66,359.65,348.23,207.17,369.27,329.343730763161,352.50281088881,352.116527443935,344.94712970078,334.619918757307,325.325728067714,318.633349487902,315.238496335125,314.986966640583,314.986966640583,318.577962693067,0.0375,25900,100,0.98
41,359.66,359.71,348.51,207.46,369.95,329.598863927172,352.787575896095,352.401005664819,345.211657425531,334.844137216998,325.504604974667,318.776007283715,315.363040210953,315.11026831861,315.11026831861,318.701264371094,0.0375,25900,100,0.98
42,359.63,359.75,348.8,207.78,370.36,329.853446671299,353.071772797046,352.684970218232,345.475856557282,335.068269075859,325.683601388176,318.918910279834,315.487880327993,315.233869475724,315.233869475724,318.824865528207,0.0375,25900,100,0.98
43,359.61,359.8,349.09,208.0,370.73,330.107480728471,353.355403302954,352.968422594733,345.739727511824,335.292313518621,325.862716024322,319.062057373572,315.613015809851,315.357769253563,315.357769253563,318.948765306047,0.0375,25900,100,0.98
