Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,360.19,359.2,359.67,359.62,352.47,255.18,175.16,336.086969190305,360.031783053165,360.031783053165,360.031783053165,360.031783053165,360.031783053165,360.031783053165,360.031783053165,360.031783053165,360.031783053165,409.516189579609,0.084,25900,3,0.98
1,360.22,359.32,359.73,359.62,352.46,255.01,175.29,336.156977716069,360.110049186902,360.110049186902,360.110049186902,360.110049186902,360.110049186902,360.110049186902,360.110049186902,360.110049186902,360.110049186902,409.594455713346,0.084,25900,3,0.98
2,360.36,359.58,359.88,359.73,352.5,254.86,175.55,336.226971053722,360.188300238711,360.188300238711,360.188300238711,360.188300238711,360.188300238711,360.188300238711,360.188300238711,360.188300238711,360.188300238711,409.672706765155,0.084,25900,3,0.98
3,360.56,359.88,360.05,359.85,352.59,254.81,175.8,336.296949202451,360.266536206667,360.266536206667,360.266536206667,360.266536206667,360.266536206667,360.266536206667,360.266536206667,360.266536206667,360.266536206667,409.750942733111,0.084,25900,3,0.98
4,360.79,360.17,360.23,360.02,352.68,254.83,175.81,336.366912161445,360.344757088845,360.344757088845,360.344757088845,360.344757088845,360.344757088845,360.344757088845,360.344757088845,360.344757088845,360.344757088845,409.829163615289,0.084,25900,3,0.98
5,361.04,360.45,360.42,360.19,352.78,254.94,175.8,336.436859929898,360.422962883325,360.422962883325,360.422962883325,360.422962883325,360.422962883325,360.422962883325,360.422962883325,360.422962883325,360.422962883325,409.907369409769,0.084,25900,3,0.98
6,361.41,360.86,360.72,360.32,352.95,255.04,175.72,336.506792507001,360.501153588188,360.501153588188,360.501153588188,360.501153588188,360.501153588188,360.501153588188,360.501153588188,360.501153588188,360.501153588188,409.985560114632,0.084,25900,3,0.98
7,361.81,361.22,361.0,360.46,353.11,255.19,175.9,336.576709891952,360.579329201518,360.579329201518,360.579329201518,360.579329201518,360.579329201518,360.579329201518,360.579329201518,360.579329201518,360.579329201518,410.063735727962,0.084,25900,3,0.98
8,362.14,361.41,361.18,360.64,353.23,255.42,176.25,336.646612083949,360.657489721399,360.657489721399,360.657489721399,360.657489721399,360.657489721399,360.657489721399,360.657489721399,360.657489721399,360.657489721399,410.141896247844,0.084,25900,3,0.98
9,362.41,361.59,361.35,360.82,353.35,255.59,176.61,336.716499082193,360.735635145922,360.735635145922,360.735635145922,360.735635145922,360.735635145922,360.735635145922,360.735635145922,360.735635145922,360.735635145922,410.220041672367,0.084,25900,3,0.98
10,362.62,361.76,361.52,360.94,353.5,255.71,177.01,336.786370885885,360.813765473176,360.813765473176,360.813765473176,360.813765473176,360.813765473176,360.813765473176,360.813765473176,360.813765473176,360.813765473176,410.29817199962,0.084,25900,3,0.98
11,362.81,361.93,361.67,361.04,353.66,255.84,177.42,336.856227494231,360.891880701254,360.891880701254,360.891880701254,360.891880701254,360.891880701254,360.891880701254,360.891880701254,360.891880701254,360.891880701254,410.376287227698,0.084,25900,3,0.98
12,362.98,362.0,361.75,361.17,353.82,256.02,177.71,336.926068906438,360.969980828252,360.969980828252,360.969980828252,360.969980828252,360.969980828252,360.969980828252,360.969980828252,360.969980828252,360.969980828252,410.454387354697,0.084,25900,3,0.98
13,363.15,362.04,361.82,361.39,353.99,256.3,178.2,336.995895121716,361.048065852268,361.048065852268,361.048065852268,361.048065852268,361.048065852268,361.048065852268,361.048065852268,361.048065852268,361.048065852268,410.532472378713,0.084,25900,3,0.98
14,363.35,362.13,361.86,361.63,354.16,256.57,178.79,337.065706139277,361.126135771402,361.126135771402,361.126135771402,361.126135771402,361.126135771402,361.126135771402,361.126135771402,361.126135771402,361.126135771402,410.610542297846,0.084,25900,3,0.98
15,363.64,362.28,361.9,361.8,354.44,256.71,179.53,337.135501958333,361.204190583756,361.204190583756,361.204190583756,361.204190583756,361.204190583756,361.204190583756,361.204190583756,361.204190583756,361.204190583756,410.6885971102,0.084,25900,3,0.98
