Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,360.27,359.02,359.38,358.78,353.69,260.39,175.22,314.179477971694,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,385.11679129571,0.084,25900,3,0.98
1,360.25,359.02,359.36,358.77,353.56,259.93,175.22,314.254040740518,335.715121144227,335.715121144227,335.715121144227,335.715121144227,335.715121144227,335.715121144227,335.715121144227,335.715121144227,335.715121144227,385.199527670671,0.084,25900,3,0.98
2,360.35,359.32,359.38,358.81,353.41,259.5,175.6,314.328588668896,335.797843127153,335.797843127153,335.797843127153,335.797843127153,335.797843127153,335.797843127153,335.797843127153,335.797843127153,335.797843127153,385.282249653597,0.084,25900,3,0.98
3,360.55,359.75,359.49,358.91,353.33,259.13,175.95,314.403121755354,335.880550715428,335.880550715428,335.880550715428,335.880550715428,335.880550715428,335.880550715428,335.880550715428,335.880550715428,335.880550715428,385.364957241873,0.084,25900,3,0.98
4,360.72,360.03,359.62,359.01,353.31,258.91,176.41,314.477639998416,335.963243906439,335.963243906439,335.963243906439,335.963243906439,335.963243906439,335.963243906439,335.963243906439,335.963243906439,335.963243906439,385.447650432884,0.084,25900,3,0.98
5,360.87,360.29,359.75,359.18,353.32,258.59,176.94,314.552143396607,336.045922697574,336.045922697574,336.045922697574,336.045922697574,336.045922697574,336.045922697574,336.045922697574,336.045922697574,336.045922697574,385.530329224019,0.084,25900,3,0.98
6,361.05,360.54,359.87,359.33,353.35,258.33,177.36,314.626631948456,336.128587086225,336.128587086225,336.128587086225,336.128587086225,336.128587086225,336.128587086225,336.128587086225,336.128587086225,336.128587086225,385.612993612669,0.084,25900,3,0.98
7,361.19,360.76,359.99,359.45,353.4,258.14,177.69,314.701105652496,336.211237069784,336.211237069784,336.211237069784,336.211237069784,336.211237069784,336.211237069784,336.211237069784,336.211237069784,336.211237069784,385.695643596229,0.084,25900,3,0.98
8,361.34,360.95,360.11,359.59,353.46,258.02,177.95,314.775564507258,336.293872645647,336.293872645647,336.293872645647,336.293872645647,336.293872645647,336.293872645647,336.293872645647,336.293872645647,336.293872645647,385.778279172091,0.084,25900,3,0.98
9,361.48,361.12,360.23,359.75,353.53,257.95,178.23,314.850008511279,336.376493811211,336.376493811211,336.376493811211,336.376493811211,336.376493811211,336.376493811211,336.376493811211,336.376493811211,336.376493811211,385.860900337655,0.084,25900,3,0.98
10,361.62,361.25,360.35,359.89,353.6,257.96,178.44,314.924437663096,336.459100563876,336.459100563876,336.459100563876,336.459100563876,336.459100563876,336.459100563876,336.459100563876,336.459100563876,336.459100563876,385.94350709032,0.084,25900,3,0.98
11,361.79,361.41,360.51,360.0,353.68,258.03,178.7,314.998851961248,336.541692901043,336.541692901043,336.541692901043,336.541692901043,336.541692901043,336.541692901043,336.541692901043,336.541692901043,336.541692901043,386.026099427487,0.084,25900,3,0.98
12,361.95,361.57,360.65,360.13,353.73,258.12,178.77,315.073251404278,336.624270820116,336.624270820116,336.624270820116,336.624270820116,336.624270820116,336.624270820116,336.624270820116,336.624270820116,336.624270820116,386.10867734656,0.084,25900,3,0.98
13,362.04,361.63,360.71,360.25,353.73,258.22,178.76,315.14763599073,336.706834318502,336.706834318502,336.706834318502,336.706834318502,336.706834318502,336.706834318502,336.706834318502,336.706834318502,336.706834318502,386.191240844946,0.084,25900,3,0.98
14,362.11,361.69,360.76,360.35,353.73,258.33,178.84,315.222005719149,336.789383393608,336.789383393608,336.789383393608,336.789383393608,336.789383393608,336.789383393608,336.789383393608,336.789383393608,336.789383393608,386.273789920053,0.084,25900,3,0.98
15,362.19,361.76,360.8,360.43,353.71,258.47,178.95,315.296360588084,336.871918042846,336.871918042846,336.871918042846,336.871918042846,336.871918042846,336.871918042846,336.871918042846,336.871918042846,336.871918042846,386.35632456929,0.084,25900,3,0.98
16,362.26,361.85,360.85,360.52,353.69,258.55,179.0,315.370700596085,336.954438263628,336.954438263628,336.954438263628,336.954438263628,336.954438263628,336.954438263628,336.954438263628,336.954438263628,336.954438263628,386.438844790072,0.084,25900,3,0.98
17,362.35,361.94,360.9,360.58,353.66,258.61,179.28,315.445025741706,337.036944053368,337.036944053368,337.036944053368,337.036944053368,337.036944053368,337.036944053368,337.036944053368,337.036944053368,337.036944053368,386.521350579812,0.084,25900,3,0.98
18,362.41,362.01,360.96,360.6,353.66,258.61,179.62,315.519336023501,337.119435409484,337.119435409484,337.119435409484,337.119435409484,337.119435409484,337.119435409484,337.119435409484,337.119435409484,337.119435409484,386.603841935929,0.084,25900,3,0.98
