Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,361.04,359.61,360.6,359.43,350.52,243.38,163.68,372.809130427737,401.239404350456,375.938880477783,343.264821741522,321.805031044553,310.4526488885,304.934730325897,302.342853954116,301.222732675938,301.011321071167,301.217548827796,0.084,25900,90,0.98
1,360.97,359.57,360.56,359.36,350.48,243.34,163.97,372.965980376749,401.419106711617,376.108112279527,343.38336051501,321.872623250553,310.486878864793,304.951197106295,302.350806557793,301.227127601258,301.015096267452,301.221324024081,0.084,25900,90,0.98
2,360.89,359.54,360.52,359.24,350.45,243.29,164.34,373.122572569176,401.598538230163,376.277194941412,343.501890067019,321.940261903631,310.521149970678,304.96768773363,302.358771844036,301.231530432421,301.018878565536,301.225106322164,0.084,25900,90,0.98
3,360.85,359.53,360.5,359.19,350.39,243.3,164.78,373.278907561001,401.777699413618,376.446128459594,343.620410088503,322.00794681275,310.5554621741,304.984202225345,302.366749830127,301.23594118045,301.022667974889,301.228895731517,0.084,25900,90,0.98
4,360.82,359.51,360.46,359.16,350.27,243.38,165.21,373.434985911454,401.956590760222,376.614912828931,343.738920271389,322.075677786825,310.589815442633,305.000740598736,302.374740533329,301.240359856382,301.026464504999,301.232692261628,0.084,25900,90,0.98
5,360.8,359.5,360.42,359.15,350.12,243.49,165.6,373.590808175533,402.135212771555,376.783548046683,343.857420309314,322.143454634835,310.624209743488,305.017302870962,302.382743970892,301.244786471271,301.030268165376,301.236495922005,0.084,25900,90,0.98
6,360.77,359.48,360.37,359.14,350.02,243.68,166.02,373.746374905618,402.313565949875,376.952034111855,343.975909897543,322.211277165837,310.65864504352,305.033889059039,302.390760160053,301.249221036186,301.034078965547,301.240306722175,0.084,25900,90,0.98
7,360.72,359.43,360.28,359.13,349.98,243.89,166.67,373.901686654286,402.491650793348,377.12037102364,344.094388732602,322.279145188883,310.693121309215,305.050499179839,302.398789118028,301.25366356221,301.037896915058,301.244124671687,0.084,25900,90,0.98
8,360.68,359.38,360.19,359.12,349.99,244.03,167.23,374.05674397387,402.669467796792,377.288558781591,344.212856512287,322.347058513049,310.727638506706,305.067133250096,302.406830862022,301.258114060442,301.041722023476,301.247949780105,0.084,25900,90,0.98
9,360.67,359.34,360.15,359.12,350.0,244.24,167.52,374.211547411329,402.847017460433,377.456597388433,344.331312936327,322.415016947541,310.762196601769,305.083791286395,302.41488540922,301.262572541995,301.045554300387,301.251782057015,0.084,25900,90,0.98
10,360.66,359.32,360.09,359.11,350.03,244.42,167.74,374.366097516417,403.024300276051,377.62448684564,344.449757705348,322.48302030152,310.796795559818,305.100473305181,302.422952776793,301.267039017998,301.049393755393,301.255621512022,0.084,25900,90,0.98
11,360.66,359.31,360.06,359.1,350.09,244.62,167.95,374.520394834416,403.201316739189,377.792227157309,344.568190521794,322.551068384283,310.831435345924,305.117179322755,302.431032981893,301.271513499593,301.053240398119,301.259468154748,0.084,25900,90,0.98
12,360.66,359.29,360.01,359.11,350.15,244.87,168.13,374.674439909074,403.378067344463,377.959818328642,344.686611089525,322.61916100518,310.866115924804,305.133909355275,302.439126041656,301.275995997938,301.057094238207,301.263321994836,0.084,25900,90,0.98
13,360.65,359.28,359.98,359.12,350.25,245.25,168.38,374.828233284943,403.554513100273,378.127260364619,344.805019113556,322.687297973579,310.90083726082,305.15066341875,302.447231973199,301.280486524206,301.060955285317,301.267183041946,0.084,25900,90,0.98
14,360.65,359.25,359.93,359.13,350.36,245.68,168.7,374.981775503606,403.730074957497,378.294553272042,344.923414300482,322.755479098953,310.935599317995,305.167441529051,302.455350793625,301.284985089584,301.06482354913,301.271051305759,0.084,25900,90,0.98
15,360.65,359.23,359.89,359.13,350.51,245.94,169.04,375.135067104181,403.905371191413,378.461697059296,345.041796358467,322.823704190872,310.970402060001,305.184243701897,302.463482520015,301.289491705273,301.068699039345,301.274926795973,0.084,25900,90,0.98
16,360.63,359.22,359.85,359.12,350.77,246.27,169.54,375.28810862758,404.080402294704,378.628691733985,345.160164996644,322.891973058907,311.005245450166,305.201069952865,302.471627169433,301.294006382489,301.072581765678,301.278809522306,0.084,25900,90,0.98
17,360.63,359.21,359.81,359.13,351.07,246.57,170.11,375.443767111383,404.250185072669,378.793971130837,345.278150673816,322.960219440767,311.040124070136,305.217920249193,302.479784956225,301.298529466362,301.076472003919,301.282699760547,0.084,25900,90,0.98
18,360.62,359.19,359.79,359.13,351.27,246.88,170.43,375.604348310837,404.41070837773,378.956261782018,345.395448568913,323.028387635314,311.075033040192,305.234794476925,302.487956041344,301.30306123517,301.080369977165,301.286597733794,0.084,25900,90,0.98
19,360.61,359.19,359.75,359.14,351.49,247.22,170.89,375.764679668529,404.570964796643,379.118383531655,345.512721168103,323.096618316771,311.109981784684,305.251692694061,302.496140078549,301.307601096864,301.084275214754,301.290502971383,0.084,25900,90,0.98
20,360.61,359.17,359.73,359.17,351.71,247.57,171.27,375.924761617759,404.730954955635,379.280336482171,345.629968187783,323.164955058269,311.144970258922,305.268614914067,302.504337084576,301.312149062679,301.088187726461,301.294415483089,0.084,25900,90,0.98
21,360.61,359.17,359.72,359.19,351.95,247.91,171.5,376.056968226926,404.938759724592,379.457361125255,345.750826641731,323.233888329772,311.180055643818,305.285562562127,302.512545328577,301.316701940362,301.092104963296,301.298332719925,0.084,25900,90,0.98
22,360.6,359.16,359.69,359.2,352.16,248.15,171.75,376.208707522698,405.111885588515,379.623350064122,345.869079358149,323.302469989951,311.215141412286,305.302533532875,302.520767875654,301.321265243447,301.09603132803,301.302259084658,0.084,25900,90,0.98
23,360.59,359.16,359.67,359.24,352.37,248.52,172.09,376.360200210369,405.284750203603,379.789189720787,345.987316452777,323.371094261371,311.250267544566,305.319528683315,302.529003464099,301.325836686863,301.099964997361,301.30619275399,0.084,25900,90,0.98
24,360.59,359.14,359.65,359.26,352.56,248.91,172.48,376.511446814721,405.457354059241,379.954880114369,346.105537646594,323.439760953102,311.285434001188,305.336548027816,302.53725211081,301.330416281937,301.103905981154,301.310133737783,0.084,25900,90,0.98
25,360.59,359.13,359.63,359.29,352.76,249.28,172.87,376.662447859224,405.629697643283,380.120421264925,346.223742662041,323.508469874367,311.320640742365,305.353591580604,302.54551383267,301.335004040009,301.107854289293,301.314082045921,0.084,25900,90,0.98
26,360.58,359.12,359.59,359.32,353.06,249.63,173.35,376.813203865828,405.801781442827,380.285813193473,346.341931222861,323.577220834479,311.355887727976,305.370659355749,302.553788646536,301.339599972432,301.111809931676,301.318037688305,0.084,25900,90,0.98
27,360.58,359.12,359.57,359.37,353.36,249.95,173.9,376.963715355002,405.973605943929,380.451055922005,346.460103054186,323.646013642886,311.391174917584,305.387751367179,302.562076569246,301.344204090574,301.115772918224,301.322000674852,0.084,25900,90,0.98
