Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.64,358.86,359.41,359.51,359.17,361.24,358.75,359.21,356.32,336.55,308.643914081496,329.496758659629,329.49784608407,327.585348377549,320.864532577509,315.25563745915,311.241414348336,309.692852226731,309.692852226731,309.692852226731,315.324392331799,0.1575,25900,20,0.98
1,359.56,358.81,359.36,359.52,359.15,361.25,358.86,359.41,356.25,336.02,308.707868752775,329.567615734407,329.568729313371,327.65375933437,320.918648823093,315.29546141425,311.271245803456,309.719547792704,309.719547792704,309.719547792704,315.351087897773,0.1575,25900,20,0.98
2,359.5,358.78,359.34,359.55,359.16,361.27,359.04,359.67,356.5,335.78,308.771799972614,329.638448622945,329.63958866487,327.722155854212,320.972765927388,315.335288630338,311.301082597383,309.746250829363,309.746250829363,309.746250829363,315.377790934431,0.1575,25900,20,0.98
3,359.48,358.78,359.33,359.56,359.18,361.28,359.18,359.82,356.87,335.7,308.835707750217,329.709257333815,329.710424146978,327.790537931555,321.026883876613,315.375119107944,311.330924731033,309.772961330263,309.772961330263,309.772961330263,315.404501435331,0.1575,25900,20,0.98
4,359.45,358.76,359.33,359.59,359.19,361.33,359.31,360.06,357.29,335.65,308.899592094779,329.780041875598,329.781235768151,327.858905560921,321.081002657001,315.414952847587,311.360772205307,309.799679288989,309.799679288989,309.799679288989,315.431219394057,0.1575,25900,20,0.98
5,359.44,358.77,359.32,359.63,359.2,361.37,359.41,360.28,357.68,335.59,308.963453015561,329.850802256737,329.852023536458,327.927258736714,321.135122254783,315.454789849776,311.390625021092,309.826404699153,309.826404699153,309.826404699153,315.457944804222,0.1575,25900,20,0.98
6,359.41,358.76,359.33,359.66,359.22,361.41,359.5,360.45,358.02,335.55,309.027290521762,329.921538485784,329.922787460278,327.995597453483,321.189242656206,315.494630115007,311.420483179264,309.853137554393,309.853137554393,309.853137554393,315.484677659461,0.1575,25900,20,0.98
7,359.39,358.75,359.32,359.69,359.25,361.45,359.57,360.6,358.34,335.55,309.091104622616,329.992250571212,329.993527547785,328.063921705727,321.243363847522,315.534473643765,311.450346680682,309.879877848374,309.879877848374,309.879877848374,315.511417953442,0.1575,25900,20,0.98
8,359.35,358.73,359.33,359.71,359.28,361.49,359.63,360.73,358.63,335.55,309.154895327315,330.062938521565,330.064243807342,328.132231488046,321.297485814993,315.574320436525,311.480215526194,309.906625574786,309.906625574786,309.906625574786,315.538165679854,0.1575,25900,20,0.98
9,359.29,358.72,359.31,359.75,359.3,361.53,359.68,360.85,358.91,335.58,309.218662645098,330.133602345284,330.134936247046,328.200526794961,321.351608544888,315.614170493749,311.510089716634,309.933380727346,309.933380727346,309.933380727346,315.564920832415,0.1575,25900,20,0.98
10,359.22,358.71,359.32,359.78,359.36,361.56,359.75,360.89,359.3,335.62,309.282406585138,330.204242050931,330.205604875322,328.268807621152,321.405732023489,315.654023815889,311.539969252822,309.960143299798,309.960143299798,309.960143299798,315.591683404866,0.1575,25900,20,0.98
11,359.21,358.71,359.32,359.8,359.4,361.61,359.83,360.94,359.62,335.63,309.346127156675,330.274857646924,330.27624970021,328.337073961175,321.45985623708,315.693880403383,311.569854135567,309.986913285909,309.986913285909,309.986913285909,315.618453390978,0.1575,25900,20,0.98
12,359.2,358.71,359.32,359.84,359.43,361.65,359.88,360.95,359.81,335.62,309.409824368886,330.345449141795,330.346870730069,328.405325809734,321.513981171963,315.733740256662,311.599744365664,310.013690679476,310.013690679476,310.013690679476,315.645230784544,0.1575,25900,20,0.98
13,359.19,358.71,359.32,359.86,359.47,361.69,359.93,361.02,359.94,335.58,309.47349823101,330.416016543944,330.417467972898,328.473563161424,321.568106814438,315.77360337614,311.629639943895,310.040475474316,310.040475474316,310.040475474316,315.672015579385,0.1575,25900,20,0.98
14,359.18,358.7,359.32,359.88,359.48,361.72,359.97,361.1,360.04,335.53,309.537148752207,330.486559861915,330.488041437098,328.541786011021,321.622233150826,315.813469762224,311.659540871029,310.067267664276,310.067267664276,310.067267664276,315.698807769345,0.1575,25900,20,0.98
15,359.17,358.69,359.31,359.91,359.51,361.77,360.0,361.21,360.1,335.49,309.600775941688,330.557079104138,330.558591130764,328.609994353209,321.67636016745,315.853339415307,311.689447147823,310.094067243226,310.094067243226,310.094067243226,315.725607348294,0.1575,25900,20,0.98
16,359.16,358.68,359.31,359.92,359.53,361.8,360.04,361.32,360.15,335.43,309.664379808657,330.627574279055,330.629117062028,328.678188182711,321.730487850643,315.893212335771,311.719358775022,310.12087420506,310.12087420506,310.12087420506,315.752414310129,0.1575,25900,20,0.98
17,359.17,358.7,359.31,359.93,359.55,361.83,360.06,361.37,360.18,335.38,309.727960362309,330.698045395107,330.699619239021,328.746367494279,321.784616186748,315.933088523986,311.749275753356,310.147688543699,310.147688543699,310.147688543699,315.779228648768,0.1575,25900,20,0.98
18,359.16,358.69,359.31,359.91,359.57,361.85,360.07,361.44,360.21,335.33,309.791517611842,330.768492460724,330.770097669856,328.814532282681,321.838745162119,315.97296798031,311.779198083547,310.174510253088,310.174510253088,310.174510253088,315.806050358156,0.1575,25900,20,0.98
19,359.16,358.69,359.3,359.9,359.58,361.88,360.1,361.49,360.21,335.31,309.855051566414,330.8389154844,330.840552362822,328.882682542781,321.892874763122,316.012850705091,311.8091257663,310.201339327195,310.201339327195,310.201339327195,315.832879432264,0.1575,25900,20,0.98
20,359.17,358.67,359.28,359.9,359.6,361.9,360.13,361.57,360.19,335.34,309.918562235244,330.909314474503,330.91098332587,328.950818269336,321.947004976126,316.052736698664,311.839058802313,310.228175760015,310.228175760015,310.228175760015,315.859715865083,0.1575,25900,20,0.98
21,359.17,358.67,359.28,359.9,359.6,361.92,360.17,361.65,360.17,335.39,309.982049627476,330.979689439534,330.981390567319,329.018939457277,322.001135787518,316.092625961352,311.868997192267,310.255019545563,310.255019545563,310.255019545563,315.886559650631,0.1575,25900,20,0.98
22,359.17,358.67,359.27,359.9,359.61,361.94,360.22,361.71,360.17,335.43,310.045513752332,331.050040387835,331.051774095059,329.087046101386,322.055267183687,316.132518493466,311.898940936833,310.281870677882,310.281870677882,310.281870677882,315.91341078295,0.1575,25900,20,0.98
23,359.17,358.65,359.25,359.91,359.61,361.96,360.26,361.77,360.2,335.48,310.108954618986,331.120367327828,331.122133917201,329.15513819656,322.109399151036,316.172414295305,311.928890036673,310.308729151037,310.308729151037,310.308729151037,315.940269256105,0.1575,25900,20,0.98
24,359.17,358.65,359.23,359.9,359.61,361.97,360.31,361.81,360.24,335.52,310.172372236593,331.190670267964,331.192470041946,329.223215737758,322.163531675982,316.212313367159,311.958844492432,310.335594959118,310.335594959118,310.335594959118,315.967135064186,0.1575,25900,20,0.98
25,359.18,358.65,359.22,359.9,359.62,361.99,360.37,361.86,360.33,335.57,310.236122466895,331.2602873998,331.260936969756,329.290538800424,322.217624384771,316.252215461089,311.988804116804,310.362468149467,310.362468149467,310.362468149467,315.994008254535,0.1575,25900,20,0.98
26,359.18,358.65,359.21,359.91,359.62,362.0,360.45,361.96,360.46,335.63,310.299875727345,331.330356067456,331.330356067456,329.357790918929,322.271714075598,316.292120755024,312.018769075437,310.389348666415,310.389348666415,310.389348666415,316.020888771484,0.1575,25900,20,0.98
27,359.19,358.65,359.2,359.92,359.63,362.03,360.53,362.04,360.58,335.71,310.363607121102,331.400981590593,331.400981590593,329.425023814288,322.325803535842,316.33202926421,312.048739381715,310.416236500381,310.416236500381,310.416236500381,316.047776605449,0.1575,25900,20,0.98
28,359.17,358.66,359.18,359.93,359.63,362.05,360.62,362.13,360.71,335.83,310.427316654118,331.47158439394,331.47158439394,329.492237487646,322.379892747668,316.37194098826,312.078715036164,310.443131645546,310.443131645546,310.443131645546,316.074671750615,0.1575,25900,20,0.98
29,359.15,358.67,359.16,359.93,359.64,362.07,360.71,362.19,360.81,336.01,310.491004332351,331.542164482714,331.542164482714,329.559431940197,322.433981693264,316.411855926775,312.108696039299,310.470034096119,310.470034096119,310.470034096119,316.101574201188,0.1575,25900,20,0.98
30,359.14,358.67,359.16,359.94,359.66,362.09,360.78,362.26,360.89,336.15,310.554670161758,331.612721862131,331.612721862131,329.626607173183,322.48807035484,316.451774079337,312.138682391623,310.496943846328,310.496943846328,310.496943846328,316.128483951396,0.1575,25900,20,0.98
