Time,TC1_tip,TC2,TC3,TC4,TC_9_5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.99,353.98,328.09,182.09,16.82,352.878862432453,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,378.859176336254,433.800828497202,0.0375,25900,3,0.98
1,360.15,354.11,328.0,182.1,18.57,353.027233130818,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,379.026028076653,433.967680237602,0.0375,25900,3,0.98
2,360.41,354.56,328.05,182.06,17.3,353.175526948639,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,379.192802115687,434.134454276636,0.0375,25900,3,0.98
3,360.69,355.1,328.17,182.46,20.56,353.323743882904,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,379.359498438427,434.301150599375,0.0375,25900,3,0.98
4,360.98,355.65,328.35,182.72,21.72,353.471883930657,379.526117030004,379.526117030004,379.526117030004,379.526117030004,379.526117030004,379.526117030004,379.526117030004,379.526117030004,379.526117030004,434.467769190953,0.0375,25900,3,0.98
5,361.29,356.17,328.5,183.07,21.63,353.619947088995,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,379.692657875614,434.634310036563,0.0375,25900,3,0.98
6,361.6,356.7,328.69,183.59,19.22,353.767933355069,379.859120960511,379.859120960511,379.859120960511,379.859120960511,379.859120960511,379.859120960511,379.859120960511,379.859120960511,379.859120960511,434.800773121459,0.0375,25900,3,0.98
7,362.02,357.48,329.07,183.43,21.02,353.915842726089,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,380.02550627001,434.967158430958,0.0375,25900,3,0.98
8,362.36,358.24,329.48,184.21,20.54,354.063675199313,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,380.19181378949,435.133465950439,0.0375,25900,3,0.98
9,362.58,358.63,329.78,184.45,15.81,354.211430772059,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,380.35804350439,435.299695665338,0.0375,25900,3,0.98
10,362.85,358.92,330.07,184.91,21.41,354.359109441697,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,380.52419540021,435.465847561158,0.0375,25900,3,0.98
11,363.11,359.21,330.39,185.34,21.19,354.506711205651,380.690269462511,380.690269462511,380.690269462511,380.690269462511,380.690269462511,380.690269462511,380.690269462511,380.690269462511,380.690269462511,435.63192162346,0.0375,25900,3,0.98
12,363.34,359.56,330.67,185.82,20.27,354.6542360614,380.856265676917,380.856265676917,380.856265676917,380.856265676917,380.856265676917,380.856265676917,380.856265676917,380.856265676917,380.856265676917,435.797917837866,0.0375,25900,3,0.98
13,363.58,359.9,330.95,186.3,20.96,354.801684006479,381.022184029113,381.022184029113,381.022184029113,381.022184029113,381.022184029113,381.022184029113,381.022184029113,381.022184029113,381.022184029113,435.963836190061,0.0375,25900,3,0.98
14,363.8,360.24,331.22,186.67,17.08,354.949055038475,381.188024504842,381.188024504842,381.188024504842,381.188024504842,381.188024504842,381.188024504842,381.188024504842,381.188024504842,381.188024504842,436.129676665791,0.0375,25900,3,0.98
15,364.17,360.78,331.73,186.95,18.91,355.096349155032,381.353787089914,381.353787089914,381.353787089914,381.353787089914,381.353787089914,381.353787089914,381.353787089914,381.353787089914,381.353787089914,436.295439250862,0.0375,25900,3,0.98
16,364.64,361.25,332.17,187.41,21.5,355.243566353846,381.519471770196,381.519471770196,381.519471770196,381.519471770196,381.519471770196,381.519471770196,381.519471770196,381.519471770196,381.519471770196,436.461123931145,0.0375,25900,3,0.98
17,364.9,361.52,332.53,188.06,21.32,355.390706632667,381.685078531618,381.685078531618,381.685078531618,381.685078531618,381.685078531618,381.685078531618,381.685078531618,381.685078531618,381.685078531618,436.626730692566,0.0375,25900,3,0.98
