Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,361.2,359.79,359.98,359.0,350.91,249.6,168.17,388.394382604629,419.03680950385,393.335215298975,355.96070924854,329.342838159364,314.379437546912,306.853475443447,303.278243646164,301.745086806665,301.46183889088,301.668066647509,0.084,25900,90,0.98
1,361.05,359.74,359.96,358.94,350.69,249.61,168.23,388.526608791848,419.187836858049,393.488178572375,356.07679170216,329.414476335902,314.417874857373,306.87259780361,303.287658600434,301.750395970147,301.466433992447,301.672661749075,0.084,25900,90,0.98
2,360.93,359.69,359.95,358.9,350.53,249.64,168.53,388.658628841401,419.338638650459,393.640996293332,356.192838638627,329.486141447902,314.45634831211,306.891745144568,303.297087939745,301.755714242274,301.47103726057,301.677265017199,0.084,25900,90,0.98
3,360.8,359.59,359.92,358.88,350.36,249.62,169.1,388.790443172274,419.489215109625,393.793668542247,356.308849877655,329.557833322534,314.494857850927,306.910917468548,303.306531678463,301.761041634981,301.475648706162,301.68187646279,0.084,25900,90,0.98
4,360.71,359.51,359.88,358.88,350.3,249.62,169.64,388.922052201183,419.639566465506,393.946195400816,356.42482524019,329.629551787323,314.533403413459,306.93011477763,303.31598983092,301.766378160207,301.480268340144,301.686496096773,0.084,25900,90,0.98
5,360.66,359.45,359.84,358.88,350.29,249.65,170.04,389.053456344843,419.789692948058,394.098576950537,356.540764547983,329.701296670056,314.571984939151,306.949337073747,303.325462411407,301.771723829896,301.484896173454,301.691123930082,0.084,25900,90,0.98
6,360.63,359.4,359.81,358.88,350.33,249.75,170.46,389.184656017575,419.939594788427,394.250813274154,356.656667623978,329.773067798872,314.610602367281,306.96858435868,303.334949434175,301.777078656,301.489532217036,301.695759973665,0.084,25900,90,0.98
7,360.6,359.34,359.79,358.89,350.4,249.99,170.9,389.315651633677,420.089272217741,394.402904454208,356.772534291982,329.844865002202,314.649255636948,306.987856634065,303.344450913437,301.782442650473,301.49417648185,301.700404238479,0.084,25900,90,0.98
8,360.56,359.28,359.75,358.9,350.51,250.24,171.27,389.446443606875,420.238725467706,394.554850573453,356.888364376633,329.916688108731,314.687944687069,307.007153901387,303.353966863364,301.787815825276,301.498828978867,301.705056735495,0.084,25900,90,0.98
9,360.55,359.25,359.73,358.9,350.63,250.42,171.61,389.577032348294,420.387954771062,394.706651716075,357.004157703907,329.988536947555,314.726669456402,307.026476161984,303.36349729809,301.793198192376,301.503489719066,301.709717475695,0.084,25900,90,0.98
