Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,360.63,359.18,359.91,358.92,350.67,238.05,147.87,404.4380976244,437.383738430134,412.551711262162,371.148312546068,339.12819225546,319.831749355886,309.636679445561,304.672257997183,302.541718184367,302.154127155852,302.360354912481,0.084,25900,90,0.98
1,360.57,359.13,359.87,358.89,350.55,238.03,147.95,404.546143107507,437.507623479344,412.685689518606,371.25853063723,339.202230563572,319.874509597315,309.659107951172,304.683697631933,302.548342321126,302.159905269844,302.366133026473,0.084,25900,90,0.98
2,360.52,359.05,359.83,358.86,350.43,238.16,148.25,404.654030229532,437.631334130652,412.819535244174,371.368695784097,339.276275379234,319.917296975738,309.681560621969,304.69515321784,302.554977170241,302.165693073535,302.371920830164,0.084,25900,90,0.98
3,360.44,359.0,359.78,358.83,350.37,238.4,148.72,404.761759294414,437.754870697108,412.95324856154,371.478807908241,339.35032656925,319.960111414585,309.704037441862,304.706624763652,302.561622744402,302.171490579585,302.377718336213,0.084,25900,90,0.98
4,360.39,358.96,359.73,358.81,350.36,238.67,149.17,404.869330604733,437.878233492178,413.086829593965,371.588866932055,339.424384000914,320.002952837318,309.726538394637,304.718112278046,302.568279056286,302.17729780065,302.383525557279,0.084,25900,90,0.98
5,360.35,358.91,359.7,358.8,350.38,238.99,149.58,404.976744465689,438.001422822929,413.220278462103,371.698872777603,339.498447541659,320.045821167326,309.74906346394,304.729615769632,302.574946118563,302.183114749393,302.389342506021,0.084,25900,90,0.98
6,360.3,358.87,359.65,358.79,350.41,239.33,150.08,405.084001180632,438.124438997717,413.353595287586,371.808825367896,339.572517059435,320.088716328036,309.771612633294,304.741135246953,302.581623943893,302.188941438473,302.395169195102,0.084,25900,90,0.98
7,360.26,358.83,359.6,358.8,350.46,239.58,150.78,405.191101047563,438.24728233223,413.486780195855,371.918724627852,339.646592422981,320.131638242971,309.794185886108,304.752670718479,302.588312544918,302.194777880548,302.401005637177,0.084,25900,90,0.98
8,360.23,358.78,359.55,358.81,350.53,239.94,151.56,405.298044371849,438.369953127476,413.619833305851,372.028570480718,339.720673500802,320.174586835507,309.816783205642,304.764222192612,302.595011934273,302.200624088278,302.406851844906,0.084,25900,90,0.98
9,360.2,358.69,359.51,358.82,350.57,240.23,152.43,405.404831449898,438.492451698189,413.75275474333,372.138362852698,339.794760162491,320.217562029192,309.839404575052,304.775789677687,302.60172212458,302.206480074318,302.412707830947,0.084,25900,90,0.98
10,360.12,358.63,359.41,358.82,350.62,240.48,153.63,405.511462583856,438.614778347262,413.885544628866,372.248101668777,339.868852277545,320.260563747463,309.862049977352,304.787373181964,302.608443128447,302.212345851326,302.418573607955,0.084,25900,90,0.98
11,360.07,358.63,359.34,358.83,350.67,240.75,154.78,405.617938071693,438.736933382883,414.018203085882,372.35778685551,339.94294971615,320.303591913837,309.884719395441,304.798972713635,302.615174958468,302.218221431954,302.424449188582,0.084,25900,90,0.98
12,360.04,358.64,359.3,358.85,350.72,241.07,155.45,405.724258212314,438.858917109828,414.150730236573,372.467418339602,340.017052348779,320.346646451814,309.907412812089,304.810588280826,302.621917627228,302.224106828856,302.430334585485,0.084,25900,90,0.98
13,360.02,358.63,359.26,358.86,350.76,241.38,156.0,405.830423301475,438.980729836381,414.283126205147,372.576996049027,340.091160046507,320.38975597445,309.930130209955,304.822219891592,302.6286711473,302.230002054684,302.436229811313,0.084,25900,90,0.98
14,360.0,358.64,359.24,358.85,350.83,241.53,156.5,405.93643363823,439.102371863346,414.415391112649,372.686519911231,340.165272680516,320.432908681186,309.95287157156,304.833867553917,302.63543553124,302.235907122088,302.442134878717,0.084,25900,90,0.98
15,360.0,358.63,359.22,358.89,350.9,241.81,157.1,406.042289515576,439.223843500055,414.547525084523,372.795989855765,340.239390122823,320.476087631611,309.975636879324,304.845531275718,302.642210791593,302.241822043715,302.448049800344,0.084,25900,90,0.98
16,359.97,358.63,359.18,358.91,350.98,242.1,157.79,406.147991230403,439.34514504736,414.679528242568,372.905405811478,340.313512245498,320.519292748865,309.998426115527,304.857211064837,302.648996940889,302.24774683221,302.453974588839,0.084,25900,90,0.98
17,359.97,358.62,359.16,358.93,351.09,242.35,158.35,406.2535390786,439.466276805957,414.811400708835,373.014767707847,340.387638921028,320.562523956111,310.021239262336,304.868906929054,302.655793991648,302.253681500217,302.459909256846,0.084,25900,90,0.98
18,359.96,358.62,359.15,358.95,351.21,242.55,158.77,406.3589333545,439.587239077506,414.943142606238,373.124075475235,340.461770022407,320.605781176553,310.044076301796,304.880618876072,302.662601956371,302.259626060376,302.465853817005,0.084,25900,90,0.98
19,359.95,358.61,359.14,358.97,351.35,242.72,159.15,406.464174346714,439.70803217135,415.074754061641,373.233329045947,340.53590542343,320.649064333506,310.066937215857,304.89234691353,302.669420847549,302.265580525324,302.471808281952,0.084,25900,90,0.98
20,359.94,358.59,359.12,359.0,351.56,242.91,159.61,406.569262352737,439.828656380226,415.206235194436,373.342528350206,340.610044997535,320.692373350142,310.089821986315,304.904091048994,302.676250677657,302.271544907696,302.477772664324,0.084,25900,90,0.98
21,359.92,358.59,359.09,359.02,351.77,243.06,160.14,406.674197660831,439.949112010535,415.33758613081,373.451673321168,340.684188619236,320.735708149799,310.11273059488,304.915851289964,302.683091459157,302.277519220124,302.483746976752,0.084,25900,90,0.98
22,359.92,358.58,359.08,359.05,351.91,243.29,160.46,406.778980564226,440.069399358568,415.468806992531,373.560763891025,340.75833616305,320.779068655762,310.135663023128,304.927627643864,302.689943204494,302.283503475234,302.489731231863,0.084,25900,90,0.98
23,359.92,358.58,359.07,359.1,352.05,243.56,160.88,406.883611353573,440.189518723047,415.599897902808,373.669799992972,340.832487503992,320.822454791353,310.158619252523,304.939420118056,302.696805926102,302.289497685654,302.495725442283,0.084,25900,90,0.98
