Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.27,357.9,358.54,357.52,348.41,237.56,151.79,349.614472490972,374.869368202096,352.30861199115,327.684469522793,313.364453807744,306.30385285292,302.961959150556,301.397541766684,300.707892422696,300.571891684214,300.778119440842,0.084,25900,90,0.98
1,359.25,357.86,358.47,357.47,348.12,237.47,152.02,349.810516533334,375.091004905413,352.496960549952,327.800789880121,313.424273415751,306.33253304346,302.975476649913,301.403975569073,300.711334367758,300.574804609228,300.781032365856,0.084,25900,90,0.98
2,359.22,357.85,358.39,357.38,347.9,237.49,152.24,350.006212849983,375.312294471292,352.685177907544,327.917155582635,313.484161705906,306.361254782961,302.989014778586,301.410419802636,300.714782949994,300.57772360433,300.783951360958,0.084,25900,90,0.98
3,359.17,357.84,358.27,357.29,347.68,237.6,152.5,350.201562275972,375.533237605953,352.873263784684,328.033566098275,313.544118538986,306.390018094777,303.002573566489,301.416874485139,300.71823817842,300.58064867629,300.786876432918,0.084,25900,90,0.98
4,359.13,357.81,358.22,357.16,347.57,237.82,153.18,350.396565642482,375.753835014916,353.061217906067,328.150020896969,313.604143774755,306.418823001782,303.016153043497,301.423339634359,300.721700062071,300.583579831908,300.789807588537,0.084,25900,90,0.98
5,359.11,357.77,358.2,357.08,347.52,238.06,153.87,350.591223779042,375.974087399538,353.249039999642,328.2665194506,313.664237271992,306.447669526371,303.029753239438,301.429815268083,300.725168610004,300.586517078017,300.792744834645,0.084,25900,90,0.98
6,359.08,357.73,358.16,357.03,347.53,238.32,154.36,350.785537511764,376.193995460038,353.436729797202,328.38306123306,313.724398888496,306.476557690459,303.043374184097,301.43630140411,300.7286438313,300.589460421476,300.795688178105,0.084,25900,90,0.98
7,359.07,357.7,358.12,357.0,347.58,238.56,154.85,350.979507666409,376.413559889994,353.624287032992,328.499645720071,313.784628481097,306.505487515484,303.057015907213,301.442798060249,300.73212573506,300.592409869179,300.798637625808,0.084,25900,90,0.98
8,359.06,357.69,358.09,356.99,347.68,238.83,155.47,351.173135064656,376.632781383067,353.811711445291,328.616272389403,313.844925905674,306.534459022394,303.070678438475,301.449305254318,300.735614330405,300.595365428048,300.801593184677,0.084,25900,90,0.98
9,359.07,357.68,358.07,356.99,347.8,239.07,156.05,351.366420523082,376.851660634704,353.999002776747,328.732940720941,313.905291017187,306.563472231656,303.084361807524,301.455823004147,300.739109626481,300.598327105035,300.804554861663,0.084,25900,90,0.98
10,359.06,357.64,358.04,357.0,347.92,239.21,156.58,351.559364861383,377.07019832807,354.18616077108,328.849650196219,313.965723669645,306.59252716326,303.098066612545,301.462351327576,300.742611632454,300.601294907122,300.807522663751,0.084,25900,90,0.98
11,359.05,357.63,358.01,357.01,348.04,239.41,157.09,351.751968892,377.288395151822,354.373185177112,328.966400298983,314.026223716164,306.621623836703,303.111795927934,301.468890242454,300.746120357511,300.604268841324,300.810496597952,0.084,25900,90,0.98
12,359.05,357.61,357.99,357.04,348.24,239.58,157.67,351.944233426438,377.506251789623,354.560075746449,329.083190514901,314.086791008961,306.650762271,303.125546220296,301.475439766641,300.749635810861,300.60724891468,300.813476671309,0.084,25900,90,0.98
13,359.04,357.59,357.96,357.08,348.49,239.75,158.27,352.136159274909,377.723768920364,354.746832233275,329.200020331488,314.147425399352,306.679942484678,303.139317519229,301.481999918006,300.753158001736,300.610235134263,300.816462890892,0.084,25900,90,0.98
14,359.03,357.57,357.96,357.12,348.68,239.92,158.58,352.327747242833,377.94094722444,354.933454395918,329.316889238377,314.208126737798,306.709164495777,303.153109854269,301.488570714428,300.756686939389,300.613227507175,300.819455263803,0.084,25900,90,0.98
15,359.04,357.57,357.94,357.17,348.88,240.09,158.9,352.518998134944,378.157787376695,355.119941995087,329.433796727035,314.268894873885,306.738428321848,303.166923254899,301.495152173796,300.760222633093,300.616226040545,300.822453797174,0.084,25900,90,0.98
16,359.03,357.56,357.93,357.22,349.09,240.3,159.32,352.709912753118,378.374290050345,355.306294794858,329.55074229095,314.329729656359,306.767733979958,303.180757750541,301.501744314008,300.763765092144,300.619230741534,300.825458498163,0.084,25900,90,0.98
17,359.02,357.54,357.91,357.26,349.29,240.44,159.76,352.900491896264,378.590455916846,355.492512562444,329.667725425556,314.390630933131,306.797081486683,303.19461337056,301.508347152972,300.767314325861,300.622241617331,300.828469373959,0.084,25900,90,0.98
18,359.0,357.53,357.89,357.3,349.49,240.69,160.16,353.090736361475,378.806285644395,355.678595067973,329.784745628236,314.451598551282,306.826470858105,303.208490144257,301.514960708603,300.770870343582,300.625258675153,300.831486431781,0.084,25900,90,0.98
19,358.99,357.51,357.88,357.35,349.67,240.96,160.52,353.280646939984,379.021779904434,355.864542085841,329.901802398507,314.51263698843,306.855902109822,303.222388100869,301.521584998828,300.774433154667,300.628281922246,300.834509678875,0.084,25900,90,0.98
20,358.99,357.5,357.87,357.39,349.83,241.25,160.83,353.470224427013,379.236939355321,356.050353390936,330.018895237481,314.573769368381,306.885375256943,303.236307269578,301.52822004158,300.778002768499,300.631311365888,300.837539122517,0.084,25900,90,0.98
21,358.96,357.49,357.86,357.43,350.08,241.54,161.29,353.659469613654,379.451764656041,356.236028761811,330.136023648316,314.63496793895,306.914890314081,303.250247679491,301.534865854804,300.781579194482,300.634347013382,300.84057477001,0.084,25900,90,0.98
22,358.93,357.49,357.84,357.46,350.33,241.83,161.89,353.848383282628,379.666256473132,356.421567982163,330.25318713645,314.696232543749,306.944447295361,303.264209359655,301.54152245645,300.78516244204,300.63738887206,300.843616628689,0.084,25900,90,0.98
23,358.92,357.48,357.84,357.51,350.5,242.18,162.29,354.036966217882,379.88041546491,356.606976147656,330.370385209093,314.757563025604,306.974046214419,303.278192339045,301.548189864478,300.788752520621,300.640436949285,300.846664705913,0.084,25900,90,0.98
24,358.9,357.49,357.83,357.53,350.69,242.43,162.51,354.22521920605,380.094242278831,356.792250803717,330.487617375055,314.818959226557,307.003687084397,303.292196646574,301.554868096857,300.792349439692,300.643491252445,300.849719009073,0.084,25900,90,0.98
25,358.88,357.47,357.82,357.57,350.86,242.84,162.73,354.413143023108,380.306511895029,356.977404556227,330.605536677307,314.880595109552,307.033321810859,303.306172107673,301.561528126167,300.795938611759,300.646540812479,300.852768569107,0.084,25900,90,0.98
26,358.85,357.46,357.81,357.6,351.03,243.23,162.93,354.600276254043,380.520333448583,357.16258959339,330.722929707359,314.942143485604,307.063042108732,303.320213660996,301.568224911252,300.799547610469,300.649606339496,300.855834096124,0.084,25900,90,0.98
27,358.83,357.46,357.8,357.64,351.22,243.65,163.2,354.78750191084,380.733116733788,357.347467569638,330.84033008255,315.003756228613,307.092804479807,303.334276760981,301.574932575483,300.803163493888,300.652678124375,300.858905881003,0.084,25900,90,0.98
28,358.8,357.44,357.79,357.68,351.41,244.06,163.54,354.974400185377,380.945569929176,357.532207527221,330.957763568541,315.065434705071,307.122608860356,303.348361192379,301.581651061779,300.806786213561,300.655756128948,300.861983885577,0.084,25900,90,0.98
29,358.79,357.44,357.78,357.71,351.6,244.44,163.93,355.160971859009,381.157693671431,357.716809256805,331.075229675134,315.127178759413,307.152455264763,303.362466983629,301.588380387552,300.810415778594,300.658840360302,300.865068116931,0.084,25900,90,0.98
30,358.74,357.43,357.76,357.74,351.9,244.78,164.51,355.347217698685,381.369488615368,357.901272556847,331.19272791482,315.188988235326,307.182343706949,303.376594163109,301.595120570222,300.814052198109,300.661930825544,300.868158582173,0.084,25900,90,0.98
31,358.7,357.41,357.75,357.76,352.2,244.99,165.11,355.536665153858,381.575035008681,358.084152205269,331.310026465454,315.250847797267,307.212274466927,303.390744739282,301.601872237462,300.817695959397,300.665027907276,300.871255663905,0.084,25900,90,0.98
32,358.69,357.4,357.74,357.79,352.39,245.25,165.52,355.731727476231,381.77028154976,358.264440353425,331.4269587699,315.312745177964,307.24224744367,303.404920046706,301.608635814432,300.821347396941,300.668131868161,300.87435962479,0.084,25900,90,0.98
33,358.67,357.4,357.74,357.81,352.57,245.48,165.87,355.926480924979,381.965173636387,358.444555562032,331.543909349051,315.374704906362,307.272262061927,303.419116764454,301.615410288894,300.825005715879,300.671242084042,300.877469840671,0.084,25900,90,0.98
34,358.64,357.39,357.72,357.84,352.74,245.68,166.16,356.095201048261,382.202922617842,358.635156588941,331.662612977485,315.436848115945,307.302318224794,303.433320775906,301.622191286012,300.82866744691,300.674355830037,300.880583586666,0.084,25900,90,0.98
35,358.62,357.38,357.71,357.87,352.91,245.89,166.47,356.280075151782,382.41267431763,358.818815325453,331.780244653069,315.498980412621,307.332416926953,303.44755543593,301.628986052388,300.832338308296,300.677477597245,300.883705353874,0.084,25900,90,0.98
36,358.6,357.37,357.7,357.9,353.07,246.2,166.73,356.464628137649,382.622101050536,359.002333834882,331.897905297261,315.561177112994,307.362557730142,303.461811651699,301.635791780036,300.83601607925,300.680605641487,300.886833398116,0.084,25900,90,0.98
