Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,360.3,359.61,359.47,359.69,358.95,360.66,358.46,358.98,355.38,333.79,296.596043332306,316.178827257271,316.178827257271,316.178827257271,316.178827257271,316.178827257271,316.178827257271,316.178827257271,316.178827257271,316.178827257271,349.948809889007,0.1575,19400,3,0.98
1,360.31,359.66,359.49,359.71,358.97,360.66,358.66,359.19,355.57,333.41,296.624137556306,316.209819273104,316.209819273104,316.209819273104,316.209819273104,316.209819273104,316.209819273104,316.209819273104,316.209819273104,316.209819273104,349.97980190484,0.1575,19400,3,0.98
2,360.35,359.77,359.53,359.76,359.01,360.7,358.85,359.47,355.77,333.24,296.652229128487,316.240808649412,316.240808649412,316.240808649412,316.240808649412,316.240808649412,316.240808649412,316.240808649412,316.240808649412,316.240808649412,350.010791281148,0.1575,19400,3,0.98
3,360.44,359.9,359.6,359.85,359.06,360.76,359.05,359.74,356.05,333.12,296.680318048784,316.271795386054,316.271795386054,316.271795386054,316.271795386054,316.271795386054,316.271795386054,316.271795386054,316.271795386054,316.271795386054,350.04177801779,0.1575,19400,3,0.98
4,360.52,360.02,359.67,359.93,359.11,360.84,359.26,359.97,356.36,333.02,296.708404317128,316.302779482888,316.302779482888,316.302779482888,316.302779482888,316.302779482888,316.302779482888,316.302779482888,316.302779482888,316.302779482888,350.072762114624,0.1575,19400,3,0.98
5,360.61,360.12,359.75,359.98,359.15,360.88,359.44,360.09,356.67,332.94,296.736487933452,316.333760939773,316.333760939773,316.333760939773,316.333760939773,316.333760939773,316.333760939773,316.333760939773,316.333760939773,316.333760939773,350.103743571509,0.1575,19400,3,0.98
6,360.69,360.21,359.8,360.05,359.22,360.93,359.62,360.2,357.0,332.87,296.764568897689,316.364739756568,316.364739756568,316.364739756568,316.364739756568,316.364739756568,316.364739756568,316.364739756568,316.364739756568,316.364739756568,350.134722388304,0.1575,19400,3,0.98
7,360.78,360.29,359.83,360.13,359.29,360.99,359.77,360.34,357.32,332.81,296.792647209771,316.395715933132,316.395715933132,316.395715933132,316.395715933132,316.395715933132,316.395715933132,316.395715933132,316.395715933132,316.395715933132,350.165698564868,0.1575,19400,3,0.98
8,360.86,360.37,359.89,360.2,359.39,361.07,359.84,360.4,357.61,332.8,296.820722869632,316.426689469325,316.426689469325,316.426689469325,316.426689469325,316.426689469325,316.426689469325,316.426689469325,316.426689469325,316.426689469325,350.196672101061,0.1575,19400,3,0.98
9,360.94,360.46,359.97,360.26,359.51,361.18,359.91,360.39,357.96,332.81,296.848795877204,316.457660365004,316.457660365004,316.457660365004,316.457660365004,316.457660365004,316.457660365004,316.457660365004,316.457660365004,316.457660365004,350.22764299674,0.1575,19400,3,0.98
