Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,360.1,359.59,360.22,360.61,359.93,361.74,358.79,359.74,356.9,333.79,302.615453134361,322.825665372531,322.825665372531,322.825665372531,322.825665372531,322.825665372531,322.825665372531,322.825665372531,322.825665372531,322.825665372531,358.98319415742,0.1575,21250,3,0.98
1,360.13,359.6,360.2,360.58,359.9,361.7,358.92,359.85,356.95,333.73,302.64679970016,322.860313909698,322.860313909698,322.860313909698,322.860313909698,322.860313909698,322.860313909698,322.860313909698,322.860313909698,322.860313909698,359.017842694586,0.1575,21250,3,0.98
2,360.18,359.64,360.2,360.59,359.9,361.71,359.1,360.06,357.0,333.71,302.678143190814,322.894959407372,322.894959407372,322.894959407372,322.894959407372,322.894959407372,322.894959407372,322.894959407372,322.894959407372,322.894959407372,359.052488192261,0.1575,21250,3,0.98
3,360.25,359.71,360.23,360.64,359.92,361.74,359.3,360.29,357.02,333.7,302.709483606222,322.929601865356,322.929601865356,322.929601865356,322.929601865356,322.929601865356,322.929601865356,322.929601865356,322.929601865356,322.929601865356,359.087130650245,0.1575,21250,3,0.98
4,360.35,359.8,360.27,360.67,359.96,361.77,359.49,360.45,357.05,333.75,302.740820946282,322.964241283451,322.964241283451,322.964241283451,322.964241283451,322.964241283451,322.964241283451,322.964241283451,322.964241283451,322.964241283451,359.12177006834,0.1575,21250,3,0.98
5,360.45,359.89,360.32,360.74,360.02,361.82,359.68,360.64,357.17,333.85,302.772155210893,322.998877661459,322.998877661459,322.998877661459,322.998877661459,322.998877661459,322.998877661459,322.998877661459,322.998877661459,322.998877661459,359.156406446348,0.1575,21250,3,0.98
6,360.54,360.01,360.39,360.82,360.08,361.88,359.87,360.84,357.38,333.95,302.803486399954,323.033510999183,323.033510999183,323.033510999183,323.033510999183,323.033510999183,323.033510999183,323.033510999183,323.033510999183,323.033510999183,359.191039784071,0.1575,21250,3,0.98
7,360.65,360.14,360.48,360.9,360.16,361.95,360.04,361.02,357.61,334.03,302.834814513365,323.068141296424,323.068141296424,323.068141296424,323.068141296424,323.068141296424,323.068141296424,323.068141296424,323.068141296424,323.068141296424,359.225670081312,0.1575,21250,3,0.98
8,360.83,360.31,360.6,360.98,360.24,362.0,360.23,361.17,358.0,334.19,302.866139551023,323.102768552984,323.102768552984,323.102768552984,323.102768552984,323.102768552984,323.102768552984,323.102768552984,323.102768552984,323.102768552984,359.260297337873,0.1575,21250,3,0.98
9,361.02,360.5,360.72,361.07,360.32,362.06,360.38,361.3,358.35,334.36,302.89746151283,323.137392768666,323.137392768666,323.137392768666,323.137392768666,323.137392768666,323.137392768666,323.137392768666,323.137392768666,323.137392768666,359.294921553555,0.1575,21250,3,0.98
10,361.14,360.62,360.81,361.15,360.36,362.14,360.46,361.41,358.44,334.47,302.928780398683,323.172013943273,323.172013943273,323.172013943273,323.172013943273,323.172013943273,323.172013943273,323.172013943273,323.172013943273,323.172013943273,359.329542728162,0.1575,21250,3,0.98
11,361.24,360.72,360.87,361.19,360.39,362.19,360.54,361.49,358.4,334.58,302.960096208483,323.206632076607,323.206632076607,323.206632076607,323.206632076607,323.206632076607,323.206632076607,323.206632076607,323.206632076607,323.206632076607,359.364160861495,0.1575,21250,3,0.98
12,361.34,360.84,360.95,361.23,360.45,362.28,360.62,361.58,358.46,334.7,302.991408942128,323.24124716847,323.24124716847,323.24124716847,323.24124716847,323.24124716847,323.24124716847,323.24124716847,323.24124716847,323.24124716847,359.398775953358,0.1575,21250,3,0.98
13,361.42,360.94,361.01,361.28,360.47,362.36,360.69,361.69,358.63,334.81,303.02271859952,323.275859218665,323.275859218665,323.275859218665,323.275859218665,323.275859218665,323.275859218665,323.275859218665,323.275859218665,323.275859218665,359.433388003554,0.1575,21250,3,0.98
14,361.49,361.03,361.07,361.33,360.51,362.44,360.73,361.73,358.85,334.95,303.054025180555,323.310468226996,323.310468226996,323.310468226996,323.310468226996,323.310468226996,323.310468226996,323.310468226996,323.310468226996,323.310468226996,359.467997011884,0.1575,21250,3,0.98
