Time,TC1_tip,TC2,TC3,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,361.98,359.64,339.27,311.881687113073,333.083725250543,333.083725250543,333.083725250543,333.083725250543,333.083725250543,333.083725250543,333.083725250543,333.083725250543,333.083725250543,362.67814752659,0.0375,25900,25,0.98
1,361.92,359.56,339.07,312.049706743307,333.270022331485,333.270022331485,333.270022331485,333.270022331485,333.270022331485,333.270022331485,333.270022331485,333.270022331485,333.270022331485,362.864444607532,0.0375,25900,25,0.98
2,361.95,359.66,338.86,312.217652133568,333.456247590718,333.456247590718,333.456247590718,333.456247590718,333.456247590718,333.456247590718,333.456247590718,333.456247590718,333.456247590718,363.050669866765,0.0375,25900,25,0.98
3,362.05,359.87,338.52,312.38552326655,333.642400998145,333.642400998145,333.642400998145,333.642400998145,333.642400998145,333.642400998145,333.642400998145,333.642400998145,333.642400998145,363.236823274192,0.0375,25900,25,0.98
4,362.18,360.12,338.46,312.553320125,333.828482523723,333.828482523723,333.828482523723,333.828482523723,333.828482523723,333.828482523723,333.828482523723,333.828482523723,333.828482523723,363.42290479977,0.0375,25900,25,0.98
5,362.28,360.31,338.55,312.721042691718,334.014492137464,334.014492137464,334.014492137464,334.014492137464,334.014492137464,334.014492137464,334.014492137464,334.014492137464,334.014492137464,363.608914413511,0.0375,25900,25,0.98
6,362.4,360.48,338.7,312.88869094956,334.200429809432,334.200429809432,334.200429809432,334.200429809432,334.200429809432,334.200429809432,334.200429809432,334.200429809432,334.200429809432,363.794852085479,0.0375,25900,25,0.98
7,362.5,360.63,338.87,313.056264881434,334.386295509747,334.386295509747,334.386295509747,334.386295509747,334.386295509747,334.386295509747,334.386295509747,334.386295509747,334.386295509747,363.980717785794,0.0375,25900,25,0.98
8,362.6,360.75,339.03,313.223764470306,334.572089208582,334.572089208582,334.572089208582,334.572089208582,334.572089208582,334.572089208582,334.572089208582,334.572089208582,334.572089208582,364.166511484629,0.0375,25900,25,0.98
9,362.66,360.84,339.15,313.391189699192,334.757810876165,334.757810876165,334.757810876165,334.757810876165,334.757810876165,334.757810876165,334.757810876165,334.757810876165,334.757810876165,364.352233152212,0.0375,25900,25,0.98
