Time,TC1_tip,TC2,TC3,TC4,TC5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,360.26,359.07,359.46,358.47,351.05,344.243791124592,369.164757528995,369.16625741383,369.167757298664,369.169257183499,368.656408766862,368.575435616002,368.575435616002,368.575435616002,368.575435616002,380.951957812619,0.084,25900,25,0.98
1,360.26,359.14,359.47,358.51,351.02,344.3106605237,369.239680317608,369.241122610959,369.242564904309,369.24400719766,368.733555586551,368.652722910771,368.652722910771,368.652722910771,368.652722910771,381.029245107388,0.084,25900,25,0.98
2,360.28,359.26,359.53,358.62,351.08,344.377503299129,369.314575898783,369.315961700098,369.317347501414,369.31873330273,368.810671556359,368.729979570035,368.729979570035,368.729979570035,368.729979570035,381.106501766652,0.084,25900,25,0.98
3,360.32,359.39,359.61,358.8,351.17,344.444319455354,369.389444277257,369.390774687912,369.392105098567,369.393435509221,368.887756694705,368.807205610957,368.807205610957,368.807205610957,368.807205610957,381.183727807574,0.084,25900,25,0.98
4,360.37,359.51,359.68,359.0,351.3,344.511108996881,369.464285457779,369.465561581037,369.466837704294,369.468113827551,368.964811020015,368.884401050711,368.884401050711,368.884401050711,368.884401050711,381.260923247328,0.084,25900,25,0.98
5,360.41,359.63,359.75,359.2,351.45,344.577871928307,369.539099445082,369.540322385953,369.541545326823,369.542768267694,369.041834550426,368.961565906184,368.961565906184,368.961565906184,368.961565906184,381.338088102801,0.084,25900,25,0.98
6,360.47,359.7,359.84,359.32,351.59,344.644608253943,369.613886243999,369.615057109757,369.616227975515,369.617398841273,369.118827305575,369.038700195738,369.038700195738,369.038700195738,369.038700195738,381.415222392355,0.084,25900,25,0.98
7,360.5,359.78,359.93,359.47,351.71,344.71131797858,369.688645859235,369.689765758595,369.690885657954,369.692005557314,369.195789302962,369.115803935633,369.115803935633,369.115803935633,369.115803935633,381.49232613225,0.084,25900,25,0.98
8,360.56,359.87,360.1,359.62,351.79,344.778001106721,369.763378295597,369.764448339238,369.765518382878,369.766588426518,369.272721365155,369.192877143626,369.192877143626,369.192877143626,369.192877143626,381.569399340243,0.084,25900,25,0.98
9,360.64,359.96,360.27,359.77,351.84,344.844657642973,369.838083557876,369.83910485827,369.840126158665,369.84114745906,369.349623916727,369.269919837115,369.269919837115,369.269919837115,369.269919837115,381.646442033732,0.084,25900,25,0.98
10,360.71,360.02,360.39,359.9,351.89,344.911287591952,369.912761650873,369.913735322296,369.914708993719,369.915682665142,369.426495755613,369.346932033605,369.346932033605,369.346932033605,369.346932033605,381.723454230222,0.084,25900,25,0.98
11,360.8,360.07,360.48,360.02,351.95,344.977890958311,369.987412579395,369.988339737876,369.989266896357,369.990194054837,369.503336900569,369.423913750575,369.423913750575,369.423913750575,369.423913750575,381.800435947192,0.084,25900,25,0.98
12,360.89,360.1,360.55,360.14,352.03,345.044467746709,370.062036348264,370.062918111588,370.063799874912,370.064681638236,369.580147370456,369.500865005602,369.500865005602,369.500865005602,369.500865005602,381.877387202219,0.084,25900,25,0.98
13,360.96,360.14,360.6,360.23,352.12,345.111017961829,370.136632962305,370.137470449993,370.138307937681,370.139145425368,369.656927184162,369.577785816294,369.577785816294,369.577785816294,369.577785816294,381.954308012911,0.084,25900,25,0.98
14,361.03,360.19,360.65,360.35,352.21,345.177541608375,370.211202426357,370.211996759642,370.212791092926,370.213585426211,369.733676360618,369.654676200294,369.654676200294,369.654676200294,369.654676200294,382.031198396911,0.084,25900,25,0.98
15,361.09,360.23,360.7,360.48,352.31,345.244038691072,370.285744745266,370.286497047082,370.287249348899,370.288001650715,369.810394918811,369.731536175307,369.731536175307,369.731536175307,369.731536175307,382.108058371924,0.084,25900,25,0.98
16,361.15,360.29,360.72,360.62,352.42,345.310509214663,370.360259923886,370.360971318845,370.361682713805,370.362394108764,369.887082877756,369.808365759058,369.808365759058,369.808365759058,369.808365759058,382.184887955675,0.084,25900,25,0.98
17,361.23,360.4,360.75,360.78,352.57,345.376953183917,370.434747967083,370.435419581455,370.436091195828,370.4367628102,369.963740256512,369.88516496932,369.88516496932,369.88516496932,369.88516496932,382.261687165937,0.084,25900,25,0.98
18,361.32,360.5,360.78,360.94,352.73,345.443370603611,370.509208879731,370.509841841446,370.51047480316,370.511107764875,370.040368028511,369.961933823949,369.961933823949,369.961933823949,369.961933823949,382.338456020566,0.084,25900,25,0.98
19,361.39,360.58,360.8,361.09,352.85,345.509761478559,370.583642666712,370.584238105303,370.584833543895,370.585428982486,370.116966266493,370.038672340753,370.038672340753,370.038672340753,370.038672340753,382.41519453737,0.084,25900,25,0.98
20,361.45,360.66,360.83,361.2,352.95,345.576125813578,370.65804933292,370.658608379552,370.659167426183,370.659726472814,370.193533970461,370.115380537683,370.115380537683,370.115380537683,370.115380537683,382.4919027343,0.084,25900,25,0.98
21,361.42,360.74,360.86,361.26,353.03,345.642463613518,370.732428883258,370.732952670675,370.733476458092,370.734000245509,370.270071159646,370.192058432664,370.192058432664,370.192058432664,370.192058432664,382.568580629281,0.084,25900,25,0.98
22,361.38,360.82,360.91,361.33,353.11,345.708774883241,370.806781322637,370.807270985165,370.807760647693,370.808250310221,370.346577853356,370.26870604369,370.26870604369,370.26870604369,370.26870604369,382.645228240307,0.084,25900,25,0.98
23,361.34,360.89,360.98,361.39,353.17,345.775059627632,370.881106655979,370.881563329504,370.882020003029,370.882476676553,370.423054070941,370.345323388798,370.345323388798,370.345323388798,370.345323388798,382.721845585415,0.084,25900,25,0.98
24,361.32,360.95,361.04,361.48,353.25,345.841317851597,370.955404888215,370.955829710162,370.95625453211,370.956679354057,370.49949983178,370.421910486051,370.421910486051,370.421910486051,370.421910486051,382.798432682668,0.084,25900,25,0.98
25,361.31,361.0,361.08,361.56,353.32,345.907549560064,371.029676024284,371.030070133596,371.030464242909,371.030858352222,370.575915155275,370.498467353537,370.498467353537,370.498467353537,370.498467353537,382.874989550154,0.084,25900,25,0.98
26,361.31,361.07,361.14,361.67,353.45,345.973754757946,371.103920069147,371.104284606335,371.104649143524,371.105013680712,370.652300061062,370.57499400957,370.57499400957,370.57499400957,370.57499400957,382.951516206187,0.084,25900,25,0.98
27,361.32,361.13,361.19,361.73,353.57,346.039933450295,371.178137027736,371.178473134642,371.178809241548,371.179145348454,370.7286545682,370.651490471897,370.651490471897,370.651490471897,370.651490471897,383.028012668514,0.084,25900,25,0.98
28,361.35,361.18,361.24,361.84,353.66,346.106085642009,371.252326905048,371.252635725146,371.252944545244,371.253253365342,370.80498036072,370.727956759182,370.727956759182,370.727956759182,370.727956759182,383.104478955799,0.084,25900,25,0.98
29,361.36,361.22,361.27,361.93,353.73,346.172211338124,371.326489706054,371.32677238422,371.327055062385,371.327337740551,370.881276038961,370.804392889534,370.804392889534,370.804392889534,370.804392889534,383.180915086151,0.084,25900,25,0.98
30,361.4,361.27,361.31,362.03,353.82,346.238310543662,371.400625435743,371.400883118295,371.401140800848,371.4013984834,370.957541366361,370.880798881264,370.880798881264,370.880798881264,370.880798881264,383.257321077881,0.084,25900,25,0.98
31,361.44,361.29,361.36,362.12,353.9,346.304383263668,371.474734099114,371.474967933795,371.475201768476,371.475435603158,371.033776362598,370.957174752707,370.957174752707,370.957174752707,370.957174752707,383.333696949324,0.084,25900,25,0.98
32,361.46,361.3,361.4,362.2,353.97,346.370429503208,371.548815701175,371.549026837132,371.54923797309,371.549449109047,371.109981047385,371.033520522234,371.033520522234,371.033520522234,371.033520522234,383.410042718851,0.084,25900,25,0.98
33,361.49,361.32,361.44,362.27,354.06,346.436449267364,371.622870246947,371.623059834727,371.623249422507,371.623439010287,371.186155440504,371.109836208281,371.109836208281,371.109836208281,371.109836208281,383.486358404898,0.084,25900,25,0.98
34,361.51,361.32,361.49,362.34,354.13,346.502442561242,371.696897741456,371.697066932972,371.697236124488,371.697405316003,371.262299561726,371.186121829273,371.186121829273,371.186121829273,371.186121829273,383.56264402589,0.084,25900,25,0.98
35,361.55,361.35,361.55,362.4,354.23,346.568409389964,371.770898189743,371.77104813827,371.771198086796,371.771348035322,371.338413430894,371.262377403709,371.262377403709,371.262377403709,371.262377403709,383.638899600325,0.084,25900,25,0.98
36,361.57,361.39,361.62,362.44,354.32,346.634349758675,371.844871596857,371.845003457011,371.845135317166,371.845267177321,371.41449706788,371.33860295011,371.33860295011,371.33860295011,371.33860295011,383.715125146727,0.084,25900,25,0.98
37,361.6,361.41,361.66,362.5,354.38,346.700263672539,371.918817967854,371.918932895579,371.919047823304,371.919162751029,371.49055148745,371.414798487029,371.414798487029,371.414798487029,371.414798487029,383.791320683645,0.084,25900,25,0.98
38,361.63,361.45,361.72,362.58,354.44,346.766151136733,371.992737307806,371.992836460359,371.992935612913,371.993034765466,371.566576584614,371.490964033075,371.490964033075,371.490964033075,371.490964033075,383.867486229692,0.084,25900,25,0.98
39,361.64,361.47,361.76,362.67,354.49,346.832012156465,372.06662962179,372.06671415772,372.066798693651,372.066883229582,371.642571498254,371.567099606865,371.567099606865,371.567099606865,371.567099606865,383.943621803482,0.084,25900,25,0.98
