Time,TC1_tip,TC2,TC3,TC4,TC5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,360.15,359.08,359.48,358.59,351.09,317.375668370885,339.180921722918,339.181062598151,339.181203473384,339.077699344159,337.518258700157,337.393567207814,337.393567207814,337.393567207814,337.393567207814,349.770089404431,0.084,25900,25,0.98
1,360.08,359.04,359.44,358.48,350.91,317.452682697554,339.266466499148,339.266602265654,339.266738032159,339.164099534206,337.606800583418,337.482183090251,337.482183090251,337.482183090251,337.482183090251,349.858705286868,0.084,25900,25,0.98
2,360.05,359.13,359.4,358.44,350.77,317.529667765538,339.351981030431,339.352111726929,339.352242423427,339.250470180305,337.695320057056,337.570777078048,337.570777078048,337.570777078048,337.570777078048,349.947299274665,0.084,25900,25,0.98
3,360.06,359.22,359.4,358.42,350.69,317.606623591408,339.437465335612,339.43759100417,339.437716672728,339.336811283495,337.783817044961,337.659349092236,337.659349092236,337.659349092236,337.659349092236,350.035871288853,0.084,25900,25,0.98
4,360.11,359.29,359.42,358.45,350.65,317.68355019162,339.522919433439,339.523040119509,339.523160805579,339.423122844969,337.872291471568,337.74789905441,337.74789905441,337.74789905441,337.74789905441,350.124421251027,0.084,25900,25,0.98
5,360.17,359.3,359.45,358.52,350.63,317.76044758252,339.608343342559,339.608459095,339.608574847441,339.509404866033,337.960743261838,337.836426886703,337.836426886703,337.836426886703,337.836426886703,350.21294908332,0.084,25900,25,0.98
6,360.23,359.3,359.47,358.59,350.6,317.837315780347,339.693737081516,339.693847952607,339.693958823698,339.595645307849,338.049172341248,337.924932511779,337.924932511779,337.924932511779,337.924932511779,350.301454708396,0.084,25900,25,0.98
7,360.28,359.34,359.48,358.69,350.59,317.91415480123,339.779100668756,339.779206714229,339.779312759702,339.681854827442,338.137578635809,338.013415852855,338.013415852855,338.013415852855,338.013415852855,350.389938049472,0.084,25900,25,0.98
8,360.35,359.44,359.43,358.78,350.6,317.990964661189,339.864434122622,339.864535401678,339.864636680735,339.768034809598,338.22596207205,338.101876833677,338.101876833677,338.101876833677,338.101876833677,350.478399030294,0.084,25900,25,0.98
9,360.43,359.5,359.39,358.87,350.59,318.067745376138,339.949737461361,339.949834036696,339.949930612031,339.85418525649,338.314322577025,338.190315378533,338.190315378533,338.190315378533,338.190315378533,350.56683757515,0.084,25900,25,0.98
10,360.47,359.53,359.39,358.98,350.63,318.144496961881,340.035010703118,340.035102640941,340.035194578764,339.940306170401,338.402660078309,338.278731412246,338.278731412246,338.278731412246,338.278731412246,350.655253608863,0.084,25900,25,0.98
11,360.5,359.55,359.38,359.06,350.71,318.221219434117,340.120253865941,340.120341236001,340.120428606062,340.026397553737,338.490974503999,338.367124860176,338.367124860176,338.367124860176,338.367124860176,350.743647056793,0.084,25900,25,0.98
12,360.55,359.57,359.37,359.19,350.79,318.297912808442,340.205466967775,340.20554984337,340.205632718965,340.112452786157,338.579265782695,338.455495648204,338.455495648204,338.455495648204,338.455495648204,350.832017844821,0.084,25900,25,0.98
13,360.58,359.61,359.4,359.3,350.84,318.374577100338,340.290650026473,340.290728484488,340.290806942503,340.198471391933,338.66753384354,338.543843702761,338.543843702761,338.543843702761,338.543843702761,350.920365899378,0.084,25900,25,0.98
14,360.61,359.66,359.43,359.42,350.86,318.451212325191,340.375803059782,340.37587718069,340.375951301598,340.284460475482,338.755778616164,338.632168950788,338.632168950788,338.632168950788,338.632168950788,351.008691147405,0.084,25900,25,0.98
