Time,TC1_tip,TC2,TC3,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,361.0,358.29,336.71,343.376688289631,368.191566939781,368.191566939781,368.191566939781,368.191566939781,368.191566939781,368.191566939781,368.191566939781,368.191566939781,368.191566939781,423.13321910073,0.0375,25900,3,0.98
1,360.99,358.4,336.53,343.529893995953,368.363281097802,368.363281097802,368.363281097802,368.363281097802,368.363281097802,368.363281097802,368.363281097802,368.363281097802,368.363281097802,423.304933258751,0.0375,25900,3,0.98
2,361.1,358.74,336.36,343.683023122139,368.534918618175,368.534918618175,368.534918618175,368.534918618175,368.534918618175,368.534918618175,368.534918618175,368.534918618175,368.534918618175,423.476570779123,0.0375,25900,3,0.98
3,361.25,359.07,336.24,343.836075661708,368.706479482128,368.706479482128,368.706479482128,368.706479482128,368.706479482128,368.706479482128,368.706479482128,368.706479482128,368.706479482128,423.648131643077,0.0375,25900,3,0.98
4,361.44,359.35,336.12,343.98905160824,368.877963670952,368.877963670952,368.877963670952,368.877963670952,368.877963670952,368.877963670952,368.877963670952,368.877963670952,368.877963670952,423.819615831901,0.0375,25900,3,0.98
5,361.64,359.49,336.05,344.141950955365,369.049371165997,369.049371165997,369.049371165997,369.049371165997,369.049371165997,369.049371165997,369.049371165997,369.049371165997,369.049371165997,423.991023326945,0.0375,25900,3,0.98
6,361.83,359.66,335.96,344.294773696773,369.220701948672,369.220701948672,369.220701948672,369.220701948672,369.220701948672,369.220701948672,369.220701948672,369.220701948672,369.220701948672,424.162354109621,0.0375,25900,3,0.98
7,361.97,359.89,335.84,344.447519826204,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,424.333608161398,0.0375,25900,3,0.98
8,362.19,360.26,335.58,344.600189337459,369.563133302862,369.563133302862,369.563133302862,369.563133302862,369.563133302862,369.563133302862,369.563133302862,369.563133302862,369.563133302862,424.50478546381,0.0375,25900,3,0.98
9,362.36,360.57,335.21,344.752782224391,369.734233837501,369.734233837501,369.734233837501,369.734233837501,369.734233837501,369.734233837501,369.734233837501,369.734233837501,369.734233837501,424.67588599845,0.0375,25900,3,0.98
10,362.47,360.74,335.01,344.905298480909,369.905257586021,369.905257586021,369.905257586021,369.905257586021,369.905257586021,369.905257586021,369.905257586021,369.905257586021,369.905257586021,424.846909746969,0.0375,25900,3,0.98
11,362.55,360.89,334.85,345.057738100977,370.076204530135,370.076204530135,370.076204530135,370.076204530135,370.076204530135,370.076204530135,370.076204530135,370.076204530135,370.076204530135,425.017856691083,0.0375,25900,3,0.98
