Time,TC1_tip,TC2,TC3,TC4,TC5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.38,358.29,358.97,358.45,351.43,330.152119559442,353.403787678179,353.403787678179,353.403787678179,353.403787678179,353.403787678179,353.403787678179,353.403787678179,353.403787678179,353.403787678179,402.888194204624,0.084,25900,3,0.98
1,359.49,358.56,359.01,358.53,351.51,330.22340075911,353.483313577447,353.483313577447,353.483313577447,353.483313577447,353.483313577447,353.483313577447,353.483313577447,353.483313577447,353.483313577447,402.967720103891,0.084,25900,3,0.98
2,359.62,358.89,359.11,358.69,351.67,330.294666846819,353.562824564956,353.562824564956,353.562824564956,353.562824564956,353.562824564956,353.562824564956,353.562824564956,353.562824564956,353.562824564956,403.0472310914,0.084,25900,3,0.98
3,359.76,359.23,359.25,358.89,351.85,330.36591782157,353.642320638584,353.642320638584,353.642320638584,353.642320638584,353.642320638584,353.642320638584,353.642320638584,353.642320638584,353.642320638584,403.126727165028,0.084,25900,3,0.98
4,359.95,359.56,359.42,359.09,352.06,330.43715368237,353.721801796209,353.721801796209,353.721801796209,353.721801796209,353.721801796209,353.721801796209,353.721801796209,353.721801796209,353.721801796209,403.206208322653,0.084,25900,3,0.98
5,360.11,359.8,359.59,359.3,352.26,330.508374428221,353.801268035714,353.801268035714,353.801268035714,353.801268035714,353.801268035714,353.801268035714,353.801268035714,353.801268035714,353.801268035714,403.285674562158,0.084,25900,3,0.98
6,360.38,360.12,359.87,359.43,352.58,330.579580058135,353.880719354983,353.880719354983,353.880719354983,353.880719354983,353.880719354983,353.880719354983,353.880719354983,353.880719354983,353.880719354983,403.365125881427,0.084,25900,3,0.98
7,360.69,360.43,360.14,359.64,352.87,330.65077057112,353.960155751902,353.960155751902,353.960155751902,353.960155751902,353.960155751902,353.960155751902,353.960155751902,353.960155751902,353.960155751902,403.444562278346,0.084,25900,3,0.98
8,360.92,360.64,360.32,359.86,353.03,330.721945966192,354.03957722436,354.03957722436,354.03957722436,354.03957722436,354.03957722436,354.03957722436,354.03957722436,354.03957722436,354.03957722436,403.523983750804,0.084,25900,3,0.98
9,361.13,360.87,360.52,360.09,353.18,330.793106242363,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,354.118983770249,403.603390296693,0.084,25900,3,0.98
10,361.34,361.1,360.74,360.35,353.31,330.864251398651,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,354.198375387461,403.682781913905,0.084,25900,3,0.98
11,361.55,361.32,360.94,360.59,353.42,330.935381434077,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,354.277752073892,403.762158600336,0.084,25900,3,0.98
12,361.77,361.55,361.09,360.82,353.5,331.006496347661,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,354.357113827442,403.841520353886,0.084,25900,3,0.98
13,361.97,361.76,361.2,360.97,353.54,331.077596138427,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,354.436460646009,403.920867172453,0.084,25900,3,0.98
14,362.19,361.96,361.3,361.16,353.57,331.148680805403,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,354.515792527497,404.000199053941,0.084,25900,3,0.98
15,362.51,362.19,361.47,361.38,353.65,331.219750347615,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,354.595109469811,404.079515996255,0.084,25900,3,0.98
16,362.8,362.36,361.65,361.6,353.76,331.290804764094,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,354.674411470858,404.158817997302,0.084,25900,3,0.98
17,362.97,362.48,361.77,361.81,353.84,331.361844053873,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,354.753698528548,404.238105054992,0.084,25900,3,0.98
18,363.13,362.61,361.91,362.01,353.91,331.432868215987,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,354.832970640793,404.317377167237,0.084,25900,3,0.98
19,363.25,362.69,362.04,362.17,354.01,331.503877249473,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,354.912227805508,404.396634331952,0.084,25900,3,0.98
20,363.36,362.77,362.16,362.27,354.09,331.57487115337,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,354.991470020609,404.475876547053,0.084,25900,3,0.98
21,363.47,362.8,362.29,362.36,354.21,331.645849926721,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,355.070697284016,404.55510381046,0.084,25900,3,0.98
22,363.6,362.82,362.41,362.41,354.35,331.716813568568,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,355.149909593649,404.634316120093,0.084,25900,3,0.98
23,363.73,362.84,362.51,362.42,354.49,331.787762077957,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,355.229106947432,404.713513473876,0.084,25900,3,0.98
24,363.89,362.81,362.6,362.45,354.65,331.858695453938,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,355.308289343292,404.792695869736,0.084,25900,3,0.98
25,364.0,362.84,362.66,362.53,354.79,331.92961369556,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,355.387456779157,404.871863305601,0.084,25900,3,0.98
26,364.05,362.95,362.69,362.6,354.88,332.000516801875,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,355.466609252958,404.951015779402,0.084,25900,3,0.98
27,364.07,363.05,362.73,362.68,354.99,332.071404771938,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,355.545746762628,405.030153289072,0.084,25900,3,0.98
28,364.07,363.11,362.78,362.73,355.07,332.142277604807,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,355.624869306102,405.109275832546,0.084,25900,3,0.98
29,364.05,363.12,362.84,362.77,355.15,332.213135299541,355.703976881317,355.703976881317,355.703976881317,355.703976881317,355.703976881317,355.703976881317,355.703976881317,355.703976881317,355.703976881317,405.188383407762,0.084,25900,3,0.98
30,364.03,363.13,362.9,362.77,355.23,332.283977855201,355.783069486215,355.783069486215,355.783069486215,355.783069486215,355.783069486215,355.783069486215,355.783069486215,355.783069486215,355.783069486215,405.267476012659,0.084,25900,3,0.98
31,364.02,363.17,362.9,362.77,355.3,332.35480527085,355.862147118737,355.862147118737,355.862147118737,355.862147118737,355.862147118737,355.862147118737,355.862147118737,355.862147118737,355.862147118737,405.346553645181,0.084,25900,3,0.98
32,364.0,363.16,362.89,362.78,355.34,332.425617545555,355.941209776829,355.941209776829,355.941209776829,355.941209776829,355.941209776829,355.941209776829,355.941209776829,355.941209776829,355.941209776829,405.425616303273,0.084,25900,3,0.98
33,363.89,363.1,362.88,362.8,355.39,332.496414678383,356.020257458436,356.020257458436,356.020257458436,356.020257458436,356.020257458436,356.020257458436,356.020257458436,356.020257458436,356.020257458436,405.504663984881,0.084,25900,3,0.98
34,363.88,363.0,362.82,362.85,355.4,332.567196668406,356.09929016151,356.09929016151,356.09929016151,356.09929016151,356.09929016151,356.09929016151,356.09929016151,356.09929016151,356.09929016151,405.583696687954,0.084,25900,3,0.98
35,363.95,362.89,362.78,362.9,355.46,332.637963514694,356.178307884001,356.178307884001,356.178307884001,356.178307884001,356.178307884001,356.178307884001,356.178307884001,356.178307884001,356.178307884001,405.662714410445,0.084,25900,3,0.98
36,364.05,362.77,362.71,362.95,355.53,332.708715216323,356.257310623864,356.257310623864,356.257310623864,356.257310623864,356.257310623864,356.257310623864,356.257310623864,356.257310623864,356.257310623864,405.741717150308,0.084,25900,3,0.98
37,364.15,362.63,362.63,362.98,355.6,332.779451772369,356.336298379055,356.336298379055,356.336298379055,356.336298379055,356.336298379055,356.336298379055,356.336298379055,356.336298379055,356.336298379055,405.820704905499,0.084,25900,3,0.98
38,364.25,362.45,362.52,363.0,355.66,332.850173181913,356.415271147533,356.415271147533,356.415271147533,356.415271147533,356.415271147533,356.415271147533,356.415271147533,356.415271147533,356.415271147533,405.899677673977,0.084,25900,3,0.98
39,364.42,362.39,362.42,362.97,355.71,332.920879444034,356.494228927258,356.494228927258,356.494228927258,356.494228927258,356.494228927258,356.494228927258,356.494228927258,356.494228927258,356.494228927258,405.978635453702,0.084,25900,3,0.98
40,364.49,362.4,362.32,362.95,355.75,332.991570557817,356.573171716196,356.573171716196,356.573171716196,356.573171716196,356.573171716196,356.573171716196,356.573171716196,356.573171716196,356.573171716196,406.05757824264,0.084,25900,3,0.98
41,364.47,362.28,362.25,362.93,355.78,333.062246522347,356.65209951231,356.65209951231,356.65209951231,356.65209951231,356.65209951231,356.65209951231,356.65209951231,356.65209951231,356.65209951231,406.136506038755,0.084,25900,3,0.98
42,364.33,362.14,362.16,362.92,355.77,333.132907336713,356.731012313571,356.731012313571,356.731012313571,356.731012313571,356.731012313571,356.731012313571,356.731012313571,356.731012313571,356.731012313571,406.215418840015,0.084,25900,3,0.98
43,364.26,362.05,362.1,362.92,355.72,333.203553000003,356.809910117947,356.809910117947,356.809910117947,356.809910117947,356.809910117947,356.809910117947,356.809910117947,356.809910117947,356.809910117947,406.294316644391,0.084,25900,3,0.98
44,364.19,361.95,362.08,362.92,355.66,333.274183511311,356.888792923412,356.888792923412,356.888792923412,356.888792923412,356.888792923412,356.888792923412,356.888792923412,356.888792923412,356.888792923412,406.373199449856,0.084,25900,3,0.98
45,364.09,361.84,362.05,362.89,355.63,333.344798869731,356.967660727942,356.967660727942,356.967660727942,356.967660727942,356.967660727942,356.967660727942,356.967660727942,356.967660727942,356.967660727942,406.452067254386,0.084,25900,3,0.98
46,364.01,361.78,362.05,362.84,355.62,333.41539907436,357.046513529513,357.046513529513,357.046513529513,357.046513529513,357.046513529513,357.046513529513,357.046513529513,357.046513529513,357.046513529513,406.530920055957,0.084,25900,3,0.98
47,363.92,361.78,362.05,362.79,355.64,333.485984124296,357.125351326105,357.125351326105,357.125351326105,357.125351326105,357.125351326105,357.125351326105,357.125351326105,357.125351326105,357.125351326105,406.609757852549,0.084,25900,3,0.98
