Time,TC1_tip,TC2,TC3,TC4,TC5,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.83,358.75,359.27,358.81,351.89,343.423205259501,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,417.728109078563,0.084,25900,3,0.98
1,359.85,358.8,359.29,358.79,351.75,343.491599748506,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,417.804766268786,0.084,25900,3,0.98
2,360.01,359.04,359.41,358.86,351.69,343.559978975531,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,417.88140818618,0.084,25900,3,0.98
3,360.22,359.35,359.6,359.01,351.73,343.628342939997,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,417.958034829071,0.084,25900,3,0.98
4,360.42,359.69,359.78,359.19,351.82,343.696691641326,368.550239669345,368.550239669345,368.550239669345,368.550239669345,368.550239669345,368.550239669345,368.550239669345,368.550239669345,368.550239669345,418.034646195789,0.084,25900,3,0.98
5,360.61,360.01,359.96,359.4,351.96,343.765025078944,368.626835758221,368.626835758221,368.626835758221,368.626835758221,368.626835758221,368.626835758221,368.626835758221,368.626835758221,368.626835758221,418.111242284665,0.084,25900,3,0.98
6,360.79,360.32,360.17,359.63,352.13,343.83334325228,368.703416567591,368.703416567591,368.703416567591,368.703416567591,368.703416567591,368.703416567591,368.703416567591,368.703416567591,368.703416567591,418.187823094035,0.084,25900,3,0.98
7,361.07,360.73,360.49,359.79,352.41,343.901646160763,368.779982095791,368.779982095791,368.779982095791,368.779982095791,368.779982095791,368.779982095791,368.779982095791,368.779982095791,368.779982095791,418.264388622235,0.084,25900,3,0.98
8,361.34,361.11,360.77,360.0,352.68,343.969933803824,368.856532341159,368.856532341159,368.856532341159,368.856532341159,368.856532341159,368.856532341159,368.856532341159,368.856532341159,368.856532341159,418.340938867603,0.084,25900,3,0.98
9,361.51,361.35,360.94,360.2,352.83,344.038206180897,368.933067302037,368.933067302037,368.933067302037,368.933067302037,368.933067302037,368.933067302037,368.933067302037,368.933067302037,368.933067302037,418.417473828481,0.084,25900,3,0.98
10,361.7,361.57,361.08,360.38,352.98,344.10646329142,369.009586976769,369.009586976769,369.009586976769,369.009586976769,369.009586976769,369.009586976769,369.009586976769,369.009586976769,369.009586976769,418.493993503214,0.084,25900,3,0.98
11,361.92,361.78,361.24,360.52,353.14,344.174705134832,369.086091363703,369.086091363703,369.086091363703,369.086091363703,369.086091363703,369.086091363703,369.086091363703,369.086091363703,369.086091363703,418.570497890147,0.084,25900,3,0.98
12,362.14,361.96,361.39,360.67,353.28,344.242931710572,369.162580461185,369.162580461185,369.162580461185,369.162580461185,369.162580461185,369.162580461185,369.162580461185,369.162580461185,369.162580461185,418.646986987629,0.084,25900,3,0.98
