Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.91,359.39,359.93,360.36,359.74,361.81,358.7,358.6,353.51,321.99,306.931129782129,324.011349092341,324.011349092341,324.011349092341,324.011349092341,324.011349092341,324.011349092341,324.011349092341,324.011349092341,324.011349092341,365.953853890632,0.1575,25900,3,0.76
1,359.89,359.41,359.93,360.39,359.74,361.81,358.79,358.83,353.68,322.02,306.975313122962,324.05943661391,324.05943661391,324.05943661391,324.05943661391,324.05943661391,324.05943661391,324.05943661391,324.05943661391,324.05943661391,366.001941412201,0.1575,25900,3,0.76
2,359.97,359.53,359.99,360.48,359.79,361.87,359.03,359.14,354.05,322.11,307.019492795165,324.1075207375,324.1075207375,324.1075207375,324.1075207375,324.1075207375,324.1075207375,324.1075207375,324.1075207375,324.1075207375,366.050025535791,0.1575,25900,3,0.76
3,360.14,359.78,360.12,360.55,359.9,361.93,359.41,359.37,354.85,322.34,307.063668798378,324.155601462617,324.155601462617,324.155601462617,324.155601462617,324.155601462617,324.155601462617,324.155601462617,324.155601462617,324.155601462617,366.098106260907,0.1575,25900,3,0.76
4,360.33,360.02,360.28,360.69,360.05,362.05,359.78,359.72,355.65,322.68,307.107841132241,324.203678788766,324.203678788766,324.203678788766,324.203678788766,324.203678788766,324.203678788766,324.203678788766,324.203678788766,324.203678788766,366.146183587056,0.1575,25900,3,0.76
5,360.47,360.18,360.39,360.85,360.17,362.19,360.02,360.03,356.14,322.91,307.152009796396,324.251752715454,324.251752715454,324.251752715454,324.251752715454,324.251752715454,324.251752715454,324.251752715454,324.251752715454,324.251752715454,366.194257513744,0.1575,25900,3,0.76
6,360.6,360.34,360.5,361.0,360.28,362.34,360.26,360.27,356.58,323.13,307.196174790482,324.299823242186,324.299823242186,324.299823242186,324.299823242186,324.299823242186,324.299823242186,324.299823242186,324.299823242186,324.299823242186,366.242328040477,0.1575,25900,3,0.76
7,360.73,360.49,360.61,361.15,360.39,362.48,360.5,360.56,357.0,323.36,307.240336114141,324.347890368469,324.347890368469,324.347890368469,324.347890368469,324.347890368469,324.347890368469,324.347890368469,324.347890368469,324.347890368469,366.290395166759,0.1575,25900,3,0.76
8,360.86,360.66,360.73,361.3,360.51,362.63,360.76,360.82,357.38,323.56,307.284493767014,324.395954093808,324.395954093808,324.395954093808,324.395954093808,324.395954093808,324.395954093808,324.395954093808,324.395954093808,324.395954093808,366.338458892099,0.1575,25900,3,0.76
9,361.0,360.81,360.85,361.46,360.64,362.79,361.02,361.04,357.69,323.76,307.328647748741,324.44401441771,324.44401441771,324.44401441771,324.44401441771,324.44401441771,324.44401441771,324.44401441771,324.44401441771,324.44401441771,366.386519216001,0.1575,25900,3,0.76
10,361.13,360.95,360.97,361.56,360.78,362.89,361.27,361.18,357.97,323.96,307.372798058964,324.492071339682,324.492071339682,324.492071339682,324.492071339682,324.492071339682,324.492071339682,324.492071339682,324.492071339682,324.492071339682,366.434576137973,0.1575,25900,3,0.76
11,361.32,361.15,361.13,361.73,360.97,363.03,361.54,361.42,358.26,324.24,307.416944697324,324.54012485923,324.54012485923,324.54012485923,324.54012485923,324.54012485923,324.54012485923,324.54012485923,324.54012485923,324.54012485923,366.48262965752,0.1575,25900,3,0.76
12,361.52,361.34,361.27,361.9,361.15,363.17,361.84,361.7,358.48,324.56,307.461087663462,324.588174975859,324.588174975859,324.588174975859,324.588174975859,324.588174975859,324.588174975859,324.588174975859,324.588174975859,324.588174975859,366.53067977415,0.1575,25900,3,0.76
13,361.64,361.46,361.37,362.04,361.29,363.31,362.05,362.05,358.61,324.8,307.505226957021,324.636221689078,324.636221689078,324.636221689078,324.636221689078,324.636221689078,324.636221689078,324.636221689078,324.636221689078,324.636221689078,366.578726487369,0.1575,25900,3,0.76
14,361.74,361.56,361.45,362.17,361.4,363.44,362.22,362.35,358.76,325.04,307.549362577641,324.684264998393,324.684264998393,324.684264998393,324.684264998393,324.684264998393,324.684264998393,324.684264998393,324.684264998393,324.684264998393,366.626769796683,0.1575,25900,3,0.76
15,361.84,361.65,361.53,362.29,361.53,363.58,362.4,362.58,358.95,325.29,307.593494524964,324.73230490331,324.73230490331,324.73230490331,324.73230490331,324.73230490331,324.73230490331,324.73230490331,324.73230490331,324.73230490331,366.674809701601,0.1575,25900,3,0.76
16,361.94,361.73,361.6,362.41,361.65,363.72,362.58,362.81,359.16,325.52,307.637622798633,324.780341403337,324.780341403337,324.780341403337,324.780341403337,324.780341403337,324.780341403337,324.780341403337,324.780341403337,324.780341403337,366.722846201627,0.1575,25900,3,0.76
17,362.02,361.8,361.67,362.52,361.76,363.86,362.66,363.0,359.39,325.75,307.681747398289,324.828374497981,324.828374497981,324.828374497981,324.828374497981,324.828374497981,324.828374497981,324.828374497981,324.828374497981,324.828374497981,366.770879296271,0.1575,25900,3,0.76
18,362.09,361.86,361.74,362.63,361.88,363.98,362.71,363.19,359.63,325.97,307.725868323574,324.876404186748,324.876404186748,324.876404186748,324.876404186748,324.876404186748,324.876404186748,324.876404186748,324.876404186748,324.876404186748,366.818908985039,0.1575,25900,3,0.76
19,362.16,361.88,361.81,362.71,361.98,364.06,362.76,363.29,359.91,326.21,307.769985574132,324.924430469148,324.924430469148,324.924430469148,324.924430469148,324.924430469148,324.924430469148,324.924430469148,324.924430469148,324.924430469148,366.866935267438,0.1575,25900,3,0.76
20,362.27,361.92,361.91,362.81,362.12,364.16,362.78,363.41,360.34,326.56,307.814099149603,324.972453344685,324.972453344685,324.972453344685,324.972453344685,324.972453344685,324.972453344685,324.972453344685,324.972453344685,324.972453344685,366.914958142975,0.1575,25900,3,0.76
21,362.37,361.93,362.0,362.91,362.26,364.28,362.78,363.48,360.76,326.95,307.858209049631,325.020472812869,325.020472812869,325.020472812869,325.020472812869,325.020472812869,325.020472812869,325.020472812869,325.020472812869,325.020472812869,366.962977611159,0.1575,25900,3,0.76
22,362.43,361.94,362.03,362.98,362.33,364.37,362.81,363.42,360.98,327.2,307.902315273858,325.068488873207,325.068488873207,325.068488873207,325.068488873207,325.068488873207,325.068488873207,325.068488873207,325.068488873207,325.068488873207,367.010993671497,0.1575,25900,3,0.76
23,362.47,361.95,362.07,363.04,362.4,364.46,362.8,363.4,361.18,327.45,307.946417821928,325.116501525206,325.116501525206,325.116501525206,325.116501525206,325.116501525206,325.116501525206,325.116501525206,325.116501525206,325.116501525206,367.059006323496,0.1575,25900,3,0.76
24,362.51,361.96,362.11,363.08,362.47,364.56,362.83,363.4,361.35,327.71,307.990516693481,325.164510768374,325.164510768374,325.164510768374,325.164510768374,325.164510768374,325.164510768374,325.164510768374,325.164510768374,325.164510768374,367.107015566665,0.1575,25900,3,0.76
25,362.58,362.0,362.15,363.12,362.54,364.64,362.9,363.41,361.51,327.96,308.034611888164,325.21251660222,325.21251660222,325.21251660222,325.21251660222,325.21251660222,325.21251660222,325.21251660222,325.21251660222,325.21251660222,367.15502140051,0.1575,25900,3,0.76
26,362.63,362.01,362.18,363.14,362.59,364.7,362.96,363.44,361.61,328.2,308.078703405617,325.260519026251,325.260519026251,325.260519026251,325.260519026251,325.260519026251,325.260519026251,325.260519026251,325.260519026251,325.260519026251,367.203023824542,0.1575,25900,3,0.76
27,362.65,362.02,362.22,363.19,362.63,364.78,363.01,363.59,361.7,328.45,308.122791245484,325.308518039975,325.308518039975,325.308518039975,325.308518039975,325.308518039975,325.308518039975,325.308518039975,325.308518039975,325.308518039975,367.251022838265,0.1575,25900,3,0.76
28,362.66,362.03,362.23,363.23,362.66,364.84,363.1,363.71,361.74,328.68,308.166875407409,325.356513642901,325.356513642901,325.356513642901,325.356513642901,325.356513642901,325.356513642901,325.356513642901,325.356513642901,325.356513642901,367.299018441192,0.1575,25900,3,0.76
29,362.64,362.05,362.27,363.27,362.71,364.9,363.29,363.85,361.78,329.05,308.210955891035,325.404505834537,325.404505834537,325.404505834537,325.404505834537,325.404505834537,325.404505834537,325.404505834537,325.404505834537,325.404505834537,367.347010632828,0.1575,25900,3,0.76
30,362.64,362.07,362.3,363.31,362.77,364.95,363.44,363.97,361.85,329.43,308.255032696006,325.452494614391,325.452494614391,325.452494614391,325.452494614391,325.452494614391,325.452494614391,325.452494614391,325.452494614391,325.452494614391,367.394999412682,0.1575,25900,3,0.76
31,362.64,362.07,362.32,363.33,362.82,364.99,363.53,364.06,361.93,329.7,308.299105821965,325.500479981972,325.500479981972,325.500479981972,325.500479981972,325.500479981972,325.500479981972,325.500479981972,325.500479981972,325.500479981972,367.442984780263,0.1575,25900,3,0.76
32,362.67,362.06,362.34,363.35,362.86,365.04,363.6,364.17,362.02,329.99,308.343175268557,325.54846193679,325.54846193679,325.54846193679,325.54846193679,325.54846193679,325.54846193679,325.54846193679,325.54846193679,325.54846193679,367.49096673508,0.1575,25900,3,0.76
33,362.69,362.05,362.35,363.35,362.89,365.08,363.66,364.24,362.11,330.3,308.387241035425,325.596440478351,325.596440478351,325.596440478351,325.596440478351,325.596440478351,325.596440478351,325.596440478351,325.596440478351,325.596440478351,367.538945276641,0.1575,25900,3,0.76
34,362.74,362.06,362.38,363.35,362.93,365.12,363.71,364.34,362.2,330.62,308.431303122213,325.644415606165,325.644415606165,325.644415606165,325.644415606165,325.644415606165,325.644415606165,325.644415606165,325.644415606165,325.644415606165,367.586920404456,0.1575,25900,3,0.76
35,362.76,362.07,362.39,363.34,362.96,365.17,363.74,364.39,362.31,330.93,308.475361528566,325.692387319742,325.692387319742,325.692387319742,325.692387319742,325.692387319742,325.692387319742,325.692387319742,325.692387319742,325.692387319742,367.634892118033,0.1575,25900,3,0.76
36,362.8,362.07,362.41,363.34,362.98,365.23,363.78,364.43,362.44,331.22,308.519416254128,325.74035561859,325.74035561859,325.74035561859,325.74035561859,325.74035561859,325.74035561859,325.74035561859,325.74035561859,325.74035561859,367.682860416881,0.1575,25900,3,0.76
37,362.82,362.08,362.42,363.34,362.99,365.27,363.78,364.47,362.57,331.48,308.563467298544,325.788320502219,325.788320502219,325.788320502219,325.788320502219,325.788320502219,325.788320502219,325.788320502219,325.788320502219,325.788320502219,367.730825300509,0.1575,25900,3,0.76
38,362.86,362.09,362.45,363.34,363.0,365.31,363.81,364.51,362.73,331.85,308.607514661457,325.836281970137,325.836281970137,325.836281970137,325.836281970137,325.836281970137,325.836281970137,325.836281970137,325.836281970137,325.836281970137,367.778786768427,0.1575,25900,3,0.76
