Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,361.0,358.29,336.71,188.94,128.18,87.35,69.77,58.47,47.18,13.2,44.57,343.376688289631,368.191566939781,368.191566939781,368.191566939781,368.191566939781,368.191566939781,368.191566939781,368.191566939781,368.191566939781,368.191566939781,423.13321910073,0.0375,25900,3,0.98
1,360.99,358.4,336.53,188.93,128.14,87.35,69.75,58.6,47.24,18.83,44.56,343.529893995953,368.363281097802,368.363281097802,368.363281097802,368.363281097802,368.363281097802,368.363281097802,368.363281097802,368.363281097802,368.363281097802,423.304933258751,0.0375,25900,3,0.98
2,361.1,358.74,336.36,188.9,128.13,87.28,69.83,58.71,47.38,12.91,44.55,343.683023122139,368.534918618175,368.534918618175,368.534918618175,368.534918618175,368.534918618175,368.534918618175,368.534918618175,368.534918618175,368.534918618175,423.476570779123,0.0375,25900,3,0.98
3,361.25,359.07,336.24,189.11,128.15,87.31,69.89,58.99,47.53,14.33,44.56,343.836075661708,368.706479482128,368.706479482128,368.706479482128,368.706479482128,368.706479482128,368.706479482128,368.706479482128,368.706479482128,368.706479482128,423.648131643077,0.0375,25900,3,0.98
4,361.44,359.35,336.12,189.24,128.21,87.32,70.02,59.29,47.71,12.86,44.56,343.98905160824,368.877963670952,368.877963670952,368.877963670952,368.877963670952,368.877963670952,368.877963670952,368.877963670952,368.877963670952,368.877963670952,423.819615831901,0.0375,25900,3,0.98
5,361.64,359.49,336.05,189.64,128.29,87.47,70.19,59.61,47.93,13.49,44.59,344.141950955365,369.049371165997,369.049371165997,369.049371165997,369.049371165997,369.049371165997,369.049371165997,369.049371165997,369.049371165997,369.049371165997,423.991023326945,0.0375,25900,3,0.98
6,361.83,359.66,335.96,190.04,128.41,87.52,70.38,60.0,48.16,15.29,44.62,344.294773696773,369.220701948672,369.220701948672,369.220701948672,369.220701948672,369.220701948672,369.220701948672,369.220701948672,369.220701948672,369.220701948672,424.162354109621,0.0375,25900,3,0.98
7,361.97,359.89,335.84,190.3,128.54,87.61,70.62,60.28,48.39,16.52,44.66,344.447519826204,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,424.333608161398,0.0375,25900,3,0.98
8,362.19,360.26,335.58,190.69,128.79,87.87,71.07,60.61,48.72,17.78,44.77,344.600189337459,369.563133302862,369.563133302862,369.563133302862,369.563133302862,369.563133302862,369.563133302862,369.563133302862,369.563133302862,369.563133302862,424.50478546381,0.0375,25900,3,0.98
9,362.36,360.57,335.21,190.77,129.11,87.93,71.51,60.81,48.99,18.22,44.89,344.752782224391,369.734233837501,369.734233837501,369.734233837501,369.734233837501,369.734233837501,369.734233837501,369.734233837501,369.734233837501,369.734233837501,424.67588599845,0.0375,25900,3,0.98
