Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,361.98,359.64,339.27,193.92,125.93,80.01,61.67,50.57,40.46,22.95,38.02,311.881687113073,333.083725250543,333.083725250543,333.083725250543,333.083725250543,333.083725250543,333.083725250543,333.083725250543,333.083725250543,333.083725250543,362.67814752659,0.0375,25900,25,0.98
1,361.92,359.56,339.07,193.91,126.01,80.03,61.71,50.57,40.41,22.98,38.0,312.049706743307,333.270022331485,333.270022331485,333.270022331485,333.270022331485,333.270022331485,333.270022331485,333.270022331485,333.270022331485,333.270022331485,362.864444607532,0.0375,25900,25,0.98
2,361.95,359.66,338.86,193.9,126.08,80.08,61.89,50.77,40.49,23.12,37.99,312.217652133568,333.456247590718,333.456247590718,333.456247590718,333.456247590718,333.456247590718,333.456247590718,333.456247590718,333.456247590718,333.456247590718,363.050669866765,0.0375,25900,25,0.98
3,362.05,359.87,338.52,194.01,126.22,80.16,62.27,51.07,40.79,22.91,38.04,312.38552326655,333.642400998145,333.642400998145,333.642400998145,333.642400998145,333.642400998145,333.642400998145,333.642400998145,333.642400998145,333.642400998145,363.236823274192,0.0375,25900,25,0.98
4,362.18,360.12,338.46,194.14,126.38,80.25,62.72,51.38,41.16,22.82,38.14,312.553320125,333.828482523723,333.828482523723,333.828482523723,333.828482523723,333.828482523723,333.828482523723,333.828482523723,333.828482523723,333.828482523723,363.42290479977,0.0375,25900,25,0.98
5,362.28,360.31,338.55,194.21,126.5,80.37,62.99,51.68,41.41,22.81,38.23,312.721042691718,334.014492137464,334.014492137464,334.014492137464,334.014492137464,334.014492137464,334.014492137464,334.014492137464,334.014492137464,334.014492137464,363.608914413511,0.0375,25900,25,0.98
6,362.4,360.48,338.7,194.38,126.66,80.49,63.28,51.97,41.68,22.94,38.34,312.88869094956,334.200429809432,334.200429809432,334.200429809432,334.200429809432,334.200429809432,334.200429809432,334.200429809432,334.200429809432,334.200429809432,363.794852085479,0.0375,25900,25,0.98
7,362.5,360.63,338.87,194.5,126.82,80.59,63.58,52.17,41.93,22.8,38.46,313.056264881434,334.386295509747,334.386295509747,334.386295509747,334.386295509747,334.386295509747,334.386295509747,334.386295509747,334.386295509747,334.386295509747,363.980717785794,0.0375,25900,25,0.98
8,362.6,360.75,339.03,194.65,127.01,80.75,63.85,52.38,42.18,22.78,38.61,313.223764470306,334.572089208582,334.572089208582,334.572089208582,334.572089208582,334.572089208582,334.572089208582,334.572089208582,334.572089208582,334.572089208582,364.166511484629,0.0375,25900,25,0.98
9,362.66,360.84,339.15,194.87,127.22,80.9,64.11,52.63,42.44,22.93,38.76,313.391189699192,334.757810876165,334.757810876165,334.757810876165,334.757810876165,334.757810876165,334.757810876165,334.757810876165,334.757810876165,334.757810876165,364.352233152212,0.0375,25900,25,0.98
10,362.73,360.94,339.27,195.05,127.43,81.07,64.39,52.9,42.69,22.84,38.92,313.558540551166,334.943460482778,334.943460482778,334.943460482778,334.943460482778,334.943460482778,334.943460482778,334.943460482778,334.943460482778,334.943460482778,364.537882758825,0.0375,25900,25,0.98
11,362.77,361.01,339.34,195.22,127.63,81.26,64.67,53.22,42.93,22.9,39.11,313.725817009353,335.129037998757,335.129037998757,335.129037998757,335.129037998757,335.129037998757,335.129037998757,335.129037998757,335.129037998757,335.129037998757,364.723460274804,0.0375,25900,25,0.98
12,362.89,361.19,339.39,195.33,127.94,81.45,65.12,53.5,43.28,22.83,39.42,313.893019056935,335.314543394492,335.314543394492,335.314543394492,335.314543394492,335.314543394492,335.314543394492,335.314543394492,335.314543394492,335.314543394492,364.908965670539,0.0375,25900,25,0.98
13,363.01,361.41,339.4,195.49,128.26,81.65,65.57,53.82,43.63,22.74,39.75,314.060146677149,335.499976640429,335.499976640429,335.499976640429,335.499976640429,335.499976640429,335.499976640429,335.499976640429,335.499976640429,335.499976640429,365.094398916476,0.0375,25900,25,0.98
14,363.1,361.61,339.42,195.67,128.53,81.81,65.84,54.04,43.88,22.79,39.99,314.227199853283,335.685337707067,335.685337707067,335.685337707067,335.685337707067,335.685337707067,335.685337707067,335.685337707067,335.685337707067,335.685337707067,365.279759983114,0.0375,25900,25,0.98
15,363.18,361.8,339.41,195.98,128.8,82.06,66.07,54.29,44.11,22.71,40.24,314.394178568681,335.870626564959,335.870626564959,335.870626564959,335.870626564959,335.870626564959,335.870626564959,335.870626564959,335.870626564959,335.870626564959,365.465048841006,0.0375,25900,25,0.98
16,363.27,361.96,339.4,196.3,129.09,82.31,66.29,54.48,44.33,22.72,40.52,314.561082806744,336.055843184715,336.055843184715,336.055843184715,336.055843184715,336.055843184715,336.055843184715,336.055843184715,336.055843184715,336.055843184715,365.650265460762,0.0375,25900,25,0.98
17,363.35,362.12,339.45,196.58,129.36,82.55,66.53,54.67,44.54,22.78,40.8,314.727912550923,336.240987536998,336.240987536998,336.240987536998,336.240987536998,336.240987536998,336.240987536998,336.240987536998,336.240987536998,336.240987536998,365.835409813045,0.0375,25900,25,0.98
18,363.46,362.26,339.54,196.9,129.65,82.8,66.81,54.87,44.73,22.63,41.12,314.894667784727,336.426059592524,336.426059592524,336.426059592524,336.426059592524,336.426059592524,336.426059592524,336.426059592524,336.426059592524,336.426059592524,366.020481868571,0.0375,25900,25,0.98
19,363.56,362.4,339.67,197.22,129.92,83.05,67.07,55.06,44.94,22.73,41.44,315.061348491718,336.611059322067,336.611059322067,336.611059322067,336.611059322067,336.611059322067,336.611059322067,336.611059322067,336.611059322067,336.611059322067,366.205481598114,0.0375,25900,25,0.98
20,363.67,362.53,339.79,197.6,130.21,83.32,67.35,55.35,45.15,22.66,41.77,315.227954655512,336.795986696454,336.795986696454,336.795986696454,336.795986696454,336.795986696454,336.795986696454,336.795986696454,336.795986696454,336.795986696454,366.390408972501,0.0375,25900,25,0.98
21,363.82,362.68,339.96,197.84,130.65,83.5,67.82,55.53,45.52,22.76,42.31,315.39448625978,336.980841686566,336.980841686566,336.980841686566,336.980841686566,336.980841686566,336.980841686566,336.980841686566,336.980841686566,336.980841686566,366.575263962613,0.0375,25900,25,0.98
22,363.97,362.81,340.1,198.12,131.09,83.77,68.23,55.8,45.87,22.77,42.89,315.56094328825,337.16562426334,337.16562426334,337.16562426334,337.16562426334,337.16562426334,337.16562426334,337.16562426334,337.16562426334,337.16562426334,366.760046539387,0.0375,25900,25,0.98
