Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,362.89,358.37,335.26,192.26,129.6,83.18,64.58,51.85,41.29,-5.19,38.75,361.932381067005,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,389.056520575788,418.650942851835,0.0375,25900,25,0.98
1,362.82,358.25,335.22,192.31,129.6,83.24,64.7,51.93,41.28,-8.59,38.73,362.075981531547,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,389.218528921912,418.812951197959,0.0375,25900,25,0.98
2,362.89,358.44,335.27,192.46,129.6,83.25,64.96,52.16,41.41,-9.55,38.73,362.21950503137,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,389.380458757151,418.974881033198,0.0375,25900,25,0.98
3,363.01,358.77,335.45,192.62,129.64,83.32,65.28,52.62,41.63,-6.66,38.75,362.362951566812,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,389.542310070383,419.13673234643,0.0375,25900,25,0.98
4,363.18,358.99,335.78,192.85,129.7,83.52,65.63,53.1,41.9,-5.31,38.79,362.506321138262,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,389.704082850546,419.298505126593,0.0375,25900,25,0.98
5,363.4,359.09,336.09,193.1,129.77,83.6,65.95,53.31,42.19,-6.67,38.89,362.649613746166,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,389.865777086643,419.46019936269,0.0375,25900,25,0.98
6,363.65,359.25,336.3,193.27,129.85,83.64,66.25,53.62,42.45,-5.18,38.99,362.792829391019,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,390.027392767733,419.62181504378,0.0375,25900,25,0.98
7,364.03,359.53,336.69,193.49,130.02,83.78,66.67,53.86,42.8,-5.28,39.15,362.935968073373,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,390.188929882941,419.783352158988,0.0375,25900,25,0.98
8,364.4,359.94,337.12,193.73,130.23,83.95,67.07,54.12,43.16,-4.06,39.35,363.079029793831,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,390.350388421451,419.944810697498,0.0375,25900,25,0.98
9,364.64,360.28,337.37,193.9,130.4,84.2,67.39,54.33,43.44,-5.3,39.5,363.222014553048,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,390.511768372509,420.106190648556,0.0375,25900,25,0.98
10,364.87,360.68,337.55,194.03,130.59,84.27,67.71,54.76,43.72,-4.71,39.67,363.364922351736,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,390.673069725423,420.26749200147,0.0375,25900,25,0.98
11,365.09,361.1,337.63,194.09,130.78,84.37,67.97,55.01,43.97,-3.08,39.87,363.507753190659,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,390.834292469561,420.428714745608,0.0375,25900,25,0.98
12,365.31,361.46,337.75,194.57,130.98,84.77,68.25,55.31,44.19,-0.94,40.06,363.65050707063,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,390.995436594353,420.5898588704,0.0375,25900,25,0.98
13,365.52,361.83,337.87,194.84,131.2,85.03,68.52,55.44,44.37,4.49,40.27,363.793183992522,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,391.15650208929,420.750924365337,0.0375,25900,25,0.98
