Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,360.19,23.69,359.67,352.47,175.16,73.44,61.07,359.41,359.62,255.18,124.84,23.76,23.9,359.2,336.086969190305,360.031783053165,360.031783053165,360.031783053165,360.031783053165,360.031783053165,360.031783053165,360.031783053165,360.031783053165,360.031783053165,409.516189579609,0.084,25900,3,0.98
1,360.22,23.57,359.73,352.46,175.29,73.62,61.1,359.38,359.62,255.01,125.14,23.77,23.89,359.32,336.156977716069,360.110049186902,360.110049186902,360.110049186902,360.110049186902,360.110049186902,360.110049186902,360.110049186902,360.110049186902,360.110049186902,409.594455713346,0.084,25900,3,0.98
2,360.36,23.61,359.88,352.5,175.55,73.86,61.16,359.36,359.73,254.86,125.53,23.77,23.89,359.58,336.226971053722,360.188300238711,360.188300238711,360.188300238711,360.188300238711,360.188300238711,360.188300238711,360.188300238711,360.188300238711,360.188300238711,409.672706765155,0.084,25900,3,0.98
3,360.56,23.52,360.05,352.59,175.8,74.19,61.26,359.35,359.85,254.81,125.91,23.77,23.89,359.88,336.296949202451,360.266536206667,360.266536206667,360.266536206667,360.266536206667,360.266536206667,360.266536206667,360.266536206667,360.266536206667,360.266536206667,409.750942733111,0.084,25900,3,0.98
4,360.79,23.53,360.23,352.68,175.81,74.56,61.38,359.39,360.02,254.83,126.27,23.77,23.9,360.17,336.366912161445,360.344757088845,360.344757088845,360.344757088845,360.344757088845,360.344757088845,360.344757088845,360.344757088845,360.344757088845,360.344757088845,409.829163615289,0.084,25900,3,0.98
5,361.04,23.44,360.42,352.78,175.8,74.92,61.53,359.45,360.19,254.94,126.39,23.77,23.89,360.45,336.436859929898,360.422962883325,360.422962883325,360.422962883325,360.422962883325,360.422962883325,360.422962883325,360.422962883325,360.422962883325,360.422962883325,409.907369409769,0.084,25900,3,0.98
6,361.41,23.44,360.72,352.95,175.72,75.35,61.79,359.59,360.32,255.04,126.39,23.76,23.89,360.86,336.506792507001,360.501153588188,360.501153588188,360.501153588188,360.501153588188,360.501153588188,360.501153588188,360.501153588188,360.501153588188,360.501153588188,409.985560114632,0.084,25900,3,0.98
7,361.81,23.62,361.0,353.11,175.9,75.75,62.08,359.76,360.46,255.19,126.53,23.77,23.9,361.22,336.576709891952,360.579329201518,360.579329201518,360.579329201518,360.579329201518,360.579329201518,360.579329201518,360.579329201518,360.579329201518,360.579329201518,410.063735727962,0.084,25900,3,0.98
8,362.14,23.6,361.18,353.23,176.25,75.99,62.29,359.89,360.64,255.42,126.79,23.77,23.9,361.41,336.646612083949,360.657489721399,360.657489721399,360.657489721399,360.657489721399,360.657489721399,360.657489721399,360.657489721399,360.657489721399,360.657489721399,410.141896247844,0.084,25900,3,0.98
9,362.41,23.73,361.35,353.35,176.61,76.2,62.5,360.04,360.82,255.59,126.95,23.77,23.9,361.59,336.716499082193,360.735635145922,360.735635145922,360.735635145922,360.735635145922,360.735635145922,360.735635145922,360.735635145922,360.735635145922,360.735635145922,410.220041672367,0.084,25900,3,0.98
