Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.67,24.16,358.88,353.06,182.99,83.33,72.42,358.63,358.42,263.58,129.49,24.09,27.9,358.58,340.869082561971,365.383086012194,365.384023447008,365.384960881821,365.385898316635,364.747659904056,364.659863907849,364.659863907849,364.659863907849,364.659863907849,377.036386104466,0.084,25900,25,0.98
1,359.64,24.22,358.87,352.94,182.89,83.31,72.38,358.59,358.36,263.13,129.54,24.1,27.9,358.6,340.9372483241,365.459384042215,365.460278511108,365.46117298,365.462067448893,364.826506208441,364.738848187214,364.738848187214,364.738848187214,364.738848187214,377.115370383831,0.084,25900,25,0.98
2,359.64,24.23,358.89,352.86,182.69,83.38,72.35,358.58,358.39,262.81,129.77,24.1,27.91,358.64,341.005387291498,365.535654666191,365.536507144439,365.537359622687,365.538212100935,364.905322299069,364.817801596148,364.817801596148,364.817801596148,364.817801596148,377.194323792765,0.084,25900,25,0.98
3,359.68,24.42,358.93,352.82,182.6,83.51,72.33,358.6,358.44,262.55,130.06,24.11,27.91,358.71,341.073499468067,365.611897888816,365.612709354414,365.613520820012,365.61433228561,364.984108685183,364.896724147716,364.896724147716,364.896724147716,364.896724147716,377.273246344333,0.084,25900,25,0.98
4,359.72,24.35,358.95,352.78,182.6,83.69,72.31,358.61,358.52,262.3,130.39,24.11,27.91,358.79,341.141584858011,365.688113714711,365.688885147865,365.689656581019,365.690428014173,365.062864007389,364.97561585386,364.97561585386,364.97561585386,364.97561585386,377.352138050477,0.084,25900,25,0.98
5,359.76,24.26,358.97,352.75,182.59,83.94,72.33,358.66,358.6,262.06,130.75,24.11,27.91,358.86,341.209643465142,365.764302148611,365.765034532419,365.765766916227,365.766499300035,365.14158828051,365.054476728323,365.054476728323,365.054476728323,365.054476728323,377.43099892494,0.084,25900,25,0.98
6,359.8,24.17,359.01,352.76,182.7,84.18,72.36,358.71,358.68,261.81,130.99,24.11,27.91,358.92,341.277675293556,365.840463195184,365.841157515157,365.841851835129,365.842546155101,365.220281518294,365.13330678379,365.13330678379,365.13330678379,365.13330678379,377.509828980407,0.084,25900,25,0.98
7,359.84,24.14,359.01,352.76,182.82,84.35,72.41,358.77,358.73,261.67,131.04,24.11,27.91,358.98,341.345680347294,365.91659685912,365.917254103288,365.917911347455,365.918568591622,365.298943734876,365.212106033329,365.212106033329,365.212106033329,365.212106033329,377.588628229946,0.084,25900,25,0.98
8,359.91,24.29,359.03,352.82,183.09,84.66,72.52,358.87,358.81,261.48,131.22,24.11,27.91,359.09,341.413658630425,365.992703145111,365.993324303978,365.993945462846,365.994566621714,365.377574944406,365.290874490018,365.290874490018,365.290874490018,365.290874490018,377.667396686635,0.084,25900,25,0.98
9,359.98,24.27,359.08,352.89,183.34,84.95,72.65,358.97,358.85,261.32,131.37,24.11,27.91,359.2,341.481610147024,366.068782057854,366.069368124406,366.069954190958,366.07054025751,365.456175161165,365.369612167065,365.369612167065,365.369612167065,365.369612167065,377.746134363682,0.084,25900,25,0.98
10,360.02,24.42,359.12,352.92,183.44,85.13,72.75,359.03,358.9,261.17,131.53,24.12,27.91,359.25,341.549534901204,366.144833602046,366.145385571691,366.145937541336,366.14648951098,365.534744399416,365.448319077663,365.448319077663,365.448319077663,365.448319077663,377.824841274279,0.084,25900,25,0.98
11,360.04,24.38,359.16,352.94,183.44,85.33,72.85,359.09,358.95,261.06,131.81,24.11,27.9,359.28,341.617432897064,366.220857782399,366.221376653,366.2218955236,366.2224143942,365.613282673622,365.526995235197,365.526995235197,365.526995235197,365.526995235197,377.903517431814,0.084,25900,25,0.98
12,360.09,24.39,359.22,352.98,183.28,85.57,72.96,359.15,359.01,261.04,132.07,24.11,27.91,359.32,341.685304138747,366.296854603619,366.297341375429,366.29782814724,366.29831491905,365.691789998206,365.605640653015,365.605640653015,365.605640653015,365.605640653015,377.982162849632,0.084,25900,25,0.98
13,360.13,24.5,359.28,353.04,183.13,85.82,73.08,359.22,359.09,261.06,132.21,24.12,27.92,359.35,341.753148630404,366.37282407042,366.373279746083,366.373735421747,366.37419109741,365.770266387701,365.684255344573,365.684255344573,365.684255344573,365.684255344573,378.06077754119,0.084,25900,25,0.98
14,360.16,24.46,359.32,353.1,182.99,86.05,73.2,359.29,359.14,261.11,132.4,24.12,27.91,359.4,341.820966376199,366.448766187522,366.449191772055,366.449617356588,366.450042941121,365.848712922022,365.762839323408,365.762839323408,365.762839323408,365.762839323408,378.139361520025,0.084,25900,25,0.98
15,360.18,24.43,359.37,353.15,182.93,86.28,73.31,359.35,359.24,261.23,132.76,24.12,27.91,359.45,341.888757380318,366.524680959648,366.525077460416,366.525473961184,366.525870461953,365.927129660194,365.84139260311,365.84139260311,365.84139260311,365.84139260311,378.217914799727,0.084,25900,25,0.98
16,360.2,24.41,359.41,353.21,182.87,86.5,73.44,359.42,359.33,261.36,133.13,24.12,27.91,359.5,341.956521647009,366.600568391514,366.600936818132,366.601305244751,366.601673671369,366.005515496139,365.919915197134,365.919915197134,365.919915197134,365.919915197134,378.296437393751,0.084,25900,25,0.98
17,360.25,24.41,359.48,353.28,182.76,86.78,73.65,359.51,359.4,261.5,133.39,24.11,27.91,359.57,342.024259180362,366.676428487889,366.676769852511,366.677111217132,366.677452581753,366.083870445256,365.998407119778,365.998407119778,365.998407119778,365.998407119778,378.374929316395,0.084,25900,25,0.98
18,360.28,24.32,359.54,353.28,183.14,87.07,73.88,359.62,359.48,261.57,133.6,24.12,27.91,359.65,342.091969984742,366.752261253476,366.752576570323,366.75289188717,366.753207204016,366.162194521859,366.07686838427,366.07686838427,366.07686838427,366.07686838427,378.453390580887,0.084,25900,25,0.98
19,360.3,24.19,359.56,353.25,183.36,87.31,74.09,359.67,359.56,261.63,133.91,24.11,27.9,359.7,342.159654064362,366.82806669303,366.828356978668,366.828647264307,366.828937549945,366.240487741083,366.155299004647,366.155299004647,366.155299004647,366.155299004647,378.531821201264,0.084,25900,25,0.98
20,360.31,24.24,359.61,353.25,183.3,87.53,74.25,359.74,359.65,261.67,134.1,24.11,27.91,359.76,342.227311423497,366.903844811298,366.904111084545,366.904377357792,366.904643631039,366.318750117937,366.233698994822,366.233698994822,366.233698994822,366.233698994822,378.610221191439,0.084,25900,25,0.98
21,360.32,24.35,359.65,353.28,183.28,87.71,74.44,359.79,359.71,261.72,134.22,24.12,27.9,359.81,342.294942066435,366.979595613033,366.97983889494,366.980082176848,366.980325458756,366.396981667503,366.312068368779,366.312068368779,366.312068368779,366.312068368779,378.688590565396,0.084,25900,25,0.98
22,360.33,24.35,359.69,353.32,183.51,87.92,74.63,359.84,359.78,261.87,134.51,24.11,27.91,359.87,342.362545997484,367.055319102995,367.055540416832,367.05576173067,367.055983044507,366.475182404935,366.39040714057,366.39040714057,366.39040714057,366.39040714057,378.766929337187,0.084,25900,25,0.98
23,360.35,24.39,359.77,353.37,183.92,88.16,74.83,359.88,359.87,262.05,134.87,24.13,27.91,359.91,342.43012322097,367.131015285948,367.131215657177,367.131416028406,367.131616399635,366.553352345435,366.468715324297,366.468715324297,366.468715324297,366.468715324297,378.845237520914,0.084,25900,25,0.98
24,360.37,24.31,359.83,353.42,184.35,88.41,75.02,359.93,359.96,262.16,135.09,24.12,27.91,359.94,342.497673741237,367.20668416666,367.206864622919,367.207045079179,367.207225535438,366.631491504273,366.546992934127,366.546992934127,366.546992934127,366.546992934127,378.923515130744,0.084,25900,25,0.98
