Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,360.63,306.87,359.91,350.67,147.87,48.24,41.24,359.29,358.92,238.05,88.92,25.09,27.55,359.18,404.4380976244,437.383738430134,412.551711262162,371.148312546068,339.12819225546,319.831749355886,309.636679445561,304.672257997183,302.541718184367,302.154127155852,302.360354912481,0.084,25900,90,0.98
1,360.57,308.19,359.87,350.55,147.95,48.41,41.3,359.24,358.89,238.03,89.4,25.08,27.55,359.13,404.546143107507,437.507623479344,412.685689518606,371.25853063723,339.202230563572,319.874509597315,309.659107951172,304.683697631933,302.548342321126,302.159905269844,302.366133026473,0.084,25900,90,0.98
2,360.52,310.32,359.83,350.43,148.25,48.78,41.42,359.18,358.86,238.16,90.07,25.11,27.56,359.05,404.654030229532,437.631334130652,412.819535244174,371.368695784097,339.276275379234,319.917296975738,309.681560621969,304.69515321784,302.554977170241,302.165693073535,302.371920830164,0.084,25900,90,0.98
3,360.44,312.69,359.78,350.37,148.72,49.3,41.59,359.11,358.83,238.4,90.79,25.1,27.56,359.0,404.761759294414,437.754870697108,412.95324856154,371.478807908241,339.35032656925,319.960111414585,309.704037441862,304.706624763652,302.561622744402,302.171490579585,302.377718336213,0.084,25900,90,0.98
4,360.39,314.66,359.73,350.36,149.17,49.71,41.73,359.05,358.81,238.67,91.54,25.09,27.56,358.96,404.869330604733,437.878233492178,413.086829593965,371.588866932055,339.424384000914,320.002952837318,309.726538394637,304.718112278046,302.568279056286,302.17729780065,302.383525557279,0.084,25900,90,0.98
5,360.35,316.18,359.7,350.38,149.58,50.16,41.91,359.0,358.8,238.99,92.28,25.09,27.56,358.91,404.976744465689,438.001422822929,413.220278462103,371.698872777603,339.498447541659,320.045821167326,309.74906346394,304.729615769632,302.574946118563,302.183114749393,302.389342506021,0.084,25900,90,0.98
6,360.3,316.92,359.65,350.41,150.08,50.63,42.1,358.95,358.79,239.33,92.98,25.1,27.55,358.87,405.084001180632,438.124438997717,413.353595287586,371.808825367896,339.572517059435,320.088716328036,309.771612633294,304.741135246953,302.581623943893,302.188941438473,302.395169195102,0.084,25900,90,0.98
7,360.26,317.26,359.6,350.46,150.78,51.11,42.33,358.92,358.8,239.58,93.45,25.1,27.57,358.83,405.191101047563,438.24728233223,413.486780195855,371.918724627852,339.646592422981,320.131638242971,309.794185886108,304.752670718479,302.588312544918,302.194777880548,302.401005637177,0.084,25900,90,0.98
8,360.23,318.14,359.55,350.53,151.56,51.63,42.6,358.87,358.81,239.94,94.19,25.09,27.56,358.78,405.298044371849,438.369953127476,413.619833305851,372.028570480718,339.720673500802,320.174586835507,309.816783205642,304.764222192612,302.595011934273,302.200624088278,302.406851844906,0.084,25900,90,0.98
9,360.2,319.26,359.51,350.57,152.43,52.13,42.87,358.83,358.82,240.23,94.97,25.1,27.57,358.69,405.404831449898,438.492451698189,413.75275474333,372.138362852698,339.794760162491,320.217562029192,309.839404575052,304.775789677687,302.60172212458,302.206480074318,302.412707830947,0.084,25900,90,0.98
10,360.12,320.72,359.41,350.62,153.63,52.86,43.32,358.75,358.82,240.48,95.68,25.09,27.57,358.63,405.511462583856,438.614778347262,413.885544628866,372.248101668777,339.868852277545,320.260563747463,309.862049977352,304.787373181964,302.608443128447,302.212345851326,302.418573607955,0.084,25900,90,0.98
11,360.07,321.94,359.34,350.67,154.78,53.56,43.82,358.69,358.83,240.75,96.43,25.09,27.57,358.63,405.617938071693,438.736933382883,414.018203085882,372.35778685551,339.94294971615,320.303591913837,309.884719395441,304.798972713635,302.615174958468,302.218221431954,302.424449188582,0.084,25900,90,0.98
12,360.04,323.07,359.3,350.72,155.45,53.99,44.16,358.64,358.85,241.07,96.99,25.1,27.57,358.64,405.724258212314,438.858917109828,414.150730236573,372.467418339602,340.017052348779,320.346646451814,309.907412812089,304.810588280826,302.621917627228,302.224106828856,302.430334585485,0.084,25900,90,0.98
13,360.02,324.31,359.26,350.76,156.0,54.42,44.53,358.6,358.86,241.38,97.43,25.09,27.56,358.63,405.830423301475,438.980729836381,414.283126205147,372.576996049027,340.091160046507,320.38975597445,309.930130209955,304.822219891592,302.6286711473,302.230002054684,302.436229811313,0.084,25900,90,0.98
14,360.0,324.64,359.24,350.83,156.5,54.85,44.9,358.56,358.85,241.53,97.79,25.09,27.57,358.64,405.93643363823,439.102371863346,414.415391112649,372.686519911231,340.165272680516,320.432908681186,309.95287157156,304.833867553917,302.63543553124,302.235907122088,302.442134878717,0.084,25900,90,0.98
15,360.0,324.34,359.22,350.9,157.1,55.29,45.3,358.52,358.89,241.81,98.48,25.1,27.58,358.63,406.042289515576,439.223843500055,414.547525084523,372.795989855765,340.239390122823,320.476087631611,309.975636879324,304.845531275718,302.642210791593,302.241822043715,302.448049800344,0.084,25900,90,0.98
16,359.97,324.36,359.18,350.98,157.79,55.75,45.69,358.47,358.91,242.1,99.2,25.11,27.58,358.63,406.147991230403,439.34514504736,414.679528242568,372.905405811478,340.313512245498,320.519292748865,309.998426115527,304.857211064837,302.648996940889,302.24774683221,302.453974588839,0.084,25900,90,0.98
