Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.62,358.8,358.9,359.24,358.55,360.39,358.13,358.75,355.29,334.5,298.894997063565,318.71585425784,318.71585425784,318.71585425784,318.71585425784,318.71585425784,318.71585425784,318.71585425784,318.71585425784,318.71585425784,354.873383042728,0.1575,21250,3,0.98
1,359.57,358.76,358.84,359.24,358.54,360.38,358.19,358.92,355.3,334.24,298.926705757644,318.750860034501,318.750860034501,318.750860034501,318.750860034501,318.750860034501,318.750860034501,318.750860034501,318.750860034501,318.750860034501,354.908388819389,0.1575,21250,3,0.98
2,359.61,358.85,358.86,359.3,358.58,360.43,358.5,359.24,355.65,333.95,298.958411389219,318.785862795778,318.785862795778,318.785862795778,318.785862795778,318.785862795778,318.785862795778,318.785862795778,318.785862795778,318.785862795778,354.943391580667,0.1575,21250,3,0.98
3,359.72,359.01,358.96,359.4,358.67,360.51,358.88,359.56,356.04,333.83,298.990113958177,318.820862541461,318.820862541461,318.820862541461,318.820862541461,318.820862541461,318.820862541461,318.820862541461,318.820862541461,318.820862541461,354.97839132635,0.1575,21250,3,0.98
4,359.79,359.14,359.05,359.51,358.74,360.6,359.08,359.79,356.29,333.8,299.021813464406,318.85585927134,318.85585927134,318.85585927134,318.85585927134,318.85585927134,318.85585927134,318.85585927134,318.85585927134,318.85585927134,355.013388056229,0.1575,21250,3,0.98
5,359.88,359.29,359.15,359.62,358.84,360.69,359.24,359.94,356.53,333.8,299.053509907793,318.890852985205,318.890852985205,318.890852985205,318.890852985205,318.890852985205,318.890852985205,318.890852985205,318.890852985205,318.890852985205,355.048381770093,0.1575,21250,3,0.98
6,359.98,359.44,359.25,359.69,358.92,360.76,359.38,360.0,356.76,333.83,299.085203288226,318.925843682845,318.925843682845,318.925843682845,318.925843682845,318.925843682845,318.925843682845,318.925843682845,318.925843682845,318.925843682845,355.083372467734,0.1575,21250,3,0.98
7,360.08,359.6,359.36,359.79,359.02,360.86,359.56,360.09,357.02,333.88,299.116893605592,318.960831364052,318.960831364052,318.960831364052,318.960831364052,318.960831364052,318.960831364052,318.960831364052,318.960831364052,318.960831364052,355.11836014894,0.1575,21250,3,0.98
8,360.2,359.75,359.47,359.9,359.12,360.95,359.72,360.25,357.26,333.96,299.148580859779,318.995816028615,318.995816028615,318.995816028615,318.995816028615,318.995816028615,318.995816028615,318.995816028615,318.995816028615,318.995816028615,355.153344813504,0.1575,21250,3,0.98
9,360.31,359.88,359.58,360.01,359.21,361.03,359.89,360.42,357.46,334.0,299.180265050674,319.030797676324,319.030797676324,319.030797676324,319.030797676324,319.030797676324,319.030797676324,319.030797676324,319.030797676324,319.030797676324,355.188326461213,0.1575,21250,3,0.98
