Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.83,24.72,359.27,351.89,177.38,75.61,63.86,358.84,358.81,258.52,125.54,25.18,24.85,358.75,343.423205259501,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,368.243702552119,417.728109078563,0.084,25900,3,0.98
1,359.85,24.76,359.29,351.75,177.57,75.67,63.86,358.8,358.79,258.16,125.55,25.18,24.86,358.8,343.491599748506,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,368.320359742342,417.804766268786,0.084,25900,3,0.98
2,360.01,24.85,359.41,351.69,177.64,75.76,63.87,358.8,358.86,257.9,125.73,25.18,24.86,359.04,343.559978975531,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,368.397001659736,417.88140818618,0.084,25900,3,0.98
3,360.22,24.68,359.6,351.73,177.62,75.92,63.91,358.86,359.01,257.7,125.86,25.18,24.86,359.35,343.628342939997,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,368.473628302627,417.958034829071,0.084,25900,3,0.98
4,360.42,24.91,359.78,351.82,177.79,76.13,63.96,358.96,359.19,257.55,126.02,25.19,24.87,359.69,343.696691641326,368.550239669345,368.550239669345,368.550239669345,368.550239669345,368.550239669345,368.550239669345,368.550239669345,368.550239669345,368.550239669345,418.034646195789,0.084,25900,3,0.98
5,360.61,24.83,359.96,351.96,178.12,76.41,64.05,359.13,359.4,257.41,126.34,25.18,24.86,360.01,343.765025078944,368.626835758221,368.626835758221,368.626835758221,368.626835758221,368.626835758221,368.626835758221,368.626835758221,368.626835758221,368.626835758221,418.111242284665,0.084,25900,3,0.98
6,360.79,24.86,360.17,352.13,178.41,76.72,64.16,359.32,359.63,257.33,126.8,25.18,24.86,360.32,343.83334325228,368.703416567591,368.703416567591,368.703416567591,368.703416567591,368.703416567591,368.703416567591,368.703416567591,368.703416567591,368.703416567591,418.187823094035,0.084,25900,3,0.98
7,361.07,24.79,360.49,352.41,178.9,77.28,64.35,359.64,359.79,257.29,127.14,25.18,24.86,360.73,343.901646160763,368.779982095791,368.779982095791,368.779982095791,368.779982095791,368.779982095791,368.779982095791,368.779982095791,368.779982095791,368.779982095791,418.264388622235,0.084,25900,3,0.98
8,361.34,24.76,360.77,352.68,179.5,77.81,64.59,359.99,360.0,257.24,127.73,25.17,24.86,361.11,343.969933803824,368.856532341159,368.856532341159,368.856532341159,368.856532341159,368.856532341159,368.856532341159,368.856532341159,368.856532341159,368.856532341159,418.340938867603,0.084,25900,3,0.98
9,361.51,24.76,360.94,352.83,179.82,78.11,64.76,360.21,360.2,257.19,128.15,25.18,24.85,361.35,344.038206180897,368.933067302037,368.933067302037,368.933067302037,368.933067302037,368.933067302037,368.933067302037,368.933067302037,368.933067302037,368.933067302037,418.417473828481,0.084,25900,3,0.98
10,361.7,24.78,361.08,352.98,179.79,78.4,64.96,360.46,360.38,257.21,128.39,25.18,24.85,361.57,344.10646329142,369.009586976769,369.009586976769,369.009586976769,369.009586976769,369.009586976769,369.009586976769,369.009586976769,369.009586976769,369.009586976769,418.493993503214,0.084,25900,3,0.98
11,361.92,24.71,361.24,353.14,179.72,78.68,65.16,360.7,360.52,257.28,128.62,25.18,24.86,361.78,344.174705134832,369.086091363703,369.086091363703,369.086091363703,369.086091363703,369.086091363703,369.086091363703,369.086091363703,369.086091363703,369.086091363703,418.570497890147,0.084,25900,3,0.98
12,362.14,24.67,361.39,353.28,179.92,78.94,65.39,360.95,360.67,257.39,129.01,25.18,24.86,361.96,344.242931710572,369.162580461185,369.162580461185,369.162580461185,369.162580461185,369.162580461185,369.162580461185,369.162580461185,369.162580461185,369.162580461185,418.646986987629,0.084,25900,3,0.98
13,362.36,24.74,361.56,353.41,180.18,79.2,65.62,361.19,360.84,257.52,129.43,25.18,24.86,362.11,344.311143018083,369.239054267568,369.239054267568,369.239054267568,369.239054267568,369.239054267568,369.239054267568,369.239054267568,369.239054267568,369.239054267568,418.723460794012,0.084,25900,3,0.98
14,362.56,24.67,361.71,353.51,180.46,79.46,65.88,361.42,360.96,257.58,129.64,25.18,24.85,362.21,344.379339056812,369.315512781204,369.315512781204,369.315512781204,369.315512781204,369.315512781204,369.315512781204,369.315512781204,369.315512781204,369.315512781204,418.799919307648,0.084,25900,3,0.98
15,362.82,24.65,361.82,353.59,180.91,79.75,66.14,361.65,361.16,257.64,130.08,25.18,24.85,362.32,344.447519826204,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,369.39195600045,418.876362526894,0.084,25900,3,0.98
16,363.04,24.76,361.9,353.74,181.37,80.2,66.56,362.0,361.37,257.74,130.42,25.19,24.85,362.43,344.515685325711,369.468383923664,369.468383923664,369.468383923664,369.468383923664,369.468383923664,369.468383923664,369.468383923664,369.468383923664,369.468383923664,418.952790450108,0.084,25900,3,0.98
17,363.2,24.66,361.96,353.96,181.96,80.61,67.01,362.34,361.56,257.83,130.74,25.19,24.85,362.56,344.583835554783,369.544796549207,369.544796549207,369.544796549207,369.544796549207,369.544796549207,369.544796549207,369.544796549207,369.544796549207,369.544796549207,419.029203075651,0.084,25900,3,0.98
18,363.27,24.72,361.99,354.13,182.33,80.86,67.33,362.56,361.75,257.94,131.0,25.18,24.86,362.65,344.651970512876,369.621193875442,369.621193875442,369.621193875442,369.621193875442,369.621193875442,369.621193875442,369.621193875442,369.621193875442,369.621193875442,419.105600401886,0.084,25900,3,0.98
19,363.28,24.9,362.0,354.32,182.6,81.11,67.66,362.79,361.93,258.12,131.3,25.19,24.86,362.69,344.720090199443,369.697575900735,369.697575900735,369.697575900735,369.697575900735,369.697575900735,369.697575900735,369.697575900735,369.697575900735,369.697575900735,419.181982427179,0.084,25900,3,0.98
20,363.29,24.88,362.02,354.49,182.64,81.4,68.0,363.01,362.07,258.31,131.67,25.19,24.86,362.7,344.788194613945,369.773942623453,369.773942623453,369.773942623453,369.773942623453,369.773942623453,369.773942623453,369.773942623453,369.773942623453,369.773942623453,419.258349149897,0.084,25900,3,0.98
21,363.33,24.83,362.03,354.65,182.53,81.7,68.37,363.22,362.14,258.42,131.83,25.19,24.86,362.66,344.856283755843,369.850294041967,369.850294041967,369.850294041967,369.850294041967,369.850294041967,369.850294041967,369.850294041967,369.850294041967,369.850294041967,419.334700568412,0.084,25900,3,0.98
22,363.35,24.69,362.05,354.78,182.47,82.01,68.75,363.45,362.22,258.57,132.1,25.19,24.86,362.54,344.924357624596,369.92663015465,369.92663015465,369.92663015465,369.92663015465,369.92663015465,369.92663015465,369.92663015465,369.92663015465,369.92663015465,419.411036681094,0.084,25900,3,0.98
23,363.39,24.71,362.09,354.9,182.69,82.33,69.14,363.66,362.32,258.69,132.43,25.18,24.85,362.43,344.992416219674,370.002950959877,370.002950959877,370.002950959877,370.002950959877,370.002950959877,370.002950959877,370.002950959877,370.002950959877,370.002950959877,419.487357486321,0.084,25900,3,0.98
24,363.39,24.58,362.11,355.01,182.94,82.67,69.54,363.86,362.42,258.85,132.77,25.18,24.85,362.37,345.06045954054,370.079256456026,370.079256456026,370.079256456026,370.079256456026,370.079256456026,370.079256456026,370.079256456026,370.079256456026,370.079256456026,419.56366298247,0.084,25900,3,0.98
25,363.37,24.71,362.11,355.18,183.28,83.12,70.19,364.15,362.54,259.0,132.95,25.19,24.85,362.28,345.128487586666,370.155546641476,370.155546641476,370.155546641476,370.155546641476,370.155546641476,370.155546641476,370.155546641476,370.155546641476,370.155546641476,419.63995316792,0.084,25900,3,0.98
26,363.34,24.58,362.07,355.3,183.43,83.52,70.85,364.43,362.63,259.15,133.18,25.19,24.85,362.23,345.196500357522,370.231821514611,370.231821514611,370.231821514611,370.231821514611,370.231821514611,370.231821514611,370.231821514611,370.231821514611,370.231821514611,419.716228041055,0.084,25900,3,0.98
27,363.3,24.8,362.05,355.39,183.56,83.82,71.28,364.6,362.69,259.26,133.33,25.19,24.84,362.16,345.264497852583,370.308081073814,370.308081073814,370.308081073814,370.308081073814,370.308081073814,370.308081073814,370.308081073814,370.308081073814,370.308081073814,419.792487600258,0.084,25900,3,0.98
28,363.25,24.79,362.02,355.46,183.59,84.13,71.74,364.78,362.72,259.35,133.46,25.19,24.85,362.15,345.332480071324,370.384325317473,370.384325317473,370.384325317473,370.384325317473,370.384325317473,370.384325317473,370.384325317473,370.384325317473,370.384325317473,419.868731843917,0.084,25900,3,0.98
29,363.16,24.62,361.99,355.55,183.66,84.45,72.21,364.95,362.76,259.47,133.72,25.19,24.85,362.18,345.400447013224,370.460554243979,370.460554243979,370.460554243979,370.460554243979,370.460554243979,370.460554243979,370.460554243979,370.460554243979,370.460554243979,419.944960770423,0.084,25900,3,0.98
30,363.09,24.62,361.95,355.62,183.94,84.69,72.67,365.11,362.81,259.54,133.93,25.19,24.84,362.17,345.468398677762,370.536767851722,370.536767851722,370.536767851722,370.536767851722,370.536767851722,370.536767851722,370.536767851722,370.536767851722,370.536767851722,420.021174378166,0.084,25900,3,0.98
31,363.04,24.67,361.92,355.69,184.37,84.95,73.16,365.26,362.84,259.62,134.26,25.18,24.84,362.11,345.536335064422,370.612966139098,370.612966139098,370.612966139098,370.612966139098,370.612966139098,370.612966139098,370.612966139098,370.612966139098,370.612966139098,420.097372665542,0.084,25900,3,0.98
32,363.06,24.74,361.9,355.75,184.81,85.24,73.65,365.41,362.86,259.71,134.7,25.19,24.84,362.04,345.604256172688,370.689149104503,370.689149104503,370.689149104503,370.689149104503,370.689149104503,370.689149104503,370.689149104503,370.689149104503,370.689149104503,420.173555630947,0.084,25900,3,0.98
33,363.11,24.82,361.89,355.8,185.43,85.77,74.4,365.64,362.88,259.77,135.24,25.19,24.85,361.97,345.672162002046,370.765316746337,370.765316746337,370.765316746337,370.765316746337,370.765316746337,370.765316746337,370.765316746337,370.765316746337,370.765316746337,420.249723272781,0.084,25900,3,0.98
34,363.15,24.82,361.89,355.86,186.02,86.33,75.19,365.87,362.9,259.84,135.76,25.19,24.84,361.96,345.740052551987,370.841469063002,370.841469063002,370.841469063002,370.841469063002,370.841469063002,370.841469063002,370.841469063002,370.841469063002,370.841469063002,420.325875589446,0.084,25900,3,0.98
35,363.17,24.76,361.9,355.9,186.37,86.72,75.71,366.01,362.91,259.9,136.02,25.19,24.84,361.97,345.807927822002,370.917606052901,370.917606052901,370.917606052901,370.917606052901,370.917606052901,370.917606052901,370.917606052901,370.917606052901,370.917606052901,420.402012579346,0.084,25900,3,0.98
36,363.18,24.8,361.91,355.9,186.77,87.14,76.26,366.15,362.95,259.99,136.49,25.2,24.85,361.9,345.875787811583,370.993727714442,370.993727714442,370.993727714442,370.993727714442,370.993727714442,370.993727714442,370.993727714442,370.993727714442,370.993727714442,420.478134240886,0.084,25900,3,0.98
37,363.12,24.77,361.92,355.9,187.09,87.6,76.81,366.3,362.99,260.06,136.99,25.19,24.84,361.82,345.943632520228,371.069834046033,371.069834046033,371.069834046033,371.069834046033,371.069834046033,371.069834046033,371.069834046033,371.069834046033,371.069834046033,420.554240572477,0.084,25900,3,0.98
