Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.66,23.58,359.14,350.63,173.4,67.77,55.86,358.83,358.65,254.49,118.66,24.53,26.32,358.43,334.909823245644,358.717569849954,358.719423958619,358.721278067284,358.72313217595,357.836872770759,357.737703552082,357.737703552082,357.737703552082,357.737703552082,370.114225748699,0.084,25900,25,0.98
1,359.65,23.51,359.1,350.55,173.37,67.91,55.9,358.8,358.59,254.36,118.9,24.52,26.31,358.41,334.980269670258,358.796250073691,358.798050321343,358.799850568996,358.801650816648,357.918521928832,357.819483590718,357.819483590718,357.819483590718,357.819483590718,370.196005787335,0.084,25900,25,0.98
2,359.7,23.51,359.15,350.54,173.58,68.11,55.96,358.75,358.61,254.22,119.2,24.53,26.31,358.5,335.050688986643,358.874902495443,358.876649597197,358.878396698951,358.880143800705,358.000139874268,357.901232642508,357.901232642508,357.901232642508,357.901232642508,370.277754839125,0.084,25900,25,0.98
3,359.78,23.61,359.22,350.53,173.82,68.35,56.05,358.73,358.67,254.1,119.35,24.53,26.31,358.62,335.121081198419,358.953527120434,358.95522179527,358.956916470105,358.958611144941,358.081726610036,357.982950709478,357.982950709478,357.982950709478,357.982950709478,370.359472906095,0.084,25900,25,0.98
4,359.86,23.5,359.32,350.58,174.0,68.66,56.16,358.71,358.81,253.91,119.64,24.53,26.31,358.75,335.19144630914,359.032123953891,359.033766924753,359.035409895616,359.037052866479,358.163282139518,358.064637794067,358.064637794067,358.064637794067,358.064637794067,370.441159990684,0.084,25900,25,0.98
5,359.95,23.42,359.43,350.63,174.31,69.03,56.29,358.72,358.99,253.75,120.01,24.53,26.31,358.91,335.26178432258,359.110693000976,359.112284994387,359.113876987799,359.115468981211,358.244808317581,358.146293898072,358.146293898072,358.146293898072,358.146293898072,370.522816094689,0.084,25900,25,0.98
6,360.03,23.39,359.52,350.72,174.59,69.37,56.42,358.72,359.17,253.6,120.26,24.53,26.31,359.05,335.332095241559,359.189234267073,359.190776014732,359.19231776239,359.193859510049,358.326303926013,358.227919026916,358.227919026916,358.227919026916,358.227919026916,370.604441223533,0.084,25900,25,0.98
7,360.13,23.5,359.63,350.8,174.91,69.73,56.59,358.75,359.37,253.48,120.55,24.53,26.32,359.19,335.402379070357,359.267747757201,359.269239993495,359.270732229789,359.272224466083,358.407768328863,358.309513180891,358.309513180891,358.309513180891,358.309513180891,370.686035377508,0.084,25900,25,0.98
8,360.28,23.37,359.78,350.95,175.34,70.26,56.89,358.78,359.51,253.38,120.67,24.53,26.31,359.39,335.47263581228,359.346233476607,359.347676940255,359.349120403903,359.35056386755,358.489201531084,358.391076363997,358.391076363997,358.391076363997,358.391076363997,370.767598560614,0.084,25900,25,0.98
9,360.41,23.65,359.91,351.12,175.75,70.76,57.2,358.81,359.73,253.23,120.99,24.53,26.32,359.58,335.542865470913,359.424691430457,359.426086864018,359.427482297579,359.428877731141,358.57060353675,358.472608579371,358.472608579371,358.472608579371,358.472608579371,370.849130775988,0.084,25900,25,0.98
10,360.49,23.5,360.02,351.23,176.02,71.1,57.43,358.84,359.94,253.13,121.37,24.53,26.31,359.69,335.613068049813,359.503121623923,359.504469773836,359.50581792375,359.507166073664,358.651974350227,358.554109830442,358.554109830442,358.554109830442,358.554109830442,370.930632027059,0.084,25900,25,0.98
11,360.57,23.57,360.12,351.33,176.27,71.42,57.68,358.86,360.15,253.1,121.79,24.53,26.31,359.81,335.683243552561,359.581524062151,359.582825678674,359.584127295198,359.585428911722,358.733313975915,358.635580120674,358.635580120674,358.635580120674,358.635580120674,371.012102317291,0.084,25900,25,0.98
12,360.64,23.61,360.21,351.4,176.37,71.71,57.93,358.9,360.36,253.08,122.06,24.54,26.32,359.92,335.753391982747,359.659898750284,359.661154587474,359.662410424665,359.663666261856,358.814622418375,358.717019453692,358.717019453692,358.717019453692,358.717019453692,371.093541650309,0.084,25900,25,0.98
13,360.7,23.55,360.29,351.48,176.53,72.03,58.21,358.94,360.54,253.15,122.46,24.53,26.32,360.02,335.823513343951,359.738245693456,359.739456509172,359.740667324889,359.741878140605,358.89589968236,358.798427833311,358.798427833311,358.798427833311,358.798427833311,371.174950029928,0.084,25900,25,0.98
14,360.75,23.51,360.36,351.54,176.66,72.32,58.47,358.98,360.72,253.24,122.83,24.54,26.32,360.12,335.893607639791,359.816564896787,359.817731452615,359.818898008444,359.820064564273,358.977145772648,358.879805263373,358.879805263373,358.879805263373,358.879805263373,371.25632745999,0.084,25900,25,0.98
15,360.81,23.55,360.43,351.62,176.83,72.61,58.77,359.02,360.82,253.29,123.01,24.53,26.31,360.21,335.963674873787,359.894856365407,359.895979426814,359.897102488221,359.898225549627,359.058360694533,358.961151748229,358.961151748229,358.961151748229,358.961151748229,371.337673944846,0.084,25900,25,0.98
16,360.86,23.54,360.51,351.72,177.04,72.9,59.09,359.05,360.99,253.34,123.31,24.54,26.32,360.29,336.033715049773,359.97312010437,359.974200440163,359.975280775956,359.976361111749,359.139544452311,359.042467291255,359.042467291255,359.042467291255,359.042467291255,371.418989487871,0.084,25900,25,0.98
17,360.94,23.41,360.6,351.93,177.31,73.34,59.57,359.12,361.12,253.38,123.64,24.54,26.32,360.4,336.103728171133,360.051356118824,360.052394501902,360.05343288498,360.054471268057,359.220697052113,359.123751897627,359.123751897627,359.123751897627,359.123751897627,371.500274094244,0.084,25900,25,0.98
18,361.02,23.43,360.71,352.17,177.58,73.85,60.1,359.18,361.22,253.45,124.14,24.53,26.33,360.51,336.173714241641,360.129564413822,360.130561620502,360.131558827182,360.132556033862,359.301818498767,359.205005571248,359.205005571248,359.205005571248,359.205005571248,371.581527767865,0.084,25900,25,0.98
19,361.08,23.61,360.8,352.35,177.94,74.24,60.47,359.21,361.31,253.56,124.6,24.54,26.33,360.59,336.243673264863,360.207744994456,360.208701804821,360.209658615186,360.210615425551,359.382908798051,359.286228316952,359.286228316952,359.286228316952,359.286228316952,371.662750513569,0.084,25900,25,0.98
20,361.11,23.6,360.9,352.54,178.24,74.62,60.85,359.24,361.4,253.71,124.92,24.54,26.33,360.65,336.313605244468,360.28589786579,360.286815063504,360.287732261218,360.288649458932,359.463969075478,359.367420139354,359.367420139354,359.367420139354,359.367420139354,371.743942335971,0.084,25900,25,0.98
21,361.16,23.59,360.99,352.71,178.58,75.0,61.26,359.28,361.49,253.85,125.29,24.55,26.34,360.69,336.383510184111,360.364023032883,360.364901405202,360.36577977752,360.366658149838,359.544999531693,359.448581043264,359.448581043264,359.448581043264,359.448581043264,371.825103239881,0.084,25900,25,0.98
22,361.19,23.67,361.06,352.89,178.88,75.43,61.67,359.32,361.59,253.96,125.65,24.54,26.33,360.71,336.453388087457,360.442120500786,360.442960838537,360.443801176287,360.444641514038,359.625998847851,359.529711033631,359.529711033631,359.529711033631,359.529711033631,371.906233230248,0.084,25900,25,0.98
23,361.21,23.62,361.13,353.07,179.08,75.86,62.12,359.36,361.69,254.05,125.96,24.54,26.33,360.7,336.52323895825,360.520190274527,360.520993371965,360.521796469404,360.522599566843,359.706967029684,359.61081011526,359.61081011526,359.61081011526,359.61081011526,371.987332311877,0.084,25900,25,0.98
24,361.23,23.69,361.21,353.26,179.3,76.25,62.57,359.4,361.76,254.14,126.19,24.54,26.33,360.66,336.593062799938,360.598232359196,360.598999014497,360.599765669799,360.6005323251,359.787904084202,359.691878294211,359.691878294211,359.691878294211,359.691878294211,372.068400490828,0.084,25900,25,0.98
25,361.21,23.7,361.28,353.45,179.44,76.6,63.04,359.43,361.86,254.25,126.45,24.54,26.33,360.62,336.662859616448,360.676246759767,360.676977774207,360.677708788647,360.678439803087,359.868810016753,359.772915574919,359.772915574919,359.772915574919,359.772915574919,372.149437771536,0.084,25900,25,0.98
26,361.21,23.74,361.38,353.72,179.83,77.05,63.74,359.49,361.95,254.36,126.75,24.54,26.33,360.62,336.7326294114,360.75423348128,360.754929659752,360.755625838225,360.756322016697,359.949684834019,359.853921963125,359.853921963125,359.853921963125,359.853921963125,372.230444159742,0.084,25900,25,0.98
27,361.21,23.76,361.47,353.95,180.18,77.48,64.47,359.53,362.05,254.44,127.02,24.54,26.33,360.66,336.802372188491,360.832192528752,360.832854679626,360.8335168305,360.834178981373,360.030528542532,359.934897464431,359.934897464431,359.934897464431,359.934897464431,372.311419661048,0.084,25900,25,0.98
28,361.21,23.81,361.49,354.07,180.29,77.75,64.98,359.56,362.15,254.51,127.19,24.54,26.34,360.69,336.872087951452,360.910123907189,360.910752842245,360.911381777301,360.912010712357,360.111341148857,360.015842084467,360.015842084467,360.015842084467,360.015842084467,372.392364281084,0.084,25900,25,0.98
29,361.23,23.73,361.51,354.21,180.27,78.09,65.49,359.6,362.24,254.64,127.48,24.54,26.34,360.74,336.941776703993,360.988027621596,360.988624156057,360.989220690518,360.989817224979,360.192122659795,360.096755829098,360.096755829098,360.096755829098,360.096755829098,372.473278025715,0.084,25900,25,0.98
