Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.27,345.75,358.54,348.41,151.79,58.59,50.43,357.68,357.52,237.56,97.2,25.5,27.47,357.9,349.614472490972,374.869368202096,352.30861199115,327.684469522793,313.364453807744,306.30385285292,302.961959150556,301.397541766684,300.707892422696,300.571891684214,300.778119440842,0.084,25900,90,0.98
1,359.25,348.77,358.47,348.12,152.02,58.66,50.45,357.64,357.47,237.47,97.42,25.5,27.47,357.86,349.810516533334,375.091004905413,352.496960549952,327.800789880121,313.424273415751,306.33253304346,302.975476649913,301.403975569073,300.711334367758,300.574804609228,300.781032365856,0.084,25900,90,0.98
2,359.22,351.03,358.39,347.9,152.24,58.84,50.51,357.59,357.38,237.49,97.88,25.5,27.46,357.85,350.006212849983,375.312294471292,352.685177907544,327.917155582635,313.484161705906,306.361254782961,302.989014778586,301.410419802636,300.714782949994,300.57772360433,300.783951360958,0.084,25900,90,0.98
3,359.17,352.0,358.27,347.68,152.5,59.25,50.65,357.53,357.29,237.6,98.29,25.49,27.46,357.84,350.201562275972,375.533237605953,352.873263784684,328.033566098275,313.544118538986,306.390018094777,303.002573566489,301.416874485139,300.71823817842,300.58064867629,300.786876432918,0.084,25900,90,0.98
4,359.13,352.65,358.22,347.57,153.18,59.7,50.84,357.47,357.16,237.82,98.88,25.5,27.47,357.81,350.396565642482,375.753835014916,353.061217906067,328.150020896969,313.604143774755,306.418823001782,303.016153043497,301.423339634359,300.721700062071,300.583579831908,300.789807588537,0.084,25900,90,0.98
5,359.11,352.7,358.2,347.52,153.87,59.99,51.0,357.42,357.08,238.06,99.44,25.5,27.46,357.77,350.591223779042,375.974087399538,353.249039999642,328.2665194506,313.664237271992,306.447669526371,303.029753239438,301.429815268083,300.725168610004,300.586517078017,300.792744834645,0.084,25900,90,0.98
6,359.08,352.5,358.16,347.53,154.36,60.27,51.16,357.38,357.03,238.32,99.85,25.5,27.48,357.73,350.785537511764,376.193995460038,353.436729797202,328.38306123306,313.724398888496,306.476557690459,303.043374184097,301.43630140411,300.7286438313,300.589460421476,300.795688178105,0.084,25900,90,0.98
7,359.07,352.4,358.12,347.58,154.85,60.59,51.35,357.35,357.0,238.56,100.26,25.5,27.47,357.7,350.979507666409,376.413559889994,353.624287032992,328.499645720071,313.784628481097,306.505487515484,303.057015907213,301.442798060249,300.73212573506,300.592409869179,300.798637625808,0.084,25900,90,0.98
8,359.06,353.2,358.09,347.68,155.47,60.98,51.57,357.33,356.99,238.83,100.94,25.5,27.46,357.69,351.173135064656,376.632781383067,353.811711445291,328.616272389403,313.844925905674,306.534459022394,303.070678438475,301.449305254318,300.735614330405,300.595365428048,300.801593184677,0.084,25900,90,0.98
9,359.07,353.96,358.07,347.8,156.05,61.37,51.8,357.29,356.99,239.07,101.5,25.5,27.48,357.68,351.366420523082,376.851660634704,353.999002776747,328.732940720941,313.905291017187,306.563472231656,303.084361807524,301.455823004147,300.739109626481,300.598327105035,300.804554861663,0.084,25900,90,0.98
