Time,TC1_tip,TC_9_5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.99,358.8,359.28,353.12,175.44,76.89,65.86,359.09,358.6,257.63,122.65,25.37,27.86,358.79,391.384163719466,422.453782028212,396.816692970744,358.621309471436,330.997027589072,315.272938169745,307.299612502024,303.498452105574,301.869523234712,301.56961179269,301.775839549319,0.084,25900,90,0.98
1,359.95,359.03,359.23,353.03,175.37,77.03,65.88,359.06,358.57,257.41,122.68,25.38,27.87,358.72,391.511752735599,422.599680376868,396.966329780882,358.736531180984,331.069242110953,315.312228563351,307.319309722028,303.508201480421,301.875044925226,301.574397506044,301.780625262673,0.084,25900,90,0.98
2,359.92,359.35,359.18,352.91,175.51,77.16,65.92,359.02,358.53,257.13,122.83,25.38,27.87,358.64,391.639144974967,422.745358567563,397.115823008202,358.85171347482,331.141548862629,315.351553808791,307.339031936703,303.517965560597,301.880576000082,301.57919163979,301.785419396419,0.084,25900,90,0.98
3,359.88,359.7,359.13,352.79,175.72,77.32,65.97,358.99,358.45,256.87,123.05,25.38,27.87,358.56,391.766340832123,422.890816841045,397.265172743421,358.966856194744,331.213884120702,315.39091384177,307.358779144896,303.527744359522,301.886116471313,301.583994205092,301.79022196172,0.084,25900,90,0.98
4,359.82,360.16,359.05,352.68,175.95,77.51,66.02,358.94,358.39,256.59,123.3,25.38,27.87,358.46,391.893340701285,423.036055438779,397.414379077295,359.081959183408,331.28624223564,315.430308597851,307.378551345311,303.537537890579,301.891666350957,301.588805213124,301.795032969753,0.084,25900,90,0.98
5,359.72,360.57,358.96,352.58,176.2,77.75,66.1,358.91,358.33,256.3,123.54,25.38,27.87,358.37,392.020144974668,423.181074602153,397.563442101595,359.197022284514,331.358623041506,315.469738012456,307.398348536505,303.547346167104,301.897225651053,301.593624675072,301.7998524317,0.084,25900,90,0.98
6,359.6,360.93,358.84,352.48,176.3,78.08,66.23,358.85,358.29,256.1,123.79,25.38,27.87,358.22,392.146754043187,423.325874572649,397.712361908705,359.312045342767,331.431026372728,315.50920202087,307.418170716893,303.55716920239,301.902794383643,301.598452602129,301.804680358757,0.084,25900,90,0.98
7,359.51,361.26,358.73,352.45,176.3,78.45,66.39,358.8,358.27,255.99,124.12,25.38,27.87,358.12,392.273168298932,423.470455593323,397.861138589851,359.427028203287,331.503452063959,315.548700558222,307.438017884747,303.567007009685,301.908372560774,301.603289005499,301.809516762128,0.084,25900,90,0.98
8,359.46,361.41,358.68,352.46,176.38,78.7,66.51,358.76,358.28,255.98,124.34,25.38,27.87,358.06,392.399388132627,423.614817907575,398.009772236958,359.541970712218,331.575899950221,315.588233559511,307.457890038193,303.576859602195,301.913960194493,301.608133896397,301.814361653026,0.084,25900,90,0.98
9,359.43,361.48,358.65,352.46,176.53,78.97,66.62,358.72,358.28,255.97,124.73,25.38,27.87,358.03,392.525413932529,423.758961758287,398.158262943378,359.656877950806,331.648369866921,315.627800959601,307.477787175213,303.586726993079,301.91955729685,301.612987286045,301.819215042673,0.084,25900,90,0.98
10,359.4,361.69,358.61,352.48,176.75,79.2,66.76,358.68,358.29,255.94,125.01,25.39,27.88,358.0,392.651246087467,423.902887389716,398.306610801631,359.771829371976,331.72086164974,315.667402693218,307.497709293648,303.596609195454,301.925163879897,301.617849185675,301.824076942303,0.084,25900,90,0.98
11,359.38,362.18,358.58,352.49,177.07,79.39,66.9,358.64,358.29,255.92,125.25,25.39,27.88,357.99,392.776884983713,424.046595045406,398.454815905883,359.886739920518,331.793375134767,315.707038694962,307.517656391197,303.606506222392,301.93077995569,301.62271960653,301.828947363158,0.084,25900,90,0.98
12,359.38,362.52,358.57,352.5,177.26,79.58,67.06,358.6,358.3,255.9,125.54,25.39,27.89,357.98,392.902331007366,424.19008119246,398.602868033381,360.001637253919,331.865936937893,315.746711109112,307.537618300173,303.616408326649,301.936398484742,301.627592170864,301.833819927492,0.084,25900,90,0.98
13,359.36,362.82,358.56,352.52,177.32,79.74,67.19,358.56,358.31,255.86,125.72,25.39,27.88,357.98,393.027557323311,424.333326106409,398.750794959541,360.116502980902,331.938525294558,315.786418188949,307.557603600294,303.626323704639,301.942025370704,301.632472223376,301.838699980005,0.084,25900,90,0.98
14,359.34,363.35,358.54,352.54,177.41,79.89,67.34,358.51,358.33,255.79,125.78,25.39,27.87,357.96,393.152605095607,424.476365487842,398.898570682013,360.231323838617,332.011133521797,315.826159158232,307.577613994234,303.636254041484,301.947661835068,301.637360870885,301.843588627513,0.084,25900,90,0.98
15,359.33,363.69,358.53,352.6,177.59,80.1,67.57,358.45,358.36,255.72,125.73,25.38,27.88,357.96,393.277461668037,424.619188463057,399.046160424018,360.346102341299,332.083762056186,315.865934045912,307.597649488256,303.646199350269,301.95330788975,301.64225812458,301.848485881208,0.084,25900,90,0.98
16,359.31,364.1,358.52,352.68,177.84,80.36,67.82,358.4,358.39,255.63,125.79,25.39,27.88,357.96,393.402127428478,424.761795283863,399.193573527485,360.46083833939,332.156410724373,315.905742777718,307.617710078542,303.656159645692,301.958963548644,301.647163997473,301.853391754102,0.084,25900,90,0.98
17,359.3,364.26,358.53,352.76,178.1,80.53,68.0,358.36,358.42,255.56,126.03,25.39,27.88,357.97,393.526602761722,424.904186200413,399.340844196676,360.57553168473,332.229079353576,315.94558527926,307.637795761071,303.666134942381,301.964628825645,301.652078502588,301.858306259217,0.084,25900,90,0.98
18,359.28,364.23,358.51,352.82,178.35,80.64,68.18,358.33,358.45,255.53,126.26,25.38,27.88,357.96,393.650888051486,425.046361462995,399.487972535434,360.690182230232,332.301767771528,315.985461476023,307.657906531623,303.676125254894,301.97030373465,301.657001652963,301.863229409591,0.084,25900,90,0.98
19,359.25,364.37,358.51,352.9,178.51,80.77,68.37,358.29,358.47,255.52,126.4,25.38,27.88,357.96,393.774983681585,425.193114192771,399.634958647004,360.804789829523,332.374475806376,316.025371293356,307.678042385784,303.686130597723,301.97598828956,301.661933461648,301.868161218276,0.084,25900,90,0.98
20,359.24,364.54,358.51,352.99,178.5,80.9,68.56,358.26,358.5,255.46,126.37,25.39,27.88,357.97,393.898890035173,425.334726880548,399.781802634697,360.919354337175,332.447203286754,316.065314656487,307.69820331894,303.696150985294,301.981682504278,301.666873941709,301.873101698337,0.084,25900,90,0.98
