Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.84,359.55,360.09,360.57,359.94,362.07,359.47,359.79,353.94,328.48,305.539732732208,322.497307858317,322.497307858317,322.497307858317,322.497307858317,322.497307858317,322.497307858317,322.497307858317,322.497307858317,322.497307858317,356.267290490053,0.1575,19400,3,0.76
1,359.82,359.54,360.08,360.56,359.94,362.06,359.46,359.82,353.97,328.44,305.570366995082,322.530636025996,322.530636025996,322.530636025996,322.530636025996,322.530636025996,322.530636025996,322.530636025996,322.530636025996,322.530636025996,356.300618657732,0.1575,19400,3,0.76
2,359.87,359.64,360.12,360.59,359.95,362.07,359.6,359.99,354.19,328.4,305.600998845916,322.563961854781,322.563961854781,322.563961854781,322.563961854781,322.563961854781,322.563961854781,322.563961854781,322.563961854781,322.563961854781,356.333944486517,0.1575,19400,3,0.76
3,360.0,359.82,360.2,360.64,360.02,362.1,359.78,360.14,354.56,328.47,305.631628284585,322.597285344485,322.597285344485,322.597285344485,322.597285344485,322.597285344485,322.597285344485,322.597285344485,322.597285344485,322.597285344485,356.367267976221,0.1575,19400,3,0.76
4,360.09,359.96,360.28,360.73,360.08,362.13,359.91,360.29,354.89,328.58,305.662255310965,322.63060649492,322.63060649492,322.63060649492,322.63060649492,322.63060649492,322.63060649492,322.63060649492,322.63060649492,322.63060649492,356.400589126656,0.1575,19400,3,0.76
5,360.17,360.07,360.35,360.82,360.16,362.18,360.03,360.33,355.23,328.68,305.692879924932,322.6639253059,322.6639253059,322.6639253059,322.6639253059,322.6639253059,322.6639253059,322.6639253059,322.6639253059,322.6639253059,356.433907937636,0.1575,19400,3,0.76
6,360.26,360.17,360.42,360.92,360.23,362.23,360.17,360.41,355.55,328.81,305.723502126361,322.697241777237,322.697241777237,322.697241777237,322.697241777237,322.697241777237,322.697241777237,322.697241777237,322.697241777237,322.697241777237,356.467224408973,0.1575,19400,3,0.76
7,360.36,360.28,360.5,361.02,360.32,362.29,360.28,360.54,355.86,328.93,305.75412191513,322.730555908744,322.730555908744,322.730555908744,322.730555908744,322.730555908744,322.730555908744,322.730555908744,322.730555908744,322.730555908744,356.50053854048,0.1575,19400,3,0.76
8,360.45,360.37,360.57,361.11,360.4,362.35,360.41,360.71,356.12,329.06,305.784739291115,322.763867700235,322.763867700235,322.763867700235,322.763867700235,322.763867700235,322.763867700235,322.763867700235,322.763867700235,322.763867700235,356.533850331971,0.1575,19400,3,0.76
9,360.53,360.45,360.65,361.22,360.48,362.43,360.53,360.89,356.37,329.18,305.81535425419,322.797177151521,322.797177151521,322.797177151521,322.797177151521,322.797177151521,322.797177151521,322.797177151521,322.797177151521,322.797177151521,356.567159783257,0.1575,19400,3,0.76
10,360.6,360.49,360.72,361.28,360.57,362.46,360.64,361.01,356.57,329.31,305.845966804234,322.830484262417,322.830484262417,322.830484262417,322.830484262417,322.830484262417,322.830484262417,322.830484262417,322.830484262417,322.830484262417,356.600466894153,0.1575,19400,3,0.76
11,360.68,360.52,360.82,361.4,360.68,362.54,360.77,361.18,356.77,329.51,305.876576941121,322.863789032735,322.863789032735,322.863789032735,322.863789032735,322.863789032735,322.863789032735,322.863789032735,322.863789032735,322.863789032735,356.633771664471,0.1575,19400,3,0.76
12,360.75,360.52,360.89,361.52,360.78,362.62,360.93,361.34,356.89,329.7,305.907184664729,322.897091462289,322.897091462289,322.897091462289,322.897091462289,322.897091462289,322.897091462289,322.897091462289,322.897091462289,322.897091462289,356.667074094025,0.1575,19400,3,0.76
13,360.81,360.53,360.92,361.61,360.85,362.7,361.04,361.47,356.91,329.83,305.937789974935,322.930391550891,322.930391550891,322.930391550891,322.930391550891,322.930391550891,322.930391550891,322.930391550891,322.930391550891,322.930391550891,356.700374182627,0.1575,19400,3,0.76
14,360.87,360.57,360.96,361.7,360.91,362.79,361.11,361.58,356.93,329.93,305.968392871614,322.963689298356,322.963689298356,322.963689298356,322.963689298356,322.963689298356,322.963689298356,322.963689298356,322.963689298356,322.963689298356,356.733671930092,0.1575,19400,3,0.76
15,360.92,360.59,360.99,361.78,360.96,362.86,361.17,361.67,356.91,330.01,305.998993354643,322.996984704497,322.996984704497,322.996984704497,322.996984704497,322.996984704497,322.996984704497,322.996984704497,322.996984704497,322.996984704497,356.766967336233,0.1575,19400,3,0.76
16,360.98,360.62,361.0,361.86,361.0,362.93,361.19,361.74,356.9,330.11,306.029591423899,323.030277769127,323.030277769127,323.030277769127,323.030277769127,323.030277769127,323.030277769127,323.030277769127,323.030277769127,323.030277769127,356.800260400862,0.1575,19400,3,0.76
17,361.04,360.66,361.03,361.91,361.06,362.97,361.28,361.76,356.86,330.25,306.060187079259,323.063568492059,323.063568492059,323.063568492059,323.063568492059,323.063568492059,323.063568492059,323.063568492059,323.063568492059,323.063568492059,356.833551123795,0.1575,19400,3,0.76
18,361.11,360.69,361.06,361.97,361.13,363.03,361.36,361.78,356.8,330.38,306.090780320599,323.096856873107,323.096856873107,323.096856873107,323.096856873107,323.096856873107,323.096856873107,323.096856873107,323.096856873107,323.096856873107,356.866839504843,0.1575,19400,3,0.76
19,361.16,360.71,361.08,362.03,361.18,363.08,361.44,361.8,356.74,330.54,306.121371147796,323.130142912085,323.130142912085,323.130142912085,323.130142912085,323.130142912085,323.130142912085,323.130142912085,323.130142912085,323.130142912085,356.900125543821,0.1575,19400,3,0.76
20,361.23,360.75,361.12,362.06,361.25,363.13,361.55,361.82,356.73,330.82,306.151959560727,323.163426608806,323.163426608806,323.163426608806,323.163426608806,323.163426608806,323.163426608806,323.163426608806,323.163426608806,323.163426608806,356.933409240542,0.1575,19400,3,0.76
21,361.31,360.8,361.17,362.09,361.33,363.18,361.64,361.9,356.78,331.1,306.18254555927,323.196707963085,323.196707963085,323.196707963085,323.196707963085,323.196707963085,323.196707963085,323.196707963085,323.196707963085,323.196707963085,356.966690594821,0.1575,19400,3,0.76
22,361.36,360.83,361.19,362.13,361.38,363.22,361.69,361.97,356.86,331.27,306.2131291433,323.229986974734,323.229986974734,323.229986974734,323.229986974734,323.229986974734,323.229986974734,323.229986974734,323.229986974734,323.229986974734,356.99996960647,0.1575,19400,3,0.76
