Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.75,359.03,359.76,360.24,359.68,361.45,358.93,359.55,357.07,333.49,307.640938169767,328.385128962436,328.385128962436,328.385128962436,328.385128962436,328.385128962436,328.385128962436,328.385128962436,328.385128962436,328.385128962436,370.327633760726,0.1575,25900,3,0.98
1,359.7,359.02,359.75,360.27,359.67,361.47,358.98,359.77,357.08,333.26,307.681391736102,328.429918607629,328.429918607629,328.429918607629,328.429918607629,328.429918607629,328.429918607629,328.429918607629,328.429918607629,328.429918607629,370.37242340592,0.1575,25900,3,0.98
2,359.79,359.22,359.82,360.32,359.74,361.51,359.31,360.01,357.42,333.09,307.721841120254,328.474704226467,328.474704226467,328.474704226467,328.474704226467,328.474704226467,328.474704226467,328.474704226467,328.474704226467,328.474704226467,370.417209024758,0.1575,25900,3,0.98
3,359.93,359.45,359.94,360.47,359.86,361.59,359.71,360.38,357.88,333.03,307.762286321971,328.519485818524,328.519485818524,328.519485818524,328.519485818524,328.519485818524,328.519485818524,328.519485818524,328.519485818524,328.519485818524,370.461990616814,0.1575,25900,3,0.98
4,360.04,359.55,360.04,360.63,359.96,361.7,359.96,360.71,358.16,333.0,307.802727341,328.564263383374,328.564263383374,328.564263383374,328.564263383374,328.564263383374,328.564263383374,328.564263383374,328.564263383374,328.564263383374,370.506768181664,0.1575,25900,3,0.98
5,360.15,359.66,360.13,360.8,360.07,361.82,360.2,360.99,358.48,332.97,307.843164177089,328.609036920593,328.609036920593,328.609036920593,328.609036920593,328.609036920593,328.609036920593,328.609036920593,328.609036920593,328.609036920593,370.551541718884,0.1575,25900,3,0.98
6,360.2,359.73,360.22,360.96,360.19,361.94,360.41,361.25,358.79,332.96,307.883596829986,328.653806429757,328.653806429757,328.653806429757,328.653806429757,328.653806429757,328.653806429757,328.653806429757,328.653806429757,328.653806429757,370.596311228047,0.1575,25900,3,0.98
7,360.21,359.78,360.28,361.13,360.32,362.06,360.58,361.45,359.07,332.96,307.924025299438,328.69857191044,328.69857191044,328.69857191044,328.69857191044,328.69857191044,328.69857191044,328.69857191044,328.69857191044,328.69857191044,370.641076708731,0.1575,25900,3,0.98
8,360.24,359.84,360.36,361.29,360.43,362.19,360.76,361.6,359.34,332.98,307.964449585195,328.74333336222,328.74333336222,328.74333336222,328.74333336222,328.74333336222,328.74333336222,328.74333336222,328.74333336222,328.74333336222,370.68583816051,0.1575,25900,3,0.98
9,360.3,359.93,360.43,361.38,360.53,362.26,360.94,361.7,359.6,333.06,308.004869687003,328.788090784671,328.788090784671,328.788090784671,328.788090784671,328.788090784671,328.788090784671,328.788090784671,328.788090784671,328.788090784671,370.730595582962,0.1575,25900,3,0.98
