Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.45,358.91,359.38,359.79,359.2,361.0,358.46,359.09,357.54,338.76,305.246784483493,325.735428638626,325.735428638626,325.735428638626,325.735428638626,325.735428638626,325.735428638626,325.735428638626,325.735428638626,325.735428638626,367.677933436917,0.1575,25900,3,0.98
1,359.37,358.89,359.37,359.78,359.19,361.0,358.55,359.23,357.55,338.27,305.287484345131,325.780455080362,325.780455080362,325.780455080362,325.780455080362,325.780455080362,325.780455080362,325.780455080362,325.780455080362,325.780455080362,367.722959878653,0.1575,25900,3,0.98
2,359.44,359.05,359.47,359.83,359.25,361.04,358.88,359.46,357.82,337.96,305.328180039799,325.82547752112,325.82547752112,325.82547752112,325.82547752112,325.82547752112,325.82547752112,325.82547752112,325.82547752112,325.82547752112,367.767982319411,0.1575,25900,3,0.98
3,359.51,359.15,359.56,359.93,359.31,361.11,359.15,359.81,358.08,337.85,305.368871567236,325.870495960465,325.870495960465,325.870495960465,325.870495960465,325.870495960465,325.870495960465,325.870495960465,325.870495960465,325.870495960465,367.813000758755,0.1575,25900,3,0.98
4,359.59,359.22,359.66,360.07,359.4,361.21,359.42,360.08,358.36,337.78,305.409558927178,325.915510397962,325.915510397962,325.915510397962,325.915510397962,325.915510397962,325.915510397962,325.915510397962,325.915510397962,325.915510397962,367.858015196252,0.1575,25900,3,0.98
5,359.65,359.28,359.74,360.24,359.51,361.34,359.65,360.37,358.62,337.77,305.450242119364,325.960520833176,325.960520833176,325.960520833176,325.960520833176,325.960520833176,325.960520833176,325.960520833176,325.960520833176,325.960520833176,367.903025631466,0.1575,25900,3,0.98
6,359.73,359.31,359.8,360.41,359.61,361.47,359.88,360.64,358.88,337.76,305.49092114353,326.005527265673,326.005527265673,326.005527265673,326.005527265673,326.005527265673,326.005527265673,326.005527265673,326.005527265673,326.005527265673,367.948032063964,0.1575,25900,3,0.98
7,359.79,359.34,359.84,360.57,359.72,361.6,360.08,360.86,359.13,337.76,305.531595999414,326.050529695019,326.050529695019,326.050529695019,326.050529695019,326.050529695019,326.050529695019,326.050529695019,326.050529695019,326.050529695019,367.993034493309,0.1575,25900,3,0.98
8,359.85,359.37,359.89,360.73,359.83,361.75,360.27,361.08,359.38,337.78,305.572266686756,326.095528120779,326.095528120779,326.095528120779,326.095528120779,326.095528120779,326.095528120779,326.095528120779,326.095528120779,326.095528120779,368.038032919069,0.1575,25900,3,0.98
9,359.88,359.37,359.96,360.9,359.96,361.9,360.42,361.29,359.61,337.81,305.612933205292,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,368.08302734081,0.1575,25900,3,0.98
10,359.92,359.39,360.03,361.05,360.08,362.06,360.57,361.46,359.82,337.85,305.653595554761,326.185512959807,326.185512959807,326.185512959807,326.185512959807,326.185512959807,326.185512959807,326.185512959807,326.185512959807,326.185512959807,368.128017758097,0.1575,25900,3,0.98
11,360.02,359.46,360.14,361.14,360.27,362.15,360.7,361.57,359.98,337.91,305.694253734902,326.230499372207,326.230499372207,326.230499372207,326.230499372207,326.230499372207,326.230499372207,326.230499372207,326.230499372207,326.230499372207,368.173004170498,0.1575,25900,3,0.98
12,360.11,359.56,360.25,361.27,360.44,362.29,360.83,361.74,360.04,337.97,305.734907745453,326.275481779287,326.275481779287,326.275481779287,326.275481779287,326.275481779287,326.275481779287,326.275481779287,326.275481779287,326.275481779287,368.217986577577,0.1575,25900,3,0.98
